,team1,team2,result,date
1,monza,torino,P,2022-08-13
1,sampdoria,atalanta,P,2022-08-13
1,lecce,inter,P,2022-08-13
0,milan,udinese,V,2022-08-13
0,lazio,bologna,V,2022-08-14
1,salernitana,roma,P,2022-08-14
1,spezia,empoli,V,2022-08-14
0,fiorentina,cremonese,V,2022-08-14
1,hellas verona,napoli,P,2022-08-15
0,juventus,sassuolo,V,2022-08-15
2,sassuolo,lecce,V,2022-08-20
1,inter,spezia,V,2022-08-20
2,udinese,salernitana,N,2022-08-20
2,torino,lazio,N,2022-08-20
1,napoli,monza,V,2022-08-21
2,bologna,hellas verona,N,2022-08-21
2,empoli,fiorentina,N,2022-08-21
1,atalanta,milan,N,2022-08-21
1,roma,cremonese,V,2022-08-22
2,sampdoria,juventus,N,2022-08-22
3,monza,udinese,P,2022-08-26
2,lazio,inter,V,2022-08-26
2,milan,bologna,V,2022-08-27
3,spezia,sassuolo,N,2022-08-27
3,cremonese,torino,P,2022-08-27
2,juventus,roma,N,2022-08-27
4,fiorentina,napoli,N,2022-08-28
3,lecce,empoli,N,2022-08-28
3,salernitana,sampdoria,V,2022-08-28
3,hellas verona,atalanta,P,2022-08-28
3,roma,monza,V,2022-08-30
3,inter,cremonese,V,2022-08-30
4,sassuolo,milan,N,2022-08-30
4,udinese,fiorentina,V,2022-08-31
3,napoli,lecce,N,2022-08-31
3,juventus,spezia,V,2022-08-31
4,sampdoria,lazio,N,2022-08-31
4,empoli,hellas verona,N,2022-08-31
3,atalanta,torino,V,2022-09-01
4,bologna,salernitana,N,2022-09-01
4,lazio,napoli,P,2022-09-03
4,milan,inter,V,2022-09-03
6,fiorentina,juventus,N,2022-09-03
5,hellas verona,sampdoria,V,2022-09-04
5,spezia,bologna,N,2022-09-04
5,cremonese,sassuolo,N,2022-09-04
5,udinese,roma,V,2022-09-04
5,monza,atalanta,P,2022-09-05
5,salernitana,empoli,N,2022-09-05
5,torino,lecce,V,2022-09-05
6,sampdoria,milan,P,2022-09-10
6,inter,torino,V,2022-09-10
6,napoli,spezia,V,2022-09-10
6,lazio,hellas verona,V,2022-09-11
6,bologna,fiorentina,V,2022-09-11
5,atalanta,cremonese,N,2022-09-11
6,lecce,monza,N,2022-09-11
6,sassuolo,udinese,P,2022-09-11
6,juventus,salernitana,N,2022-09-11
6,empoli,roma,P,2022-09-12
7,salernitana,lecce,P,2022-09-16
7,torino,sassuolo,P,2022-09-17
7,bologna,empoli,P,2022-09-17
7,spezia,sampdoria,V,2022-09-17
8,milan,napoli,P,2022-09-18
8,roma,atalanta,P,2022-09-18
7,monza,juventus,V,2022-09-18
10,fiorentina,hellas verona,V,2022-09-18
7,cremonese,lazio,P,2022-09-18
7,udinese,inter,V,2022-09-18
8,empoli,milan,P,2022-10-01
9,inter,roma,P,2022-10-01
9,napoli,torino,V,2022-10-01
9,juventus,bologna,V,2022-10-02
9,lazio,spezia,V,2022-10-02
8,lecce,cremonese,N,2022-10-02
7,atalanta,fiorentina,V,2022-10-02
8,sassuolo,salernitana,V,2022-10-02
8,sampdoria,monza,P,2022-10-02
8,hellas verona,udinese,P,2022-10-03
9,sassuolo,inter,,2022-10-08
11,milan,juventus,,2022-10-08
9,bologna,sampdoria,,2022-10-08
11,roma,lecce,,2022-10-09
9,cremonese,napoli,,2022-10-09
9,salernitana,hellas verona,,2022-10-09
9,torino,empoli,,2022-10-09
9,monza,spezia,,2022-10-09
9,udinese,atalanta,,2022-10-09
13,fiorentina,lazio,,2022-10-10
10,empoli,monza,,2022-10-15
9,atalanta,sassuolo,,2022-10-15
10,torino,juventus,,2022-10-15
10,hellas verona,milan,,2022-10-16
13,napoli,bologna,,2022-10-16
13,inter,salernitana,,2022-10-16
13,lazio,udinese,,2022-10-16
10,spezia,cremonese,,2022-10-16
10,lecce,fiorentina,,2022-10-17
10,sampdoria,roma,,2022-10-17
14,juventus,empoli,,2022-10-21
11,salernitana,spezia,,2022-10-22
16,fiorentina,inter,,2022-10-22
14,milan,monza,,2022-10-22
10,atalanta,lazio,,2022-10-23
12,bologna,lecce,,2022-10-23
14,roma,napoli,,2022-10-23
12,udinese,torino,,2022-10-23
11,sassuolo,hellas verona,,2022-10-24
12,cremonese,sampdoria,,2022-10-24
16,inter,sampdoria,,2022-10-29
16,napoli,sassuolo,,2022-10-29
12,lecce,juventus,,2022-10-29
13,torino,milan,,2022-10-30
13,spezia,fiorentina,,2022-10-30
13,cremonese,udinese,,2022-10-30
16,lazio,salernitana,,2022-10-30
12,empoli,atalanta,,2022-10-30
12,hellas verona,roma,,2022-10-31
13,monza,bologna,,2022-10-31
14,udinese,lecce,,2022-11-04
13,empoli,sassuolo,,2022-11-05
12,atalanta,napoli,,2022-11-05
18,milan,spezia,,2022-11-05
13,salernitana,cremonese,,2022-11-05
18,juventus,inter,,2022-11-06
18,roma,lazio,,2022-11-06
14,sampdoria,fiorentina,,2022-11-06
