,team1,team2,result,date
17,udinese,milan,N,2021-12-11
17,fiorentina,salernitana,V,2021-12-11
17,venezia,juventus,N,2021-12-11
22,napoli,empoli,P,2021-12-12
17,hellas verona,atalanta,P,2021-12-12
16,sassuolo,lazio,V,2021-12-12
22,inter,cagliari,V,2021-12-12
17,torino,bologna,V,2021-12-12
24,roma,spezia,V,2021-12-13
23,lazio,genoa,V,2021-12-17
19,salernitana,inter,P,2021-12-17
19,cagliari,udinese,P,2021-12-18
23,atalanta,roma,P,2021-12-18
18,bologna,juventus,P,2021-12-18
23,milan,napoli,P,2021-12-19
19,fiorentina,sassuolo,N,2021-12-19
19,spezia,empoli,N,2021-12-19
19,torino,hellas verona,V,2021-12-19
19,sampdoria,venezia,N,2021-12-19
24,juventus,cagliari,V,2021-12-21
20,genoa,atalanta,N,2021-12-21
20,venezia,lazio,P,2021-12-22
26,roma,sampdoria,N,2021-12-22
24,napoli,spezia,P,2021-12-22
18,sassuolo,bologna,P,2021-12-22
24,inter,torino,V,2021-12-22
20,empoli,milan,P,2021-12-22
20,hellas verona,fiorentina,N,2021-12-22
25,lazio,empoli,N,2022-01-06
21,sampdoria,cagliari,P,2022-01-06
25,milan,roma,V,2022-01-06
19,sassuolo,genoa,N,2022-01-06
25,juventus,napoli,N,2022-01-06
21,spezia,hellas verona,P,2022-01-06
28,roma,juventus,P,2022-01-09
26,napoli,sampdoria,V,2022-01-09
20,udinese,atalanta,P,2022-01-09
21,venezia,milan,P,2022-01-09
22,hellas verona,salernitana,P,2022-01-09
25,inter,lazio,V,2022-01-09
22,empoli,sassuolo,P,2022-01-09
22,genoa,spezia,P,2022-01-09
21,torino,fiorentina,V,2022-01-10
22,cagliari,bologna,V,2022-01-11
23,sampdoria,torino,P,2022-01-15
28,juventus,udinese,V,2022-01-15
21,salernitana,lazio,P,2022-01-15
27,atalanta,inter,N,2022-01-16
21,sassuolo,hellas verona,P,2022-01-16
29,roma,cagliari,V,2022-01-16
23,venezia,empoli,N,2022-01-16
21,bologna,napoli,P,2022-01-17
23,fiorentina,genoa,V,2022-01-17
28,milan,spezia,P,2022-01-17
24,hellas verona,bologna,V,2022-01-21
29,inter,venezia,V,2022-01-22
29,lazio,atalanta,N,2022-01-22
25,genoa,udinese,N,2022-01-22
29,napoli,salernitana,V,2022-01-23
23,torino,sassuolo,N,2022-01-23
24,spezia,sampdoria,V,2022-01-23
25,empoli,roma,P,2022-01-23
29,milan,juventus,N,2022-01-23
25,cagliari,fiorentina,N,2022-01-23
32,roma,genoa,N,2022-02-05
30,inter,milan,P,2022-02-05
25,fiorentina,lazio,P,2022-02-05
29,atalanta,cagliari,P,2022-02-06
26,sampdoria,sassuolo,V,2022-02-06
23,bologna,empoli,N,2022-02-06
25,venezia,napoli,P,2022-02-06
24,udinese,torino,V,2022-02-06
31,juventus,hellas verona,V,2022-02-06
23,salernitana,spezia,N,2022-02-07
25,torino,venezia,P,2022-02-12
32,lazio,bologna,V,2022-02-12
31,napoli,inter,N,2022-02-12
26,sassuolo,roma,N,2022-02-13
31,atalanta,juventus,N,2022-02-13
26,hellas verona,udinese,V,2022-02-13
32,milan,sampdoria,V,2022-02-13
27,genoa,salernitana,N,2022-02-13
27,empoli,cagliari,N,2022-02-13
26,spezia,fiorentina,P,2022-02-14
34,juventus,torino,N,2022-02-18
28,sampdoria,empoli,V,2022-02-19
25,salernitana,milan,N,2022-02-19
35,roma,hellas verona,N,2022-02-19
28,fiorentina,atalanta,V,2022-02-20
34,inter,sassuolo,P,2022-02-20
26,udinese,lazio,N,2022-02-20
27,venezia,genoa,N,2022-02-20
25,bologna,spezia,V,2022-02-21
28,cagliari,napoli,N,2022-02-21
34,milan,udinese,N,2022-02-25
29,genoa,inter,N,2022-02-25
26,salernitana,bologna,N,2022-02-26
29,empoli,juventus,P,2022-02-26
28,sassuolo,fiorentina,V,2022-02-26
36,lazio,napoli,P,2022-02-27
28,hellas verona,venezia,V,2022-02-27
28,spezia,roma,P,2022-02-27
27,torino,cagliari,P,2022-02-27
35,atalanta,sampdoria,V,2022-02-28
37,inter,salernitana,V,2022-03-04
30,cagliari,lazio,P,2022-03-05
37,roma,atalanta,V,2022-03-05
28,udinese,sampdoria,V,2022-03-05
27,bologna,torino,N,2022-03-06
30,genoa,empoli,N,2022-03-06
38,juventus,spezia,V,2022-03-06
29,venezia,sassuolo,P,2022-03-06
31,fiorentina,hellas verona,N,2022-03-06
36,napoli,milan,P,2022-03-06
30,spezia,cagliari,V,2022-03-12
28,salernitana,sassuolo,N,2022-03-12
31,sampdoria,juventus,P,2022-03-12
37,milan,empoli,V,2022-03-12
32,fiorentina,bologna,V,2022-03-13
30,hellas verona,napoli,P,2022-03-13
29,torino,inter,N,2022-03-13
38,atalanta,genoa,N,2022-03-13
29,udinese,roma,N,2022-03-13
38,lazio,venezia,V,2022-03-14
32,genoa,torino,V,2022-03-18
31,sassuolo,spezia,V,2022-03-18
40,inter,fiorentina,N,2022-03-19
38,napoli,udinese,V,2022-03-19
32,cagliari,milan,P,2022-03-19
29,bologna,atalanta,P,2022-03-20
32,empoli,hellas verona,N,2022-03-20
31,venezia,sampdoria,P,2022-03-20
41,roma,lazio,V,2022-03-20
41,juventus,salernitana,V,2022-03-20
32,spezia,venezia,V,2022-04-02
40,lazio,sassuolo,V,2022-04-02
30,salernitana,torino,P,2022-04-02
