,team1,date,matchday,stadium,result,goals,team2
1,Fiorentina,2019-08-24,Giornata n. 1,Casa,P,3,Napoli
1,Parma,2019-08-24,Giornata n. 1,Casa,P,0,Juventus
1,Udinese,2019-08-25,Giornata n. 1,Casa,V,1,Milan
5,Torino,2019-08-25,Giornata n. 1,Casa,V,2,Sassuolo
1,Sampdoria,2019-08-25,Giornata n. 1,Casa,P,0,Lazio
1,SPAL,2019-08-25,Giornata n. 1,Casa,P,2,Atalanta
0,Roma,2019-08-25,Giornata n. 1,Casa,N,3.0,Genoa
1,Hellas Verona,2019-08-25,Giornata n. 1,Casa,N,1,Bologna
1,Cagliari,2019-08-25,Giornata n. 1,Casa,P,0,Brescia
0,Inter,2019-08-26,Giornata n. 1,Casa,V,4.0,Lecce
2,Bologna,2019-08-30,Giornata n. 2,Casa,V,1,SPAL
1,Juventus,2019-08-31,Giornata n. 2,Casa,V,4,Napoli
1,Milan,2019-08-31,Giornata n. 2,Casa,V,1,Brescia
2,Lecce,2019-09-01,Giornata n. 2,Casa,P,0,Hellas Verona
2,Genoa,2019-09-01,Giornata n. 2,Casa,V,2,Fiorentina
2,Sassuolo,2019-09-01,Giornata n. 2,Casa,V,4,Sampdoria
2,Cagliari,2019-09-01,Giornata n. 2,Casa,P,1,Inter
1,Lazio,2019-09-01,Giornata n. 2,Casa,N,1,Roma
2,Udinese,2019-09-01,Giornata n. 2,Casa,P,1,Parma
1,Atalanta,2019-09-01,Giornata n. 2,Casa,P,2,Torino
3,Fiorentina,2019-09-14,Giornata n. 3,Casa,N,0,Juventus
2,Napoli,2019-09-14,Giornata n. 3,Casa,V,2,Sampdoria
2,Inter,2019-09-14,Giornata n. 3,Casa,V,1.0,Udinese
2,Roma,2019-09-15,Giornata n. 3,Casa,V,4.0,Sassuolo
3,SPAL,2019-09-15,Giornata n. 3,Casa,V,2,Lazio
3,Genoa,2019-09-15,Giornata n. 3,Casa,P,1,Atalanta
3,Parma,2019-09-15,Giornata n. 3,Casa,P,1,Cagliari
3,Brescia,2019-09-15,Giornata n. 3,Casa,P,3,Bologna
3,Hellas Verona,2019-09-15,Giornata n. 3,Casa,P,0,Milan
8,Torino,2019-09-16,Giornata n. 3,Casa,P,1,Lecce
4,Cagliari,2019-09-20,Giornata n. 4,Casa,V,3,Genoa
4,Juventus,2019-09-21,Giornata n. 4,Casa,V,2,Hellas Verona
3,Milan,2019-09-21,Giornata n. 4,Casa,P,0,Inter
4,Udinese,2019-09-21,Giornata n. 4,Casa,P,0,Brescia
4,Sampdoria,2019-09-22,Giornata n. 4,Casa,V,1,Torino
4,Bologna,2019-09-22,Giornata n. 4,Casa,P,1,Roma
4,Lecce,2019-09-22,Giornata n. 4,Casa,P,1,Napoli
4,Lazio,2019-09-22,Giornata n. 4,Casa,V,2,Parma
4,Atalanta,2019-09-22,Giornata n. 4,Casa,N,2,Fiorentina
4,Sassuolo,2019-09-22,Giornata n. 4,Casa,V,3,SPAL
5,Hellas Verona,2019-09-24,Giornata n. 5,Casa,N,0,Udinese
5,Brescia,2019-09-24,Giornata n. 5,Casa,P,1,Juventus
5,Parma,2019-09-25,Giornata n. 5,Casa,V,1,Sassuolo
5,Roma,2019-09-25,Giornata n. 5,Casa,P,0.0,Atalanta
5,Napoli,2019-09-25,Giornata n. 5,Casa,P,0,Cagliari
5,Inter,2019-09-25,Giornata n. 5,Casa,V,1.0,Lazio
5,SPAL,2019-09-25,Giornata n. 5,Casa,P,1,Lecce
5,Fiorentina,2019-09-25,Giornata n. 5,Casa,V,2,Sampdoria
5,Genoa,2019-09-25,Giornata n. 5,Casa,N,0,Bologna
10,Torino,2019-09-26,Giornata n. 5,Casa,V,2,Milan
6,Sampdoria,2019-09-28,Giornata n. 6,Casa,P,1,Inter
6,Juventus,2019-09-28,Giornata n. 6,Casa,V,2,SPAL
6,Sassuolo,2019-09-28,Giornata n. 6,Casa,P,1,Atalanta
6,Napoli,2019-09-29,Giornata n. 6,Casa,V,2,Brescia
5,Milan,2019-09-29,Giornata n. 6,Casa,P,1,Fiorentina
6,Udinese,2019-09-29,Giornata n. 6,Casa,V,1,Bologna
6,Lecce,2019-09-29,Giornata n. 6,Casa,P,0,Roma
6,Cagliari,2019-09-29,Giornata n. 6,Casa,N,1,Hellas Verona
6,Lazio,2019-09-29,Giornata n. 6,Casa,V,4,Genoa
6,Parma,2019-09-30,Giornata n. 6,Casa,V,3,Torino
7,Hellas Verona,2019-10-05,Giornata n. 7,Casa,V,2,Sampdoria
7,Genoa,2019-10-05,Giornata n. 7,Casa,P,1,Milan
7,SPAL,2019-10-05,Giornata n. 7,Casa,V,1,Parma
8,Roma,2019-10-06,Giornata n. 7,Casa,N,1.0,Cagliari
8,Atalanta,2019-10-06,Giornata n. 7,Casa,V,3,Lecce
7,Bologna,2019-10-06,Giornata n. 7,Casa,N,2,Lazio
7,Fiorentina,2019-10-06,Giornata n. 7,Casa,V,1,Udinese
8,Inter,2019-10-06,Giornata n. 7,Casa,P,1.0,Juventus
12,Torino,2019-10-06,Giornata n. 7,Casa,N,0,Napoli
9,Juventus,2019-10-19,Giornata n. 8,Casa,V,2,Bologna
9,Lazio,2019-10-19,Giornata n. 8,Casa,N,3,Atalanta
9,Napoli,2019-10-19,Giornata n. 8,Casa,V,2,Hellas Verona
8,Parma,2019-10-20,Giornata n. 8,Casa,V,5,Genoa
8,Cagliari,2019-10-20,Giornata n. 8,Casa,V,2,SPAL
7,Sassuolo,2019-10-20,Giornata n. 8,Casa,P,3,Inter
8,Sampdoria,2019-10-20,Giornata n. 8,Casa,N,0,Roma
7,Milan,2019-10-20,Giornata n. 8,Casa,N,2,Lecce
8,Udinese,2019-10-20,Giornata n. 8,Casa,V,1,Torino
7,Brescia,2019-10-21,Giornata n. 8,Casa,N,0,Fiorentina
9,Hellas Verona,2019-10-25,Giornata n. 9,Casa,P,0,Sassuolo
11,Inter,2019-10-26,Giornata n. 9,Casa,N,2.0,Parma
9,Genoa,2019-10-26,Giornata n. 9,Casa,V,3,Brescia
9,Lecce,2019-10-26,Giornata n. 9,Casa,N,1,Juventus
9,Bologna,2019-10-27,Giornata n. 9,Casa,V,2,Sampdoria
9,SPAL,2019-10-27,Giornata n. 9,Casa,N,1,Napoli
11,Roma,2019-10-27,Giornata n. 9,Casa,V,2.0,Milan
11,Atalanta,2019-10-27,Giornata n. 9,Casa,V,7,Udinese
9,Fiorentina,2019-10-27,Giornata n. 9,Casa,P,1,Lazio
14,Torino,2019-10-27,Giornata n. 9,Casa,N,1,Cagliari
10,Parma,2019-10-29,Giornata n. 10,Casa,P,0,Hellas Verona
9,Brescia,2019-10-29,Giornata n. 10,Casa,P,1,Inter
12,Juventus,2019-10-30,Giornata n. 10,Casa,V,2,Genoa
12,Napoli,2019-10-30,Giornata n. 10,Casa,N,2,Atalanta
12,Lazio,2019-10-30,Giornata n. 10,Casa,V,4,Torino
10,Udinese,2019-10-30,Giornata n. 10,Casa,P,0,Roma
9,Sassuolo,2019-10-30,Giornata n. 10,Casa,P,1,Fiorentina
10,Sampdoria,2019-10-30,Giornata n. 10,Casa,N,1,Lecce
10,Cagliari,2019-10-30,Giornata n. 10,Casa,V,3,Bologna
9,Milan,2019-10-31,Giornata n. 10,Casa,V,1,SPAL
16,Torino,2019-11-02,Giornata n. 11,Casa,P,0,Juventus
11,Bologna,2019-11-02,Giornata n. 11,Casa,P,1,Inter
13,Roma,2019-11-02,Giornata n. 11,Casa,V,2.0,Napoli
11,Lecce,2019-11-03,Giornata n. 11,Casa,N,2,Sassuolo
11,Genoa,2019-11-03,Giornata n. 11,Casa,P,1,Udinese
13,Atalanta,2019-11-03,Giornata n. 11,Casa,P,0,Cagliari
11,Hellas Verona,2019-11-03,Giornata n. 11,Casa,V,2,Brescia
11,Fiorentina,2019-11-03,Giornata n. 11,Casa,N,1,Parma
10,Milan,2019-11-03,Giornata n. 11,Casa,P,1,Lazio
11,SPAL,2019-11-04,Giornata n. 11,Casa,P,0,Sampdoria
11,Sassuolo,2019-11-08,Giornata n. 12,Casa,V,3,Bologna
15,Napoli,2019-11-09,Giornata n. 12,Casa,N,0,Genoa
11,Brescia,2019-11-09,Giornata n. 12,Casa,P,0,Torino
15,Inter,2019-11-09,Giornata n. 12,Casa,V,2.0,Hellas Verona
12,Sampdoria,2019-11-10,Giornata n. 12,Casa,N,0,Atalanta
12,Udinese,2019-11-10,Giornata n. 12,Casa,N,0,SPAL
12,Parma,2019-11-10,Giornata n. 12,Casa,V,2,Roma
12,Cagliari,2019-11-10,Giornata n. 12,Casa,V,5,Fiorentina
15,Juventus,2019-11-10,Giornata n. 12,Casa,V,1,Milan
15,Lazio,2019-11-10,Giornata n. 12,Casa,V,4,Lecce
18,Torino,2019-11-23,Giornata n. 13,Casa,P,0,Inter
16,Atalanta,2019-11-23,Giornata n. 13,Casa,P,1,Juventus
12,Milan,2019-11-23,Giornata n. 13,Casa,N,1,Napoli
13,Sampdoria,2019-11-24,Giornata n. 13,Casa,V,2,Udinese
16,Roma,2019-11-24,Giornata n. 13,Casa,V,3.0,Brescia
13,Bologna,2019-11-24,Giornata n. 13,Casa,N,2,Parma
12,Sassuolo,2019-11-24,Giornata n. 13,Casa,P,1,Lazio
13,Hellas Verona,2019-11-24,Giornata n. 13,Casa,V,1,Fiorentina
13,SPAL,2019-11-25,Giornata n. 13,Casa,N,1,Genoa
13,Lecce,2019-11-25,Giornata n. 13,Casa,N,2,Cagliari
14,Fiorentina,2019-11-30,Giornata n. 14,Casa,P,0,Lecce
13,Brescia,2019-11-30,Giornata n. 14,Casa,P,0,Atalanta
14,Genoa,2019-11-30,Giornata n. 14,Casa,P,0,Torino
18,Juventus,2019-12-01,Giornata n. 14,Casa,N,2,Sassuolo
18,Napoli,2019-12-01,Giornata n. 14,Casa,P,1,Bologna
14,Hellas Verona,2019-12-01,Giornata n. 14,Casa,P,1,Roma
14,Parma,2019-12-01,Giornata n. 14,Casa,P,0,Milan
18,Lazio,2019-12-01,Giornata n. 14,Casa,V,3,Udinese
18,Inter,2019-12-01,Giornata n. 14,Casa,V,2.0,SPAL
14,Cagliari,2019-12-02,Giornata n. 14,Casa,V,4,Sampdoria
19,Inter,2019-12-06,Giornata n. 15,Casa,N,0.0,Roma
19,Lazio,2019-12-07,Giornata n. 15,Casa,V,3,Juventus
19,Atalanta,2019-12-07,Giornata n. 15,Casa,V,3,Hellas Verona
16,Udinese,2019-12-07,Giornata n. 15,Casa,N,1,Napoli
16,Lecce,2019-12-08,Giornata n. 15,Casa,N,2,Genoa
16,SPAL,2019-12-08,Giornata n. 15,Casa,P,0,Brescia
15,Sassuolo,2019-12-08,Giornata n. 15,Casa,N,2,Cagliari
16,Sampdoria,2019-12-08,Giornata n. 15,Casa,P,0,Parma
16,Bologna,2019-12-08,Giornata n. 15,Casa,P,2,Milan
20,Torino,2019-12-08,Giornata n. 15,Casa,V,2,Fiorentina
21,Napoli,2019-12-14,Giornata n. 16,Casa,P,1,Parma
17,Genoa,2019-12-14,Giornata n. 16,Casa,P,0,Sampdoria
15,Brescia,2019-12-14,Giornata n. 16,Casa,V,3,Lecce
16,Hellas Verona,2019-12-15,Giornata n. 16,Casa,N,3,Torino
17,Fiorentina,2019-12-15,Giornata n. 16,Casa,N,1,Inter
21,Roma,2019-12-15,Giornata n. 16,Casa,V,3.0,SPAL
17,Bologna,2019-12-15,Giornata n. 16,Casa,V,2,Atalanta
15,Milan,2019-12-15,Giornata n. 16,Casa,N,0,Sassuolo
21,Juventus,2019-12-15,Giornata n. 16,Casa,V,3,Udinese
17,Cagliari,2019-12-16,Giornata n. 16,Casa,P,1,Lazio
16,Brescia,2019-12-18,Giornata n. 7,Casa,P,0,Sassuolo
18,Sampdoria,2019-12-18,Giornata n. 17,Casa,P,1,Juventus
18,Fiorentina,2019-12-20,Giornata n. 17,Casa,P,1,Roma
22,Torino,2019-12-21,Giornata n. 17,Casa,P,1,SPAL
18,Udinese,2019-12-21,Giornata n. 17,Casa,V,2,Cagliari
22,Inter,2019-12-21,Giornata n. 17,Casa,V,4.0,Genoa
22,Atalanta,2019-12-22,Giornata n. 17,Casa,V,5,Milan
18,Sassuolo,2019-12-22,Giornata n. 17,Casa,P,1,Napoli
18,Parma,2019-12-22,Giornata n. 17,Casa,N,1,Brescia
18,Lecce,2019-12-22,Giornata n. 17,Casa,P,2,Bologna
19,Genoa,2020-01-05,Giornata n. 18,Casa,V,2,Sassuolo
18,Brescia,2020-01-05,Giornata n. 18,Casa,P,1,Lazio
23,Roma,2020-01-05,Giornata n. 18,Casa,P,0.0,Torino
19,SPAL,2020-01-05,Giornata n. 18,Casa,P,0,Hellas Verona
19,Lecce,2020-01-06,Giornata n. 18,Casa,P,0,Udinese
17,Milan,2020-01-06,Giornata n. 18,Casa,N,0,Sampdoria
23,Napoli,2020-01-06,Giornata n. 18,Casa,P,1,Inter
23,Atalanta,2020-01-06,Giornata n. 18,Casa,V,5,Parma
19,Bologna,2020-01-06,Giornata n. 18,Casa,N,1,Fiorentina
24,Juventus,2020-01-06,Giornata n. 18,Casa,V,4,Cagliari
24,Lazio,2020-01-11,Giornata n. 19,Casa,V,1,Napoli
20,Cagliari,2020-01-11,Giornata n. 19,Casa,P,0,Milan
24,Inter,2020-01-11,Giornata n. 19,Casa,N,1.0,Atalanta
20,Udinese,2020-01-12,Giornata n. 19,Casa,V,3,Sassuolo
25,Torino,2020-01-12,Giornata n. 19,Casa,V,1,Bologna
20,Sampdoria,2020-01-12,Giornata n. 19,Casa,V,5,Brescia
20,Fiorentina,2020-01-12,Giornata n. 19,Casa,V,1,SPAL
24,Roma,2020-01-12,Giornata n. 19,Casa,P,1.0,Juventus
18,Hellas Verona,2020-01-12,Giornata n. 19,Casa,V,2,Genoa
20,Parma,2020-01-13,Giornata n. 19,Casa,V,2,Lecce
21,Sassuolo,2020-01-18,Giornata n. 20,Casa,V,2,Torino
26,Napoli,2020-01-18,Giornata n. 20,Casa,P,0,Fiorentina
26,Lazio,2020-01-18,Giornata n. 20,Casa,V,5,Sampdoria
22,Genoa,2020-01-19,Giornata n. 20,Casa,P,1,Roma
21,Bologna,2020-01-19,Giornata n. 20,Casa,N,1,Hellas Verona
