,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
39,0,N,1.4,9,3.9999999999999982,2.8,-0.2,-0.2,0.1999999999999957,-2.2,0.4000000000000001,0.0,1.0,1.0,1
40,12,N,-0.05,28,-4.4,-3.3,0.0,0.25,-8.700000000000003,1.0,1.2,0.55,0.0,2.0,2
41,3,P,-0.1499999999999999,14,-4.35,-0.3999999999999999,0.0499999999999999,0.0499999999999999,-14.450000000000005,1.6999999999999993,0.7999999999999998,0.25,0.0,2.0,2
42,20,V,-1.2000000000000002,25,-2.6,-1.6000000000000003,0.0,0.0,-11.199999999999996,-1.200000000000001,-0.5999999999999999,-0.4,1.0,0.0,2
43,11,N,-0.6000000000000001,2,-4.199999999999999,-1.6000000000000003,0.0,0.0,-5.600000000000001,-1.5999999999999996,-1.2,0.0,1.0,0.0,0
44,22,P,0.4499999999999999,16,-3.6,-0.3999999999999999,-0.25,-0.25,4.5,0.5999999999999996,-0.6499999999999999,-0.25,2.0,0.0,1
45,19,P,1.4,4,7.199999999999999,3.0,0.4,0.4,13.0,-4.4,-0.3999999999999999,0.0,2.0,0.0,1
46,21,P,0.0,0,-0.8000000000000007,-1.4000000000000004,0.0,0.0,-3.799999999999997,0.0,1.0,0.2,0.0,0.0,0
47,13,V,0.6000000000000001,15,0.7999999999999972,1.0,0.0,0.2,5.199999999999996,2.0,-0.2000000000000001,0.2,1.0,1.0,1
48,9,V,0.3999999999999999,24,0.5999999999999996,0.0,0.2,0.2,6.199999999999996,2.799999999999999,0.4000000000000001,-0.2,0.0,0.0,1
49,27,V,0.8,17,-3.799999999999999,1.2000000000000002,-0.2,-0.2,-5.600000000000001,1.5999999999999996,-1.0,-0.2,1.0,0.0,0
50,25,P,-0.2000000000000001,0,-5.200000000000001,-0.7999999999999998,-0.2,-0.2,5.600000000000001,-1.3999999999999986,0.1999999999999999,0.0,0.0,2.0,0
51,24,P,-1.4,13,-5.199999999999999,-1.7999999999999998,0.0,0.0,-19.200000000000003,1.5999999999999996,0.9999999999999998,0.4,0.0,2.0,2
52,14,V,0.8,22,1.5999999999999996,1.0,0.2,0.2,10.800000000000004,0.1999999999999993,0.0,0.0,1.0,1.0,1
53,19,V,1.4,3,11.4,3.6,0.2,0.2,24.0,-4.600000000000001,0.0,0.0,2.0,0.0,1
54,4,N,1.0,12,-0.1999999999999993,0.0,0.0,-0.2,2.799999999999997,0.5999999999999996,0.3999999999999999,-0.6,2.0,0.0,1
55,28,V,-1.0,2,-2.4000000000000004,1.6000000000000003,-0.4,-0.6,-13.0,1.3999999999999986,-1.5999999999999996,0.2,1.0,1.0,0
56,17,P,-1.0,9,-2.599999999999998,-2.8,0.0,0.0,12.800000000000004,0.0,0.4000000000000003,0.4,1.0,1.0,1
57,15,V,0.0,11,5.599999999999998,3.6,-0.2,-0.2,0.6000000000000014,-3.3999999999999986,0.2000000000000001,0.0,1.0,1.0,1
58,16,P,-0.8,21,-2.8000000000000007,-1.6,0.3999999999999999,0.3999999999999999,-10.4,-1.8000000000000007,0.0,0.0,0.0,2.0,2
59,20,V,-0.6000000000000001,27,-0.200000000000001,0.0,-0.2,0.0,-6.399999999999999,-1.3999999999999986,-0.1999999999999997,0.0,1.0,0.0,2
60,11,P,0.0,17,0.0,1.0,-0.2,-0.2,-9.0,-0.8000000000000007,-0.3999999999999999,-0.6,0.0,2.0,2
62,22,V,-1.0,20,-0.1999999999999993,-1.0,0.0,-0.4,-0.4000000000000057,-3.200000000000001,0.1999999999999997,0.0,2.0,0.0,1
63,9,V,1.2000000000000002,28,3.4000000000000004,0.0,0.4,0.6,0.5999999999999943,-2.599999999999998,0.4000000000000003,-0.2,1.0,0.0,1
64,21,N,-0.1999999999999999,4,5.4,0.6000000000000001,0.2,0.4,12.400000000000006,0.2000000000000028,0.4000000000000003,0.2,1.0,0.0,1
65,27,N,-0.6000000000000001,19,-12.999999999999998,-3.6,0.2,0.2,-9.400000000000006,6.199999999999999,0.0,0.0,0.0,1.0,0
66,0,V,1.2,16,6.6,2.2,-0.3999999999999999,-0.3999999999999999,12.199999999999996,-0.4000000000000003,-1.0,0.0,2.0,0.0,1
67,13,P,-0.1999999999999999,14,-0.200000000000001,0.3999999999999994,0.0,0.0,-0.6000000000000014,-2.200000000000001,0.1999999999999997,0.2,0.0,1.0,0
68,2,N,-0.4000000000000001,15,-1.400000000000002,-2.3999999999999995,0.0,0.2,5.799999999999997,4.600000000000001,1.4,0.2,0.0,1.0,0
69,14,V,0.2000000000000001,2,2.8000000000000007,1.0,0.0,-0.2,3.4000000000000057,-3.2,-2.0,-0.4,2.0,0.0,1
70,15,N,-0.8,0,-5.400000000000002,-0.7999999999999998,0.0,0.2,-3.3999999999999986,-2.200000000000001,0.3999999999999999,0.2,0.0,2.0,0
71,19,V,0.8,12,11.8,3.2,0.2,0.0,15.800000000000004,-7.399999999999999,-0.2000000000000001,-0.2,2.0,0.0,1
72,28,V,-0.8,27,-0.1999999999999993,0.3999999999999999,-0.4,-0.4,-5.400000000000006,3.400000000000002,1.0,0.0,0.0,1.0,0
73,4,V,1.0,22,-4.199999999999999,-1.4,0.2,0.2,-6.399999999999999,3.4000000000000004,-0.3999999999999999,-0.2,1.0,0.0,1
74,20,V,0.4,11,0.5999999999999996,0.0,-0.2,0.0,-3.5999999999999943,1.8000000000000007,-1.0,-0.4,2.0,0.0,1
75,24,N,-1.0,21,-3.3999999999999986,-1.7999999999999998,0.0,-0.2,-14.0,-1.8000000000000007,0.0,0.0,0.0,2.0,0
