35,Udinese,2018-09-16,N,0.0,Torino,2.0,-1.9999999999999996,0.3333333333333333,0.3333333333333333,-3.0,-0.6666666666666661,0.0,0.0,2018-2019,0.0,0.0
36,Cagliari,2018-09-16,N,-1.0,Milan,-4.0,-2.5,0.0,0.0,-3.5,6.166666666666668,2.0,0.0,2018-2019,0.0,0.0
37,SPAL,2018-09-17,V,-1.666666666666667,Atalanta,-2.9999999999999982,-2.0,0.0,0.0,3.3333333333333357,2.333333333333334,2.0,0.0,2018-2019,0.0,0.0
38,Sampdoria,2018-09-19,N,0.33333333333333304,Fiorentina,-3.0,-1.3333333333333335,0.3333333333333333,0.3333333333333333,7.666666666666664,-0.6666666666666661,-0.6666666666666665,0.0,2018-2019,0.0,0.0
39,Sassuolo,2018-09-21,V,1.5,Empoli,-0.75,1.5,0.5,0.5,-8.75,2.25,1.0,0.25,2018-2019,0.0,0.0
40,Sampdoria,2018-09-22,P,1.0,Inter,-6.0,-0.75,0.25,0.25,-6.5,2.25,0.75,0.0,2018-2019,0.0,0.0
41,Parma,2018-09-22,V,0.0,Cagliari,-1.75,-0.25,0.0,0.0,-8.0,-2.75,-0.75,0.0,2018-2019,0.0,0.0
42,Fiorentina,2018-09-22,V,1.0,SPAL,0.0,1.75,0.0,0.0,-4.25,-1.5,-0.5,0.0,2018-2019,0.0,0.0
43,Lazio,2018-09-23,V,-1.25,Genoa,1.333333333333334,-0.5,0.0,0.0,1.0833333333333357,-4.166666666666668,-1.1666666666666665,0.0,2018-2019,0.0,0.0
44,Torino,2018-09-23,P,-0.5,Napoli,-6.25,0.25,0.0,0.0,-4.25,1.75,-0.25,0.0,2018-2019,0.0,0.0
45,Frosinone,2018-09-23,P,-2.25,Juventus,-13.5,-4.75,0.0,0.0,-16.75,1.25,0.0,-0.25,2018-2019,0.0,0.0
46,Milan,2018-09-23,N,-0.08333333333333326,Atalanta,1.1666666666666679,1.25,0.0,0.0,1.1666666666666643,-4.25,-1.0,0.0,2018-2019,0.0,0.0
47,Bologna,2018-09-23,V,-1.75,Roma,-4.75,-4.5,0.0,0.0,-13.0,4.0,0.75,0.5,2018-2019,0.0,0.0
48,Chievo,2018-09-23,P,0.25,Udinese,-2.5,0.25,0.0,0.0,-0.75,-3.0,0.25,0.0,2018-2019,0.0,0.0
49,Inter,2018-09-25,V,-1.0000000000000002,Fiorentina,1.9999999999999982,-1.5999999999999996,0.0,0.0,13.600000000000001,-1.5999999999999996,-0.6000000000000001,0.0,2018-2019,0.0,0.0
50,Juventus,2018-09-26,V,1.8000000000000003,Bologna,11.8,5.0,0.0,0.0,21.799999999999997,-2.4000000000000004,-0.3999999999999999,-0.2,2018-2019,0.0,0.0
51,Atalanta,2018-09-26,N,0.8,Torino,4.400000000000002,0.5999999999999996,-0.2,-0.2,1.0,-2.8000000000000007,0.19999999999999996,0.0,2018-2019,0.0,0.0
52,Genoa,2018-09-26,V,0.75,Chievo,3.1999999999999993,0.6000000000000001,-0.2,-0.2,1.5499999999999972,1.4000000000000004,0.8999999999999999,0.0,2018-2019,0.0,0.0
53,Cagliari,2018-09-26,N,-1.0,Sampdoria,0.6000000000000014,-0.3999999999999999,-0.2,-0.2,-6.799999999999997,0.3999999999999986,-0.19999999999999973,0.0,2018-2019,0.0,0.0
54,Napoli,2018-09-26,V,0.6000000000000001,Parma,7.800000000000001,1.2000000000000002,0.0,0.0,20.0,-0.40000000000000036,0.19999999999999996,0.0,2018-2019,0.0,0.0
55,Roma,2018-09-26,V,1.4,Frosinone,11.200000000000001,5.6,0.0,0.0,17.6,-2.4000000000000004,-0.19999999999999973,0.0,2018-2019,0.0,0.0
56,Udinese,2018-09-26,P,-0.19999999999999996,Lazio,-5.0,-1.0,0.2,0.2,-8.399999999999999,2.0,0.0,0.0,2018-2019,0.0,0.0
57,Empoli,2018-09-27,N,-0.95,Milan,-3.0,-2.7,0.0,0.0,-0.20000000000000284,3.1500000000000004,0.9500000000000002,0.2,2018-2019,0.0,0.0
58,SPAL,2018-09-27,P,-1.5999999999999999,Sassuolo,-1.200000000000001,-1.0,-0.4,-0.4,-0.7999999999999972,-1.5999999999999979,0.19999999999999973,-0.2,2018-2019,0.0,0.0
59,Inter,2018-09-29,V,0.8,Cagliari,5.599999999999998,1.2000000000000002,0.2,0.2,11.600000000000001,-0.8000000000000007,-0.40000000000000013,0.0,2018-2019,0.0,0.0
60,Juventus,2018-09-29,V,0.0,Napoli,-0.8000000000000007,1.0,0.0,0.0,6.0,-2.4000000000000004,0.3999999999999999,0.2,2018-2019,0.0,0.0
61,Roma,2018-09-29,V,0.3999999999999999,Lazio,2.0,3.8,0.0,0.0,6.799999999999997,-2.8000000000000007,-1.0,0.0,2018-2019,0.0,0.0
62,Parma,2018-09-30,V,0.20000000000000007,Empoli,-3.6000000000000014,0.7999999999999998,-0.2,-0.2,-21.599999999999994,1.4000000000000004,0.0,-0.2,2018-2019,0.0,0.0
63,Frosinone,2018-09-30,P,-1.8,Genoa,-6.0,-2.4,0.0,0.0,-8.400000000000006,-2.1999999999999993,-0.5999999999999996,0.0,2018-2019,0.0,0.0
64,Chievo,2018-09-30,P,-0.4,Torino,0.40000000000000036,0.0,-0.2,-0.2,-1.7999999999999972,-3.6000000000000014,0.3999999999999999,0.0,2018-2019,0.0,0.0
65,Fiorentina,2018-09-30,V,0.19999999999999996,Atalanta,-1.6000000000000014,0.8000000000000003,0.0,0.0,-1.7999999999999972,1.8000000000000007,0.3999999999999999,0.0,2018-2019,0.0,0.0
66,Sassuolo,2018-09-30,P,1.0,Milan,-3.4000000000000004,-0.6000000000000005,0.2,0.2,-0.8000000000000043,5.399999999999999,0.6000000000000001,0.2,2018-2019,0.0,0.0
67,Bologna,2018-09-30,V,-0.6,Udinese,-0.40000000000000036,-1.9999999999999998,0.0,0.0,-4.200000000000003,-0.40000000000000036,1.0,0.2,2018-2019,0.0,0.0
68,Sampdoria,2018-10-01,V,1.2000000000000002,SPAL,-2.5999999999999996,0.19999999999999973,0.2,0.4,4.800000000000004,0.40000000000000213,-0.20000000000000018,0.0,2018-2019,0.0,0.0
69,Torino,2018-10-05,V,0.6000000000000001,Frosinone,2.1999999999999993,1.8000000000000003,0.0,0.0,16.800000000000004,3.799999999999999,-0.5999999999999999,0.0,2018-2019,0.0,0.0
70,Cagliari,2018-10-06,V,-0.4,Bologna,-2.200000000000001,-0.3999999999999999,0.0,0.0,14.799999999999997,2.0,-0.8,-0.2,2018-2019,0.0,0.0
