,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
400,Inter,2019-09-14,V,0.20000000000000018,Udinese,4.800000000000001,1.0,0.4,0.6,15.399999999999999,-4.0,-0.20000000000000018,0.2,2019-2020,1.0,0.0
401,Fiorentina,2019-09-14,N,-0.3999999999999999,Juventus,2.799999999999999,-0.20000000000000018,0.4,0.4,-3.1999999999999957,5.000000000000002,-1.2,-0.2,2019-2020,0.0,2.0
402,Napoli,2019-09-14,V,2.2,Sampdoria,5.6,1.7999999999999998,-0.2,-0.2,4.800000000000004,4.200000000000001,1.0,-0.2,2019-2020,1.0,1.0
403,Parma,2019-09-15,P,0.3999999999999999,Cagliari,-4.0,-1.4000000000000004,0.0,0.0,-10.199999999999996,-1.6000000000000014,-0.19999999999999973,0.2,2019-2020,1.0,1.0
404,SPAL,2019-09-15,V,-0.6000000000000001,Lazio,-5.199999999999999,-3.2,0.2,0.2,-0.3999999999999986,2.0,-0.20000000000000018,0.0,2019-2020,1.0,1.0
405,Hellas Verona,2019-09-15,P,-0.3999999999999999,Milan,-6.1,-0.7999999999999998,-0.2,-0.2,-16.0,1.1999999999999993,0.0,0.5,2019-2020,0.0,2.0
406,Brescia,2019-09-15,P,-1.9,Bologna,-10.100000000000001,-4.4,0.3,0.3,-16.299999999999997,3.9000000000000004,1.4,0.0,2019-2020,0.0,2.0
407,Genoa,2019-09-15,P,-0.8000000000000003,Atalanta,-4.199999999999999,-3.4000000000000004,0.4,0.4,-9.599999999999994,0.8000000000000007,0.6000000000000001,0.2,2019-2020,1.0,1.0
408,Roma,2019-09-15,V,0.0,Sassuolo,7.4,0.40000000000000036,0.2,0.2,-4.0,-0.1999999999999993,0.3999999999999999,-0.6,2019-2020,1.0,0.0
409,Torino,2019-09-16,P,2.4,Lecce,-2.0,3.7,0.0,0.2,7.600000000000001,4.800000000000001,-0.3999999999999999,-0.5,2019-2020,2.0,0.0
410,Cagliari,2019-09-20,V,-0.19999999999999996,Genoa,-2.1999999999999993,0.0,-0.6,-0.6,2.3999999999999986,2.8000000000000007,1.0,-0.2,2019-2020,1.0,0.0
411,Juventus,2019-09-21,V,0.5333333333333333,Hellas Verona,2.5999999999999996,1.6666666666666665,0.0,0.0,17.666666666666664,1.5999999999999996,0.1333333333333333,-0.4666666666666666,2019-2020,2.0,0.0
412,Udinese,2019-09-21,P,0.06666666666666665,Brescia,6.0,3.3333333333333335,-0.3333333333333333,-0.3333333333333333,4.866666666666667,-1.0,-0.8666666666666665,-0.1333333333333333,2019-2020,2.0,0.0
413,Milan,2019-09-21,P,-0.6000000000000001,Inter,-4.399999999999999,-3.8000000000000003,0.0,-0.19999999999999996,0.20000000000000284,2.8000000000000007,0.3999999999999999,0.0,2019-2020,0.0,2.0
414,Bologna,2019-09-22,P,0.3999999999999999,Roma,-2.0,-0.5999999999999996,0.0,0.0,4.800000000000004,-0.5999999999999996,0.0,0.0,2019-2020,1.0,1.0
415,Lazio,2019-09-22,V,0.6000000000000001,Parma,4.400000000000002,2.0,0.2,0.2,4.400000000000006,-0.5999999999999996,1.2,0.0,2019-2020,2.0,0.0
416,Sampdoria,2019-09-22,V,-1.4,Torino,-0.6000000000000014,-1.0,0.0,0.0,-4.600000000000001,-5.400000000000002,-0.20000000000000018,0.2,2019-2020,0.0,2.0
417,Sassuolo,2019-09-22,V,0.0,SPAL,1.200000000000001,1.9999999999999996,0.0,0.0,6.0,-2.5999999999999996,-0.7999999999999998,0.4,2019-2020,1.0,0.0
418,Lecce,2019-09-22,P,-2.3333333333333335,Napoli,-2.1999999999999993,-2.8666666666666667,-0.2,-0.2,-15.133333333333333,3.8666666666666654,0.7333333333333334,0.3333333333333333,2019-2020,0.0,2.0
419,Atalanta,2019-09-22,N,1.4000000000000001,Fiorentina,3.9999999999999982,2.8,-0.2,-0.2,0.19999999999999574,-2.1999999999999993,0.40000000000000013,0.0,2019-2020,1.0,1.0
420,Hellas Verona,2019-09-24,N,-0.050000000000000044,Udinese,-4.4,-3.3,0.0,0.25,-8.700000000000003,1.0,1.2,0.55,2019-2020,0.0,2.0
421,Brescia,2019-09-24,P,-0.1499999999999999,Juventus,-4.35,-0.3999999999999999,0.04999999999999999,0.04999999999999999,-14.450000000000003,1.6999999999999993,0.7999999999999998,0.25,2019-2020,0.0,2.0
422,Parma,2019-09-25,V,-1.2000000000000002,Sassuolo,-2.5999999999999996,-1.6000000000000005,0.0,0.0,-11.199999999999996,-1.200000000000001,-0.5999999999999999,-0.4,2019-2020,1.0,0.0
423,Genoa,2019-09-25,N,-0.6000000000000001,Bologna,-4.199999999999999,-1.6000000000000005,0.0,0.0,-5.600000000000001,-1.5999999999999996,-1.2,0.0,2019-2020,1.0,0.0
424,SPAL,2019-09-25,P,0.44999999999999996,Lecce,-3.5999999999999996,-0.3999999999999999,-0.25,-0.25,4.5,0.5999999999999996,-0.6499999999999999,-0.25,2019-2020,2.0,0.0
425,Napoli,2019-09-25,P,1.4,Cagliari,7.199999999999999,3.0,0.4,0.4,13.0,-4.4,-0.3999999999999999,0.0,2019-2020,2.0,0.0
426,Roma,2019-09-25,P,0.0,Atalanta,-0.8000000000000007,-1.4000000000000004,0.0,0.0,-3.799999999999997,0.0,1.0,0.2,2019-2020,0.0,0.0
427,Inter,2019-09-25,V,0.6000000000000001,Lazio,0.7999999999999972,1.0,0.0,0.2,5.199999999999996,2.0,-0.20000000000000018,0.2,2019-2020,1.0,1.0
428,Fiorentina,2019-09-25,V,0.3999999999999999,Sampdoria,0.5999999999999996,0.0,0.2,0.2,6.199999999999996,2.799999999999999,0.40000000000000013,-0.2,2019-2020,0.0,0.0
429,Torino,2019-09-26,V,0.8,Milan,-3.799999999999999,1.2000000000000002,-0.2,-0.2,-5.600000000000001,1.5999999999999996,-1.0,-0.2,2019-2020,1.0,0.0
430,Sassuolo,2019-09-28,P,-0.20000000000000018,Atalanta,-5.200000000000001,-0.7999999999999998,-0.2,-0.2,5.600000000000001,-1.3999999999999986,0.19999999999999996,0.0,2019-2020,0.0,2.0
431,Sampdoria,2019-09-28,P,-1.4,Inter,-5.199999999999999,-1.7999999999999998,0.0,0.0,-19.200000000000003,1.5999999999999996,0.9999999999999998,0.4,2019-2020,0.0,2.0
