,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season
30,Lecce,2020-07-07,Giornata n. 31,Casa,V,2.0,Lazio,14.0,3.0,0,1,333.0,405.0,3.0,42.0,10.0,3,0,19_20
30,Milan,2020-07-07,Giornata n. 31,Casa,V,4.0,Juventus,12.0,8.0,1,1,434.0,497.0,2.0,48.0,19.0,4,0,19_20
30,Sassuolo,2020-07-08,Giornata n. 31,Ospiti,V,2.0,Bologna,15.0,6.0,0,0,426.0,499.0,8.0,54.0,17.0,4,0,19_20
30,Napoli,2020-07-08,Giornata n. 31,Ospiti,V,2.0,Genoa,20.0,9.0,0,0,618.0,708.0,8.0,66.0,7.0,0,0,19_20
30,Bologna,2020-07-08,Giornata n. 31,Casa,P,1.0,Sassuolo,10.0,1.0,0,0,325.0,420.0,7.0,46.0,17.0,3,0,19_20
30,Fiorentina,2020-07-08,Giornata n. 31,Casa,N,0.0,Cagliari,15.0,4.0,0,0,551.0,627.0,6.0,61.0,15.0,2,0,19_20
30,Sampdoria,2020-07-08,Giornata n. 31,Ospiti,P,0.0,Atalanta,13.0,3.0,0,0,248.0,378.0,9.0,38.0,23.0,3,0,19_20
30,Brescia,2020-07-08,Giornata n. 31,Ospiti,P,1.0,Torino,15.0,5.0,0,0,296.0,390.0,5.0,44.0,20.0,3,0,19_20
30,Roma,2020-07-08,Giornata n. 31,Casa,V,2.0,Parma,26.0,8.0,0,0,471.0,549.0,8.0,57.0,21.0,5,0,19_20
30,Atalanta,2020-07-08,Giornata n. 31,Casa,V,2.0,Sampdoria,13.0,7.0,0,0,517.0,617.0,7.0,62.0,14.0,2,0,19_20
30,Torino,2020-07-08,Giornata n. 31,Casa,V,3.0,Brescia,19.0,7.0,0,0,414.0,501.0,6.0,56.0,25.0,1,0,19_20
30,Cagliari,2020-07-08,Giornata n. 31,Ospiti,N,0.0,Fiorentina,12.0,6.0,0,0,327.0,409.0,3.0,39.0,11.0,2,0,19_20
30,Genoa,2020-07-08,Giornata n. 31,Casa,P,1.0,Napoli,8.0,3.0,0,0,274.0,370.0,6.0,34.0,14.0,1,0,19_20
30,Parma,2020-07-08,Giornata n. 31,Ospiti,P,1.0,Roma,7.0,0.0,1,1,321.0,409.0,2.0,43.0,10.0,1,0,19_20
30,Hellas Verona,2020-07-09,Giornata n. 31,Casa,N,2.0,Inter,8.0,2.0,0,0,304.0,403.0,0.0,42.0,20.0,3,0,19_20
30,Udinese,2020-07-09,Giornata n. 31,Ospiti,V,3.0,SPAL,8.0,3.0,0,0,481.0,558.0,1.0,49.0,10.0,0,0,19_20
30,Inter,2020-07-09,Giornata n. 31,Ospiti,N,2.0,Hellas Verona,17.0,5.0,0,0,431.0,559.0,5.0,58.0,14.0,2,0,19_20
30,SPAL,2020-07-09,Giornata n. 31,Casa,P,0.0,Udinese,13.0,2.0,0,0,498.0,590.0,9.0,51.0,13.0,0,0,19_20
31,Atalanta,2020-07-11,Giornata n. 32,Ospiti,N,2.0,Juventus,13.0,2.0,0,0,531.0,613.0,4.0,51.0,20.0,2,0,19_20
31,Sassuolo,2020-07-11,Giornata n. 32,Ospiti,V,2.0,Lazio,17.0,3.0,0,0,570.0,651.0,5.0,63.0,8.0,2,0,19_20
31,Roma,2020-07-11,Giornata n. 32,Ospiti,V,3.0,Brescia,19.0,6.0,0,0,484.0,556.0,8.0,60.0,18.0,2,0,19_20
31,Juventus,2020-07-11,Giornata n. 32,Casa,N,2.0,Atalanta,7.0,3.0,2,2,506.0,583.0,2.0,49.0,15.0,3,0,19_20
31,Lazio,2020-07-11,Giornata n. 32,Casa,P,1.0,Sassuolo,10.0,1.0,0,0,300.0,381.0,1.0,37.0,13.0,4,0,19_20
31,Brescia,2020-07-11,Giornata n. 32,Casa,P,0.0,Roma,11.0,4.0,0,0,288.0,369.0,3.0,40.0,19.0,1,0,19_20
31,Genoa,2020-07-12,Giornata n. 32,Casa,V,2.0,SPAL,15.0,7.0,0,1,420.0,532.0,7.0,55.0,17.0,1,0,19_20
31,Fiorentina,2020-07-12,Giornata n. 32,Casa,N,1.0,Hellas Verona,14.0,2.0,0,0,385.0,500.0,6.0,52.0,15.0,3,0,19_20
31,Sampdoria,2020-07-12,Giornata n. 32,Ospiti,V,3.0,Udinese,16.0,7.0,0,0,439.0,528.0,7.0,52.0,10.0,4,0,19_20
31,Udinese,2020-07-12,Giornata n. 32,Casa,P,1.0,Sampdoria,11.0,4.0,0,0,392.0,486.0,10.0,48.0,17.0,1,0,19_20
31,Cagliari,2020-07-12,Giornata n. 32,Casa,N,0.0,Lecce,19.0,5.0,0,0,449.0,543.0,6.0,53.0,11.0,1,0,19_20
31,Bologna,2020-07-12,Giornata n. 32,Ospiti,N,2.0,Parma,13.0,6.0,0,0,407.0,494.0,2.0,49.0,26.0,1,0,19_20
31,Lecce,2020-07-12,Giornata n. 32,Ospiti,N,0.0,Cagliari,21.0,8.0,0,0,400.0,482.0,7.0,47.0,8.0,1,0,19_20
31,Milan,2020-07-12,Giornata n. 32,Ospiti,N,2.0,Napoli,4.0,2.0,1,1,500.0,573.0,2.0,49.0,17.0,4,1,19_20
31,Parma,2020-07-12,Giornata n. 32,Casa,N,2.0,Bologna,16.0,4.0,0,0,401.0,504.0,6.0,51.0,17.0,1,0,19_20
31,Napoli,2020-07-12,Giornata n. 32,Casa,N,2.0,Milan,17.0,7.0,0,0,511.0,585.0,7.0,51.0,12.0,1,0,19_20
31,SPAL,2020-07-12,Giornata n. 32,Ospiti,P,0.0,Genoa,3.0,0.0,0,0,312.0,435.0,2.0,45.0,19.0,2,0,19_20
31,Hellas Verona,2020-07-12,Giornata n. 32,Ospiti,N,1.0,Fiorentina,7.0,3.0,0,0,327.0,463.0,8.0,48.0,14.0,2,0,19_20
31,Torino,2020-07-13,Giornata n. 32,Ospiti,P,1.0,Inter,11.0,3.0,0,0,302.0,384.0,2.0,40.0,23.0,3,0,19_20
31,Inter,2020-07-13,Giornata n. 32,Casa,V,3.0,Torino,24.0,10.0,0,0,508.0,585.0,9.0,60.0,22.0,5,0,19_20
32,Brescia,2020-07-14,Giornata n. 33,Ospiti,P,2.0,Atalanta,6.0,5.0,0,0,305.0,405.0,1.0,33.0,11.0,0,0,19_20
32,Atalanta,2020-07-14,Giornata n. 33,Casa,V,6.0,Brescia,14.0,7.0,0,0,750.0,833.0,1.0,67.0,11.0,0,0,19_20
32,Lazio,2020-07-15,Giornata n. 33,Ospiti,N,0.0,Udinese,16.0,3.0,0,0,507.0,592.0,5.0,57.0,11.0,3,0,19_20
32,Udinese,2020-07-15,Giornata n. 33,Casa,N,0.0,Lazio,15.0,5.0,0,0,379.0,455.0,4.0,43.0,13.0,2,0,19_20
32,Napoli,2020-07-15,Giornata n. 33,Ospiti,N,1.0,Bologna,9.0,3.0,0,0,495.0,592.0,4.0,52.0,10.0,1,0,19_20
32,Cagliari,2020-07-15,Giornata n. 33,Ospiti,P,0.0,Sampdoria,15.0,2.0,0,0,500.0,586.0,3.0,52.0,15.0,2,0,19_20
32,Bologna,2020-07-15,Giornata n. 33,Casa,N,1.0,Napoli,13.0,1.0,0,0,455.0,541.0,8.0,48.0,22.0,1,0,19_20
32,Parma,2020-07-15,Giornata n. 33,Ospiti,P,1.0,Milan,12.0,3.0,0,0,361.0,442.0,6.0,43.0,11.0,2,0,19_20
32,Lecce,2020-07-15,Giornata n. 33,Casa,P,1.0,Fiorentina,10.0,2.0,0,0,440.0,514.0,6.0,48.0,16.0,3,0,19_20
32,Sampdoria,2020-07-15,Giornata n. 33,Casa,V,3.0,Cagliari,11.0,4.0,0,0,453.0,533.0,4.0,48.0,13.0,0,0,19_20
32,Sassuolo,2020-07-15,Giornata n. 33,Casa,N,3.0,Juventus,22.0,10.0,0,0,549.0,630.0,3.0,57.0,15.0,4,0,19_20
32,Fiorentina,2020-07-15,Giornata n. 33,Ospiti,V,3.0,Lecce,13.0,7.0,0,1,478.0,547.0,5.0,52.0,8.0,2,0,19_20
32,Milan,2020-07-15,Giornata n. 33,Casa,V,3.0,Parma,27.0,7.0,0,0,503.0,585.0,7.0,57.0,9.0,1,0,19_20
32,Juventus,2020-07-15,Giornata n. 33,Ospiti,N,3.0,Sassuolo,21.0,5.0,0,0,383.0,467.0,9.0,43.0,13.0,4,0,19_20
32,Hellas Verona,2020-07-15,Giornata n. 33,Ospiti,P,1.0,Roma,7.0,1.0,0,0,508.0,628.0,6.0,64.0,6.0,3,0,19_20
32,Roma,2020-07-15,Giornata n. 33,Casa,V,2.0,Hellas Verona,19.0,4.0,1,1,245.0,347.0,7.0,36.0,19.0,4,0,19_20
32,Genoa,2020-07-16,Giornata n. 33,Ospiti,P,0.0,Torino,14.0,5.0,0,0,408.0,514.0,4.0,58.0,19.0,2,0,19_20
32,SPAL,2020-07-16,Giornata n. 33,Casa,P,0.0,Inter,12.0,0.0,0,0,296.0,387.0,0.0,39.0,13.0,2,0,19_20
32,Inter,2020-07-16,Giornata n. 33,Ospiti,V,4.0,SPAL,16.0,6.0,0,0,509.0,598.0,7.0,61.0,10.0,3,0,19_20
32,Torino,2020-07-16,Giornata n. 33,Casa,V,3.0,Genoa,12.0,5.0,0,0,282.0,376.0,8.0,42.0,24.0,2,0,19_20
33,Cagliari,2020-07-18,Giornata n. 34,Casa,N,1.0,Sassuolo,2.0,1.0,0,0,178.0,254.0,0.0,25.0,14.0,4,1,19_20
33,Atalanta,2020-07-18,Giornata n. 34,Ospiti,N,1.0,Hellas Verona,20.0,7.0,0,0,358.0,472.0,5.0,54.0,17.0,2,0,19_20
33,Bologna,2020-07-18,Giornata n. 34,Ospiti,P,1.0,Milan,8.0,3.0,0,0,368.0,469.0,2.0,48.0,15.0,1,0,19_20
33,Hellas Verona,2020-07-18,Giornata n. 34,Casa,N,1.0,Atalanta,15.0,8.0,0,0,279.0,399.0,7.0,46.0,18.0,2,0,19_20
33,Milan,2020-07-18,Giornata n. 34,Casa,V,5.0,Bologna,23.0,12.0,0,0,403.0,501.0,7.0,52.0,20.0,2,0,19_20
33,Sassuolo,2020-07-18,Giornata n. 34,Ospiti,N,1.0,Cagliari,12.0,2.0,0,0,703.0,781.0,9.0,75.0,15.0,2,0,19_20
33,Lecce,2020-07-19,Giornata n. 34,Ospiti,P,1.0,Genoa,18.0,1.0,0,1,464.0,547.0,8.0,53.0,12.0,3,0,19_20
33,Roma,2020-07-19,Giornata n. 34,Casa,N,2.0,Inter,7.0,3.0,0,0,341.0,419.0,8.0,43.0,22.0,1,0,19_20
33,Parma,2020-07-19,Giornata n. 34,Casa,P,2.0,Sampdoria,17.0,5.0,0,0,445.0,535.0,4.0,57.0,15.0,0,0,19_20
33,Udinese,2020-07-19,Giornata n. 34,Ospiti,P,1.0,Napoli,4.0,2.0,0,0,329.0,415.0,3.0,32.0,18.0,2,0,19_20
33,Inter,2020-07-19,Giornata n. 34,Ospiti,N,2.0,Roma,7.0,2.0,1,1,468.0,553.0,5.0,57.0,13.0,1,0,19_20
33,Napoli,2020-07-19,Giornata n. 34,Casa,V,2.0,Udinese,24.0,9.0,0,0,788.0,873.0,2.0,68.0,14.0,3,0,19_20
33,Torino,2020-07-19,Giornata n. 34,Ospiti,P,0.0,Fiorentina,7.0,0.0,0,0,454.0,546.0,1.0,53.0,13.0,2,0,19_20
33,SPAL,2020-07-19,Giornata n. 34,Ospiti,P,1.0,Brescia,15.0,6.0,0,0,318.0,407.0,4.0,47.0,17.0,2,0,19_20
33,Fiorentina,2020-07-19,Giornata n. 34,Casa,V,2.0,Torino,17.0,4.0,0,0,400.0,485.0,4.0,47.0,12.0,1,0,19_20
33,Brescia,2020-07-19,Giornata n. 34,Casa,V,2.0,SPAL,17.0,3.0,0,0,349.0,457.0,7.0,53.0,13.0,2,0,19_20
33,Sampdoria,2020-07-19,Giornata n. 34,Ospiti,V,3.0,Parma,20.0,4.0,0,0,317.0,401.0,6.0,43.0,12.0,1,0,19_20
33,Genoa,2020-07-19,Giornata n. 34,Casa,V,2.0,Lecce,10.0,3.0,0,0,409.0,490.0,3.0,47.0,14.0,2,0,19_20
33,Juventus,2020-07-20,Giornata n. 34,Casa,V,2.0,Lazio,18.0,6.0,1,1,505.0,576.0,4.0,54.0,22.0,3,0,19_20
33,Lazio,2020-07-20,Giornata n. 34,Ospiti,P,1.0,Juventus,9.0,2.0,1,1,416.0,481.0,7.0,46.0,16.0,1,0,19_20
34,Bologna,2020-07-21,Giornata n. 35,Ospiti,P,0.0,Atalanta,11.0,2.0,0,0,435.0,547.0,4.0,53.0,15.0,2,0,19_20
34,Sassuolo,2020-07-21,Giornata n. 35,Casa,P,1.0,Milan,10.0,2.0,1,1,424.0,499.0,5.0,50.0,12.0,3,1,19_20
34,Atalanta,2020-07-21,Giornata n. 35,Casa,V,1.0,Bologna,19.0,7.0,0,0,372.0,480.0,6.0,47.0,23.0,4,0,19_20
34,Milan,2020-07-21,Giornata n. 35,Ospiti,V,2.0,Sassuolo,16.0,7.0,0,0,446.0,508.0,3.0,50.0,24.0,4,0,19_20
34,Torino,2020-07-22,Giornata n. 35,Casa,N,1.0,Hellas Verona,9.0,3.0,0,0,281.0,394.0,5.0,43.0,22.0,4,0,19_20
34,Lecce,2020-07-22,Giornata n. 35,Casa,V,3.0,Brescia,17.0,10.0,0,0,499.0,582.0,5.0,55.0,13.0,2,0,19_20
34,Inter,2020-07-22,Giornata n. 35,Casa,N,0.0,Fiorentina,19.0,6.0,0,0,447.0,551.0,11.0,60.0,15.0,1,0,19_20
34,Sampdoria,2020-07-22,Giornata n. 35,Casa,P,1.0,Genoa,16.0,5.0,0,0,406.0,525.0,5.0,52.0,14.0,4,0,19_20
34,Napoli,2020-07-22,Giornata n. 35,Ospiti,P,1.0,Parma,18.0,3.0,1,1,698.0,766.0,3.0,68.0,12.0,1,0,19_20
34,Genoa,2020-07-22,Giornata n. 35,Ospiti,V,2.0,Sampdoria,7.0,4.0,1,1,393.0,493.0,0.0,48.0,18.0,2,0,19_20
34,Roma,2020-07-22,Giornata n. 35,Ospiti,V,6.0,SPAL,18.0,9.0,0,0,488.0,549.0,1.0,54.0,11.0,0,0,19_20
34,Parma,2020-07-22,Giornata n. 35,Casa,V,2.0,Napoli,6.0,0.0,2,2,284.0,353.0,3.0,32.0,10.0,3,0,19_20
34,Fiorentina,2020-07-22,Giornata n. 35,Ospiti,N,0.0,Inter,8.0,3.0,0,0,297.0,371.0,2.0,40.0,17.0,3,0,19_20
34,Hellas Verona,2020-07-22,Giornata n. 35,Ospiti,N,1.0,Torino,9.0,4.0,1,1,397.0,533.0,4.0,57.0,16.0,2,0,19_20
34,SPAL,2020-07-22,Giornata n. 35,Casa,P,1.0,Roma,11.0,3.0,0,0,386.0,461.0,3.0,46.0,10.0,1,1,19_20
34,Brescia,2020-07-22,Giornata n. 35,Ospiti,P,1.0,Lecce,16.0,3.0,0,0,388.0,481.0,10.0,45.0,14.0,1,0,19_20
34,Lazio,2020-07-23,Giornata n. 35,Casa,V,2.0,Cagliari,19.0,11.0,0,0,493.0,610.0,13.0,64.0,17.0,3,0,19_20
34,Juventus,2020-07-23,Giornata n. 35,Ospiti,P,1.0,Udinese,21.0,5.0,0,0,626.0,709.0,7.0,61.0,8.0,2,0,19_20
34,Udinese,2020-07-23,Giornata n. 35,Casa,V,2.0,Juventus,12.0,4.0,0,0,392.0,460.0,3.0,39.0,9.0,2,0,19_20
34,Cagliari,2020-07-23,Giornata n. 35,Ospiti,P,1.0,Lazio,8.0,4.0,0,0,254.0,346.0,3.0,36.0,14.0,1,0,19_20
35,Atalanta,2020-07-24,Giornata n. 36,Ospiti,N,1.0,Milan,14.0,3.0,0,1,338.0,459.0,7.0,53.0,14.0,1,0,19_20
35,Milan,2020-07-24,Giornata n. 36,Casa,N,1.0,Atalanta,11.0,2.0,0,0,306.0,409.0,3.0,47.0,18.0,1,0,19_20
35,Inter,2020-07-25,Giornata n. 36,Ospiti,V,3.0,Genoa,12.0,4.0,0,0,480.0,568.0,6.0,56.0,17.0,3,0,19_20
35,Napoli,2020-07-25,Giornata n. 36,Casa,V,2.0,Sassuolo,21.0,8.0,0,0,460.0,538.0,7.0,51.0,6.0,1,0,19_20
35,Parma,2020-07-25,Giornata n. 36,Ospiti,V,2.0,Brescia,14.0,5.0,0,0,465.0,542.0,3.0,58.0,13.0,0,0,19_20
35,Genoa,2020-07-25,Giornata n. 36,Casa,P,0.0,Inter,8.0,2.0,0,0,349.0,452.0,4.0,44.0,13.0,2,0,19_20
35,Sassuolo,2020-07-25,Giornata n. 36,Ospiti,P,0.0,Napoli,6.0,1.0,0,0,450.0,520.0,4.0,49.0,13.0,3,0,19_20
35,Brescia,2020-07-25,Giornata n. 36,Casa,P,1.0,Parma,12.0,7.0,0,0,320.0,389.0,5.0,42.0,16.0,4,0,19_20
35,Torino,2020-07-26,Giornata n. 36,Ospiti,N,1.0,SPAL,20.0,5.0,0,0,326.0,407.0,10.0,44.0,19.0,3,0,19_20
35,Roma,2020-07-26,Giornata n. 36,Casa,V,2.0,Fiorentina,21.0,3.0,2,2,468.0,549.0,8.0,59.0,13.0,1,0,19_20
35,Lecce,2020-07-26,Giornata n. 36,Ospiti,P,2.0,Bologna,25.0,9.0,0,0,376.0,466.0,6.0,46.0,10.0,1,0,19_20
35,SPAL,2020-07-26,Giornata n. 36,Casa,N,1.0,Torino,7.0,1.0,0,0,424.0,509.0,0.0,56.0,12.0,2,0,19_20
35,Cagliari,2020-07-26,Giornata n. 36,Casa,P,0.0,Udinese,16.0,6.0,0,0,389.0,474.0,4.0,50.0,11.0,2,0,19_20
35,Sampdoria,2020-07-26,Giornata n. 36,Ospiti,P,0.0,Juventus,14.0,5.0,0,0,336.0,418.0,5.0,39.0,13.0,5,1,19_20
35,Fiorentina,2020-07-26,Giornata n. 36,Ospiti,P,1.0,Roma,10.0,1.0,0,0,299.0,389.0,3.0,41.0,15.0,4,0,19_20
35,Udinese,2020-07-26,Giornata n. 36,Ospiti,V,1.0,Cagliari,15.0,6.0,0,0,394.0,467.0,8.0,50.0,22.0,1,0,19_20
35,Bologna,2020-07-26,Giornata n. 36,Casa,V,3.0,Lecce,28.0,10.0,0,0,486.0,553.0,9.0,54.0,19.0,1,0,19_20
35,Hellas Verona,2020-07-26,Giornata n. 36,Casa,P,1.0,Lazio,16.0,3.0,1,1,405.0,506.0,8.0,56.0,18.0,2,0,19_20
35,Juventus,2020-07-26,Giornata n. 36,Casa,V,2.0,Sampdoria,15.0,6.0,0,1,600.0,667.0,4.0,61.0,19.0,4,0,19_20
35,Lazio,2020-07-26,Giornata n. 36,Ospiti,V,5.0,Hellas Verona,10.0,4.0,2,2,300.0,393.0,5.0,44.0,8.0,2,0,19_20
36,Napoli,2020-07-28,Giornata n. 37,Ospiti,P,0.0,Inter,18.0,2.0,0,0,559.0,643.0,9.0,58.0,8.0,1,0,19_20
36,Inter,2020-07-28,Giornata n. 37,Casa,V,2.0,Napoli,8.0,6.0,0,0,392.0,460.0,3.0,42.0,18.0,4,0,19_20
36,Atalanta,2020-07-28,Giornata n. 37,Ospiti,V,2.0,Parma,14.0,4.0,0,0,450.0,530.0,3.0,56.0,15.0,1,0,19_20
36,Parma,2020-07-28,Giornata n. 37,Casa,P,1.0,Atalanta,14.0,3.0,0,0,323.0,412.0,3.0,44.0,16.0,2,0,19_20
36,Fiorentina,2020-07-29,Giornata n. 37,Casa,V,4.0,Bologna,14.0,6.0,0,0,372.0,461.0,4.0,47.0,15.0,2,0,19_20
36,Roma,2020-07-29,Giornata n. 37,Ospiti,V,3.0,Torino,15.0,5.0,1,1,440.0,515.0,8.0,49.0,18.0,3,0,19_20
36,Sassuolo,2020-07-29,Giornata n. 37,Casa,V,5.0,Genoa,18.0,8.0,0,0,490.0,559.0,2.0,54.0,11.0,1,0,19_20
36,Genoa,2020-07-29,Giornata n. 37,Ospiti,P,0.0,Sassuolo,12.0,2.0,0,0,388.0,474.0,3.0,46.0,9.0,1,0,19_20
36,Torino,2020-07-29,Giornata n. 37,Casa,P,2.0,Roma,9.0,4.0,0,0,454.0,527.0,4.0,51.0,9.0,2,0,19_20
36,SPAL,2020-07-29,Giornata n. 37,Ospiti,P,0.0,Hellas Verona,14.0,5.0,0,0,375.0,446.0,1.0,46.0,13.0,1,0,19_20
36,Brescia,2020-07-29,Giornata n. 37,Ospiti,P,0.0,Lazio,13.0,2.0,0,0,315.0,400.0,6.0,40.0,10.0,2,0,19_20
36,Lazio,2020-07-29,Giornata n. 37,Casa,V,2.0,Brescia,30.0,13.0,0,0,514.0,593.0,5.0,60.0,12.0,1,0,19_20
36,Udinese,2020-07-29,Giornata n. 37,Casa,P,1.0,Lecce,10.0,3.0,0,0,389.0,453.0,5.0,46.0,14.0,1,0,19_20
36,Sampdoria,2020-07-29,Giornata n. 37,Casa,P,1.0,Milan,18.0,5.0,0,1,362.0,457.0,4.0,43.0,8.0,1,0,19_20
36,Milan,2020-07-29,Giornata n. 37,Ospiti,V,4.0,Sampdoria,20.0,9.0,0,0,506.0,598.0,6.0,57.0,8.0,1,0,19_20
36,Bologna,2020-07-29,Giornata n. 37,Ospiti,P,0.0,Fiorentina,12.0,2.0,0,0,441.0,526.0,5.0,53.0,13.0,1,0,19_20
36,Hellas Verona,2020-07-29,Giornata n. 37,Casa,V,3.0,SPAL,18.0,11.0,0,0,429.0,516.0,7.0,54.0,17.0,1,0,19_20
36,Lecce,2020-07-29,Giornata n. 37,Ospiti,V,2.0,Udinese,13.0,6.0,1,1,463.0,535.0,5.0,54.0,11.0,4,0,19_20
36,Cagliari,2020-07-29,Giornata n. 37,Casa,V,2.0,Juventus,11.0,5.0,0,0,258.0,347.0,1.0,35.0,14.0,2,0,19_20
36,Juventus,2020-07-29,Giornata n. 37,Ospiti,P,0.0,Cagliari,34.0,10.0,0,0,579.0,654.0,9.0,65.0,15.0,1,0,19_20
37,Lazio,2020-08-01,Giornata n. 38,Ospiti,P,1.0,Napoli,8.0,3.0,0,0,411.0,479.0,2.0,45.0,11.0,2,0,19_20
37,Inter,2020-08-01,Giornata n. 38,Ospiti,V,2.0,Atalanta,11.0,3.0,0,0,417.0,516.0,1.0,47.0,15.0,3,0,19_20
37,Sampdoria,2020-08-01,Giornata n. 38,Ospiti,N,1.0,Brescia,18.0,6.0,0,1,365.0,447.0,4.0,47.0,18.0,4,1,19_20
37,Atalanta,2020-08-01,Giornata n. 38,Casa,P,0.0,Inter,12.0,1.0,0,0,486.0,577.0,7.0,53.0,14.0,2,0,19_20
37,Roma,2020-08-01,Giornata n. 38,Ospiti,V,3.0,Juventus,11.0,5.0,1,1,405.0,475.0,5.0,44.0,14.0,4,0,19_20
37,Napoli,2020-08-01,Giornata n. 38,Casa,V,3.0,Lazio,12.0,5.0,1,1,527.0,592.0,2.0,55.0,10.0,3,0,19_20
37,Milan,2020-08-01,Giornata n. 38,Casa,V,3.0,Cagliari,14.0,4.0,0,1,595.0,674.0,7.0,62.0,17.0,1,0,19_20
37,Brescia,2020-08-01,Giornata n. 38,Casa,N,1.0,Sampdoria,15.0,4.0,1,1,401.0,499.0,5.0,53.0,12.0,1,0,19_20
37,Juventus,2020-08-01,Giornata n. 38,Casa,P,1.0,Roma,10.0,2.0,0,0,540.0,609.0,6.0,56.0,10.0,1,0,19_20
37,Cagliari,2020-08-01,Giornata n. 38,Ospiti,P,0.0,Milan,5.0,1.0,0,0,310.0,406.0,6.0,38.0,8.0,3,0,19_20
37,Bologna,2020-08-02,Giornata n. 38,Casa,N,1.0,Torino,19.0,5.0,0,0,408.0,490.0,7.0,55.0,16.0,3,0,19_20
37,Fiorentina,2020-08-02,Giornata n. 38,Ospiti,V,3.0,SPAL,27.0,9.0,1,1,402.0,472.0,10.0,50.0,15.0,1,0,19_20
37,Sassuolo,2020-08-02,Giornata n. 38,Casa,P,0.0,Udinese,24.0,11.0,0,0,610.0,696.0,6.0,69.0,9.0,1,0,19_20
37,Hellas Verona,2020-08-02,Giornata n. 38,Ospiti,P,0.0,Genoa,18.0,1.0,0,0,437.0,534.0,9.0,65.0,12.0,0,1,19_20
37,Torino,2020-08-02,Giornata n. 38,Ospiti,N,1.0,Bologna,15.0,9.0,0,0,319.0,402.0,3.0,45.0,17.0,3,0,19_20
37,Lecce,2020-08-02,Giornata n. 38,Casa,P,3.0,Parma,16.0,7.0,0,0,467.0,560.0,5.0,51.0,3.0,0,0,19_20
37,Parma,2020-08-02,Giornata n. 38,Ospiti,V,4.0,Lecce,19.0,10.0,0,0,458.0,534.0,4.0,49.0,8.0,2,0,19_20
37,SPAL,2020-08-02,Giornata n. 38,Casa,P,1.0,Fiorentina,8.0,4.0,0,0,406.0,480.0,3.0,50.0,6.0,1,0,19_20
37,Genoa,2020-08-02,Giornata n. 38,Casa,V,3.0,Hellas Verona,4.0,4.0,0,0,224.0,323.0,4.0,35.0,9.0,4,2,19_20
37,Udinese,2020-08-02,Giornata n. 38,Ospiti,V,1.0,Sassuolo,12.0,2.0,0,0,242.0,316.0,7.0,31.0,14.0,1,0,19_20
0,Roma,2020-09-19,Giornata n. 1,Ospiti,P,0.0,Hellas Verona,21.0,4.0,0,0,423.0,549.0,6.0,60.0,21.0,0,0,20_21
0,Torino,2020-09-19,Giornata n. 1,Ospiti,P,0.0,Fiorentina,6.0,3.0,0,0,380.0,467.0,1.0,50.0,21.0,1,0,20_21
0,Fiorentina,2020-09-19,Giornata n. 1,Casa,V,1.0,Torino,16.0,6.0,0,0,402.0,474.0,4.0,50.0,17.0,3,0,20_21
0,Hellas Verona,2020-09-19,Giornata n. 1,Casa,V,3.0,Roma,8.0,3.0,0,0,253.0,375.0,0.0,40.0,20.0,2,0,20_21
0,Napoli,2020-09-20,Giornata n. 1,Ospiti,V,2.0,Parma,17.0,6.0,0,0,597.0,689.0,2.0,60.0,12.0,1,0,20_21
0,Crotone,2020-09-20,Giornata n. 1,Ospiti,P,1.0,Genoa,13.0,3.0,0,0,465.0,545.0,4.0,51.0,16.0,2,0,20_21
0,Genoa,2020-09-20,Giornata n. 1,Casa,V,4.0,Crotone,15.0,6.0,0,0,434.0,518.0,6.0,49.0,13.0,4,0,20_21
0,Sassuolo,2020-09-20,Giornata n. 1,Casa,N,1.0,Cagliari,33.0,9.0,0,0,633.0,709.0,7.0,67.0,11.0,1,0,20_21
0,Parma,2020-09-20,Giornata n. 1,Casa,P,0.0,Napoli,6.0,2.0,0,0,372.0,450.0,4.0,40.0,17.0,4,0,20_21
0,Cagliari,2020-09-20,Giornata n. 1,Ospiti,N,1.0,Sassuolo,8.0,4.0,0,0,283.0,345.0,3.0,33.0,20.0,3,0,20_21
0,Juventus,2020-09-20,Giornata n. 1,Casa,V,3.0,Sampdoria,21.0,8.0,0,0,684.0,764.0,6.0,66.0,15.0,1,0,20_21
0,Sampdoria,2020-09-20,Giornata n. 1,Ospiti,P,0.0,Juventus,15.0,1.0,0,0,302.0,394.0,4.0,34.0,9.0,1,0,20_21
0,Bologna,2020-09-21,Giornata n. 1,Ospiti,P,0.0,Milan,13.0,4.0,0,0,334.0,409.0,4.0,42.0,23.0,5,1,20_21
0,Milan,2020-09-21,Giornata n. 1,Casa,V,2.0,Bologna,16.0,4.0,1,1,467.0,560.0,7.0,58.0,18.0,3,0,20_21
0,Benevento,2020-09-26,Giornata n. 2,Ospiti,V,3.0,Sampdoria,14.0,5.0,0,0,446.0,552.0,4.0,60.0,14.0,1,0,20_21
0,Atalanta,2020-09-26,Giornata n. 2,Ospiti,V,4.0,Torino,17.0,7.0,0,0,486.0,588.0,6.0,55.0,15.0,2,0,20_21
