,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season
0,SPAL,2019-08-25,Giornata n. 1,Casa,P,2.0,Atalanta,9.0,3.0,0,0,269.0,370.0,2.0,41.0,15.0,2,0,19_20
0,Hellas Verona,2019-08-25,Giornata n. 1,Casa,N,1.0,Bologna,5.0,2.0,0,0,131.0,222.0,1.0,26.0,13.0,1,1,19_20
0,Udinese,2019-08-25,Giornata n. 1,Casa,V,1.0,Milan,19.0,6.0,0,0,317.0,403.0,9.0,42.0,17.0,1,0,19_20
0,Lecce,2019-08-26,Giornata n. 1,Ospiti,P,0.0,Inter,16.0,2.0,0,0,320.0,396.0,7.0,40.0,10.0,2,1,19_20
0,Inter,2019-08-26,Giornata n. 1,Casa,V,4.0,Lecce,24.0,7.0,0,0,523.0,598.0,7.0,60.0,16.0,1,0,19_20
1,SPAL,2019-08-30,Giornata n. 2,Ospiti,P,0.0,Bologna,8.0,1.0,0,0,250.0,345.0,2.0,42.0,15.0,2,0,19_20
1,Bologna,2019-08-30,Giornata n. 2,Casa,V,1.0,SPAL,22.0,8.0,0,0,382.0,472.0,11.0,58.0,13.0,3,0,19_20
1,Brescia,2019-08-31,Giornata n. 2,Ospiti,P,0.0,Milan,6.0,1.0,0,0,246.0,346.0,3.0,38.0,21.0,4,0,19_20
1,Milan,2019-08-31,Giornata n. 2,Casa,V,1.0,Brescia,16.0,4.0,0,0,492.0,576.0,5.0,62.0,16.0,3,0,19_20
1,Juventus,2019-08-31,Giornata n. 2,Casa,V,4.0,Napoli,12.0,7.0,0,0,396.0,468.0,2.0,45.0,15.0,3,0,19_20
1,Napoli,2019-08-31,Giornata n. 2,Ospiti,P,3.0,Juventus,17.0,7.0,0,0,500.0,574.0,5.0,55.0,13.0,3,0,19_20
1,Roma,2019-09-01,Giornata n. 2,Ospiti,N,1.0,Lazio,10.0,0.0,1,1,338.0,417.0,4.0,50.0,15.0,3,0,19_20
1,Torino,2019-09-01,Giornata n. 2,Ospiti,V,3.0,Atalanta,11.0,5.0,0,0,246.0,337.0,5.0,43.0,18.0,2,0,19_20
1,Cagliari,2019-09-01,Giornata n. 2,Casa,P,1.0,Inter,8.0,2.0,0,0,361.0,445.0,5.0,41.0,13.0,5,0,19_20
1,Inter,2019-09-01,Giornata n. 2,Ospiti,V,2.0,Cagliari,8.0,4.0,1,1,545.0,628.0,5.0,59.0,12.0,3,0,19_20
1,Udinese,2019-09-01,Giornata n. 2,Casa,P,1.0,Parma,21.0,10.0,0,0,435.0,522.0,8.0,52.0,13.0,1,0,19_20
1,Lecce,2019-09-01,Giornata n. 2,Casa,P,0.0,Hellas Verona,16.0,3.0,0,0,394.0,482.0,2.0,48.0,16.0,2,0,19_20
1,Atalanta,2019-09-01,Giornata n. 2,Casa,P,2.0,Torino,28.0,9.0,0,0,353.0,442.0,12.0,57.0,14.0,2,0,19_20
1,Parma,2019-09-01,Giornata n. 2,Ospiti,V,3.0,Udinese,8.0,3.0,0,0,399.0,487.0,1.0,48.0,14.0,3,0,19_20
1,Sampdoria,2019-09-01,Giornata n. 2,Ospiti,P,1.0,Sassuolo,9.0,3.0,1,1,253.0,321.0,5.0,31.0,10.0,3,1,19_20
1,Hellas Verona,2019-09-01,Giornata n. 2,Ospiti,V,1.0,Lecce,14.0,4.0,0,0,412.0,513.0,7.0,52.0,15.0,3,0,19_20
1,Sassuolo,2019-09-01,Giornata n. 2,Casa,V,4.0,Sampdoria,13.0,8.0,0,0,648.0,724.0,4.0,69.0,11.0,1,0,19_20
1,Fiorentina,2019-09-01,Giornata n. 2,Ospiti,P,1.0,Genoa,18.0,4.0,1,1,323.0,416.0,8.0,50.0,17.0,0,0,19_20
1,Lazio,2019-09-01,Giornata n. 2,Casa,N,1.0,Roma,22.0,7.0,0,0,346.0,414.0,8.0,50.0,16.0,4,0,19_20
