,Data,Casa,Punteggio,Ospiti
0,2020-09-19,Fiorentina,1–0,Torino
1,2020-09-19,Hellas Verona,3–0,Roma
2,2020-09-20,Parma,0–2,Napoli
3,2020-09-20,Genoa,4–1,Crotone
4,2020-09-20,Sassuolo,1–1,Cagliari
5,2020-09-20,Juventus,3–0,Sampdoria
6,2020-09-21,Milan,2–0,Bologna
8,2020-09-26,Torino,2–4,Atalanta
9,2020-09-26,Cagliari,0–2,Lazio
10,2020-09-26,Sampdoria,2–3,Benevento
11,2020-09-26,Inter,4–3,Fiorentina
12,2020-09-27,Spezia,1–4,Sassuolo
13,2020-09-27,Hellas Verona,1–0,Udinese
14,2020-09-27,Crotone,0–2,Milan
15,2020-09-27,Napoli,6–0,Genoa
16,2020-09-27,Roma,2–2,Juventus
17,2020-09-28,Bologna,4–1,Parma
19,2020-09-30,Benevento,2–5,Inter
20,2020-09-30,Udinese,0–2,Spezia
21,2020-09-30,Lazio,1–4,Atalanta
23,2020-10-02,Fiorentina,1–2,Sampdoria
24,2020-10-03,Sassuolo,4–1,Crotone
25,2020-10-03,Udinese,0–1,Roma
26,2020-10-04,Atalanta,5–2,Cagliari
27,2020-10-04,Benevento,1–0,Bologna
28,2020-10-04,Lazio,1–1,Inter
29,2020-10-04,Parma,1–0,Hellas Verona
30,2020-10-04,Milan,3–0,Spezia
32,2020-10-17,Napoli,4–1,Atalanta
33,2020-10-17,Sampdoria,3–0,Lazio
34,2020-10-17,Inter,1–2,Milan
35,2020-10-17,Crotone,1–1,Juventus
36,2020-10-18,Bologna,3–4,Sassuolo
37,2020-10-18,Spezia,2–2,Fiorentina
38,2020-10-18,Torino,2–3,Cagliari
39,2020-10-18,Udinese,3–2,Parma
40,2020-10-18,Roma,5–2,Benevento
41,2020-10-19,Hellas Verona,0–0,Genoa
43,2020-10-23,Sassuolo,3–3,Torino
44,2020-10-24,Atalanta,1–3,Sampdoria
45,2020-10-24,Genoa,0–2,Inter
46,2020-10-24,Lazio,2–1,Bologna
47,2020-10-25,Cagliari,4–2,Crotone
48,2020-10-25,Parma,2–2,Spezia
49,2020-10-25,Benevento,1–2,Napoli
50,2020-10-25,Fiorentina,3–2,Udinese
51,2020-10-25,Juventus,1–1,Hellas Verona
52,2020-10-26,Milan,3–3,Roma
54,2020-10-31,Crotone,1–2,Atalanta
55,2020-10-31,Inter,2–2,Parma
56,2020-10-31,Bologna,3–2,Cagliari
57,2020-11-01,Udinese,1–2,Milan
58,2020-11-01,Torino,3–4,Lazio
59,2020-11-01,Spezia,1–4,Juventus
60,2020-11-01,Napoli,0–2,Sassuolo
61,2020-11-01,Roma,2–0,Fiorentina
62,2020-11-01,Sampdoria,1–1,Genoa
63,2020-11-02,Hellas Verona,3–1,Benevento
65,2020-11-04,Genoa,1–2,Torino
67,2020-11-06,Sassuolo,0–0,Udinese
68,2020-11-07,Cagliari,2–0,Sampdoria
69,2020-11-07,Benevento,0–3,Spezia
70,2020-11-07,Parma,0–0,Fiorentina
71,2020-11-08,Lazio,1–1,Juventus
72,2020-11-08,Genoa,1–3,Roma
73,2020-11-08,Atalanta,1–1,Inter
74,2020-11-08,Torino,0–0,Crotone
75,2020-11-08,Bologna,0–1,Napoli
76,2020-11-08,Milan,2–2,Hellas Verona
78,2020-11-21,Crotone,0–2,Lazio
79,2020-11-21,Spezia,0–0,Atalanta
80,2020-11-21,Juventus,2–0,Cagliari
81,2020-11-22,Fiorentina,0–1,Benevento
82,2020-11-22,Inter,4–2,Torino
83,2020-11-22,Sampdoria,1–2,Bologna
84,2020-11-22,Hellas Verona,0–2,Sassuolo
85,2020-11-22,Roma,3–0,Parma
