,Data,Casa,Punteggio,Ospiti
0,2019-08-24,Parma,0–1,Juventus
1,2019-08-24,Fiorentina,3–4,Napoli
2,2019-08-25,Udinese,1–0,Milan
3,2019-08-25,SPAL,2–3,Atalanta
4,2019-08-25,Torino,2–1,Sassuolo
5,2019-08-25,Roma,3–3,Genoa
6,2019-08-25,Cagliari,0–1,Brescia
7,2019-08-25,Hellas Verona,1–1,Bologna
8,2019-08-25,Sampdoria,0–3,Lazio
9,2019-08-26,Inter,4–0,Lecce
11,2019-08-30,Bologna,1–0,SPAL
12,2019-08-31,Milan,1–0,Brescia
13,2019-08-31,Juventus,4–3,Napoli
14,2019-09-01,Lazio,1–1,Roma
15,2019-09-01,Lecce,0–1,Hellas Verona
16,2019-09-01,Udinese,1–3,Parma
17,2019-09-01,Genoa,2–1,Fiorentina
18,2019-09-01,Atalanta,2–3,Torino
19,2019-09-01,Sassuolo,4–1,Sampdoria
20,2019-09-01,Cagliari,1–2,Inter
22,2019-09-14,Fiorentina,0–0,Juventus
23,2019-09-14,Napoli,2–0,Sampdoria
24,2019-09-14,Inter,1–0,Udinese
25,2019-09-15,Genoa,1–2,Atalanta
26,2019-09-15,SPAL,2–1,Lazio
27,2019-09-15,Parma,1–3,Cagliari
28,2019-09-15,Brescia,3–4,Bologna
29,2019-09-15,Roma,4–2,Sassuolo
30,2019-09-15,Hellas Verona,0–1,Milan
31,2019-09-16,Torino,1–2,Lecce
33,2019-09-20,Cagliari,3–1,Genoa
34,2019-09-21,Udinese,0–1,Brescia
35,2019-09-21,Juventus,2–1,Hellas Verona
36,2019-09-21,Milan,0–2,Inter
37,2019-09-22,Sassuolo,3–0,SPAL
38,2019-09-22,Sampdoria,1–0,Torino
39,2019-09-22,Bologna,1–2,Roma
40,2019-09-22,Lecce,1–4,Napoli
41,2019-09-22,Atalanta,2–2,Fiorentina
42,2019-09-22,Lazio,2–0,Parma
44,2019-09-24,Hellas Verona,0–0,Udinese
45,2019-09-24,Brescia,1–2,Juventus
46,2019-09-25,Roma,0–2,Atalanta
47,2019-09-25,Inter,1–0,Lazio
48,2019-09-25,Parma,1–0,Sassuolo
49,2019-09-25,Napoli,0–1,Cagliari
50,2019-09-25,Genoa,0–0,Bologna
51,2019-09-25,Fiorentina,2–1,Sampdoria
52,2019-09-25,SPAL,1–3,Lecce
53,2019-09-26,Torino,2–1,Milan
55,2019-09-28,Juventus,2–0,SPAL
56,2019-09-28,Sampdoria,1–3,Inter
57,2019-09-28,Sassuolo,1–4,Atalanta
58,2019-09-29,Napoli,2–1,Brescia
59,2019-09-29,Lazio,4–0,Genoa
60,2019-09-29,Lecce,0–1,Roma
61,2019-09-29,Udinese,1–0,Bologna
62,2019-09-29,Cagliari,1–1,Hellas Verona
63,2019-09-29,Milan,1–3,Fiorentina
64,2019-09-30,Parma,3–2,Torino
66,2019-10-05,SPAL,1–0,Parma
67,2019-10-05,Hellas Verona,2–0,Sampdoria
68,2019-10-05,Genoa,1–2,Milan
69,2019-10-06,Fiorentina,1–0,Udinese
70,2019-10-06,Roma,1–1,Cagliari
71,2019-10-06,Atalanta,3–1,Lecce
72,2019-10-06,Bologna,2–2,Lazio
73,2019-10-06,Torino,0–0,Napoli
74,2019-10-06,Inter,1–2,Juventus
76,2019-10-19,Lazio,3–3,Atalanta
77,2019-10-19,Napoli,2–0,Hellas Verona
78,2019-10-19,Juventus,2–1,Bologna
79,2019-10-20,Sassuolo,3–4,Inter
80,2019-10-20,Sampdoria,0–0,Roma
81,2019-10-20,Cagliari,2–0,SPAL
82,2019-10-20,Udinese,1–0,Torino
83,2019-10-20,Parma,5–1,Genoa
84,2019-10-20,Milan,2–2,Lecce
85,2019-10-21,Brescia,0–0,Fiorentina
87,2019-10-25,Hellas Verona,0–1,Sassuolo
88,2019-10-26,Lecce,1–1,Juventus
89,2019-10-26,Inter,2–2,Parma
90,2019-10-26,Genoa,3–1,Brescia
91,2019-10-27,Bologna,2–1,Sampdoria
92,2019-10-27,Atalanta,7–1,Udinese
93,2019-10-27,SPAL,1–1,Napoli
94,2019-10-27,Torino,1–1,Cagliari
95,2019-10-27,Roma,2–1,Milan
96,2019-10-27,Fiorentina,1–2,Lazio
98,2019-10-29,Parma,0–1,Hellas Verona
99,2019-10-29,Brescia,1–2,Inter
100,2019-10-30,Napoli,2–2,Atalanta
101,2019-10-30,Lazio,4–0,Torino
102,2019-10-30,Sampdoria,1–1,Lecce
103,2019-10-30,Juventus,2–1,Genoa
104,2019-10-30,Udinese,0–4,Roma
105,2019-10-30,Sassuolo,1–2,Fiorentina
106,2019-10-30,Cagliari,3–2,Bologna
107,2019-10-31,Milan,1–0,SPAL
109,2019-11-02,Roma,2–1,Napoli
110,2019-11-02,Bologna,1–2,Inter
111,2019-11-02,Torino,0–1,Juventus
112,2019-11-03,Atalanta,0–2,Cagliari
113,2019-11-03,Hellas Verona,2–1,Brescia
