,team1,date,matchday,stadium,result,goals,team2
0,Fiorentina,2020-09-19,Giornata n. 1,Casa,V,1,Torino
0,Hellas Verona,2020-09-19,Giornata n. 1,Casa,V,3,Roma
0,Parma,2020-09-20,Giornata n. 1,Casa,P,0,Napoli
0,Juventus,2020-09-20,Giornata n. 1,Casa,V,3,Sampdoria
0,Sassuolo,2020-09-20,Giornata n. 1,Casa,N,1,Cagliari
0,Genoa,2020-09-20,Giornata n. 1,Casa,V,4,Crotone
1,Milan,2020-09-21,Giornata n. 1,Casa,V,2,Bologna
1,Cagliari,2020-09-26,Giornata n. 2,Casa,P,0,Lazio
1,Torino,2020-09-26,Giornata n. 2,Casa,P,2,Atalanta
0,Inter,2020-09-26,Giornata n. 2,Casa,V,4,Fiorentina
1,Sampdoria,2020-09-26,Giornata n. 2,Casa,P,2,Benevento
1,Hellas Verona,2020-09-27,Giornata n. 2,Casa,V,1,Udinese
1,Napoli,2020-09-27,Giornata n. 2,Casa,V,6,Genoa
1,Roma,2020-09-27,Giornata n. 2,Casa,N,2,Juventus
1,Crotone,2020-09-27,Giornata n. 2,Casa,P,0,Milan
0,Spezia,2020-09-27,Giornata n. 2,Casa,P,1,Sassuolo
1,Bologna,2020-09-28,Giornata n. 2,Casa,V,4,Parma
1,Benevento,2020-09-30,Giornata n. 1,Casa,P,2,Inter
1,Lazio,2020-09-30,Giornata n. 1,Casa,P,1,Atalanta
1,Udinese,2020-09-30,Giornata n. 1,Casa,P,0,Spezia
2,Fiorentina,2020-10-02,Giornata n. 3,Casa,P,1,Sampdoria
2,Sassuolo,2020-10-03,Giornata n. 3,Casa,V,4,Crotone
2,Udinese,2020-10-03,Giornata n. 3,Casa,P,0,Roma
2,Lazio,2020-10-04,Giornata n. 3,Casa,N,1,Inter
2,Parma,2020-10-04,Giornata n. 3,Casa,V,1,Hellas Verona
5,Milan,2020-10-04,Giornata n. 3,Casa,V,3,Spezia
2,Atalanta,2020-10-04,Giornata n. 3,Casa,V,5,Cagliari
2,Benevento,2020-10-04,Giornata n. 3,Casa,V,1,Bologna
3,Inter,2020-10-17,Giornata n. 4,Casa,P,1,Milan
3,Sampdoria,2020-10-17,Giornata n. 4,Casa,V,3,Lazio
2,Napoli,2020-10-17,Giornata n. 4,Casa,V,4,Atalanta
3,Crotone,2020-10-17,Giornata n. 4,Casa,N,1,Juventus
3,Udinese,2020-10-18,Giornata n. 4,Casa,V,3,Parma
2,Torino,2020-10-18,Giornata n. 4,Casa,P,2,Cagliari
3,Roma,2020-10-18,Giornata n. 4,Casa,V,5,Benevento
3,Spezia,2020-10-18,Giornata n. 4,Casa,N,2,Fiorentina
3,Bologna,2020-10-18,Giornata n. 4,Casa,P,3,Sassuolo
3,Hellas Verona,2020-10-19,Giornata n. 4,Casa,N,0,Genoa
4,Sassuolo,2020-10-23,Giornata n. 5,Casa,N,3,Torino
3,Genoa,2020-10-24,Giornata n. 5,Casa,P,0,Inter
5,Atalanta,2020-10-24,Giornata n. 5,Casa,P,1,Sampdoria
5,Lazio,2020-10-24,Giornata n. 5,Casa,V,2,Bologna
4,Fiorentina,2020-10-25,Giornata n. 5,Casa,V,3,Udinese
4,Cagliari,2020-10-25,Giornata n. 5,Casa,V,4,Crotone
4,Parma,2020-10-25,Giornata n. 5,Casa,N,2,Spezia
4,Benevento,2020-10-25,Giornata n. 5,Casa,P,1,Napoli
4,Juventus,2020-10-25,Giornata n. 5,Casa,N,1,Hellas Verona
8,Milan,2020-10-26,Giornata n. 5,Casa,N,3,Roma
6,Crotone,2020-10-31,Giornata n. 6,Casa,P,1,Atalanta
7,Inter,2020-10-31,Giornata n. 6,Casa,N,2,Parma
6,Bologna,2020-10-31,Giornata n. 6,Casa,V,3,Cagliari
7,Roma,2020-11-01,Giornata n. 6,Casa,V,2,Fiorentina
6,Udinese,2020-11-01,Giornata n. 6,Casa,P,1,Milan
6,Sampdoria,2020-11-01,Giornata n. 6,Casa,N,1,Genoa
5,Torino,2020-11-01,Giornata n. 6,Casa,P,3,Lazio
6,Spezia,2020-11-01,Giornata n. 6,Casa,P,1,Juventus
6,Napoli,2020-11-01,Giornata n. 6,Casa,P,0,Sassuolo
6,Hellas Verona,2020-11-02,Giornata n. 6,Casa,V,3,Benevento
6,Genoa,2020-11-04,Giornata n. 3,Casa,P,1,Torino
6,Sassuolo,2020-11-06,Giornata n. 7,Casa,N,0,Udinese
7,Benevento,2020-11-07,Giornata n. 7,Casa,P,0,Spezia
7,Cagliari,2020-11-07,Giornata n. 7,Casa,V,2,Sampdoria
7,Parma,2020-11-07,Giornata n. 7,Casa,N,0,Fiorentina
7,Torino,2020-11-08,Giornata n. 7,Casa,N,0,Crotone
12,Milan,2020-11-08,Giornata n. 7,Casa,N,2,Hellas Verona
7,Bologna,2020-11-08,Giornata n. 7,Casa,P,0,Napoli
9,Atalanta,2020-11-08,Giornata n. 7,Casa,N,1,Inter
9,Lazio,2020-11-08,Giornata n. 7,Casa,N,1,Juventus
7,Genoa,2020-11-08,Giornata n. 7,Casa,P,1,Roma
9,Juventus,2020-11-21,Giornata n. 8,Casa,V,2,Cagliari
8,Crotone,2020-11-21,Giornata n. 8,Casa,P,0,Lazio
8,Spezia,2020-11-21,Giornata n. 8,Casa,N,0,Atalanta
10,Inter,2020-11-22,Giornata n. 8,Casa,V,4,Torino
8,Hellas Verona,2020-11-22,Giornata n. 8,Casa,P,0,Sassuolo
9,Napoli,2020-11-22,Giornata n. 8,Casa,P,1,Milan
8,Fiorentina,2020-11-22,Giornata n. 8,Casa,P,0,Benevento
8,Udinese,2020-11-22,Giornata n. 8,Casa,V,1,Genoa
10,Roma,2020-11-22,Giornata n. 8,Casa,V,3,Parma
8,Sampdoria,2020-11-22,Giornata n. 8,Casa,P,1,Bologna
12,Atalanta,2020-11-28,Giornata n. 9,Casa,P,0,Hellas Verona
9,Benevento,2020-11-28,Giornata n. 9,Casa,N,1,Juventus
8,Sassuolo,2020-11-28,Giornata n. 9,Casa,P,0,Inter
11,Napoli,2020-11-29,Giornata n. 9,Casa,V,4,Roma
12,Lazio,2020-11-29,Giornata n. 9,Casa,P,1,Udinese
15,Milan,2020-11-29,Giornata n. 9,Casa,V,2,Fiorentina
10,Bologna,2020-11-29,Giornata n. 9,Casa,V,1,Crotone
10,Cagliari,2020-11-29,Giornata n. 9,Casa,N,2,Spezia
10,Genoa,2020-11-30,Giornata n. 9,Casa,P,1,Parma
10,Torino,2020-11-30,Giornata n. 9,Casa,N,2,Sampdoria
13,Juventus,2020-12-05,Giornata n. 10,Casa,V,2,Torino
11,Spezia,2020-12-05,Giornata n. 10,Casa,P,1,Lazio
14,Inter,2020-12-05,Giornata n. 10,Casa,V,3,Bologna
11,Hellas Verona,2020-12-06,Giornata n. 10,Casa,N,1,Cagliari
11,Parma,2020-12-06,Giornata n. 10,Casa,N,0,Benevento
11,Sampdoria,2020-12-06,Giornata n. 10,Casa,P,1,Milan
10,Crotone,2020-12-06,Giornata n. 10,Casa,P,0,Napoli
14,Roma,2020-12-06,Giornata n. 10,Casa,N,0,Sassuolo
11,Fiorentina,2020-12-07,Giornata n. 10,Casa,N,1,Genoa
10,Sassuolo,2020-12-11,Giornata n. 11,Casa,V,1,Benevento
16,Lazio,2020-12-12,Giornata n. 11,Casa,P,1,Hellas Verona
12,Torino,2020-12-12,Giornata n. 11,Casa,P,2,Udinese
11,Crotone,2020-12-12,Giornata n. 11,Casa,V,4,Spezia
12,Genoa,2020-12-13,Giornata n. 11,Casa,P,1,Juventus
15,Napoli,2020-12-13,Giornata n. 11,Casa,V,2,Sampdoria
12,Cagliari,2020-12-13,Giornata n. 11,Casa,P,1,Inter
19,Milan,2020-12-13,Giornata n. 11,Casa,N,2,Parma
15,Atalanta,2020-12-13,Giornata n. 11,Casa,V,3,Fiorentina
12,Bologna,2020-12-13,Giornata n. 11,Casa,P,1,Roma
12,Benevento,2020-12-15,Giornata n. 12,Casa,N,1,Lazio
12,Udinese,2020-12-15,Giornata n. 12,Casa,N,0,Crotone
13,Spezia,2020-12-16,Giornata n. 12,Casa,N,2,Bologna
16,Juventus,2020-12-16,Giornata n. 12,Casa,N,1,Atalanta
13,Genoa,2020-12-16,Giornata n. 12,Casa,N,2,Milan
13,Hellas Verona,2020-12-16,Giornata n. 12,Casa,P,1,Sampdoria
17,Inter,2020-12-16,Giornata n. 12,Casa,V,1,Napoli
13,Parma,2020-12-16,Giornata n. 12,Casa,N,0,Cagliari
13,Fiorentina,2020-12-16,Giornata n. 12,Casa,N,1,Sassuolo
17,Roma,2020-12-17,Giornata n. 12,Casa,V,3,Torino
14,Fiorentina,2020-12-19,Giornata n. 13,Casa,N,1,Hellas Verona
14,Sampdoria,2020-12-19,Giornata n. 13,Casa,V,3,Crotone
14,Parma,2020-12-19,Giornata n. 13,Casa,P,0,Juventus
13,Benevento,2020-12-20,Giornata n. 13,Casa,V,2,Genoa
17,Atalanta,2020-12-20,Giornata n. 13,Casa,V,4,Roma
18,Inter,2020-12-20,Giornata n. 13,Casa,V,2,Spezia
18,Lazio,2020-12-20,Giornata n. 13,Casa,V,2,Napoli
14,Cagliari,2020-12-20,Giornata n. 13,Casa,N,1,Udinese
12,Sassuolo,2020-12-20,Giornata n. 13,Casa,P,1,Milan
14,Torino,2020-12-20,Giornata n. 13,Casa,N,1,Bologna
18,Juventus,2020-12-22,Giornata n. 14,Casa,P,0,Fiorentina
14,Crotone,2020-12-22,Giornata n. 14,Casa,V,2,Parma
