,Data,Casa,Punteggio,Ospiti
147,2017-11-26,Genoa,1–1,Roma
148,2017-11-26,Lazio,1–1,Fiorentina
149,2017-11-26,Juventus,3–0,Crotone
150,2017-11-27,Atalanta,1–0,Benevento
152,2017-12-01,Roma,3–1,SPAL
153,2017-12-01,Napoli,0–1,Juventus
154,2017-12-02,Torino,1–1,Atalanta
155,2017-12-03,Benevento,2–2,Milan
156,2017-12-03,Fiorentina,3–0,Sassuolo
157,2017-12-03,Bologna,1–1,Cagliari
158,2017-12-03,Inter,5–0,Chievo
159,2017-12-03,Sampdoria,1–2,Lazio
160,2017-12-04,Crotone,0–3,Udinese
161,2017-12-04,Hellas Verona,0–1,Genoa
163,2017-12-09,Cagliari,2–2,Sampdoria
164,2017-12-09,Juventus,0–0,Inter
165,2017-12-10,Chievo,0–0,Roma
166,2017-12-10,Udinese,2–0,Benevento
167,2017-12-10,Napoli,0–0,Fiorentina
168,2017-12-10,SPAL,2–2,Hellas Verona
169,2017-12-10,Sassuolo,2–1,Crotone
170,2017-12-10,Milan,2–1,Bologna
171,2017-12-11,Lazio,1–3,Torino
172,2017-12-12,Genoa,1–2,Atalanta
174,2017-12-16,Inter,1–3,Udinese
175,2017-12-16,Torino,1–3,Napoli
176,2017-12-16,Roma,1–0,Cagliari
177,2017-12-17,Hellas Verona,3–0,Milan
178,2017-12-17,Crotone,1–0,Chievo
179,2017-12-17,Bologna,0–3,Juventus
180,2017-12-17,Sampdoria,0–1,Sassuolo
181,2017-12-17,Fiorentina,0–0,Genoa
182,2017-12-17,Benevento,1–2,SPAL
183,2017-12-17,Atalanta,3–3,Lazio
185,2017-12-22,Chievo,2–3,Bologna
186,2017-12-22,Cagliari,0–1,Fiorentina
187,2017-12-23,Lazio,4–0,Crotone
188,2017-12-23,Genoa,1–0,Benevento
189,2017-12-23,SPAL,2–2,Torino
190,2017-12-23,Sassuolo,1–0,Inter
191,2017-12-23,Udinese,4–0,Hellas Verona
192,2017-12-23,Napoli,3–2,Sampdoria
193,2017-12-23,Milan,0–2,Atalanta
194,2017-12-23,Juventus,1–0,Roma
196,2017-12-29,Crotone,0–1,Napoli
197,2017-12-30,Fiorentina,1–1,Milan
198,2017-12-30,Benevento,1–0,Chievo
199,2017-12-30,Bologna,1–2,Udinese
200,2017-12-30,Torino,0–0,Genoa
201,2017-12-30,Atalanta,1–2,Cagliari
202,2017-12-30,Roma,1–1,Sassuolo
203,2017-12-30,Sampdoria,2–0,SPAL
204,2017-12-30,Inter,0–0,Lazio
205,2017-12-30,Hellas Verona,1–3,Juventus
207,2018-01-05,Chievo,1–1,Udinese
208,2018-01-05,Fiorentina,1–1,Inter
209,2018-01-06,Torino,3–0,Bologna
210,2018-01-06,Napoli,2–0,Hellas Verona
211,2018-01-06,Benevento,3–2,Sampdoria
212,2018-01-06,SPAL,2–5,Lazio
213,2018-01-06,Milan,1–0,Crotone
214,2018-01-06,Genoa,1–0,Sassuolo
215,2018-01-06,Roma,1–2,Atalanta
216,2018-01-06,Cagliari,0–1,Juventus
218,2018-01-21,Atalanta,0–1,Napoli
219,2018-01-21,Lazio,5–1,Chievo
220,2018-01-21,Hellas Verona,0–3,Crotone
221,2018-01-21,Udinese,1–1,SPAL
222,2018-01-21,Sampdoria,3–1,Fiorentina
223,2018-01-21,Sassuolo,1–1,Torino
224,2018-01-21,Bologna,3–0,Benevento
225,2018-01-21,Cagliari,1–2,Milan
226,2018-01-21,Inter,1–1,Roma
227,2018-01-22,Juventus,1–0,Genoa
229,2018-01-24,Lazio,3–0,Udinese
231,2018-01-24,Sampdoria,1–1,Roma
233,2018-01-27,Sassuolo,0–3,Atalanta
234,2018-01-27,Chievo,0–2,Juventus
235,2018-01-28,SPAL,1–1,Inter
236,2018-01-28,Fiorentina,1–4,Hellas Verona
237,2018-01-28,Torino,3–0,Benevento
238,2018-01-28,Genoa,0–1,Udinese
239,2018-01-28,Crotone,1–1,Cagliari
240,2018-01-28,Napoli,3–1,Bologna
241,2018-01-28,Milan,2–1,Lazio
242,2018-01-28,Roma,0–1,Sampdoria
244,2018-02-03,Sampdoria,1–1,Torino
245,2018-02-03,Inter,1–1,Crotone
246,2018-02-04,Hellas Verona,0–1,Roma
247,2018-02-04,Atalanta,1–0,Chievo
248,2018-02-04,Cagliari,2–0,SPAL
249,2018-02-04,Udinese,1–1,Milan
250,2018-02-04,Bologna,1–2,Fiorentina
251,2018-02-04,Juventus,7–0,Sassuolo
252,2018-02-04,Benevento,0–2,Napoli
253,2018-02-05,Lazio,1–2,Genoa
255,2018-02-09,Fiorentina,0–2,Juventus
256,2018-02-10,SPAL,0–4,Milan
257,2018-02-10,Crotone,1–1,Atalanta
258,2018-02-10,Napoli,4–1,Lazio
259,2018-02-11,Sassuolo,0–0,Cagliari
260,2018-02-11,Chievo,0–1,Genoa
261,2018-02-11,Inter,2–1,Bologna
262,2018-02-11,Sampdoria,2–0,Hellas Verona
263,2018-02-11,Torino,2–0,Udinese
264,2018-02-11,Roma,5–2,Benevento
266,2018-02-17,Udinese,0–2,Roma
267,2018-02-17,Chievo,2–1,Cagliari
268,2018-02-17,Genoa,2–0,Inter
269,2018-02-18,Torino,0–1,Juventus
270,2018-02-18,Bologna,2–1,Sassuolo
271,2018-02-18,Benevento,3–2,Crotone
272,2018-02-18,Napoli,1–0,SPAL
273,2018-02-18,Atalanta,1–1,Fiorentina
274,2018-02-18,Milan,1–0,Sampdoria
275,2018-02-19,Lazio,2–0,Hellas Verona
277,2018-02-24,Bologna,2–0,Genoa
278,2018-02-24,Inter,2–0,Benevento
279,2018-02-25,Crotone,2–3,SPAL
280,2018-02-25,Sampdoria,2–1,Udinese
281,2018-02-25,Fiorentina,1–0,Chievo
282,2018-02-25,Sassuolo,0–3,Lazio
283,2018-02-25,Hellas Verona,2–1,Torino
284,2018-02-25,Roma,0–2,Milan
285,2018-02-26,Cagliari,0–5,Napoli
287,2018-03-03,SPAL,1–0,Bologna
288,2018-03-03,Lazio,0–1,Juventus
289,2018-03-03,Napoli,2–4,Roma
291,2018-03-09,Roma,3–0,Torino
292,2018-03-10,Hellas Verona,1–0,Chievo
293,2018-03-11,Fiorentina,1–0,Benevento
294,2018-03-11,Juventus,2–0,Udinese
295,2018-03-11,Bologna,0–1,Atalanta
296,2018-03-11,Sassuolo,1–1,SPAL
297,2018-03-11,Cagliari,2–2,Lazio
298,2018-03-11,Crotone,4–1,Sampdoria
299,2018-03-11,Genoa,0–1,Milan
300,2018-03-11,Inter,0–0,Napoli
302,2018-03-14,Juventus,2–0,Atalanta
304,2018-03-17,Udinese,1–2,Sassuolo
305,2018-03-17,SPAL,0–0,Juventus
306,2018-03-18,Sampdoria,0–5,Inter
307,2018-03-18,Milan,3–2,Chievo
308,2018-03-18,Crotone,0–2,Roma
309,2018-03-18,Benevento,1–2,Cagliari
310,2018-03-18,Torino,1–2,Fiorentina
311,2018-03-18,Hellas Verona,0–5,Atalanta
312,2018-03-18,Lazio,1–1,Bologna
313,2018-03-18,Napoli,1–0,Genoa
315,2018-03-31,Bologna,1–1,Roma
316,2018-03-31,Genoa,1–1,SPAL
317,2018-03-31,Fiorentina,2–0,Crotone
318,2018-03-31,Atalanta,2–0,Udinese
319,2018-03-31,Cagliari,0–4,Torino
320,2018-03-31,Inter,3–0,Hellas Verona
321,2018-03-31,Lazio,6–2,Benevento
322,2018-03-31,Chievo,2–1,Sampdoria
323,2018-03-31,Sassuolo,1–1,Napoli
324,2018-03-31,Juventus,3–1,Milan
326,2018-04-03,Udinese,0–2,Fiorentina
327,2018-04-03,Genoa,2–1,Cagliari
328,2018-04-03,Atalanta,1–2,Sampdoria
329,2018-04-04,Benevento,3–0,Hellas Verona
330,2018-04-04,Torino,4–1,Crotone
331,2018-04-04,Milan,0–0,Inter
332,2018-04-04,Chievo,1–1,Sassuolo
334,2018-04-07,Benevento,2–4,Juventus
335,2018-04-07,SPAL,1–1,Atalanta
336,2018-04-07,Roma,0–2,Fiorentina
337,2018-04-07,Sampdoria,0–0,Genoa
338,2018-04-08,Torino,1–0,Inter
339,2018-04-08,Napoli,2–1,Chievo
340,2018-04-08,Crotone,1–0,Bologna
341,2018-04-08,Hellas Verona,1–0,Cagliari
342,2018-04-08,Udinese,1–2,Lazio
343,2018-04-08,Milan,1–1,Sassuolo
345,2018-04-14,Cagliari,2–1,Udinese
346,2018-04-14,Chievo,0–0,Torino
347,2018-04-14,Genoa,1–0,Crotone
348,2018-04-14,Atalanta,0–0,Inter
349,2018-04-15,Fiorentina,0–0,SPAL
350,2018-04-15,Milan,0–0,Napoli
351,2018-04-15,Sassuolo,2–2,Benevento
352,2018-04-15,Bologna,2–0,Hellas Verona
353,2018-04-15,Juventus,3–0,Sampdoria
354,2018-04-15,Lazio,0–0,Roma
356,2018-04-17,Inter,4–0,Cagliari
357,2018-04-18,Benevento,0–3,Atalanta
358,2018-04-18,Sampdoria,1–0,Bologna
359,2018-04-18,Hellas Verona,0–1,Sassuolo
360,2018-04-18,Torino,1–1,Milan
361,2018-04-18,SPAL,0–0,Chievo
362,2018-04-18,Napoli,4–2,Udinese
363,2018-04-18,Fiorentina,3–4,Lazio
364,2018-04-18,Crotone,1–1,Juventus
365,2018-04-18,Roma,2–1,Genoa
367,2018-04-21,SPAL,0–3,Roma
368,2018-04-21,Sassuolo,1–0,Fiorentina
369,2018-04-21,Milan,0–1,Benevento
370,2018-04-22,Cagliari,0–0,Bologna
371,2018-04-22,Atalanta,2–1,Torino
372,2018-04-22,Udinese,1–2,Crotone
373,2018-04-22,Lazio,4–0,Sampdoria
374,2018-04-22,Chievo,1–2,Inter
375,2018-04-22,Juventus,0–1,Napoli
376,2018-04-23,Genoa,3–1,Hellas Verona
378,2018-04-28,Roma,4–1,Chievo
379,2018-04-28,Inter,2–3,Juventus
380,2018-04-29,Crotone,4–1,Sassuolo
381,2018-04-29,Sampdoria,4–1,Cagliari
382,2018-04-29,Bologna,1–2,Milan
383,2018-04-29,Atalanta,3–1,Genoa
384,2018-04-29,Benevento,3–3,Udinese
385,2018-04-29,Hellas Verona,1–3,SPAL
386,2018-04-29,Fiorentina,3–0,Napoli
387,2018-04-29,Torino,0–1,Lazio
389,2018-05-05,Milan,4–1,Hellas Verona
390,2018-05-05,Juventus,3–1,Bologna
391,2018-05-06,Udinese,0–4,Inter
392,2018-05-06,Napoli,2–2,Torino
393,2018-05-06,Lazio,1–1,Atalanta
394,2018-05-06,Genoa,2–3,Fiorentina
395,2018-05-06,Chievo,2–1,Crotone
396,2018-05-06,SPAL,2–0,Benevento
397,2018-05-06,Sassuolo,1–0,Sampdoria
398,2018-05-06,Cagliari,0–1,Roma
400,2018-05-12,Benevento,1–0,Genoa
401,2018-05-12,Inter,1–2,Sassuolo
402,2018-05-13,Bologna,1–2,Chievo
403,2018-05-13,Fiorentina,0–1,Cagliari
404,2018-05-13,Torino,2–1,SPAL
405,2018-05-13,Crotone,2–2,Lazio
406,2018-05-13,Hellas Verona,0–1,Udinese
407,2018-05-13,Atalanta,1–1,Milan
408,2018-05-13,Roma,0–0,Juventus
409,2018-05-13,Sampdoria,0–2,Napoli
411,2018-05-19,Juventus,2–1,Hellas Verona
412,2018-05-20,Genoa,1–2,Torino
413,2018-05-20,SPAL,3–1,Sampdoria
414,2018-05-20,Napoli,2–1,Crotone
415,2018-05-20,Chievo,1–0,Benevento
416,2018-05-20,Cagliari,1–0,Atalanta
417,2018-05-20,Milan,5–1,Fiorentina
418,2018-05-20,Udinese,1–0,Bologna
419,2018-05-20,Sassuolo,0–1,Roma
420,2018-05-20,Lazio,2–3,Inter
