,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
0,Atalanta,2022-08-13,Giornata n. 1,Ospiti,V,2.0,Sampdoria,9.0,3.0,0,0,45.0,22.0,6,0
0,Lecce,2022-08-13,Giornata n. 1,Casa,P,1.0,Inter,10.0,4.0,0,0,31.0,22.0,4,0
0,Milan,2022-08-13,Giornata n. 1,Casa,V,4.0,Udinese,14.0,4.0,1,1,59.0,17.0,1,0
0,Monza,2022-08-13,Giornata n. 1,Casa,P,1.0,Torino,15.0,4.0,0,0,54.0,7.0,1,0
0,Udinese,2022-08-13,Giornata n. 1,Ospiti,P,2.0,Milan,9.0,4.0,0,0,41.0,13.0,4,0
0,Sampdoria,2022-08-13,Giornata n. 1,Casa,P,0,Atalanta,11.0,1.0,0,0,55.0,13.0,4,0
0,Inter,2022-08-13,Giornata n. 1,Ospiti,V,2.0,Lecce,20.0,9.0,0,0,69.0,20.0,2,0
0,Torino,2022-08-13,Giornata n. 1,Ospiti,V,2.0,Monza,14.0,6.0,0,0,46.0,17.0,2,0
0,Spezia,2022-08-14,Giornata n. 1,Casa,V,1.0,Empoli,9.0,2.0,0,0,41.0,16.0,2,0
0,Lazio,2022-08-14,Giornata n. 1,Casa,V,2.0,Bologna,9.0,7.0,0,0,41.0,10.0,2,1
0,Fiorentina,2022-08-14,Giornata n. 1,Casa,V,3.0,Cremonese,28.0,9.0,0,0,74.0,13.0,0,0
0,Roma,2022-08-14,Giornata n. 1,Ospiti,V,1.0,Salernitana,20.0,3.0,0,0,48.0,10.0,2,0
0,Cremonese,2022-08-14,Giornata n. 1,Ospiti,P,2.0,Fiorentina,13.0,4.0,0,0,26.0,21.0,3,1
0,Salernitana,2022-08-14,Giornata n. 1,Casa,P,0.0,Roma,13.0,2.0,0,0,52.0,18.0,3,0
0,Empoli,2022-08-14,Giornata n. 1,Ospiti,P,0.0,Spezia,18.0,5.0,0,0,59.0,8.0,1,0
0,Bologna,2022-08-14,Giornata n. 1,Ospiti,P,1.0,Lazio,10.0,2.0,1,1,59.0,17.0,6,1
0,Hellas Verona,2022-08-15,Giornata n. 1,Casa,P,2.0,Napoli,6.0,3.0,0,0,34.0,16.0,2,0
0,Sassuolo,2022-08-15,Giornata n. 1,Ospiti,P,0.0,Juventus,19.0,7.0,0,0,58.0,6.0,3,0
0,Juventus,2022-08-15,Giornata n. 1,Casa,V,3.0,Sassuolo,13.0,3.0,1,1,42.0,7.0,1,0
0,Napoli,2022-08-15,Giornata n. 1,Ospiti,V,5.0,Hellas Verona,26.0,8.0,0,0,66.0,6.0,2,0
1,Torino,2022-08-20,Giornata n. 2,Casa,N,0.0,Lazio,10.0,1.0,0,0,54.0,11.0,0,0
1,Lecce,2022-08-20,Giornata n. 2,Ospiti,P,0.0,Sassuolo,7.0,1.0,0,0,42.0,12.0,1,0
1,Salernitana,2022-08-20,Giornata n. 2,Ospiti,N,0.0,Udinese,16.0,6.0,0,0,52.0,12.0,4,0
1,Lazio,2022-08-20,Giornata n. 2,Ospiti,N,0.0,Torino,7.0,2.0,0,0,46.0,13.0,5,0
1,Sassuolo,2022-08-20,Giornata n. 2,Casa,V,1.0,Lecce,12.0,3.0,0,0,58.0,15.0,5,0
1,Udinese,2022-08-20,Giornata n. 2,Casa,N,0.0,Salernitana,15.0,2.0,0,0,48.0,7.0,2,1
1,Inter,2022-08-20,Giornata n. 2,Casa,V,3.0,Spezia,19.0,8.0,0,0,54.0,11.0,0,0
1,Spezia,2022-08-20,Giornata n. 2,Ospiti,P,0.0,Inter,2.0,0.0,0,0,46.0,10.0,0,0
1,Monza,2022-08-21,Giornata n. 2,Ospiti,P,0.0,Napoli,4.0,1.0,0,0,46.0,14.0,1,0
1,Empoli,2022-08-21,Giornata n. 2,Casa,N,0.0,Fiorentina,4.0,2.0,0,0,37.0,13.0,1,1
1,Bologna,2022-08-21,Giornata n. 2,Casa,N,1.0,Hellas Verona,17.0,5.0,0,0,52.0,9.0,3,1
1,Fiorentina,2022-08-21,Giornata n. 2,Ospiti,N,0.0,Empoli,19.0,2.0,0,0,63.0,13.0,3,0
1,Atalanta,2022-08-21,Giornata n. 2,Casa,N,1.0,Milan,11.0,2.0,0,0,41.0,21.0,4,0
1,Hellas Verona,2022-08-21,Giornata n. 2,Ospiti,N,1.0,Bologna,19.0,3.0,0,0,48.0,15.0,3,0
1,Napoli,2022-08-21,Giornata n. 2,Casa,V,4.0,Monza,22.0,5.0,0,0,54.0,11.0,2,0
1,Milan,2022-08-21,Giornata n. 2,Ospiti,N,1.0,Atalanta,18.0,6.0,0,0,59.0,7.0,3,0
1,Juventus,2022-08-22,Giornata n. 2,Ospiti,N,0.0,Sampdoria,10.0,4.0,0,0,52.0,14.0,2,0
