,team1,team2,result,date
0,Lazio,Napoli,P,2018-08-18
1,Chievo,Juventus,P,2018-08-18
1,Sassuolo,Inter,V,2018-08-19
1,Bologna,SPAL,P,2018-08-19
1,Parma,Udinese,N,2018-08-19
1,Torino,Roma,P,2018-08-19
1,Empoli,Cagliari,V,2018-08-19
4,Atalanta,Frosinone,V,2018-08-20
1,Juventus,Lazio,V,2018-08-25
1,Napoli,Milan,V,2018-08-25
2,Udinese,Sampdoria,V,2018-08-26
1,Inter,Torino,N,2018-08-26
1,Genoa,Empoli,V,2018-08-26
2,Cagliari,Sassuolo,N,2018-08-26
2,Frosinone,Bologna,N,2018-08-26
0,Fiorentina,Chievo,V,2018-08-26
2,SPAL,Parma,V,2018-08-26
1,Roma,Atalanta,N,2018-08-27
1,Milan,Roma,V,2018-08-31
3,Parma,Juventus,P,2018-09-01
3,Bologna,Inter,P,2018-09-01
3,Torino,SPAL,V,2018-09-02
3,Chievo,Empoli,N,2018-09-02
1,Fiorentina,Udinese,V,2018-09-02
2,Lazio,Frosinone,V,2018-09-02
2,Sampdoria,Napoli,V,2018-09-02
8,Atalanta,Cagliari,P,2018-09-02
3,Sassuolo,Genoa,V,2018-09-02
3,Napoli,Fiorentina,V,2018-09-15
4,Frosinone,Sampdoria,P,2018-09-15
3,Inter,Parma,P,2018-09-15
4,Cagliari,Milan,N,2018-09-16
3,Roma,Chievo,N,2018-09-16
4,Empoli,Lazio,P,2018-09-16
3,Genoa,Bologna,V,2018-09-16
3,Juventus,Sassuolo,V,2018-09-16
4,Udinese,Torino,N,2018-09-16
4,SPAL,Atalanta,V,2018-09-17
4,Sampdoria,Fiorentina,N,2018-09-19
5,Sassuolo,Empoli,V,2018-09-21
4,Fiorentina,SPAL,V,2018-09-22
5,Parma,Cagliari,V,2018-09-22
5,Sampdoria,Inter,P,2018-09-22
5,Chievo,Udinese,P,2018-09-23
4,Milan,Atalanta,N,2018-09-23
5,Lazio,Genoa,V,2018-09-23
5,Bologna,Roma,V,2018-09-23
5,Frosinone,Juventus,P,2018-09-23
5,Torino,Napoli,P,2018-09-23
6,Inter,Fiorentina,V,2018-09-25
6,Napoli,Parma,V,2018-09-26
6,Roma,Frosinone,V,2018-09-26
6,Juventus,Bologna,V,2018-09-26
11,Atalanta,Torino,N,2018-09-26
6,Udinese,Lazio,P,2018-09-26
6,Cagliari,Sampdoria,N,2018-09-26
5,Genoa,Chievo,V,2018-09-26
6,Empoli,Milan,N,2018-09-27
6,SPAL,Sassuolo,P,2018-09-27
7,Roma,Lazio,V,2018-09-29
7,Juventus,Napoli,V,2018-09-29
7,Inter,Cagliari,V,2018-09-29
7,Sassuolo,Milan,P,2018-09-30
7,Parma,Empoli,V,2018-09-30
6,Fiorentina,Atalanta,V,2018-09-30
7,Frosinone,Genoa,P,2018-09-30
7,Chievo,Torino,P,2018-09-30
7,Bologna,Udinese,V,2018-09-30
7,Sampdoria,SPAL,V,2018-10-01
8,Torino,Frosinone,V,2018-10-05
8,Cagliari,Bologna,V,2018-10-06
8,Empoli,Roma,P,2018-10-06
8,Udinese,Juventus,P,2018-10-06
8,SPAL,Inter,P,2018-10-07
9,Napoli,Sassuolo,V,2018-10-07
13,Atalanta,Sampdoria,P,2018-10-07
