,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
2,Parma,2019-09-15,Giornata n. 3,Casa,P,1,Cagliari,20.0,7.0,0,0,56.0,14.0,0,0
2,Cagliari,2019-09-15,Giornata n. 3,Ospiti,V,3,Parma,9.0,3.0,0,0,44.0,21.0,5,0
2,Sassuolo,2019-09-15,Giornata n. 3,Ospiti,P,2,Roma,13.0,3.0,0,0,51.0,11.0,2,0
2,Lazio,2019-09-15,Giornata n. 3,Ospiti,P,1,SPAL,11.0,4.0,1,1,54.0,13.0,3,0
2,Bologna,2019-09-15,Giornata n. 3,Ospiti,V,4,Brescia,20.0,7.0,0,0,67.0,19.0,6,0
2,Milan,2019-09-15,Giornata n. 3,Ospiti,V,1,Hellas Verona,16.0,3.0,1,1,69.0,18.0,3,1
2,Atalanta,2019-09-15,Giornata n. 3,Ospiti,V,2,Genoa,17.0,4.0,1,1,48.0,14.0,3,0
2,SPAL,2019-09-15,Giornata n. 3,Casa,V,2,Lazio,17.0,3.0,0,0,46.0,11.0,5,0
2,Lecce,2019-09-16,Giornata n. 3,Ospiti,V,2,Torino,19.0,5.0,0,0,40.0,21.0,6,0
2,Torino,2019-09-16,Giornata n. 3,Casa,P,1,Lecce,14.0,3.0,1,1,60.0,12.0,1,0
3,Genoa,2019-09-20,Giornata n. 4,Ospiti,P,1,Cagliari,11.0,2.0,0,0,58.0,9.0,1,0
3,Cagliari,2019-09-20,Giornata n. 4,Casa,V,3,Genoa,14.0,4.0,0,0,42.0,15.0,1,0
3,Brescia,2019-09-21,Giornata n. 4,Ospiti,V,1,Udinese,9.0,4.0,0,0,43.0,18.0,4,0
3,Hellas Verona,2019-09-21,Giornata n. 4,Ospiti,P,1,Juventus,9.0,3.0,0,1,41.0,26.0,4,1
3,Juventus,2019-09-21,Giornata n. 4,Casa,V,2,Hellas Verona,19.0,1.0,1,1,59.0,13.0,0,0
3,Inter,2019-09-21,Giornata n. 4,Ospiti,V,2.0,Milan,16.0,7.0,0,0,47.0,22.0,1,0
3,Udinese,2019-09-21,Giornata n. 4,Casa,P,0,Brescia,10.0,3.0,0,0,57.0,23.0,4,0
3,Milan,2019-09-21,Giornata n. 4,Casa,P,0,Inter,9.0,1.0,0,0,53.0,14.0,2,0
3,Lecce,2019-09-22,Giornata n. 4,Casa,P,1,Napoli,9.0,2.0,1,1,38.0,13.0,3,0
3,Napoli,2019-09-22,Giornata n. 4,Ospiti,V,4,Lecce,20.0,9.0,1,1,62.0,8.0,3,0
3,SPAL,2019-09-22,Giornata n. 4,Ospiti,P,0,Sassuolo,13.0,3.0,0,0,45.0,18.0,2,0
3,Sassuolo,2019-09-22,Giornata n. 4,Casa,V,3,SPAL,20.0,6.0,0,0,55.0,20.0,3,0
3,Roma,2019-09-22,Giornata n. 4,Ospiti,V,2.0,Bologna,19.0,4.0,0,0,59.0,16.0,6,1
3,Torino,2019-09-22,Giornata n. 4,Ospiti,P,0,Sampdoria,5.0,1.0,0,0,61.0,18.0,1,0
3,Atalanta,2019-09-22,Giornata n. 4,Casa,N,2,Fiorentina,19.0,3.0,0,0,64.0,15.0,2,0
3,Lazio,2019-09-22,Giornata n. 4,Casa,V,2,Parma,25.0,9.0,0,0,61.0,7.0,1,0
3,Sampdoria,2019-09-22,Giornata n. 4,Casa,V,1,Torino,17.0,6.0,0,0,39.0,21.0,2,0
3,Parma,2019-09-22,Giornata n. 4,Ospiti,P,0,Lazio,6.0,1.0,0,0,39.0,15.0,3,0
3,Fiorentina,2019-09-22,Giornata n. 4,Ospiti,N,2,Atalanta,9.0,2.0,0,0,36.0,17.0,5,0
3,Bologna,2019-09-22,Giornata n. 4,Casa,P,1,Roma,5.0,2.0,1,1,41.0,17.0,3,0
4,Juventus,2019-09-24,Giornata n. 5,Ospiti,V,2,Brescia,19.0,5.0,0,0,67.0,15.0,3,0
4,Hellas Verona,2019-09-24,Giornata n. 5,Casa,N,0,Udinese,15.0,4.0,0,0,55.0,6.0,0,0
4,Brescia,2019-09-24,Giornata n. 5,Casa,P,1,Juventus,17.0,3.0,0,0,33.0,13.0,1,0
4,Udinese,2019-09-24,Giornata n. 5,Ospiti,N,0,Hellas Verona,11.0,3.0,0,0,45.0,20.0,4,0
4,Sampdoria,2019-09-25,Giornata n. 5,Ospiti,P,1,Fiorentina,8.0,2.0,0,0,44.0,15.0,5,1
4,Lazio,2019-09-25,Giornata n. 5,Ospiti,P,0,Inter,10.0,4.0,0,0,36.0,16.0,3,0
4,Cagliari,2019-09-25,Giornata n. 5,Ospiti,V,1,Napoli,5.0,1.0,0,0,33.0,16.0,1,0
4,Sassuolo,2019-09-25,Giornata n. 5,Ospiti,P,0,Parma,12.0,4.0,0,0,68.0,11.0,1,0
4,Parma,2019-09-25,Giornata n. 5,Casa,V,1,Sassuolo,8.0,4.0,0,1,32.0,21.0,3,0
4,Genoa,2019-09-25,Giornata n. 5,Casa,N,0,Bologna,7.0,2.0,0,0,42.0,20.0,5,0
4,SPAL,2019-09-25,Giornata n. 5,Casa,P,1,Lecce,17.0,6.0,0,0,58.0,15.0,1,0
4,Atalanta,2019-09-25,Giornata n. 5,Ospiti,V,2,Roma,18.0,5.0,0,0,52.0,12.0,1,0
4,Napoli,2019-09-25,Giornata n. 5,Casa,P,0,Cagliari,30.0,5.0,0,0,67.0,9.0,1,1
4,Roma,2019-09-25,Giornata n. 5,Casa,P,0.0,Atalanta,13.0,2.0,0,0,48.0,19.0,2,0
4,Inter,2019-09-25,Giornata n. 5,Casa,V,1.0,Lazio,16.0,3.0,0,0,64.0,9.0,2,0
4,Bologna,2019-09-25,Giornata n. 5,Ospiti,N,0,Genoa,17.0,1.0,0,1,58.0,15.0,4,0
4,Lecce,2019-09-25,Giornata n. 5,Ospiti,V,3,SPAL,6.0,1.0,2,2,42.0,14.0,2,0
4,Fiorentina,2019-09-25,Giornata n. 5,Casa,V,2,Sampdoria,18.0,8.0,0,0,56.0,13.0,4,0
4,Torino,2019-09-26,Giornata n. 5,Casa,V,2,Milan,10.0,4.0,0,0,46.0,17.0,4,0
4,Milan,2019-09-26,Giornata n. 5,Ospiti,P,1,Torino,15.0,3.0,1,1,54.0,23.0,5,1
5,Sampdoria,2019-09-28,Giornata n. 6,Casa,P,1,Inter,20.0,2.0,0,0,45.0,14.0,2,0
5,SPAL,2019-09-28,Giornata n. 6,Ospiti,P,0,Juventus,5.0,1.0,0,0,33.0,13.0,2,0
5,Inter,2019-09-28,Giornata n. 6,Ospiti,V,3.0,Sampdoria,16.0,7.0,0,0,55.0,11.0,4,1
5,Juventus,2019-09-28,Giornata n. 6,Casa,V,2,SPAL,21.0,10.0,0,0,67.0,13.0,2,0
5,Sassuolo,2019-09-28,Giornata n. 6,Casa,P,1,Atalanta,13.0,7.0,0,0,52.0,14.0,2,0
5,Atalanta,2019-09-28,Giornata n. 6,Ospiti,V,4,Sassuolo,14.0,7.0,0,0,48.0,16.0,2,0
5,Fiorentina,2019-09-29,Giornata n. 6,Ospiti,V,3,Milan,14.0,5.0,1,2,45.0,18.0,4,0
5,Napoli,2019-09-29,Giornata n. 6,Casa,V,2,Brescia,19.0,7.0,0,0,55.0,13.0,2,0
5,Cagliari,2019-09-29,Giornata n. 6,Casa,N,1,Hellas Verona,12.0,4.0,0,0,44.0,22.0,2,0
5,Roma,2019-09-29,Giornata n. 6,Ospiti,V,1.0,Lecce,18.0,5.0,0,1,60.0,20.0,4,0
5,Udinese,2019-09-29,Giornata n. 6,Casa,V,1,Bologna,12.0,4.0,0,0,40.0,22.0,4,0
5,Brescia,2019-09-29,Giornata n. 6,Ospiti,P,1,Napoli,16.0,3.0,0,0,45.0,10.0,1,0
