,team1,date,matchday,stadium,result,goals,team2
1,Monza,2022-08-13,Giornata n. 1,Casa,P,1.0,Torino
1,Sampdoria,2022-08-13,Giornata n. 1,Casa,P,0,Atalanta
1,Lecce,2022-08-13,Giornata n. 1,Casa,P,1.0,Inter
0,Milan,2022-08-13,Giornata n. 1,Casa,V,4.0,Udinese
0,Lazio,2022-08-14,Giornata n. 1,Casa,V,2.0,Bologna
1,Salernitana,2022-08-14,Giornata n. 1,Casa,P,0.0,Roma
1,Spezia,2022-08-14,Giornata n. 1,Casa,V,1.0,Empoli
0,Fiorentina,2022-08-14,Giornata n. 1,Casa,V,3.0,Cremonese
1,Hellas Verona,2022-08-15,Giornata n. 1,Casa,P,2.0,Napoli
0,Juventus,2022-08-15,Giornata n. 1,Casa,V,3.0,Sassuolo
2,Sassuolo,2022-08-20,Giornata n. 2,Casa,V,1.0,Lecce
1,Inter,2022-08-20,Giornata n. 2,Casa,V,3.0,Spezia
2,Udinese,2022-08-20,Giornata n. 2,Casa,N,0.0,Salernitana
2,Torino,2022-08-20,Giornata n. 2,Casa,N,0.0,Lazio
1,Napoli,2022-08-21,Giornata n. 2,Casa,V,4.0,Monza
2,Bologna,2022-08-21,Giornata n. 2,Casa,N,1.0,Hellas Verona
2,Empoli,2022-08-21,Giornata n. 2,Casa,N,0.0,Fiorentina
1,Atalanta,2022-08-21,Giornata n. 2,Casa,N,1.0,Milan
1,Roma,2022-08-22,Giornata n. 2,Casa,V,1.0,Cremonese
2,Sampdoria,2022-08-22,Giornata n. 2,Casa,N,0,Juventus
3,Monza,2022-08-26,Giornata n. 3,Casa,P,1.0,Udinese
2,Lazio,2022-08-26,Giornata n. 3,Casa,V,3.0,Inter
2,Milan,2022-08-27,Giornata n. 3,Casa,V,2.0,Bologna
3,Spezia,2022-08-27,Giornata n. 3,Casa,N,2.0,Sassuolo
3,Cremonese,2022-08-27,Giornata n. 3,Casa,P,1.0,Torino
2,Juventus,2022-08-27,Giornata n. 3,Casa,N,1.0,Roma
4,Fiorentina,2022-08-28,Giornata n. 3,Casa,N,0.0,Napoli
3,Lecce,2022-08-28,Giornata n. 3,Casa,N,1.0,Empoli
3,Salernitana,2022-08-28,Giornata n. 3,Casa,V,4.0,Sampdoria
3,Hellas Verona,2022-08-28,Giornata n. 3,Casa,P,0.0,Atalanta
3,Roma,2022-08-30,Giornata n. 4,Casa,V,3.0,Monza
3,Inter,2022-08-30,Giornata n. 4,Casa,V,3.0,Cremonese
4,Sassuolo,2022-08-30,Giornata n. 4,Casa,N,0.0,Milan
4,Udinese,2022-08-31,Giornata n. 4,Casa,V,1.0,Fiorentina
3,Napoli,2022-08-31,Giornata n. 4,Casa,N,1.0,Lecce
3,Juventus,2022-08-31,Giornata n. 4,Casa,V,2.0,Spezia
4,Sampdoria,2022-08-31,Giornata n. 4,Casa,N,1,Lazio
4,Empoli,2022-08-31,Giornata n. 4,Casa,N,1.0,Hellas Verona
3,Atalanta,2022-09-01,Giornata n. 4,Casa,V,3.0,Torino
4,Bologna,2022-09-01,Giornata n. 4,Casa,N,1.0,Salernitana
4,Lazio,2022-09-03,Giornata n. 5,Casa,P,1.0,Napoli
4,Milan,2022-09-03,Giornata n. 5,Casa,V,3.0,Inter
6,Fiorentina,2022-09-03,Giornata n. 5,Casa,N,1.0,Juventus
5,Hellas Verona,2022-09-04,Giornata n. 5,Casa,V,2.0,Sampdoria
5,Spezia,2022-09-04,Giornata n. 5,Casa,N,2.0,Bologna
5,Cremonese,2022-09-04,Giornata n. 5,Casa,N,0.0,Sassuolo
5,Udinese,2022-09-04,Giornata n. 5,Casa,V,4.0,Roma
5,Monza,2022-09-05,Giornata n. 5,Casa,P,0.0,Atalanta
5,Salernitana,2022-09-05,Giornata n. 5,Casa,N,2.0,Empoli
5,Torino,2022-09-05,Giornata n. 5,Casa,V,1.0,Lecce
6,Sampdoria,2022-09-10,Giornata n. 6,Casa,P,1,Milan
6,Inter,2022-09-10,Giornata n. 6,Casa,V,1.0,Torino
6,Napoli,2022-09-10,Giornata n. 6,Casa,V,1.0,Spezia
6,Lazio,2022-09-11,Giornata n. 6,Casa,V,2.0,Hellas Verona
6,Bologna,2022-09-11,Giornata n. 6,Casa,V,2.0,Fiorentina
5,Atalanta,2022-09-11,Giornata n. 6,Casa,N,1.0,Cremonese
6,Lecce,2022-09-11,Giornata n. 6,Casa,N,1.0,Monza
6,Sassuolo,2022-09-11,Giornata n. 6,Casa,P,1.0,Udinese
6,Juventus,2022-09-11,Giornata n. 6,Casa,N,2.0,Salernitana
6,Empoli,2022-09-12,Giornata n. 6,Casa,P,1.0,Roma
7,Salernitana,2022-09-16,Giornata n. 7,Casa,P,1.0,Lecce
7,Torino,2022-09-17,Giornata n. 7,Casa,P,0.0,Sassuolo
7,Bologna,2022-09-17,Giornata n. 7,Casa,P,0.0,Empoli
7,Spezia,2022-09-17,Giornata n. 7,Casa,V,2.0,Sampdoria
8,Milan,2022-09-18,Giornata n. 7,Casa,P,1.0,Napoli
8,Roma,2022-09-18,Giornata n. 7,Casa,P,0.0,Atalanta
7,Monza,2022-09-18,Giornata n. 7,Casa,V,1.0,Juventus
10,Fiorentina,2022-09-18,Giornata n. 7,Casa,V,2.0,Hellas Verona
7,Cremonese,2022-09-18,Giornata n. 7,Casa,P,0.0,Lazio
7,Udinese,2022-09-18,Giornata n. 7,Casa,V,3.0,Inter
8,Empoli,2022-10-01,Giornata n. 8,Casa,P,1.0,Milan
9,Inter,2022-10-01,Giornata n. 8,Casa,P,1.0,Roma
