,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
2,Cagliari,2018-09-02,Giornata n. 3,Ospiti,V,1.0,Atalanta,5.0,3.0,0,0,47.0,19.0,2,0,2018-2019
2,Lazio,2018-09-02,Giornata n. 3,Casa,V,1.0,Frosinone,24.0,6.0,0,0,64.0,13.0,1,0,2018-2019
1,Fiorentina,2018-09-02,Giornata n. 3,Casa,V,1.0,Udinese,14.0,3.0,0,0,62.0,11.0,3,0,2018-2019
2,Chievo,2018-09-02,Giornata n. 3,Casa,N,0.0,Empoli,10.0,3.0,0,0,36.0,13.0,1,0,2018-2019
2,Sassuolo,2018-09-02,Giornata n. 3,Casa,V,5.0,Genoa,10.0,7.0,0,0,44.0,17.0,3,0,2018-2019
2,Atalanta,2018-09-02,Giornata n. 3,Casa,P,0.0,Cagliari,11.0,2.0,0,0,53.0,15.0,2,0,2018-2019
1,Sampdoria,2018-09-02,Giornata n. 3,Casa,V,3.0,Napoli,9.0,3.0,0,0,49.0,14.0,2,0,2018-2019
2,Frosinone,2018-09-02,Giornata n. 3,Ospiti,P,0.0,Lazio,10.0,2.0,0,0,36.0,8.0,2,0,2018-2019
2,Udinese,2018-09-02,Giornata n. 3,Ospiti,P,0.0,Fiorentina,6.0,1.0,0,0,38.0,17.0,1,0,2018-2019
2,Empoli,2018-09-02,Giornata n. 3,Ospiti,N,0.0,Chievo,12.0,2.0,0,0,64.0,12.0,1,0,2018-2019
1,Genoa,2018-09-02,Giornata n. 3,Ospiti,P,3.0,Sassuolo,19.0,5.0,0,0,56.0,20.0,3,0,2018-2019
3,Frosinone,2018-09-15,Giornata n. 4,Casa,P,0.0,Sampdoria,8.0,1.0,0,0,38.0,13.0,3,0,2018-2019
2,Fiorentina,2018-09-15,Giornata n. 4,Ospiti,P,0.0,Napoli,9.0,1.0,0,0,43.0,18.0,4,0,2018-2019
3,Parma,2018-09-15,Giornata n. 4,Ospiti,V,1.0,Inter,9.0,5.0,0,0,27.0,8.0,2,0,2018-2019
3,Napoli,2018-09-15,Giornata n. 4,Casa,V,1.0,Fiorentina,21.0,3.0,0,0,57.0,16.0,1,0,2018-2019
3,Inter,2018-09-15,Giornata n. 4,Casa,P,0.0,Parma,31.0,7.0,0,0,73.0,10.0,2,0,2018-2019
2,Sampdoria,2018-09-15,Giornata n. 4,Ospiti,V,5.0,Frosinone,11.0,5.0,1,1,62.0,17.0,1,0,2018-2019
3,Bologna,2018-09-16,Giornata n. 4,Ospiti,P,0.0,Genoa,12.0,1.0,0,0,48.0,21.0,5,1,2018-2019
2,Milan,2018-09-16,Giornata n. 4,Ospiti,N,1.0,Cagliari,21.0,5.0,0,0,63.0,13.0,1,0,2018-2019
3,Udinese,2018-09-16,Giornata n. 4,Casa,N,1.0,Torino,7.0,1.0,0,0,34.0,16.0,2,0,2018-2019
3,Juventus,2018-09-16,Giornata n. 4,Casa,V,2.0,Sassuolo,18.0,4.0,0,0,43.0,16.0,3,1,2018-2019
3,Cagliari,2018-09-16,Giornata n. 4,Casa,N,1.0,Milan,7.0,2.0,0,0,37.0,16.0,1,0,2018-2019
3,Roma,2018-09-16,Giornata n. 4,Casa,N,2.0,Chievo,17.0,9.0,0,0,56.0,10.0,1,0,2018-2019
3,Lazio,2018-09-16,Giornata n. 4,Ospiti,V,1.0,Empoli,21.0,4.0,0,0,45.0,14.0,3,0,2018-2019
3,Torino,2018-09-16,Giornata n. 4,Ospiti,N,1.0,Udinese,16.0,4.0,0,0,66.0,15.0,2,0,2018-2019
2,Genoa,2018-09-16,Giornata n. 4,Casa,V,1.0,Bologna,12.0,4.0,0,0,52.0,14.0,2,0,2018-2019
3,Sassuolo,2018-09-16,Giornata n. 4,Ospiti,P,1.0,Juventus,17.0,5.0,0,0,57.0,16.0,3,0,2018-2019
3,Empoli,2018-09-16,Giornata n. 4,Casa,P,0.0,Lazio,13.0,2.0,0,0,55.0,15.0,2,0,2018-2019
3,Chievo,2018-09-16,Giornata n. 4,Ospiti,N,2.0,Roma,13.0,5.0,0,0,44.0,15.0,1,0,2018-2019
3,SPAL,2018-09-17,Giornata n. 4,Casa,V,2.0,Atalanta,17.0,5.0,0,0,42.0,17.0,3,0,2018-2019
3,Atalanta,2018-09-17,Giornata n. 4,Ospiti,P,0.0,SPAL,14.0,1.0,0,0,58.0,21.0,5,0,2018-2019
3,Fiorentina,2018-09-19,Giornata n. 1,Ospiti,N,1.0,Sampdoria,15.0,9.0,0,0,40.0,17.0,2,0,2018-2019
3,Sampdoria,2018-09-19,Giornata n. 1,Casa,N,1.0,Fiorentina,11.0,4.0,0,0,60.0,14.0,3,0,2018-2019
4,Empoli,2018-09-21,Giornata n. 5,Ospiti,P,1.0,Sassuolo,15.0,2.0,0,0,40.0,9.0,3,1,2018-2019
4,Sassuolo,2018-09-21,Giornata n. 5,Casa,V,3.0,Empoli,22.0,6.0,0,0,60.0,20.0,1,0,2018-2019
4,Sampdoria,2018-09-22,Giornata n. 5,Casa,P,0.0,Inter,9.0,3.0,0,0,48.0,17.0,3,0,2018-2019
4,SPAL,2018-09-22,Giornata n. 5,Ospiti,P,0.0,Fiorentina,8.0,2.0,0,0,47.0,16.0,2,0,2018-2019
4,Cagliari,2018-09-22,Giornata n. 5,Ospiti,P,0.0,Parma,16.0,2.0,0,0,70.0,7.0,1,0,2018-2019
4,Parma,2018-09-22,Giornata n. 5,Casa,V,2.0,Cagliari,18.0,6.0,0,0,30.0,15.0,2,0,2018-2019
4,Fiorentina,2018-09-22,Giornata n. 5,Casa,V,3.0,SPAL,17.0,5.0,0,0,53.0,9.0,1,0,2018-2019
4,Inter,2018-09-22,Giornata n. 5,Ospiti,V,1.0,Sampdoria,16.0,3.0,0,0,52.0,15.0,2,0,2018-2019
4,Juventus,2018-09-23,Giornata n. 5,Ospiti,V,2.0,Frosinone,30.0,9.0,0,0,70.0,10.0,1,0,2018-2019
4,Torino,2018-09-23,Giornata n. 5,Casa,P,1.0,Napoli,10.0,1.0,1,1,47.0,23.0,2,0,2018-2019
4,Roma,2018-09-23,Giornata n. 5,Ospiti,P,0.0,Bologna,27.0,9.0,0,0,69.0,13.0,4,0,2018-2019
4,Udinese,2018-09-23,Giornata n. 5,Ospiti,V,2.0,Chievo,12.0,5.0,0,0,41.0,10.0,1,0,2018-2019
3,Genoa,2018-09-23,Giornata n. 5,Ospiti,P,1.0,Lazio,12.0,4.0,0,0,43.0,10.0,2,0,2018-2019
4,Frosinone,2018-09-23,Giornata n. 5,Casa,P,0.0,Juventus,3.0,0.0,0,0,30.0,17.0,3,0,2018-2019
3,Milan,2018-09-23,Giornata n. 5,Casa,N,2.0,Atalanta,15.0,4.0,0,0,56.0,9.0,2,0,2018-2019
4,Napoli,2018-09-23,Giornata n. 5,Ospiti,V,3.0,Torino,17.0,6.0,0,0,53.0,16.0,3,0,2018-2019
4,Bologna,2018-09-23,Giornata n. 5,Casa,V,2.0,Roma,12.0,2.0,0,0,31.0,9.0,2,0,2018-2019
4,Lazio,2018-09-23,Giornata n. 5,Casa,V,4.0,Genoa,21.0,7.0,0,0,57.0,11.0,1,0,2018-2019
4,Atalanta,2018-09-23,Giornata n. 5,Ospiti,N,2.0,Milan,17.0,5.0,0,0,44.0,6.0,1,0,2018-2019
4,Chievo,2018-09-23,Giornata n. 5,Casa,P,0.0,Udinese,16.0,5.0,0,0,59.0,19.0,1,0,2018-2019
5,Fiorentina,2018-09-25,Giornata n. 6,Ospiti,P,1.0,Inter,16.0,4.0,0,0,50.0,24.0,3,0,2018-2019
5,Inter,2018-09-25,Giornata n. 6,Casa,V,2.0,Fiorentina,14.0,2.0,1,1,50.0,21.0,1,0,2018-2019
5,Parma,2018-09-26,Giornata n. 6,Ospiti,P,0.0,Napoli,3.0,0.0,0,0,34.0,17.0,3,0,2018-2019
5,Chievo,2018-09-26,Giornata n. 6,Ospiti,P,0.0,Genoa,9.0,1.0,0,0,52.0,18.0,4,0,2018-2019
5,Juventus,2018-09-26,Giornata n. 6,Casa,V,2.0,Bologna,15.0,9.0,0,0,75.0,13.0,2,0,2018-2019
5,Atalanta,2018-09-26,Giornata n. 6,Casa,N,0.0,Torino,13.0,3.0,0,0,57.0,14.0,2,0,2018-2019
5,Frosinone,2018-09-26,Giornata n. 6,Ospiti,P,0.0,Roma,12.0,1.0,0,0,33.0,9.0,1,0,2018-2019
4,Genoa,2018-09-26,Giornata n. 6,Casa,V,2.0,Chievo,18.0,4.0,0,0,48.0,15.0,4,0,2018-2019
5,Cagliari,2018-09-26,Giornata n. 6,Casa,N,0.0,Sampdoria,15.0,1.0,0,0,48.0,19.0,1,0,2018-2019
5,Torino,2018-09-26,Giornata n. 6,Ospiti,N,0.0,Atalanta,7.0,0.0,0,0,43.0,20.0,1,0,2018-2019
5,Sampdoria,2018-09-26,Giornata n. 6,Ospiti,N,0.0,Cagliari,13.0,2.0,0,1,52.0,22.0,3,0,2018-2019
5,Napoli,2018-09-26,Giornata n. 6,Casa,V,3.0,Parma,28.0,7.0,0,0,66.0,9.0,0,0,2018-2019
5,Lazio,2018-09-26,Giornata n. 6,Ospiti,V,2.0,Udinese,10.0,2.0,0,0,49.0,18.0,6,0,2018-2019
5,Roma,2018-09-26,Giornata n. 6,Casa,V,4.0,Frosinone,19.0,10.0,0,0,67.0,14.0,0,0,2018-2019
5,Udinese,2018-09-26,Giornata n. 6,Casa,P,1.0,Lazio,12.0,6.0,0,0,51.0,12.0,2,0,2018-2019
5,Bologna,2018-09-26,Giornata n. 6,Ospiti,P,0.0,Juventus,6.0,2.0,0,0,25.0,15.0,3,0,2018-2019
5,Empoli,2018-09-27,Giornata n. 6,Casa,N,1.0,Milan,3.0,1.0,1,1,47.0,13.0,2,0,2018-2019
5,Sassuolo,2018-09-27,Giornata n. 6,Ospiti,V,2.0,SPAL,14.0,6.0,0,0,49.0,13.0,0,0,2018-2019
4,Milan,2018-09-27,Giornata n. 6,Ospiti,N,1.0,Empoli,26.0,9.0,0,0,53.0,10.0,2,0,2018-2019
5,SPAL,2018-09-27,Giornata n. 6,Casa,P,0.0,Sassuolo,12.0,2.0,0,0,51.0,16.0,1,0,2018-2019
6,Inter,2018-09-29,Giornata n. 7,Casa,V,2.0,Cagliari,15.0,6.0,0,0,50.0,17.0,1,0,2018-2019
6,Lazio,2018-09-29,Giornata n. 7,Ospiti,P,1.0,Roma,17.0,4.0,0,0,55.0,14.0,1,0,2018-2019
6,Napoli,2018-09-29,Giornata n. 7,Ospiti,P,1.0,Juventus,15.0,4.0,0,0,49.0,10.0,4,1,2018-2019
6,Juventus,2018-09-29,Giornata n. 7,Casa,V,3.0,Napoli,19.0,9.0,0,0,51.0,16.0,3,0,2018-2019
6,Cagliari,2018-09-29,Giornata n. 7,Ospiti,P,0.0,Inter,5.0,2.0,0,0,50.0,12.0,4,0,2018-2019
6,Roma,2018-09-29,Giornata n. 7,Casa,V,3.0,Lazio,17.0,7.0,0,0,45.0,11.0,3,0,2018-2019
6,Fiorentina,2018-09-30,Giornata n. 7,Casa,V,2.0,Atalanta,6.0,3.0,1,1,35.0,13.0,3,0,2018-2019
5,Milan,2018-09-30,Giornata n. 7,Ospiti,V,4.0,Sassuolo,13.0,7.0,0,0,40.0,16.0,1,0,2018-2019
6,Torino,2018-09-30,Giornata n. 7,Ospiti,V,1.0,Chievo,17.0,5.0,0,0,63.0,16.0,3,0,2018-2019
6,Sassuolo,2018-09-30,Giornata n. 7,Casa,P,1.0,Milan,12.0,3.0,0,0,60.0,14.0,1,0,2018-2019
6,Udinese,2018-09-30,Giornata n. 7,Ospiti,P,1.0,Bologna,15.0,2.0,0,0,54.0,12.0,4,0,2018-2019
6,Atalanta,2018-09-30,Giornata n. 7,Ospiti,P,0.0,Fiorentina,18.0,3.0,0,0,65.0,12.0,3,0,2018-2019
6,Bologna,2018-09-30,Giornata n. 7,Casa,V,2.0,Udinese,23.0,6.0,0,0,46.0,8.0,2,0,2018-2019
6,Chievo,2018-09-30,Giornata n. 7,Casa,P,0.0,Torino,9.0,1.0,0,0,37.0,17.0,3,0,2018-2019
6,Empoli,2018-09-30,Giornata n. 7,Ospiti,P,0.0,Parma,17.0,2.0,0,0,68.0,8.0,3,0,2018-2019
6,Frosinone,2018-09-30,Giornata n. 7,Casa,P,1.0,Genoa,16.0,3.0,1,1,50.0,25.0,3,0,2018-2019
6,Parma,2018-09-30,Giornata n. 7,Casa,V,1.0,Empoli,13.0,3.0,0,0,32.0,12.0,2,0,2018-2019
5,Genoa,2018-09-30,Giornata n. 7,Ospiti,V,2.0,Frosinone,10.0,4.0,0,0,50.0,20.0,2,0,2018-2019
6,Sampdoria,2018-10-01,Giornata n. 7,Casa,V,2.0,SPAL,15.0,9.0,0,0,46.0,17.0,3,0,2018-2019
6,SPAL,2018-10-01,Giornata n. 7,Ospiti,P,1.0,Sampdoria,9.0,4.0,0,0,54.0,19.0,3,0,2018-2019
7,Torino,2018-10-05,Giornata n. 8,Casa,V,3.0,Frosinone,17.0,8.0,0,0,60.0,16.0,3,0,2018-2019
7,Frosinone,2018-10-05,Giornata n. 8,Ospiti,P,2.0,Torino,12.0,5.0,0,0,40.0,17.0,3,0,2018-2019
7,Cagliari,2018-10-06,Giornata n. 8,Casa,V,2.0,Bologna,11.0,5.0,0,0,52.0,9.0,2,0,2018-2019
7,Juventus,2018-10-06,Giornata n. 8,Ospiti,V,2.0,Udinese,23.0,6.0,0,0,60.0,15.0,1,0,2018-2019
7,Bologna,2018-10-06,Giornata n. 8,Ospiti,P,0.0,Cagliari,11.0,4.0,0,0,48.0,17.0,4,0,2018-2019
7,Udinese,2018-10-06,Giornata n. 8,Casa,P,0.0,Juventus,9.0,2.0,0,0,40.0,15.0,3,0,2018-2019
7,Empoli,2018-10-06,Giornata n. 8,Casa,P,0.0,Roma,18.0,2.0,0,1,44.0,14.0,2,0,2018-2019
7,Roma,2018-10-06,Giornata n. 8,Ospiti,V,2.0,Empoli,9.0,3.0,0,0,56.0,14.0,1,0,2018-2019
7,Sampdoria,2018-10-07,Giornata n. 8,Ospiti,V,1.0,Atalanta,9.0,3.0,0,0,42.0,15.0,4,0,2018-2019
7,Inter,2018-10-07,Giornata n. 8,Ospiti,V,2.0,SPAL,13.0,3.0,0,0,49.0,21.0,2,0,2018-2019
6,Genoa,2018-10-07,Giornata n. 8,Casa,P,1.0,Parma,29.0,10.0,0,0,60.0,9.0,1,0,2018-2019
7,Fiorentina,2018-10-07,Giornata n. 8,Ospiti,P,0.0,Lazio,15.0,5.0,0,0,59.0,12.0,3,0,2018-2019
7,SPAL,2018-10-07,Giornata n. 8,Casa,P,1.0,Inter,14.0,5.0,0,1,51.0,16.0,6,0,2018-2019
7,Atalanta,2018-10-07,Giornata n. 8,Casa,P,0.0,Sampdoria,21.0,3.0,0,0,58.0,20.0,2,0,2018-2019
7,Sassuolo,2018-10-07,Giornata n. 8,Ospiti,P,0.0,Napoli,11.0,7.0,0,0,55.0,9.0,2,1,2018-2019
7,Napoli,2018-10-07,Giornata n. 8,Casa,V,2.0,Sassuolo,15.0,7.0,0,0,45.0,13.0,2,0,2018-2019
7,Chievo,2018-10-07,Giornata n. 8,Ospiti,P,1.0,Milan,12.0,1.0,0,0,33.0,15.0,1,0,2018-2019
6,Milan,2018-10-07,Giornata n. 8,Casa,V,3.0,Chievo,20.0,7.0,0,0,67.0,8.0,1,0,2018-2019
7,Parma,2018-10-07,Giornata n. 8,Ospiti,V,3.0,Genoa,8.0,5.0,0,0,40.0,10.0,1,0,2018-2019
7,Lazio,2018-10-07,Giornata n. 8,Casa,V,1.0,Fiorentina,13.0,7.0,0,0,41.0,21.0,5,0,2018-2019
8,Udinese,2018-10-20,Giornata n. 9,Casa,P,0.0,Napoli,11.0,4.0,0,0,39.0,15.0,3,0,2018-2019
8,SPAL,2018-10-20,Giornata n. 9,Ospiti,V,2.0,Roma,6.0,4.0,1,1,37.0,8.0,4,1,2018-2019
8,Roma,2018-10-20,Giornata n. 9,Casa,P,0.0,SPAL,20.0,8.0,0,0,63.0,18.0,3,0,2018-2019
8,Juventus,2018-10-20,Giornata n. 9,Casa,N,1.0,Genoa,20.0,3.0,0,0,63.0,10.0,1,0,2018-2019
