,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
2,Inter,2020-10-04,Giornata n. 3,Ospiti,N,1,Lazio,12,4,0,0,555.0,641.0,8.0,60.0,14,4,1
2,Milan,2020-10-04,Giornata n. 3,Casa,V,3,Spezia,16,5,0,0,525.0,617.0,4.0,61.0,15,1,0
2,Benevento,2020-10-04,Giornata n. 3,Casa,V,1,Bologna,7,2,0,0,229.0,326.0,4.0,41.0,13,2,0
2,Cagliari,2020-10-04,Giornata n. 3,Ospiti,P,2,Atalanta,13,3,0,0,352.0,454.0,9.0,41.0,11,0,0
3,Inter,2020-10-17,Giornata n. 4,Casa,P,1,Milan,18,5,0,0,404.0,497.0,3.0,55.0,20,3,0
3,Lazio,2020-10-17,Giornata n. 4,Ospiti,P,0,Sampdoria,10,0,0,0,448.0,548.0,3.0,48.0,14,2,0
3,Crotone,2020-10-17,Giornata n. 4,Casa,N,1,Juventus,9,2,1,1,401.0,491.0,3.0,46.0,18,3,0
3,Atalanta,2020-10-17,Giornata n. 4,Ospiti,P,1,Napoli,13,4,0,0,461.0,533.0,2.0,50.0,24,3,0
2,Napoli,2020-10-17,Giornata n. 4,Casa,V,4,Atalanta,20,13,0,0,435.0,525.0,6.0,50.0,12,1,0
2,Juventus,2020-10-17,Giornata n. 4,Ospiti,N,1,Crotone,10,2,0,0,483.0,568.0,4.0,54.0,13,3,1
3,Milan,2020-10-17,Giornata n. 4,Ospiti,V,2,Inter,10,3,0,1,301.0,400.0,5.0,45.0,14,3,0
3,Sampdoria,2020-10-17,Giornata n. 4,Casa,V,3,Lazio,12,7,0,0,464.0,588.0,4.0,52.0,17,2,0
3,Benevento,2020-10-18,Giornata n. 4,Ospiti,P,2,Roma,9,3,0,1,370.0,451.0,4.0,48.0,10,2,0
3,Bologna,2020-10-18,Giornata n. 4,Casa,P,3,Sassuolo,14,6,0,0,288.0,395.0,7.0,48.0,25,2,0
3,Parma,2020-10-18,Giornata n. 4,Ospiti,P,2,Udinese,10,4,0,0,483.0,572.0,2.0,57.0,13,2,0
3,Roma,2020-10-18,Giornata n. 4,Casa,V,5,Benevento,19,6,1,1,412.0,497.0,6.0,52.0,18,3,0
3,Sassuolo,2020-10-18,Giornata n. 4,Ospiti,V,4,Bologna,25,13,0,0,341.0,425.0,11.0,52.0,16,2,0
2,Torino,2020-10-18,Giornata n. 4,Casa,P,2,Cagliari,11,5,1,1,492.0,565.0,2.0,58.0,20,2,1
3,Cagliari,2020-10-18,Giornata n. 4,Ospiti,V,3,Torino,13,6,0,0,321.0,403.0,4.0,42.0,23,3,0
3,Fiorentina,2020-10-18,Giornata n. 4,Ospiti,N,2,Spezia,10,3,0,0,408.0,482.0,5.0,48.0,18,2,0
3,Spezia,2020-10-18,Giornata n. 4,Casa,N,2,Fiorentina,13,2,0,0,432.0,514.0,5.0,52.0,16,2,0
3,Udinese,2020-10-18,Giornata n. 4,Casa,V,3,Parma,14,4,0,0,328.0,424.0,11.0,43.0,13,3,0
3,Hellas Verona,2020-10-19,Giornata n. 4,Casa,N,0,Genoa,18,10,0,0,447.0,580.0,14.0,59.0,14,1,0
2,Genoa,2020-10-19,Giornata n. 4,Ospiti,N,0,Hellas Verona,6,2,0,0,288.0,411.0,2.0,41.0,19,4,0
3,Torino,2020-10-23,Giornata n. 5,Ospiti,N,3,Sassuolo,17,10,0,0,231.0,298.0,8.0,29.0,15,2,0
4,Sassuolo,2020-10-23,Giornata n. 5,Casa,N,3,Torino,16,6,0,0,671.0,747.0,6.0,71.0,11,2,0
3,Genoa,2020-10-24,Giornata n. 5,Casa,P,0,Inter,1,0,0,0,359.0,466.0,1.0,39.0,14,1,0
4,Bologna,2020-10-24,Giornata n. 5,Ospiti,P,1,Lazio,23,6,0,0,441.0,524.0,9.0,51.0,16,3,0
4,Inter,2020-10-24,Giornata n. 5,Ospiti,V,2,Genoa,14,4,0,0,602.0,721.0,9.0,61.0,20,1,0
4,Atalanta,2020-10-24,Giornata n. 5,Casa,P,1,Sampdoria,19,4,1,1,601.0,704.0,3.0,65.0,13,3,0
4,Lazio,2020-10-24,Giornata n. 5,Casa,V,2,Bologna,10,4,0,0,389.0,499.0,8.0,49.0,15,3,0
4,Sampdoria,2020-10-24,Giornata n. 5,Ospiti,V,3,Atalanta,6,3,0,1,278.0,375.0,1.0,35.0,23,4,0
4,Crotone,2020-10-25,Giornata n. 5,Ospiti,P,2,Cagliari,12,6,0,0,485.0,554.0,1.0,56.0,16,4,1
4,Fiorentina,2020-10-25,Giornata n. 5,Casa,V,3,Udinese,5,3,0,0,307.0,392.0,2.0,45.0,16,1,0
4,Hellas Verona,2020-10-25,Giornata n. 5,Ospiti,N,1,Juventus,6,2,0,0,298.0,406.0,3.0,39.0,21,4,0
4,Parma,2020-10-25,Giornata n. 5,Casa,N,2,Spezia,16,5,1,1,356.0,457.0,12.0,48.0,12,3,0
4,Udinese,2020-10-25,Giornata n. 5,Ospiti,P,2,Fiorentina,16,6,0,0,383.0,480.0,7.0,55.0,17,3,0
4,Cagliari,2020-10-25,Giornata n. 5,Casa,V,4,Crotone,19,8,0,0,362.0,433.0,5.0,44.0,14,2,0
4,Benevento,2020-10-25,Giornata n. 5,Casa,P,1,Napoli,9,3,0,0,235.0,332.0,3.0,35.0,18,3,0
3,Juventus,2020-10-25,Giornata n. 5,Casa,N,1,Hellas Verona,22,6,0,0,542.0,641.0,6.0,61.0,17,1,0
3,Napoli,2020-10-25,Giornata n. 5,Ospiti,V,2,Benevento,19,5,0,0,535.0,622.0,15.0,65.0,13,1,0
4,Spezia,2020-10-25,Giornata n. 5,Ospiti,N,2,Parma,14,6,0,0,401.0,493.0,3.0,52.0,22,2,0
4,Milan,2020-10-26,Giornata n. 5,Casa,N,3,Roma,12,7,1,1,468.0,556.0,7.0,55.0,16,3,0
4,Roma,2020-10-26,Giornata n. 5,Ospiti,N,3,Milan,11,6,1,1,385.0,460.0,7.0,45.0,15,2,0
5,Cagliari,2020-10-31,Giornata n. 6,Ospiti,P,2,Bologna,7,3,0,0,333.0,451.0,3.0,49.0,21,3,0
5,Crotone,2020-10-31,Giornata n. 6,Casa,P,1,Atalanta,5,1,0,0,374.0,478.0,1.0,42.0,11,1,0
5,Parma,2020-10-31,Giornata n. 6,Ospiti,N,2,Inter,5,3,0,0,210.0,309.0,2.0,31.0,9,1,0
5,Atalanta,2020-10-31,Giornata n. 6,Ospiti,V,2,Crotone,18,6,0,0,558.0,655.0,3.0,58.0,22,3,0
5,Bologna,2020-10-31,Giornata n. 6,Casa,V,3,Cagliari,22,9,0,0,376.0,476.0,7.0,51.0,15,3,0
5,Inter,2020-10-31,Giornata n. 6,Casa,N,2,Parma,25,9,0,0,568.0,674.0,15.0,69.0,15,1,0
5,Lazio,2020-11-01,Giornata n. 6,Ospiti,V,4,Torino,11,3,1,1,503.0,581.0,1.0,55.0,14,4,0
5,Roma,2020-11-01,Giornata n. 6,Casa,V,2,Fiorentina,17,6,0,0,332.0,425.0,7.0,41.0,18,3,0
4,Juventus,2020-11-01,Giornata n. 6,Ospiti,V,4,Spezia,6,3,1,1,519.0,598.0,3.0,56.0,8,1,0
4,Torino,2020-11-01,Giornata n. 6,Casa,P,3,Lazio,10,3,1,1,411.0,481.0,7.0,45.0,11,2,0
5,Spezia,2020-11-01,Giornata n. 6,Casa,P,1,Juventus,16,3,0,0,399.0,473.0,4.0,44.0,17,3,0
5,Milan,2020-11-01,Giornata n. 6,Ospiti,V,2,Udinese,12,4,0,0,552.0,641.0,4.0,60.0,15,2,0
5,Udinese,2020-11-01,Giornata n. 6,Casa,P,1,Milan,8,1,1,1,339.0,427.0,2.0,40.0,15,2,0
4,Genoa,2020-11-01,Giornata n. 6,Ospiti,N,1,Sampdoria,11,4,0,0,370.0,479.0,4.0,46.0,17,1,0
4,Napoli,2020-11-01,Giornata n. 6,Casa,P,0,Sassuolo,21,6,0,0,415.0,507.0,12.0,43.0,9,2,0
5,Sassuolo,2020-11-01,Giornata n. 6,Ospiti,V,2,Napoli,6,3,1,1,591.0,664.0,3.0,57.0,14,2,0
5,Fiorentina,2020-11-01,Giornata n. 6,Ospiti,P,0,Roma,8,1,0,0,508.0,600.0,4.0,59.0,17,2,1
5,Sampdoria,2020-11-01,Giornata n. 6,Casa,N,1,Genoa,9,3,0,0,454.0,573.0,7.0,54.0,24,5,0
5,Benevento,2020-11-02,Giornata n. 6,Ospiti,P,1,Hellas Verona,15,5,0,0,395.0,512.0,5.0,55.0,18,4,1
5,Hellas Verona,2020-11-02,Giornata n. 6,Casa,V,3,Benevento,14,6,0,0,305.0,426.0,4.0,45.0,21,5,0
5,Genoa,2020-11-04,Giornata n. 3,Casa,P,1,Torino,16,2,0,0,453.0,560.0,5.0,52.0,10,2,0
5,Torino,2020-11-04,Giornata n. 3,Ospiti,V,2,Genoa,7,1,0,0,424.0,518.0,2.0,48.0,20,4,0
6,Sassuolo,2020-11-06,Giornata n. 7,Casa,N,0,Udinese,4,1,0,0,539.0,616.0,3.0,62.0,18,2,0
6,Udinese,2020-11-06,Giornata n. 7,Ospiti,N,0,Sassuolo,2,0,0,0,296.0,384.0,6.0,38.0,17,2,0
6,Spezia,2020-11-07,Giornata n. 7,Ospiti,V,3,Benevento,11,6,0,0,502.0,605.0,4.0,61.0,20,3,0
6,Sampdoria,2020-11-07,Giornata n. 7,Ospiti,P,0,Cagliari,5,1,0,0,371.0,469.0,4.0,44.0,16,2,1
6,Parma,2020-11-07,Giornata n. 7,Casa,N,0,Fiorentina,5,0,0,0,350.0,425.0,2.0,36.0,30,1,0
6,Benevento,2020-11-07,Giornata n. 7,Casa,P,0,Spezia,3,1,0,0,288.0,384.0,2.0,39.0,15,3,0
6,Cagliari,2020-11-07,Giornata n. 7,Casa,V,2,Sampdoria,12,4,1,1,496.0,602.0,2.0,56.0,14,0,0
6,Fiorentina,2020-11-07,Giornata n. 7,Ospiti,N,0,Parma,7,4,0,0,668.0,745.0,3.0,64.0,18,2,0
6,Hellas Verona,2020-11-08,Giornata n. 7,Ospiti,N,2,Milan,7,2,0,0,193.0,294.0,1.0,34.0,23,3,0
6,Genoa,2020-11-08,Giornata n. 7,Casa,P,1,Roma,7,5,0,0,460.0,559.0,1.0,50.0,11,1,0
6,Bologna,2020-11-08,Giornata n. 7,Casa,P,0,Napoli,9,3,0,0,385.0,487.0,4.0,47.0,12,3,0
6,Inter,2020-11-08,Giornata n. 7,Ospiti,N,1,Atalanta,10,3,0,0,452.0,532.0,5.0,48.0,13,3,0
6,Crotone,2020-11-08,Giornata n. 7,Ospiti,N,0,Torino,8,2,0,0,401.0,486.0,3.0,50.0,15,4,1
5,Juventus,2020-11-08,Giornata n. 7,Ospiti,N,1,Lazio,11,5,0,0,462.0,533.0,2.0,46.0,18,2,0
6,Roma,2020-11-08,Giornata n. 7,Ospiti,V,3,Genoa,18,9,0,0,437.0,548.0,8.0,50.0,12,0,0
6,Lazio,2020-11-08,Giornata n. 7,Casa,N,1,Juventus,14,3,0,0,536.0,626.0,4.0,54.0,15,2,0
6,Milan,2020-11-08,Giornata n. 7,Casa,N,2,Hellas Verona,33,8,0,1,456.0,582.0,14.0,66.0,18,1,0
6,Torino,2020-11-08,Giornata n. 7,Casa,N,0,Crotone,4,0,0,0,387.0,481.0,6.0,50.0,15,3,0
6,Atalanta,2020-11-08,Giornata n. 7,Casa,N,1,Inter,9,2,0,0,499.0,570.0,2.0,52.0,17,1,0
5,Napoli,2020-11-08,Giornata n. 7,Ospiti,V,1,Bologna,19,4,0,0,438.0,539.0,7.0,53.0,12,0,0
7,Spezia,2020-11-21,Giornata n. 8,Casa,N,0,Atalanta,9,2,0,0,476.0,613.0,1.0,55.0,22,3,0
7,Cagliari,2020-11-21,Giornata n. 8,Ospiti,P,0,Juventus,4,0,0,0,336.0,408.0,1.0,34.0,7,2,0
7,Crotone,2020-11-21,Giornata n. 8,Casa,P,0,Lazio,13,4,0,0,369.0,543.0,2.0,52.0,12,3,0
7,Atalanta,2020-11-21,Giornata n. 8,Ospiti,N,0,Spezia,11,4,0,0,382.0,502.0,2.0,45.0,19,3,0
7,Lazio,2020-11-21,Giornata n. 8,Ospiti,V,2,Crotone,15,9,0,0,331.0,499.0,6.0,48.0,11,4,0
6,Juventus,2020-11-21,Giornata n. 8,Casa,V,2,Cagliari,24,6,0,0,711.0,790.0,9.0,66.0,15,3,0
7,Roma,2020-11-22,Giornata n. 8,Casa,V,3,Parma,20,7,0,0,667.0,744.0,4.0,58.0,12,0,0
7,Benevento,2020-11-22,Giornata n. 8,Ospiti,V,1,Fiorentina,13,4,0,0,263.0,362.0,4.0,38.0,17,3,0
7,Milan,2020-11-22,Giornata n. 8,Ospiti,V,3,Napoli,15,7,0,0,308.0,395.0,5.0,38.0,18,4,0
7,Udinese,2020-11-22,Giornata n. 8,Casa,V,1,Genoa,8,2,0,0,389.0,473.0,4.0,47.0,18,2,0
6,Napoli,2020-11-22,Giornata n. 8,Casa,P,1,Milan,19,7,0,0,559.0,655.0,8.0,62.0,7,3,1
7,Inter,2020-11-22,Giornata n. 8,Casa,V,4,Torino,12,3,1,1,495.0,575.0,1.0,56.0,26,3,0
7,Sampdoria,2020-11-22,Giornata n. 8,Casa,P,1,Bologna,10,4,0,0,333.0,464.0,9.0,45.0,12,2,0
7,Genoa,2020-11-22,Giornata n. 8,Ospiti,P,0,Udinese,11,1,0,0,439.0,544.0,8.0,53.0,15,3,1
7,Hellas Verona,2020-11-22,Giornata n. 8,Casa,P,0,Sassuolo,19,3,0,0,349.0,470.0,6.0,52.0,16,1,0
7,Sassuolo,2020-11-22,Giornata n. 8,Ospiti,V,2,Hellas Verona,11,4,0,0,329.0,442.0,1.0,48.0,20,3,0
7,Parma,2020-11-22,Giornata n. 8,Ospiti,P,0,Roma,1,1,0,0,464.0,539.0,1.0,42.0,6,0,0
7,Fiorentina,2020-11-22,Giornata n. 8,Casa,P,0,Benevento,7,2,0,0,483.0,589.0,4.0,62.0,16,2,0
7,Torino,2020-11-22,Giornata n. 8,Ospiti,P,2,Inter,12,5,1,1,372.0,457.0,1.0,44.0,19,2,0
7,Bologna,2020-11-22,Giornata n. 8,Ospiti,V,2,Sampdoria,11,3,0,0,439.0,559.0,10.0,55.0,9,2,0
8,Sassuolo,2020-11-28,Giornata n. 9,Casa,P,0,Inter,13,3,0,0,675.0,748.0,6.0,66.0,15,3,0
8,Inter,2020-11-28,Giornata n. 9,Ospiti,V,3,Sassuolo,11,4,0,0,323.0,389.0,2.0,34.0,17,1,0
8,Benevento,2020-11-28,Giornata n. 9,Casa,N,1,Juventus,8,3,0,0,300.0,408.0,5.0,37.0,20,6,0
8,Atalanta,2020-11-28,Giornata n. 9,Casa,P,0,Hellas Verona,19,5,0,0,498.0,626.0,4.0,58.0,14,2,0
7,Juventus,2020-11-28,Giornata n. 9,Ospiti,N,1,Benevento,16,5,0,0,596.0,687.0,8.0,63.0,14,1,1
8,Hellas Verona,2020-11-28,Giornata n. 9,Ospiti,V,2,Atalanta,6,1,1,1,338.0,452.0,1.0,42.0,20,3,0
8,Fiorentina,2020-11-29,Giornata n. 9,Ospiti,P,0,Milan,5,2,0,0,440.0,554.0,6.0,55.0,17,4,0
8,Bologna,2020-11-29,Giornata n. 9,Casa,V,1,Crotone,14,7,0,0,350.0,470.0,10.0,51.0,17,2,0
8,Spezia,2020-11-29,Giornata n. 9,Ospiti,N,2,Cagliari,14,4,1,1,465.0,570.0,5.0,60.0,19,4,0
8,Cagliari,2020-11-29,Giornata n. 9,Casa,N,2,Spezia,12,5,0,0,272.0,382.0,4.0,40.0,16,0,0
7,Napoli,2020-11-29,Giornata n. 9,Casa,V,4,Roma,14,8,0,0,495.0,585.0,11.0,55.0,3,1,0
8,Milan,2020-11-29,Giornata n. 9,Casa,V,2,Fiorentina,15,2,1,2,352.0,457.0,3.0,45.0,17,2,0
8,Lazio,2020-11-29,Giornata n. 9,Casa,P,1,Udinese,10,5,1,1,497.0,587.0,4.0,55.0,18,3,0
8,Roma,2020-11-29,Giornata n. 9,Ospiti,P,0,Napoli,8,1,0,0,401.0,478.0,4.0,45.0,12,2,0
8,Udinese,2020-11-29,Giornata n. 9,Ospiti,V,3,Lazio,9,4,0,0,398.0,485.0,4.0,45.0,12,4,0
8,Crotone,2020-11-29,Giornata n. 9,Ospiti,P,0,Bologna,8,1,0,0,336.0,444.0,3.0,49.0,18,4,0
8,Parma,2020-11-30,Giornata n. 9,Ospiti,V,2,Genoa,9,3,0,0,385.0,500.0,2.0,49.0,20,2,0
8,Torino,2020-11-30,Giornata n. 9,Casa,N,2,Sampdoria,14,7,0,0,471.0,570.0,6.0,53.0,19,1,0
8,Sampdoria,2020-11-30,Giornata n. 9,Ospiti,N,2,Torino,11,2,0,0,405.0,500.0,2.0,47.0,17,2,0
8,Genoa,2020-11-30,Giornata n. 9,Casa,P,1,Parma,14,5,0,0,398.0,522.0,2.0,51.0,14,2,0
9,Torino,2020-12-05,Giornata n. 10,Ospiti,P,1,Juventus,7,2,0,0,262.0,347.0,1.0,35.0,16,3,0
9,Spezia,2020-12-05,Giornata n. 10,Casa,P,1,Lazio,15,4,0,0,581.0,681.0,7.0,65.0,15,3,0
9,Inter,2020-12-05,Giornata n. 10,Casa,V,3,Bologna,14,7,0,0,416.0,508.0,7.0,46.0,13,1,0
9,Lazio,2020-12-05,Giornata n. 10,Ospiti,V,2,Spezia,4,2,0,0,272.0,363.0,0.0,35.0,13,1,0
9,Bologna,2020-12-05,Giornata n. 10,Ospiti,P,1,Inter,14,7,0,0,508.0,598.0,3.0,54.0,15,2,0
8,Juventus,2020-12-05,Giornata n. 10,Casa,V,2,Torino,17,4,0,0,551.0,657.0,13.0,65.0,19,3,1
9,Cagliari,2020-12-06,Giornata n. 10,Ospiti,N,1,Hellas Verona,13,3,0,0,341.0,460.0,5.0,49.0,16,0,0
9,Hellas Verona,2020-12-06,Giornata n. 10,Casa,N,1,Cagliari,18,3,0,0,375.0,483.0,7.0,51.0,13,2,0
9,Roma,2020-12-06,Giornata n. 10,Casa,N,0,Sassuolo,16,1,0,0,355.0,438.0,12.0,44.0,13,5,1
9,Parma,2020-12-06,Giornata n. 10,Casa,N,0,Benevento,10,0,0,0,495.0,569.0,6.0,56.0,14,4,0
9,Sampdoria,2020-12-06,Giornata n. 10,Casa,P,1,Milan,11,3,0,0,242.0,367.0,9.0,39.0,12,2,0
9,Sassuolo,2020-12-06,Giornata n. 10,Ospiti,N,0,Roma,5,1,0,0,490.0,566.0,5.0,56.0,15,3,0
9,Milan,2020-12-06,Giornata n. 10,Ospiti,V,2,Sampdoria,13,4,1,1,471.0,573.0,6.0,61.0,17,1,0
9,Benevento,2020-12-06,Giornata n. 10,Ospiti,N,0,Parma,8,2,0,0,346.0,439.0,3.0,44.0,12,4,0
9,Crotone,2020-12-06,Giornata n. 10,Casa,P,0,Napoli,6,1,0,0,404.0,472.0,4.0,39.0,13,3,1
8,Napoli,2020-12-06,Giornata n. 10,Ospiti,V,4,Crotone,14,6,0,0,669.0,728.0,1.0,61.0,10,3,0
9,Genoa,2020-12-07,Giornata n. 10,Ospiti,N,1,Fiorentina,7,3,0,0,300.0,401.0,1.0,39.0,20,2,0
9,Fiorentina,2020-12-07,Giornata n. 10,Casa,N,1,Genoa,19,6,0,0,516.0,630.0,5.0,61.0,7,2,0
10,Sassuolo,2020-12-11,Giornata n. 11,Casa,V,1,Benevento,5,1,1,1,384.0,452.0,1.0,48.0,12,2,1
10,Benevento,2020-12-11,Giornata n. 11,Ospiti,P,0,Sassuolo,30,4,0,0,405.0,487.0,10.0,52.0,15,4,0
10,Lazio,2020-12-12,Giornata n. 11,Casa,P,1,Hellas Verona,12,4,0,0,467.0,602.0,5.0,58.0,14,5,0
10,Hellas Verona,2020-12-12,Giornata n. 11,Ospiti,V,2,Lazio,6,4,0,0,319.0,441.0,3.0,42.0,17,3,0
10,Spezia,2020-12-12,Giornata n. 11,Ospiti,P,1,Crotone,10,5,0,0,419.0,525.0,4.0,59.0,15,3,0
10,Torino,2020-12-12,Giornata n. 11,Casa,P,2,Udinese,8,3,0,0,526.0,628.0,2.0,61.0,11,3,0
9,Udinese,2020-12-12,Giornata n. 11,Ospiti,V,3,Torino,10,3,0,0,330.0,398.0,2.0,39.0,26,3,0
10,Crotone,2020-12-12,Giornata n. 11,Casa,V,4,Spezia,9,7,0,0,268.0,364.0,1.0,41.0,17,3,0
10,Milan,2020-12-13,Giornata n. 11,Casa,N,2,Parma,26,6,0,0,558.0,661.0,13.0,65.0,12,3,0
10,Genoa,2020-12-13,Giornata n. 11,Casa,P,1,Juventus,3,2,0,0,205.0,308.0,0.0,30.0,18,3,0
10,Roma,2020-12-13,Giornata n. 11,Ospiti,V,5,Bologna,15,7,0,0,364.0,453.0,5.0,47.0,9,2,0
9,Juventus,2020-12-13,Giornata n. 11,Ospiti,V,3,Genoa,16,8,2,2,602.0,705.0,10.0,70.0,15,3,0
9,Napoli,2020-12-13,Giornata n. 11,Casa,V,2,Sampdoria,18,6,0,0,711.0,803.0,7.0,66.0,13,3,0
10,Parma,2020-12-13,Giornata n. 11,Ospiti,N,2,Milan,4,2,0,0,258.0,355.0,1.0,35.0,16,3,0
10,Bologna,2020-12-13,Giornata n. 11,Casa,P,1,Roma,7,1,0,0,421.0,507.0,1.0,53.0,15,4,0
9,Atalanta,2020-12-13,Giornata n. 11,Casa,V,3,Fiorentina,21,7,0,0,468.0,556.0,11.0,53.0,18,1,0
10,Inter,2020-12-13,Giornata n. 11,Ospiti,V,3,Cagliari,21,10,0,0,538.0,635.0,9.0,58.0,20,1,0
10,Sampdoria,2020-12-13,Giornata n. 11,Ospiti,P,1,Napoli,8,3,0,0,310.0,408.0,5.0,34.0,16,4,0
10,Cagliari,2020-12-13,Giornata n. 11,Casa,P,1,Inter,11,3,0,0,361.0,458.0,3.0,42.0,15,2,0
10,Fiorentina,2020-12-13,Giornata n. 11,Ospiti,P,0,Atalanta,5,2,0,0,376.0,490.0,2.0,47.0,15,2,0
11,Lazio,2020-12-15,Giornata n. 12,Ospiti,N,1,Benevento,13,2,0,0,602.0,683.0,8.0,63.0,16,2,0
11,Crotone,2020-12-15,Giornata n. 12,Ospiti,N,0,Udinese,4,2,0,0,319.0,402.0,1.0,45.0,19,4,0
10,Udinese,2020-12-15,Giornata n. 12,Casa,N,0,Crotone,15,6,0,0,393.0,482.0,9.0,55.0,14,1,0
11,Benevento,2020-12-15,Giornata n. 12,Casa,N,1,Lazio,13,6,0,0,309.0,406.0,4.0,37.0,15,2,1
11,Cagliari,2020-12-16,Giornata n. 12,Ospiti,N,0,Parma,8,4,0,0,338.0,413.0,5.0,42.0,11,1,0
11,Inter,2020-12-16,Giornata n. 12,Casa,V,1,Napoli,4,1,1,1,400.0,463.0,4.0,41.0,19,5,0
11,Sampdoria,2020-12-16,Giornata n. 12,Ospiti,V,2,Hellas Verona,10,3,0,0,325.0,465.0,3.0,45.0,18,4,0
11,Spezia,2020-12-16,Giornata n. 12,Casa,N,2,Bologna,10,4,0,0,274.0,412.0,3.0,45.0,22,6,0
10,Juventus,2020-12-16,Giornata n. 12,Casa,N,1,Atalanta,11,6,0,1,470.0,551.0,2.0,54.0,16,3,0
11,Hellas Verona,2020-12-16,Giornata n. 12,Casa,P,1,Sampdoria,7,2,1,1,422.0,570.0,6.0,55.0,19,2,1
11,Sassuolo,2020-12-16,Giornata n. 12,Ospiti,N,1,Fiorentina,13,5,0,0,603.0,675.0,1.0,65.0,12,4,0
11,Parma,2020-12-16,Giornata n. 12,Casa,N,0,Cagliari,13,2,0,0,471.0,567.0,8.0,58.0,13,1,0
11,Milan,2020-12-16,Giornata n. 12,Ospiti,N,2,Genoa,13,4,0,0,440.0,582.0,10.0,58.0,16,3,0
11,Genoa,2020-12-16,Giornata n. 12,Casa,N,2,Milan,10,4,0,0,324.0,421.0,4.0,42.0,23,2,0
11,Bologna,2020-12-16,Giornata n. 12,Ospiti,N,2,Spezia,9,5,0,1,369.0,501.0,4.0,55.0,12,1,0
11,Fiorentina,2020-12-16,Giornata n. 12,Casa,N,1,Sassuolo,15,4,1,1,268.0,357.0,4.0,35.0,19,4,0
10,Napoli,2020-12-16,Giornata n. 12,Ospiti,P,0,Inter,17,3,0,0,595.0,659.0,3.0,59.0,9,3,1
10,Atalanta,2020-12-16,Giornata n. 12,Ospiti,N,1,Juventus,15,6,0,0,374.0,464.0,6.0,46.0,18,2,0
11,Torino,2020-12-17,Giornata n. 12,Ospiti,P,1,Roma,16,5,0,0,346.0,407.0,2.0,38.0,17,3,1
11,Roma,2020-12-17,Giornata n. 12,Casa,V,3,Torino,12,4,1,1,595.0,673.0,4.0,62.0,23,4,0
12,Fiorentina,2020-12-19,Giornata n. 13,Casa,N,1,Hellas Verona,8,0,1,1,338.0,492.0,4.0,61.0,12,2,0
12,Sampdoria,2020-12-19,Giornata n. 13,Casa,V,3,Crotone,12,4,0,0,335.0,445.0,3.0,43.0,14,2,0
11,Juventus,2020-12-19,Giornata n. 13,Ospiti,V,4,Parma,19,7,0,0,652.0,723.0,9.0,62.0,12,1,0
12,Hellas Verona,2020-12-19,Giornata n. 13,Ospiti,N,1,Fiorentina,4,2,1,1,193.0,321.0,1.0,39.0,19,2,0
12,Parma,2020-12-19,Giornata n. 13,Casa,P,0,Juventus,11,4,0,0,376.0,442.0,4.0,38.0,9,0,0
12,Crotone,2020-12-19,Giornata n. 13,Ospiti,P,1,Sampdoria,5,1,1,1,478.0,597.0,1.0,57.0,14,2,0
11,Napoli,2020-12-20,Giornata n. 13,Ospiti,P,0,Lazio,14,6,0,0,531.0,617.0,9.0,60.0,11,3,0
12,Benevento,2020-12-20,Giornata n. 13,Casa,V,2,Genoa,11,2,1,1,274.0,382.0,6.0,44.0,9,1,0
12,Lazio,2020-12-20,Giornata n. 13,Casa,V,2,Napoli,10,2,0,0,336.0,413.0,4.0,40.0,16,4,0
12,Spezia,2020-12-20,Giornata n. 13,Ospiti,P,1,Inter,7,1,0,0,578.0,669.0,2.0,58.0,10,2,0
11,Udinese,2020-12-20,Giornata n. 13,Ospiti,N,1,Cagliari,14,4,0,0,392.0,487.0,7.0,47.0,15,1,0
12,Milan,2020-12-20,Giornata n. 13,Ospiti,V,2,Sassuolo,11,5,0,0,233.0,315.0,4.0,32.0,14,3,0
12,Torino,2020-12-20,Giornata n. 13,Casa,N,1,Bologna,15,4,0,0,378.0,466.0,4.0,52.0,16,1,0
12,Inter,2020-12-20,Giornata n. 13,Casa,V,2,Spezia,9,4,1,1,414.0,494.0,3.0,42.0,12,1,0
12,Sassuolo,2020-12-20,Giornata n. 13,Casa,P,1,Milan,15,5,0,0,576.0,660.0,6.0,68.0,15,1,0
12,Cagliari,2020-12-20,Giornata n. 13,Casa,N,1,Udinese,11,3,0,0,441.0,544.0,5.0,53.0,14,2,0
12,Bologna,2020-12-20,Giornata n. 13,Ospiti,N,1,Torino,16,6,0,0,344.0,432.0,8.0,48.0,19,3,0
12,Genoa,2020-12-20,Giornata n. 13,Ospiti,P,0,Benevento,8,2,0,0,393.0,496.0,5.0,56.0,23,3,0
11,Atalanta,2020-12-20,Giornata n. 13,Casa,V,4,Roma,15,8,0,0,491.0,587.0,2.0,55.0,15,2,0
12,Roma,2020-12-20,Giornata n. 13,Ospiti,P,1,Atalanta,5,3,0,0,387.0,488.0,2.0,45.0,15,3,0
13,Parma,2020-12-22,Giornata n. 14,Ospiti,P,1,Crotone,14,7,0,0,351.0,449.0,6.0,51.0,31,6,0
