,Casa,Punteggio,Ospiti
0,Roma,4–0,Udinese
1,Juventus,2–1,Fiorentina
2,Milan,3–2,Torino
3,Atalanta,3–4,Lazio
4,Chievo,2–0,Inter
5,Palermo,0–1,Sassuolo
6,Pescara,2–2,Napoli
7,Empoli,0–1,Sampdoria
8,Bologna,1–0,Crotone
9,Genoa,3–1,Cagliari
11,Lazio,0–1,Juventus
12,Napoli,4–2,Milan
13,Inter,1–1,Palermo
14,Torino,5–1,Bologna
15,Sampdoria,2–1,Atalanta
16,Sassuolo,0–3,Pescara
17,Crotone,1–3,Genoa
18,Fiorentina,1–0,Chievo
19,Cagliari,2–2,Roma
20,Udinese,2–0,Empoli
22,Juventus,3–1,Sassuolo
23,Palermo,0–3,Napoli
24,Bologna,2–1,Cagliari
25,Chievo,1–1,Lazio
26,Atalanta,2–1,Torino
27,Roma,3–2,Sampdoria
28,Milan,0–1,Udinese
29,Pescara,1–2,Inter
30,Empoli,2–1,Crotone
32,Sampdoria,0–1,Milan
33,Lazio,3–0,Pescara
34,Napoli,3–1,Bologna
35,Udinese,1–2,Chievo
36,Sassuolo,2–0,Genoa
37,Crotone,1–1,Palermo
38,Cagliari,3–0,Atalanta
39,Torino,0–0,Empoli
40,Inter,2–1,Juventus
41,Fiorentina,1–0,Roma
43,Milan,2–0,Lazio
44,Bologna,2–0,Sampdoria
45,Genoa,0–0,Napoli
46,Empoli,0–2,Inter
47,Udinese,2–2,Fiorentina
48,Atalanta,0–1,Palermo
49,Pescara,0–0,Torino
50,Roma,4–0,Crotone
51,Chievo,2–1,Sassuolo
52,Juventus,4–0,Cagliari
54,Palermo,0–1,Juventus
55,Napoli,2–0,Chievo
56,Torino,3–1,Roma
57,Genoa,1–1,Pescara
58,Lazio,2–0,Empoli
59,Sassuolo,1–0,Udinese
60,Inter,1–1,Bologna
61,Fiorentina,0–0,Milan
62,Crotone,1–3,Atalanta
63,Cagliari,2–1,Sampdoria
65,Pescara,0–2,Chievo
66,Udinese,0–3,Lazio
67,Empoli,0–3,Juventus
68,Sampdoria,1–1,Palermo
69,Atalanta,1–0,Napoli
70,Cagliari,2–1,Crotone
71,Bologna,0–1,Genoa
72,Torino,2–1,Fiorentina
73,Milan,4–3,Sassuolo
74,Roma,2–1,Inter
76,Napoli,1–3,Roma
77,Pescara,1–1,Sampdoria
78,Juventus,2–1,Udinese
79,Fiorentina,0–0,Atalanta
80,Inter,1–2,Cagliari
81,Lazio,1–1,Bologna
82,Genoa,0–0,Empoli
83,Sassuolo,2–1,Crotone
84,Chievo,1–3,Milan
85,Palermo,1–4,Torino
87,Sampdoria,2–1,Genoa
88,Milan,1–0,Juventus
89,Udinese,3–1,Pescara
90,Atalanta,2–1,Inter
91,Cagliari,3–5,Fiorentina
92,Torino,2–2,Lazio
93,Empoli,0–0,Chievo
94,Crotone,1–2,Napoli
95,Bologna,1–1,Sassuolo
96,Roma,4–1,Palermo
98,Genoa,3–0,Milan
99,Fiorentina,1–1,Crotone
100,Pescara,0–1,Atalanta
101,Lazio,4–1,Cagliari
102,Napoli,2–0,Empoli
103,Chievo,1–1,Bologna
104,Juventus,4–1,Sampdoria
105,Inter,2–1,Torino
106,Sassuolo,1–3,Roma
107,Palermo,1–3,Udinese
109,Bologna,0–1,Fiorentina
110,Juventus,2–1,Napoli
111,Atalanta,3–0,Genoa
112,Lazio,2–1,Sassuolo
113,Empoli,0–0,Roma
114,Crotone,2–0,Chievo
115,Milan,1–0,Pescara
116,Sampdoria,1–0,Inter
117,Udinese,2–2,Torino
118,Cagliari,2–1,Palermo
120,Torino,5–1,Cagliari
