,Casa,Punteggio,Ospiti
209,Torino,3–0,Bologna
210,Napoli,2–0,Hellas Verona
211,Benevento,3–2,Sampdoria
212,SPAL,2–5,Lazio
213,Milan,1–0,Crotone
214,Genoa,1–0,Sassuolo
215,Roma,1–2,Atalanta
216,Cagliari,0–1,Juventus
218,Atalanta,0–1,Napoli
219,Lazio,5–1,Chievo
220,Hellas Verona,0–3,Crotone
221,Udinese,1–1,SPAL
222,Sampdoria,3–1,Fiorentina
223,Sassuolo,1–1,Torino
224,Bologna,3–0,Benevento
225,Cagliari,1–2,Milan
226,Inter,1–1,Roma
227,Juventus,1–0,Genoa
229,Lazio,3–0,Udinese
231,Sampdoria,1–1,Roma
233,Sassuolo,0–3,Atalanta
234,Chievo,0–2,Juventus
235,SPAL,1–1,Inter
236,Fiorentina,1–4,Hellas Verona
237,Torino,3–0,Benevento
238,Genoa,0–1,Udinese
239,Crotone,1–1,Cagliari
240,Napoli,3–1,Bologna
241,Milan,2–1,Lazio
242,Roma,0–1,Sampdoria
244,Sampdoria,1–1,Torino
245,Inter,1–1,Crotone
246,Hellas Verona,0–1,Roma
247,Atalanta,1–0,Chievo
248,Cagliari,2–0,SPAL
249,Udinese,1–1,Milan
250,Bologna,1–2,Fiorentina
251,Juventus,7–0,Sassuolo
252,Benevento,0–2,Napoli
253,Lazio,1–2,Genoa
255,Fiorentina,0–2,Juventus
256,SPAL,0–4,Milan
257,Crotone,1–1,Atalanta
258,Napoli,4–1,Lazio
259,Sassuolo,0–0,Cagliari
260,Chievo,0–1,Genoa
261,Inter,2–1,Bologna
262,Sampdoria,2–0,Hellas Verona
263,Torino,2–0,Udinese
264,Roma,5–2,Benevento
266,Udinese,0–2,Roma
267,Chievo,2–1,Cagliari
268,Genoa,2–0,Inter
269,Torino,0–1,Juventus
270,Bologna,2–1,Sassuolo
271,Benevento,3–2,Crotone
272,Napoli,1–0,SPAL
273,Atalanta,1–1,Fiorentina
274,Milan,1–0,Sampdoria
275,Lazio,2–0,Hellas Verona
277,Bologna,2–0,Genoa
278,Inter,2–0,Benevento
279,Crotone,2–3,SPAL
280,Sampdoria,2–1,Udinese
281,Fiorentina,1–0,Chievo
282,Sassuolo,0–3,Lazio
283,Hellas Verona,2–1,Torino
284,Roma,0–2,Milan
285,Cagliari,0–5,Napoli
287,SPAL,1–0,Bologna
288,Lazio,0–1,Juventus
289,Napoli,2–4,Roma
291,Roma,3–0,Torino
292,Hellas Verona,1–0,Chievo
293,Fiorentina,1–0,Benevento
294,Juventus,2–0,Udinese
295,Bologna,0–1,Atalanta
296,Sassuolo,1–1,SPAL
297,Cagliari,2–2,Lazio
298,Crotone,4–1,Sampdoria
299,Genoa,0–1,Milan
300,Inter,0–0,Napoli
302,Juventus,2–0,Atalanta
304,Udinese,1–2,Sassuolo
305,SPAL,0–0,Juventus
306,Sampdoria,0–5,Inter
307,Milan,3–2,Chievo
308,Crotone,0–2,Roma
309,Benevento,1–2,Cagliari
310,Torino,1–2,Fiorentina
311,Hellas Verona,0–5,Atalanta
312,Lazio,1–1,Bologna
313,Napoli,1–0,Genoa
315,Bologna,1–1,Roma
316,Genoa,1–1,SPAL
317,Fiorentina,2–0,Crotone
318,Atalanta,2–0,Udinese
319,Cagliari,0–4,Torino
320,Inter,3–0,Hellas Verona
321,Lazio,6–2,Benevento
322,Chievo,2–1,Sampdoria
323,Sassuolo,1–1,Napoli
324,Juventus,3–1,Milan
326,Udinese,0–2,Fiorentina
327,Genoa,2–1,Cagliari
328,Atalanta,1–2,Sampdoria
329,Benevento,3–0,Hellas Verona
330,Torino,4–1,Crotone
331,Milan,0–0,Inter
332,Chievo,1–1,Sassuolo
334,Benevento,2–4,Juventus
335,SPAL,1–1,Atalanta
336,Roma,0–2,Fiorentina
337,Sampdoria,0–0,Genoa
338,Torino,1–0,Inter
339,Napoli,2–1,Chievo
340,Crotone,1–0,Bologna
341,Hellas Verona,1–0,Cagliari
342,Udinese,1–2,Lazio
343,Milan,1–1,Sassuolo
345,Cagliari,2–1,Udinese
346,Chievo,0–0,Torino
347,Genoa,1–0,Crotone
348,Atalanta,0–0,Inter
349,Fiorentina,0–0,SPAL
350,Milan,0–0,Napoli
351,Sassuolo,2–2,Benevento
352,Bologna,2–0,Hellas Verona
353,Juventus,3–0,Sampdoria
354,Lazio,0–0,Roma
356,Inter,4–0,Cagliari
357,Benevento,0–3,Atalanta
358,Sampdoria,1–0,Bologna
359,Hellas Verona,0–1,Sassuolo
360,Torino,1–1,Milan
361,SPAL,0–0,Chievo
362,Napoli,4–2,Udinese
363,Fiorentina,3–4,Lazio
364,Crotone,1–1,Juventus
365,Roma,2–1,Genoa
367,SPAL,0–3,Roma
368,Sassuolo,1–0,Fiorentina
369,Milan,0–1,Benevento
370,Cagliari,0–0,Bologna
371,Atalanta,2–1,Torino
372,Udinese,1–2,Crotone
373,Lazio,4–0,Sampdoria
374,Chievo,1–2,Inter
375,Juventus,0–1,Napoli
376,Genoa,3–1,Hellas Verona
378,Roma,4–1,Chievo
379,Inter,2–3,Juventus
380,Crotone,4–1,Sassuolo
381,Sampdoria,4–1,Cagliari
382,Bologna,1–2,Milan
383,Atalanta,3–1,Genoa
384,Benevento,3–3,Udinese
385,Hellas Verona,1–3,SPAL
386,Fiorentina,3–0,Napoli
387,Torino,0–1,Lazio
389,Milan,4–1,Hellas Verona
390,Juventus,3–1,Bologna
391,Udinese,0–4,Inter
392,Napoli,2–2,Torino
393,Lazio,1–1,Atalanta
394,Genoa,2–3,Fiorentina
395,Chievo,2–1,Crotone
396,SPAL,2–0,Benevento
397,Sassuolo,1–0,Sampdoria
398,Cagliari,0–1,Roma
400,Benevento,1–0,Genoa
401,Inter,1–2,Sassuolo
402,Bologna,1–2,Chievo
403,Fiorentina,0–1,Cagliari
404,Torino,2–1,SPAL
405,Crotone,2–2,Lazio
406,Hellas Verona,0–1,Udinese
407,Atalanta,1–1,Milan
408,Roma,0–0,Juventus
409,Sampdoria,0–2,Napoli
411,Juventus,2–1,Hellas Verona
412,Genoa,1–2,Torino
413,SPAL,3–1,Sampdoria
414,Napoli,2–1,Crotone
415,Chievo,1–0,Benevento
416,Cagliari,1–0,Atalanta
417,Milan,5–1,Fiorentina
418,Udinese,1–0,Bologna
419,Sassuolo,0–1,Roma
420,Lazio,2–3,Inter
