,Casa,Punteggio,Ospiti
0,Chievo,0–1,Juventus
1,Roma,2–0,Fiorentina
2,Milan,3–1,Lazio
3,Atalanta,0–0,Hellas Verona
4,Udinese,2–0,Empoli
5,Palermo,1–1,Sampdoria
6,Genoa,1–2,Napoli
7,Torino,0–0,Inter
8,Cesena,1–0,Parma
9,Sassuolo,1–1,Cagliari
11,Empoli,0–1,Roma
12,Juventus,2–0,Udinese
13,Sampdoria,2–0,Torino
14,Inter,7–0,Sassuolo
15,Lazio,3–0,Cesena
16,Napoli,0–1,Chievo
17,Cagliari,1–2,Atalanta
18,Fiorentina,0–0,Genoa
19,Parma,4–5,Milan
20,Hellas Verona,2–1,Palermo
22,Cesena,2–2,Empoli
23,Milan,0–1,Juventus
24,Chievo,2–3,Parma
25,Roma,2–0,Cagliari
26,Genoa,1–0,Lazio
27,Sassuolo,0–0,Sampdoria
28,Udinese,1–0,Napoli
29,Atalanta,0–1,Fiorentina
30,Torino,0–1,Hellas Verona
31,Palermo,1–1,Inter
33,Empoli,2–2,Milan
34,Parma,1–2,Roma
35,Sampdoria,2–1,Chievo
36,Juventus,3–0,Cesena
37,Inter,2–0,Atalanta
38,Napoli,3–3,Palermo
39,Hellas Verona,2–2,Genoa
40,Fiorentina,0–0,Sassuolo
41,Cagliari,1–2,Torino
42,Lazio,0–1,Udinese
44,Roma,2–0,Hellas Verona
45,Atalanta,0–3,Juventus
46,Sassuolo,0–1,Napoli
47,Cesena,1–1,Milan
48,Inter,1–4,Cagliari
49,Chievo,1–1,Empoli
50,Torino,1–1,Fiorentina
51,Genoa,0–1,Sampdoria
52,Udinese,4–2,Parma
53,Palermo,0–4,Lazio
55,Hellas Verona,1–0,Cagliari
56,Milan,2–0,Chievo
57,Empoli,3–0,Palermo
58,Sampdoria,1–0,Atalanta
59,Udinese,1–1,Cesena
60,Parma,1–2,Genoa
61,Lazio,3–2,Sassuolo
62,Juventus,3–2,Roma
63,Fiorentina,3–0,Inter
64,Napoli,2–1,Torino
66,Roma,3–0,Chievo
67,Sassuolo,1–1,Juventus
68,Fiorentina,0–2,Lazio
69,Cagliari,2–2,Sampdoria
70,Atalanta,1–0,Parma
71,Torino,1–0,Udinese
72,Palermo,2–1,Cesena
73,Hellas Verona,1–3,Milan
74,Inter,2–2,Napoli
75,Genoa,1–1,Empoli
77,Empoli,0–4,Cagliari
78,Parma,1–3,Sassuolo
79,Sampdoria,0–0,Roma
80,Udinese,2–0,Atalanta
81,Juventus,2–0,Palermo
82,Chievo,1–2,Genoa
83,Napoli,6–2,Hellas Verona
84,Cesena,0–1,Inter
85,Lazio,2–1,Torino
86,Milan,1–1,Fiorentina
88,Sassuolo,3–1,Empoli
89,Palermo,1–0,Chievo
90,Fiorentina,3–0,Udinese
91,Inter,1–0,Sampdoria
92,Cagliari,1–1,Milan
