,Casa,Punteggio,Ospiti
0,Hellas Verona,1–1,Roma
1,Lazio,2–1,Bologna
2,Juventus,0–1,Udinese
3,Empoli,1–3,Chievo
4,Frosinone,1–2,Torino
5,Sampdoria,5–2,Carpi
6,Inter,1–0,Atalanta
7,Fiorentina,2–0,Milan
8,Palermo,1–0,Genoa
9,Sassuolo,2–1,Napoli
11,Bologna,0–1,Sassuolo
12,Milan,2–1,Empoli
13,Roma,2–1,Juventus
14,Napoli,2–2,Sampdoria
15,Udinese,0–1,Palermo
16,Atalanta,2–0,Frosinone
17,Torino,3–1,Fiorentina
18,Genoa,2–0,Hellas Verona
19,Carpi,1–2,Inter
20,Chievo,4–0,Lazio
22,Fiorentina,1–0,Genoa
23,Frosinone,0–2,Roma
24,Juventus,1–1,Chievo
25,Hellas Verona,2–2,Torino
26,Palermo,2–2,Carpi
27,Sassuolo,2–2,Atalanta
28,Empoli,2–2,Napoli
29,Lazio,2–0,Udinese
30,Inter,1–0,Milan
31,Sampdoria,2–0,Bologna
33,Udinese,1–2,Empoli
34,Milan,3–2,Palermo
35,Chievo,0–1,Inter
36,Genoa,0–2,Juventus
37,Bologna,1–0,Frosinone
38,Atalanta,1–1,Hellas Verona
39,Roma,2–2,Sassuolo
40,Torino,2–0,Sampdoria
41,Carpi,0–1,Fiorentina
42,Napoli,5–0,Lazio
44,Udinese,2–3,Milan
45,Sampdoria,2–1,Roma
46,Juventus,1–1,Frosinone
47,Inter,1–0,Hellas Verona
48,Carpi,0–0,Napoli
49,Chievo,1–0,Torino
50,Palermo,0–1,Sassuolo
51,Fiorentina,2–0,Bologna
52,Lazio,2–0,Genoa
53,Empoli,0–1,Atalanta
55,Roma,5–1,Carpi
56,Napoli,2–1,Juventus
57,Genoa,1–0,Milan
58,Torino,2–1,Palermo
59,Bologna,1–2,Udinese
60,Hellas Verona,1–2,Lazio
61,Sassuolo,1–1,Chievo
62,Inter,1–4,Fiorentina
63,Frosinone,2–0,Empoli
64,Atalanta,2–1,Sampdoria
