,Casa,Punteggio,Ospiti
0,Chievo,2–3,Juventus
1,Lazio,1–2,Napoli
2,Torino,0–1,Roma
3,Empoli,2–0,Cagliari
4,Sassuolo,1–0,Inter
5,Parma,2–2,Udinese
6,Bologna,0–1,SPAL
7,Atalanta,4–0,Frosinone
9,Juventus,2–0,Lazio
10,Napoli,3–2,Milan
11,SPAL,1–0,Parma
12,Cagliari,2–2,Sassuolo
13,Inter,2–2,Torino
14,Frosinone,0–0,Bologna
15,Udinese,1–0,Sampdoria
16,Fiorentina,6–1,Chievo
17,Genoa,2–1,Empoli
18,Roma,3–3,Atalanta
20,Milan,2–1,Roma
21,Bologna,0–3,Inter
22,Parma,1–2,Juventus
23,Fiorentina,1–0,Udinese
24,Chievo,0–0,Empoli
25,Lazio,1–0,Frosinone
26,Torino,1–0,SPAL
27,Atalanta,0–1,Cagliari
28,Sampdoria,3–0,Napoli
29,Sassuolo,5–3,Genoa
31,Inter,0–1,Parma
32,Napoli,1–0,Fiorentina
33,Frosinone,0–5,Sampdoria
34,Roma,2–2,Chievo
35,Juventus,2–1,Sassuolo
36,Udinese,1–1,Torino
37,Genoa,1–0,Bologna
38,Empoli,0–1,Lazio
39,Cagliari,1–1,Milan
40,SPAL,2–0,Atalanta
42,Sampdoria,1–1,Fiorentina
44,Sassuolo,3–1,Empoli
45,Parma,2–0,Cagliari
46,Fiorentina,3–0,SPAL
47,Sampdoria,0–1,Inter
48,Torino,1–3,Napoli
49,Bologna,2–0,Roma
50,Chievo,0–2,Udinese
51,Lazio,4–1,Genoa
52,Milan,2–2,Atalanta
53,Frosinone,0–2,Juventus
55,Inter,2–1,Fiorentina
56,Udinese,1–2,Lazio
57,Roma,4–0,Frosinone
58,Juventus,2–0,Bologna
59,Genoa,2–0,Chievo
60,Napoli,3–0,Parma
61,Atalanta,0–0,Torino
62,Cagliari,0–0,Sampdoria
63,SPAL,0–2,Sassuolo
64,Empoli,1–1,Milan
66,Roma,3–1,Lazio
67,Juventus,3–1,Napoli
68,Inter,2–0,Cagliari
69,Bologna,2–1,Udinese
70,Chievo,0–1,Torino
