,Casa,Punteggio,Ospiti
0,Fiorentina,1–0,Torino
1,Hellas Verona,3–0,Roma
2,Parma,0–2,Napoli
3,Genoa,4–1,Crotone
4,Sassuolo,1–1,Cagliari
5,Juventus,3–0,Sampdoria
6,Milan,2–0,Bologna
8,Torino,2–4,Atalanta
9,Cagliari,0–2,Lazio
10,Sampdoria,2–3,Benevento
11,Inter,4–3,Fiorentina
12,Spezia,1–4,Sassuolo
13,Hellas Verona,1–0,Udinese
14,Crotone,0–2,Milan
15,Napoli,6–0,Genoa
16,Roma,2–2,Juventus
17,Bologna,4–1,Parma
19,Benevento,2–5,Inter
20,Udinese,0–2,Spezia
21,Lazio,1–4,Atalanta
23,Fiorentina,1–2,Sampdoria
24,Sassuolo,4–1,Crotone
25,Udinese,0–1,Roma
26,Atalanta,5–2,Cagliari
27,Benevento,1–0,Bologna
28,Lazio,1–1,Inter
29,Parma,1–0,Hellas Verona
30,Milan,3–0,Spezia
32,Napoli,4–1,Atalanta
33,Sampdoria,3–0,Lazio
34,Inter,1–2,Milan
35,Crotone,1–1,Juventus
36,Bologna,3–4,Sassuolo
37,Spezia,2–2,Fiorentina
38,Torino,2–3,Cagliari
39,Udinese,3–2,Parma
40,Roma,5–2,Benevento
41,Hellas Verona,0–0,Genoa
43,Sassuolo,3–3,Torino
44,Atalanta,1–3,Sampdoria
45,Genoa,0–2,Inter
46,Lazio,2–1,Bologna
47,Cagliari,4–2,Crotone
48,Parma,2–2,Spezia
49,Benevento,1–2,Napoli
50,Fiorentina,3–2,Udinese
51,Juventus,1–1,Hellas Verona
52,Milan,3–3,Roma
54,Crotone,1–2,Atalanta
55,Inter,2–2,Parma
56,Bologna,3–2,Cagliari
57,Udinese,1–2,Milan
58,Torino,3–4,Lazio
59,Spezia,1–4,Juventus
60,Napoli,0–2,Sassuolo
61,Roma,2–0,Fiorentina
62,Sampdoria,1–1,Genoa
63,Hellas Verona,3–1,Benevento
65,Genoa,1–2,Torino
67,Sassuolo,0–0,Udinese
68,Cagliari,2–0,Sampdoria
69,Benevento,0–3,Spezia
70,Parma,0–0,Fiorentina
71,Lazio,1–1,Juventus
72,Genoa,1–3,Roma
73,Atalanta,1–1,Inter
74,Torino,0–0,Crotone
75,Bologna,0–1,Napoli
76,Milan,2–2,Hellas Verona
78,Crotone,0–2,Lazio
79,Spezia,0–0,Atalanta
80,Juventus,2–0,Cagliari
81,Fiorentina,0–1,Benevento
82,Inter,4–2,Torino
83,Sampdoria,1–2,Bologna
84,Hellas Verona,0–2,Sassuolo
85,Roma,3–0,Parma
86,Udinese,1–0,Genoa
87,Napoli,1–3,Milan
89,Sassuolo,0–3,Inter
90,Benevento,1–1,Juventus
91,Atalanta,0–2,Hellas Verona
92,Lazio,1–3,Udinese
93,Bologna,1–0,Crotone
94,Milan,2–0,Fiorentina
95,Cagliari,2–2,Spezia
96,Napoli,4–0,Roma
97,Torino,2–2,Sampdoria
98,Genoa,1–2,Parma
100,Spezia,1–2,Lazio
101,Juventus,2–1,Torino
102,Inter,3–1,Bologna
103,Hellas Verona,1–1,Cagliari
104,Roma,0–0,Sassuolo
105,Parma,0–0,Benevento
106,Crotone,0–4,Napoli
107,Sampdoria,1–2,Milan
108,Fiorentina,1–1,Genoa
110,Sassuolo,1–0,Benevento
111,Crotone,4–1,Spezia
112,Torino,2–3,Udinese
113,Lazio,1–2,Hellas Verona
114,Cagliari,1–3,Inter
115,Bologna,1–5,Roma
116,Atalanta,3–0,Fiorentina
117,Napoli,2–1,Sampdoria
118,Genoa,1–3,Juventus
119,Milan,2–2,Parma
121,Udinese,0–0,Crotone
122,Benevento,1–1,Lazio
123,Juventus,1–1,Atalanta
124,Inter,1–0,Napoli
125,Hellas Verona,1–2,Sampdoria
126,Spezia,2–2,Bologna
127,Parma,0–0,Cagliari
128,Fiorentina,1–1,Sassuolo
129,Genoa,2–2,Milan
