,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
2,Napoli,2021-09-11,Giornata n. 3,Casa,V,2,Juventus,25.0,7.0,0,0,585.0,666.0,13.0,67.0,15.0,2,0
2,Fiorentina,2021-09-11,Giornata n. 3,Ospiti,V,2,Atalanta,5.0,0.0,2,2,374.0,454.0,3.0,45.0,21.0,4,0
2,Atalanta,2021-09-11,Giornata n. 3,Casa,P,1,Fiorentina,12.0,4.0,1,1,463.0,555.0,10.0,55.0,13.0,4,0
2,Venezia,2021-09-11,Giornata n. 3,Ospiti,V,2,Empoli,10.0,3.0,0,0,199.0,275.0,2.0,31.0,25.0,5,0
2,Cagliari,2021-09-12,Giornata n. 3,Casa,P,2,Genoa,8.0,2.0,1,1,435.0,534.0,2.0,53.0,16.0,2,0
2,Inter,2021-09-12,Giornata n. 3,Ospiti,N,2,Sampdoria,8.0,3.0,0,0,318.0,418.0,4.0,48.0,14.0,4,0
2,Udinese,2021-09-12,Giornata n. 3,Ospiti,V,1,Spezia,9.0,4.0,0,0,332.0,405.0,5.0,44.0,18.0,2,0
2,Salernitana,2021-09-12,Giornata n. 3,Ospiti,P,0,Torino,8.0,2.0,0,0,263.0,367.0,4.0,40.0,11.0,2,0
2,Sampdoria,2021-09-12,Giornata n. 3,Casa,N,2,Inter,14.0,2.0,0,0,360.0,455.0,4.0,52.0,14.0,4,0
2,Sassuolo,2021-09-12,Giornata n. 3,Ospiti,P,1,Roma,14.0,7.0,0,0,438.0,508.0,6.0,51.0,11.0,1,0
2,Genoa,2021-09-12,Giornata n. 3,Ospiti,V,3,Cagliari,11.0,3.0,0,0,395.0,475.0,6.0,47.0,16.0,3,0
2,Torino,2021-09-12,Giornata n. 3,Casa,V,4,Salernitana,15.0,5.0,0,0,453.0,544.0,7.0,60.0,11.0,0,0
2,Spezia,2021-09-12,Giornata n. 3,Casa,P,0,Udinese,20.0,5.0,0,0,432.0,520.0,4.0,56.0,13.0,1,0
2,Lazio,2021-09-12,Giornata n. 3,Ospiti,P,0,Milan,8.0,5.0,0,0,488.0,570.0,1.0,53.0,19.0,4,0
2,Milan,2021-09-12,Giornata n. 3,Casa,V,2,Lazio,20.0,3.0,0,1,416.0,503.0,5.0,47.0,12.0,1,0
2,Roma,2021-09-12,Giornata n. 3,Casa,V,2,Sassuolo,18.0,6.0,0,0,413.0,480.0,4.0,49.0,7.0,2,0
2,Hellas Verona,2021-09-13,Giornata n. 3,Ospiti,P,0,Bologna,5.0,0.0,0,0,393.0,480.0,2.0,57.0,24.0,3,0
2,Bologna,2021-09-13,Giornata n. 3,Casa,V,1,Hellas Verona,16.0,4.0,0,0,257.0,362.0,6.0,43.0,16.0,1,0
3,Torino,2021-09-17,Giornata n. 4,Ospiti,V,1,Sassuolo,18.0,3.0,0,0,361.0,445.0,3.0,48.0,24.0,4,0
3,Sassuolo,2021-09-17,Giornata n. 4,Casa,P,0,Torino,10.0,2.0,0,0,390.0,485.0,6.0,52.0,9.0,0,0
3,Salernitana,2021-09-18,Giornata n. 4,Casa,P,0,Atalanta,11.0,1.0,0,0,310.0,425.0,6.0,43.0,22.0,4,0
3,Bologna,2021-09-18,Giornata n. 4,Ospiti,P,1,Inter,8.0,2.0,0,0,486.0,546.0,1.0,54.0,11.0,3,0
3,Inter,2021-09-18,Giornata n. 4,Casa,V,6,Bologna,19.0,11.0,0,0,412.0,464.0,5.0,46.0,11.0,0,0
3,Atalanta,2021-09-18,Giornata n. 4,Ospiti,V,1,Salernitana,10.0,3.0,0,0,473.0,567.0,4.0,57.0,15.0,4,0
3,Genoa,2021-09-18,Giornata n. 4,Casa,P,1,Fiorentina,8.0,2.0,1,1,288.0,369.0,1.0,37.0,14.0,4,0
3,Fiorentina,2021-09-18,Giornata n. 4,Ospiti,V,2,Genoa,16.0,5.0,0,0,531.0,617.0,11.0,63.0,17.0,4,0
3,Roma,2021-09-19,Giornata n. 4,Ospiti,P,2,Hellas Verona,15.0,2.0,0,0,294.0,410.0,8.0,47.0,17.0,2,0
3,Milan,2021-09-19,Giornata n. 4,Ospiti,N,1,Juventus,13.0,3.0,0,0,459.0,528.0,4.0,56.0,16.0,1,0
3,Lazio,2021-09-19,Giornata n. 4,Casa,N,2,Cagliari,28.0,10.0,0,0,646.0,748.0,10.0,72.0,5.0,1,0
3,Sampdoria,2021-09-19,Giornata n. 4,Ospiti,V,3,Empoli,14.0,8.0,0,0,294.0,400.0,8.0,47.0,15.0,2,0
3,Empoli,2021-09-19,Giornata n. 4,Casa,P,0,Sampdoria,15.0,4.0,0,0,349.0,456.0,8.0,53.0,11.0,2,0
3,Juventus,2021-09-19,Giornata n. 4,Casa,N,1,Milan,9.0,4.0,0,0,343.0,413.0,4.0,44.0,15.0,1,0
3,Venezia,2021-09-19,Giornata n. 4,Casa,P,1,Spezia,14.0,3.0,0,0,320.0,425.0,3.0,45.0,15.0,4,0
3,Cagliari,2021-09-19,Giornata n. 4,Ospiti,N,2,Lazio,10.0,3.0,0,0,198.0,296.0,1.0,28.0,13.0,3,1
3,Spezia,2021-09-19,Giornata n. 4,Ospiti,V,2,Venezia,12.0,3.0,0,0,403.0,522.0,10.0,55.0,11.0,1,0
3,Hellas Verona,2021-09-19,Giornata n. 4,Casa,V,3,Roma,10.0,6.0,0,0,367.0,468.0,3.0,53.0,18.0,4,0
3,Udinese,2021-09-20,Giornata n. 4,Casa,P,0,Napoli,9.0,1.0,0,0,346.0,403.0,2.0,37.0,12.0,2,0
3,Napoli,2021-09-20,Giornata n. 4,Ospiti,V,4,Udinese,18.0,8.0,0,0,618.0,683.0,5.0,63.0,12.0,1,0
4,Atalanta,2021-09-21,Giornata n. 5,Casa,V,2,Sassuolo,14.0,5.0,0,0,398.0,484.0,5.0,47.0,21.0,2,0
4,Genoa,2021-09-21,Giornata n. 5,Ospiti,N,2,Bologna,10.0,5.0,1,1,292.0,392.0,2.0,41.0,19.0,4,0
4,Inter,2021-09-21,Giornata n. 5,Ospiti,V,3,Fiorentina,17.0,5.0,0,0,400.0,472.0,8.0,47.0,17.0,3,0
4,Fiorentina,2021-09-21,Giornata n. 5,Casa,P,1,Inter,14.0,6.0,0,0,452.0,530.0,4.0,53.0,13.0,2,1
4,Bologna,2021-09-21,Giornata n. 5,Casa,N,2,Genoa,16.0,4.0,1,1,471.0,567.0,6.0,59.0,15.0,3,0
