,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a
35,Juventus,2021-09-19,N,-1.3333333333333335,Milan,-3.666666666666666,0.3333333333333335,-0.3333333333333333,-0.6666666666666666,-46.333333333333314,-55.0,-1.333333333333333,-4.0,1.666666666666666,1.0,0.0,6.0,2.0
36,Venezia,2021-09-19,P,-0.33333333333333337,Spezia,-2.666666666666668,-0.33333333333333304,0.0,0.0,-5.333333333333314,-15.333333333333371,-1.3333333333333335,-2.0,5.333333333333334,3.0,-0.3333333333333333,0.0,2.0
37,Lazio,2021-09-19,N,1.3333333333333333,Cagliari,-0.6666666666666679,2.3333333333333335,-0.3333333333333333,0.0,152.0,133.33333333333337,-2.6666666666666665,4.333333333333336,-1.0,-1.3333333333333333,0.0,7.0,0.0
38,Empoli,2021-09-19,P,0.33333333333333337,Sampdoria,3.0000000000000018,1.6666666666666665,0.3333333333333333,0.3333333333333333,82.0,80.66666666666669,1.333333333333333,7.666666666666664,-5.0,-0.6666666666666665,0.0,1.0,7.0
39,Udinese,2021-09-20,P,0.0,Napoli,-2.666666666666666,0.33333333333333304,0.0,-0.3333333333333333,-190.99999999999994,-190.66666666666663,-1.666666666666667,-17.0,2.666666666666666,-0.33333333333333326,-0.3333333333333333,0.0,7.0
40,Atalanta,2021-09-21,V,0.0,Sassuolo,-2.5,-2.25,0.25,0.25,-22.5,5.5,-1.0,-0.5,2.5,1.75,0.0,7.0,0.0
41,Fiorentina,2021-09-21,P,-2.0,Inter,-4.75,-2.75,0.5,0.5,21.25,22.75,0.0,3.75,3.0,1.75,0.25,0.0,4.0
42,Bologna,2021-09-21,N,0.0,Genoa,2.75,0.5,-0.25,-0.25,41.75,60.75,2.0,11.5,-0.75,1.0,0.5,2.0,4.0
43,Spezia,2021-09-22,P,0.25,Juventus,0.75,-0.5,0.0,0.0,5.5,24.5,1.0,1.0,-2.5,0.0,0.25,0.0,8.0
44,Cagliari,2021-09-22,P,1.0,Empoli,-5.25,-0.75,0.25,0.25,-37.25,-46.0,-3.25,-7.75,2.75,0.75,0.25,6.0,1.0
45,Milan,2021-09-22,V,1.25,Venezia,4.5,0.25,0.25,0.5,83.0,81.25,2.75,9.0,-3.5,-3.75,0.0,8.0,0.0
46,Salernitana,2021-09-22,N,-1.0,Hellas Verona,-1.0,-1.0,0.0,0.0,-126.25,-108.0,-0.75,-14.75,-1.0,-0.25,0.0,0.0,6.0
47,Sampdoria,2021-09-23,P,-1.25,Napoli,-3.0,-2.75,-0.25,-0.5,-251.5,-224.75,0.25,-15.5,4.25,1.0,-0.25,1.0,7.0
48,Roma,2021-09-23,V,1.25,Udinese,5.5,0.75,-0.25,-0.25,73.75,86.0,2.25,11.25,-2.25,0.5,0.25,6.0,2.0
49,Torino,2021-09-23,N,-1.0,Lazio,-0.25,-2.75,-0.25,-0.5,-237.75,-224.25,0.0,-11.0,8.75,1.25,0.0,2.0,4.0
50,Inter,2021-09-25,N,2.4000000000000004,Atalanta,2.4000000000000004,3.6,-0.2,-0.2,-13.0,-38.00000000000006,0.7999999999999998,-2.8000000000000043,-0.8000000000000007,-0.7999999999999998,0.0,3.0,1.0
51,Spezia,2021-09-25,P,-0.6000000000000001,Milan,-3.1999999999999993,0.0,-0.2,-0.4,-105.39999999999998,-96.59999999999997,0.20000000000000018,-9.200000000000003,-1.1999999999999993,1.0,0.2,1.0,7.0
52,Genoa,2021-09-25,N,-0.20000000000000018,Hellas Verona,-0.1999999999999993,0.3999999999999999,0.2,0.2,2.8000000000000114,-6.600000000000023,-1.5999999999999996,-7.600000000000001,-1.6000000000000014,0.0,-0.2,5.0,1.0
53,Lazio,2021-09-26,V,0.0,Roma,-3.8000000000000007,0.5999999999999996,0.4,0.6,104.60000000000002,106.0,-1.8000000000000007,5.600000000000001,-3.0,-0.8,-0.4,2.0,3.0
54,Udinese,2021-09-26,P,-0.40000000000000013,Fiorentina,0.5999999999999996,-0.5999999999999996,-0.2,-0.2,-77.40000000000003,-81.80000000000001,-0.40000000000000036,-12.0,-2.8000000000000007,-1.6,-0.4,1.0,5.0
55,Juventus,2021-09-26,V,0.3999999999999999,Sampdoria,0.8000000000000007,1.0,0.0,0.0,51.799999999999955,27.200000000000045,0.0,2.6000000000000014,-1.0,-1.0,0.0,6.0,2.0
56,Napoli,2021-09-26,V,1.4,Cagliari,5.0,4.2,-0.2,0.0,191.80000000000007,169.59999999999997,1.2000000000000002,13.399999999999999,-3.1999999999999993,-1.1999999999999997,0.0,6.0,1.0
57,Sassuolo,2021-09-26,V,0.19999999999999996,Salernitana,4.200000000000001,2.4000000000000004,-0.2,-0.2,229.60000000000002,207.59999999999997,2.0,19.0,-2.4000000000000004,-1.2000000000000002,-0.2,8.0,0.0
58,Empoli,2021-09-26,V,-0.3999999999999999,Bologna,4.200000000000001,0.6000000000000001,0.0,0.0,-10.399999999999977,-5.800000000000011,1.3999999999999995,-0.7999999999999972,-1.6000000000000014,-1.6,-0.4,1.0,7.0
59,Venezia,2021-09-27,N,-1.0,Torino,-4.800000000000001,-1.2000000000000002,0.0,0.0,-4.599999999999966,-18.600000000000023,-2.1999999999999997,-6.600000000000001,-3.400000000000002,1.4000000000000004,0.0,0.0,8.0
60,Cagliari,2021-10-01,N,0.5000000000000001,Venezia,1.333333333333334,-0.16666666666666652,0.16666666666666666,0.16666666666666666,21.666666666666686,30.333333333333314,1.8333333333333335,2.1666666666666643,-1.5,-1.1666666666666665,0.16666666666666666,8.0,0.0
61,Sassuolo,2021-10-02,P,-2.3333333333333335,Inter,-1.3333333333333321,-2.166666666666666,0.0,-0.16666666666666666,43.333333333333314,47.833333333333314,0.0,4.833333333333336,-1.333333333333334,-0.4999999999999998,0.0,3.0,3.0
62,Torino,2021-10-02,P,-0.16666666666666674,Juventus,-0.6666666666666661,-1.0,-0.16666666666666666,-0.16666666666666666,-37.5,-19.5,-1.666666666666666,0.1666666666666643,4.5,1.0,0.16666666666666666,0.0,6.0
63,Salernitana,2021-10-02,V,-1.0,Genoa,0.8333333333333339,-1.0,-0.33333333333333337,-0.33333333333333337,-100.5,-82.5,1.5,-4.5,0.16666666666666785,-0.3333333333333335,0.16666666666666666,0.0,8.0
64,Atalanta,2021-10-03,P,-0.6666666666666667,Milan,-1.166666666666666,-0.16666666666666696,0.0,-0.16666666666666666,-45.0,-29.0,1.333333333333333,-3.5,0.3333333333333339,2.1666666666666665,0.0,3.0,2.0
65,Sampdoria,2021-10-03,N,0.16666666666666674,Udinese,0.6666666666666679,-0.6666666666666665,-0.16666666666666666,-0.16666666666666666,-33.33333333333337,-11.333333333333371,1.0,3.1666666666666643,2.166666666666668,0.9999999999999998,0.0,6.0,2.0
66,Hellas Verona,2021-10-03,V,0.5,Spezia,-1.666666666666666,0.16666666666666652,0.3333333333333333,0.3333333333333333,-4.5,4.333333333333314,-0.33333333333333304,4.333333333333336,3.166666666666666,0.8333333333333333,0.0,5.0,0.0
67,Roma,2021-10-03,V,0.8333333333333335,Empoli,1.0,0.666666666666667,-0.16666666666666666,-0.16666666666666666,67.66666666666669,53.33333333333337,0.833333333333333,2.5,1.3333333333333321,0.8333333333333335,0.3333333333333333,8.0,0.0
