,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,prediction,rank
47,10.0,1.0,-1.25,7.0,1.333333333333334,-0.5,0.0,0.0,1.0833333333333357,-4.166666666666668,-1.1666666666666663,0.0,0.0,1.0
48,3.0,2.0,0.25,19.0,-2.5,0.25,0.0,0.0,-0.75,-3.0,0.25,0.0,0.0,2.0
49,8.0,1.0,-1.0000000000000002,5.0,1.9999999999999984,-1.5999999999999996,0.0,0.0,13.6,-1.5999999999999996,-0.6000000000000001,0.0,1.0,1.0
50,19.0,2.0,-0.1999999999999999,10.0,-5.0,-1.0,0.2,0.2,-8.399999999999999,2.0,0.0,0.0,2.0,-4.0
51,14.0,1.0,1.4,6.0,11.2,5.6,0.0,0.0,17.6,-2.4000000000000004,-0.1999999999999997,0.0,1.0,4.0
52,12.0,1.0,0.6000000000000001,13.0,7.800000000000001,1.2000000000000002,0.0,0.0,20.0,-0.4000000000000003,0.1999999999999999,0.0,1.0,4.0
53,9.0,1.0,1.8000000000000005,1.0,11.8,5.0,0.0,0.0,21.8,-2.4000000000000004,-0.3999999999999999,-0.2,1.0,4.0
54,7.0,1.0,0.75,3.0,3.2,0.6000000000000001,-0.2,-0.2,1.5499999999999972,1.4000000000000004,0.8999999999999999,0.0,1.0,0.0
55,0.0,0.0,0.8,18.0,4.400000000000002,0.5999999999999996,-0.2,-0.2,1.0,-2.8000000000000007,0.1999999999999999,0.0,1.0,2.0
56,2.0,0.0,-1.0,16.0,0.6000000000000014,-0.3999999999999999,-0.2,-0.2,-6.799999999999997,0.3999999999999986,-0.1999999999999997,0.0,0.0,0.0
57,4.0,0.0,-0.95,11.0,-3.0,-2.7,0.0,0.0,-0.2000000000000028,3.1500000000000004,0.9500000000000002,0.2,0.0,-2.0
58,15.0,2.0,-1.6,17.0,-1.200000000000001,-1.0,-0.4,-0.4,-0.7999999999999972,-1.599999999999998,0.1999999999999997,-0.2,1.0,-3.0
59,8.0,1.0,0.8,2.0,5.599999999999998,1.2000000000000002,0.2,0.2,11.6,-0.8000000000000007,-0.4000000000000001,0.0,1.0,2.0
60,9.0,1.0,0.0,12.0,-0.8000000000000007,1.0,0.0,0.0,6.0,-2.4000000000000004,0.3999999999999999,0.2,0.0,1.0
61,14.0,1.0,0.3999999999999999,10.0,2.0,3.8,0.0,0.0,6.799999999999997,-2.8000000000000007,-1.0,0.0,0.0,1.0
62,13.0,1.0,0.2,4.0,-3.6000000000000014,0.7999999999999998,-0.2,-0.2,-21.599999999999994,1.4000000000000004,0.0,-0.2,1.0,-2.0
63,6.0,2.0,-1.8,7.0,-6.0,-2.4,0.0,0.0,-8.400000000000006,-2.2,-0.5999999999999996,0.0,0.0,-4.0
64,3.0,2.0,-0.4,18.0,0.4000000000000003,0.0,-0.2,-0.2,-1.7999999999999972,-3.6000000000000014,0.3999999999999999,0.0,2.0,-2.0
65,1.0,1.0,-0.6,19.0,-0.4000000000000003,-2.0,0.0,0.0,-4.200000000000003,-0.4000000000000003,1.0,0.2,1.0,-2.0
66,5.0,1.0,0.1999999999999999,0.0,-1.6000000000000014,0.8000000000000003,0.0,0.0,-1.7999999999999972,1.8000000000000007,0.3999999999999999,0.0,1.0,0.0
67,17.0,2.0,1.0,11.0,-3.4000000000000004,-0.6000000000000005,0.2,0.2,-0.8000000000000043,5.399999999999999,0.6000000000000001,0.2,0.0,-3.0
68,16.0,1.0,1.2000000000000002,15.0,-2.6,0.1999999999999997,0.2,0.4,4.800000000000004,0.4000000000000021,-0.2000000000000001,0.0,1.0,2.0
69,18.0,1.0,0.6000000000000001,6.0,2.2,1.8000000000000005,0.0,0.0,16.800000000000004,3.799999999999999,-0.5999999999999999,0.0,1.0,4.0
70,2.0,1.0,-0.4,1.0,-2.200000000000001,-0.3999999999999999,0.0,0.0,14.799999999999995,2.0,-0.8,-0.2,1.0,-1.0
71,19.0,2.0,-1.2000000000000002,9.0,-10.8,-4.4,0.0,0.0,-17.4,0.4000000000000003,-0.3999999999999999,-0.2,2.0,-3.0
72,4.0,2.0,-1.6,14.0,-5.199999999999999,-5.6000000000000005,0.2,0.2,-2.200000000000003,0.0,0.2000000000000001,0.2,2.0,-3.0
73,10.0,1.0,0.4000000000000001,5.0,6.000000000000002,0.1999999999999993,-0.2,-0.2,9.799999999999995,-2.2,-0.2000000000000001,0.0,0.0,1.0
74,12.0,1.0,-0.7999999999999998,17.0,5.199999999999999,-0.6000000000000005,0.0,0.0,1.2000000000000028,-1.8000000000000007,0.7999999999999998,0.2,1.0,1.0
75,11.0,1.0,1.6,3.0,8.6,4.0,0.0,0.0,7.199999999999996,-4.799999999999999,-0.8,0.0,1.0,4.0
76,15.0,2.0,-1.0,8.0,-6.200000000000001,-1.2000000000000002,-0.2,-0.2,-11.0,2.6,0.8000000000000003,0.0,2.0,-3.0
77,7.0,2.0,0.8,13.0,3.3999999999999986,0.6000000000000001,0.0,0.0,18.4,2.200000000000001,0.6000000000000001,0.0,1.0,4.0
78,0.0,2.0,-1.2000000000000002,16.0,2.799999999999999,-1.7999999999999998,-0.2,-0.4,1.7999999999999972,-3.799999999999999,0.0,0.0,0.0,-2.0
79,19.0,2.0,-1.0,12.0,-8.2,-2.2,0.0,0.0,-10.0,0.1999999999999993,0.3999999999999999,-0.2,2.0,-4.0
80,14.0,2.0,1.4,15.0,5.800000000000001,4.0,0.0,-0.2,9.6,-4.4,-1.2,0.0,1.0,4.0
81,9.0,0.0,0.8000000000000003,7.0,4.800000000000001,2.2,0.0,0.0,9.199999999999996,0.4000000000000003,-0.2000000000000001,0.2,1.0,2.0
82,8.0,1.0,-0.8000000000000003,11.0,-1.1999999999999993,-2.2,0.2,0.2,-1.0,5.600000000000001,0.2000000000000001,0.0,0.0,1.0
83,1.0,0.0,-0.3999999999999999,18.0,-0.5999999999999996,-0.6000000000000001,-0.2,-0.2,-16.199999999999996,-4.0,1.0,0.2,2.0,-1.0
84,6.0,0.0,0.1999999999999999,4.0,-3.0,0.1999999999999999,0.0,-0.2,-12.599999999999994,4.399999999999999,0.2000000000000001,-0.2,1.0,-2.0
85,5.0,0.0,0.7999999999999999,2.0,3.0,2.8000000000000003,0.2,0.2,-4.0,2.4000000000000004,0.5999999999999999,0.0,0.0,2.0
86,3.0,2.0,0.1999999999999999,0.0,-4.800000000000001,-0.3999999999999999,0.0,0.0,-11.4,2.200000000000001,-0.6000000000000001,0.0,1.0,-3.0
87,13.0,2.0,-0.4000000000000001,10.0,-6.199999999999999,-1.0,0.0,0.0,-16.799999999999997,-3.2,-1.2000000000000002,0.0,2.0,-4.0
88,16.0,0.0,-0.5999999999999999,17.0,-3.799999999999999,-1.2000000000000002,0.0,0.2,-6.600000000000001,2.6,1.8000000000000005,-0.2,1.0,-2.0
89,18.0,0.0,0.0,5.0,-0.4000000000000003,0.2000000000000001,-0.2,-0.2,2.3999999999999986,5.199999999999999,0.2000000000000001,0.0,2.0,-1.0
90,4.0,2.0,-1.0,9.0,-6.199999999999999,-3.8,0.2,0.4,-12.0,0.0,1.0,0.2,2.0,-4.0
91,0.0,1.0,0.1999999999999999,13.0,8.2,1.2000000000000002,0.0,0.0,22.599999999999994,1.4000000000000004,-0.1999999999999999,0.0,0.0,4.0
92,2.0,1.0,0.1999999999999999,3.0,1.200000000000001,1.1999999999999995,-0.2,-0.2,8.599999999999994,-2.9999999999999982,-0.2000000000000001,-0.2,1.0,-2.0
93,12.0,0.0,0.5999999999999999,14.0,-0.7999999999999972,-2.0,0.2,0.2,-5.200000000000003,-2.2,0.3999999999999999,0.2,1.0,0.0
94,17.0,0.0,0.0,1.0,2.0,1.2000000000000002,0.0,0.0,14.6,2.8000000000000007,-1.2000000000000002,0.2,1.0,-3.0
95,7.0,0.0,0.5999999999999999,19.0,3.799999999999999,1.0,0.0,0.0,2.6000000000000014,1.799999999999999,-0.2000000000000001,0.0,0.0,-3.0
96,11.0,1.0,1.4,16.0,6.600000000000001,2.2,0.0,-0.2,3.3999999999999986,-5.799999999999999,-0.7999999999999998,0.0,0.0,0.0
97,15.0,2.0,-0.3999999999999999,6.0,0.0,1.0,-0.2,0.0,9.4,-1.8000000000000007,0.8000000000000003,0.2,0.0,2.0
98,10.0,2.0,0.3999999999999999,8.0,0.5999999999999996,2.2,0.0,0.0,1.6000000000000014,-2.6,1.6,0.0,2.0,-3.0
