,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
414,bologna,2019-09-22,P,0.3999999999999999,roma,-2.0,-0.5999999999999996,0.0,0.0,4.800000000000004,-0.5999999999999996,0.0,0.0,2019-2020,1.0,4.0
415,lazio,2019-09-22,V,0.6000000000000001,parma,4.400000000000002,2.0,0.2,0.2,4.400000000000006,-0.5999999999999996,1.2,0.0,2019-2020,6.0,0.0
416,sampdoria,2019-09-22,V,-1.4,torino,-0.6000000000000014,-1.0,0.0,0.0,-4.600000000000001,-5.400000000000002,-0.20000000000000018,0.2,2019-2020,1.0,2.0
417,sassuolo,2019-09-22,V,0.0,spal,1.200000000000001,1.9999999999999996,0.0,0.0,6.0,-2.5999999999999996,-0.7999999999999998,0.4,2019-2020,4.0,0.0
418,lecce,2019-09-22,P,-2.3333333333333335,napoli,-2.1999999999999993,-2.8666666666666667,-0.2,-0.2,-15.133333333333333,3.8666666666666654,0.7333333333333334,0.3333333333333333,2019-2020,0.0,6.0
419,atalanta,2019-09-22,N,1.4000000000000001,fiorentina,3.9999999999999982,2.8,-0.2,-0.2,0.19999999999999574,-2.1999999999999993,0.40000000000000013,0.0,2019-2020,1.0,1.0
420,hellas verona,2019-09-24,N,-0.050000000000000044,udinese,-4.4,-3.3,0.0,0.25,-8.700000000000003,1.0,1.2,0.55,2019-2020,0.0,6.0
421,brescia,2019-09-24,P,-0.1499999999999999,juventus,-4.35,-0.3999999999999999,0.04999999999999999,0.04999999999999999,-14.450000000000003,1.6999999999999993,0.7999999999999998,0.25,2019-2020,0.0,6.0
422,parma,2019-09-25,V,-1.2000000000000002,sassuolo,-2.5999999999999996,-1.6000000000000005,0.0,0.0,-11.199999999999996,-1.200000000000001,-0.5999999999999999,-0.4,2019-2020,1.0,4.0
423,genoa,2019-09-25,N,-0.6000000000000001,bologna,-4.199999999999999,-1.6000000000000005,0.0,0.0,-5.600000000000001,-1.5999999999999996,-1.2,0.0,2019-2020,2.0,2.0
424,spal,2019-09-25,P,0.44999999999999996,lecce,-3.5999999999999996,-0.3999999999999999,-0.25,-0.25,4.5,0.5999999999999996,-0.6499999999999999,-0.25,2019-2020,4.0,0.0
425,napoli,2019-09-25,P,1.4,cagliari,7.199999999999999,3.0,0.4,0.4,13.0,-4.4,-0.3999999999999999,0.0,2019-2020,6.0,0.0
426,roma,2019-09-25,P,0.0,atalanta,-0.8000000000000007,-1.4000000000000004,0.0,0.0,-3.799999999999997,0.0,1.0,0.2,2019-2020,1.0,2.0
427,inter,2019-09-25,V,0.6000000000000001,lazio,0.7999999999999972,1.0,0.0,0.2,5.199999999999996,2.0,-0.20000000000000018,0.2,2019-2020,4.0,1.0
428,fiorentina,2019-09-25,V,0.3999999999999999,sampdoria,0.5999999999999996,0.0,0.2,0.2,6.199999999999996,2.799999999999999,0.40000000000000013,-0.2,2019-2020,0.0,2.0
429,torino,2019-09-26,V,0.8,milan,-3.799999999999999,1.2000000000000002,-0.2,-0.2,-5.600000000000001,1.5999999999999996,-1.0,-0.2,2019-2020,1.0,1.0
430,sassuolo,2019-09-28,P,-0.20000000000000018,atalanta,-5.200000000000001,-0.7999999999999998,-0.2,-0.2,5.600000000000001,-1.3999999999999986,0.19999999999999996,0.0,2019-2020,0.0,5.0
431,sampdoria,2019-09-28,P,-1.4,inter,-5.199999999999999,-1.7999999999999998,0.0,0.0,-19.200000000000003,1.5999999999999996,0.9999999999999998,0.4,2019-2020,2.0,4.0
432,juventus,2019-09-28,V,0.8,spal,1.5999999999999996,1.0,0.2,0.2,10.800000000000004,0.1999999999999993,0.0,0.0,2019-2020,4.0,1.0
433,napoli,2019-09-29,V,1.4000000000000001,brescia,11.399999999999999,3.5999999999999996,0.2,0.2,24.0,-4.600000000000001,0.0,0.0,2019-2020,6.0,0.0
