,data,ora,competizione,girone,giorno,stadio,risultato,rf,rs,avversario,xg,xga,poss.,spettatori,capitano,formazione,arbitro,report partita,note,reti,tiri,tiri.1,% tip,g/tiri,g/tip,dist.,pun.,rigori,rig t,npxg,npxg/sh,g-xg,np:g-xg,team
10,30-10-2021,15:00,Serie A,Giornata n. 11,Sab,Casa,N,2,2,Lazio,0.9,1.4,56.0,11.981,Remo Freuler,3-4-3,Marco Guida,Report partita,,2,17.0,3.0,176.0,12.0,67.0,168.0,0.0,0,0,0.9,5.0,1.1,1.1,Atalanta
11,06-11-2021,20:45,Serie A,Giornata n. 12,Sab,Ospiti,V,2,1,Cagliari,2.8,0.9,62.0,6.976,Remo Freuler,3-4-3,Marco Piccinini,Report partita,,2,20.0,8.0,400.0,10.0,25.0,135.0,1.0,0,0,2.8,14.0,-0.8,-0.8,Atalanta
12,20-11-2021,15:00,Serie A,Giornata n. 13,Sab,Casa,V,5,2,Spezia,2.5,1.0,50.0,10.744,Rafael Tolói,3-4-3,Rosario Abisso,Report partita,,5,17.0,8.0,471.0,24.0,50.0,183.0,0.0,1,1,1.8,11.0,2.5,2.2,Atalanta
13,27-11-2021,18:00,Serie A,Giornata n. 14,Sab,Ospiti,V,1,0,Juventus,0.4,0.9,41.0,29.886,Rafael Tolói,3-4-3,Giovanni Ayroldi,Report partita,,1,7.0,1.0,143.0,14.0,100.0,175.0,0.0,0,0,0.4,6.0,0.6,0.6,Atalanta
14,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Casa,V,4,0,Venezia,2.7,0.7,58.0,8.667,José Luis Palomino,3-4-3,Alberto Santoro,Report partita,,4,19.0,6.0,316.0,21.0,67.0,152.0,0.0,0,0,2.7,14.0,1.3,1.3,Atalanta
15,04-12-2021,20:45,Serie A,Giornata n. 16,Sab,Ospiti,V,3,2,Napoli,1.6,1.2,45.0,30.0,Rafael Tolói,3-4-3,Maurizio Mariani,Report partita,,3,21.0,7.0,333.0,14.0,43.0,156.0,0.0,0,0,1.6,8.0,1.4,1.4,Atalanta
16,12-12-2021,15:00,Serie A,Giornata n. 17,Dom,Ospiti,V,2,1,Hellas Verona,1.7,1.1,47.0,15.0,Rafael Tolói,3-4-3,Juan Sacchi,Report partita,,2,14.0,6.0,429.0,14.0,33.0,177.0,0.0,0,0,1.7,12.0,0.3,0.3,Atalanta
17,18-12-2021,15:00,Serie A,Giornata n. 18,Sab,Casa,P,1,4,Roma,1.3,1.2,71.0,14.469,Rafael Tolói,3-4-3,Massimiliano Irrati,Report partita,,0,17.0,6.0,353.0,0.0,0.0,171.0,1.0,0,0,1.3,8.0,-1.3,-1.3,Atalanta
18,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Ospiti,N,0,0,Genoa,1.2,0.0,67.0,6.0,Remo Freuler,3-4-3,Paolo Valeri,Report partita,,0,17.0,3.0,176.0,0.0,0.0,163.0,0.0,0,0,1.2,7.0,-1.2,-1.2,Atalanta
19,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Ospiti,V,6,2,Udinese,3.1,0.5,60.0,8.679,Rafael Tolói,3-4-3,Michael Fabbri,Report partita,,6,21.0,7.0,333.0,29.0,86.0,147.0,0.0,0,0,3.1,15.0,2.9,2.9,Atalanta
20,16-01-2022,20:45,Serie A,Giornata n. 22,Dom,Casa,N,0,0,Inter,1.6,1.5,37.0,5.0,Remo Freuler,4-3-3,Davide Massa,Report partita,,0,12.0,6.0,500.0,0.0,0.0,137.0,0.0,0,0,1.6,13.0,-1.6,-1.6,Atalanta
21,22-01-2022,20:45,Serie A,Giornata n. 23,Sab,Ospiti,N,0,0,Lazio,0.4,0.2,39.0,4.0,Remo Freuler,3-4-1-2,Simone Sozza,Report partita,,0,6.0,2.0,333.0,0.0,0.0,172.0,0.0,0,0,0.4,6.0,-0.4,-0.4,Atalanta
22,06-02-2022,12:30,Serie A,Giornata n. 24,Dom,Casa,P,1,2,Cagliari,1.1,1.1,61.0,7.868,Remo Freuler,4-2-3-1,Alessandro Prontera,Report partita,,1,10.0,4.0,400.0,10.0,25.0,177.0,1.0,0,0,1.1,11.0,-0.1,-0.1,Atalanta
23,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Casa,N,1,1,Juventus,2.1,0.7,52.0,9.731,Rafael Tolói,3-4-1-2,Maurizio Mariani,Report partita,,1,21.0,3.0,143.0,5.0,33.0,168.0,1.0,0,0,2.1,11.0,-1.1,-1.1,Atalanta
24,20-02-2022,12:30,Serie A,Giornata n. 26,Dom,Ospiti,P,0,1,Fiorentina,0.5,0.6,51.0,18.056,Rafael Tolói,3-4-1-2,Daniele Doveri,Report partita,,0,7.0,1.0,143.0,0.0,0.0,188.0,0.0,0,0,0.5,8.0,-0.5,-0.5,Atalanta
25,28-02-2022,20:50,Serie A,Giornata n. 27,Lun,Casa,V,4,0,Sampdoria,2.1,0.5,56.0,10.245,Rafael Tolói,4-2-3-1,Simone Sozza,Report partita,,4,19.0,9.0,474.0,21.0,44.0,154.0,0.0,0,0,2.1,11.0,1.9,1.9,Atalanta
26,05-03-2022,18:00,Serie A,Giornata n. 28,Sab,Ospiti,P,0,1,Roma,0.8,1.2,64.0,42.303,Remo Freuler,4-2-3-1,Davide Massa,Report partita,,0,7.0,4.0,571.0,0.0,0.0,139.0,0.0,0,0,0.8,12.0,-0.8,-0.8,Atalanta
27,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Casa,N,0,0,Genoa,1.2,1.0,59.0,9.14,José Luis Palomino,3-4-1-2,Rosario Abisso,Report partita,,0,12.0,2.0,167.0,0.0,0.0,168.0,1.0,0,0,1.2,10.0,-1.2,-1.2,Atalanta
28,20-03-2022,20:45,Serie A,Giornata n. 30,Dom,Ospiti,V,1,0,Bologna,1.2,1.3,40.0,1.323,Remo Freuler,3-4-3,Fabio Maresca,Report partita,,1,15.0,2.0,133.0,7.0,50.0,177.0,0.0,0,0,1.2,8.0,-0.2,-0.2,Atalanta
29,03-04-2022,15:00,Serie A,Giornata n. 31,Dom,Casa,P,1,3,Napoli,1.4,1.5,55.0,17.709,Remo Freuler,3-4-1-2,Marco Di Bello,Report partita,,1,19.0,3.0,158.0,5.0,33.0,147.0,1.0,0,0,1.4,8.0,-0.4,-0.4,Atalanta
30,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Ospiti,P,1,2,Sassuolo,1.8,1.2,49.0,7.842,Rafael Tolói,3-4-3,Juan Sacchi,Report partita,,1,15.0,4.0,267.0,7.0,25.0,135.0,0.0,0,0,1.8,12.0,-0.8,-0.8,Atalanta
31,18-04-2022,21:00,Serie A,Giornata n. 33,Lun,Casa,P,1,2,Hellas Verona,1.5,3.2,56.0,14.537,Marten de Roon,3-4-3,Marco Piccinini,Report partita,,1,17.0,4.0,235.0,6.0,25.0,148.0,0.0,0,0,1.5,9.0,-0.5,-0.5,Atalanta
