,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
22,22-01-2022,20:45,Serie A,Giornata n. 23,Sab,Casa,N,0,0,Atalanta,0.2,0.4,61,4.0,Ciro Immobile,4-3-3,Simone Sozza,Report partita,,0,9,1,111,0,0.0,204.0,0.0,0,0,0.2,3.0,-0.2,-0.2
23,05-02-2022,20:45,Serie A,Giornata n. 24,Sab,Ospiti,V,3,0,Fiorentina,2.7,0.8,50,17.181,Ciro Immobile,4-3-3,Daniele Orsato,Report partita,,2,12,7,583,17,29.0,137.0,0.0,0,0,2.7,26.0,-0.7,-0.7
24,12-02-2022,15:00,Serie A,Giornata n. 25,Sab,Casa,V,3,0,Bologna,2.6,0.7,57,22.0,Ciro Immobile,4-3-3,Marco Piccinini,Report partita,,3,11,5,455,18,40.0,151.0,0.0,1,1,1.8,17.0,0.4,0.2
25,20-02-2022,20:45,Serie A,Giornata n. 26,Dom,Ospiti,N,1,1,Udinese,1.3,1.2,59,10.799,Sergej Milinković-Savić,4-3-3,Luca Massimi,Report partita,,1,10,2,200,10,50.0,135.0,0.0,0,0,1.3,14.0,-0.3,-0.3
26,27-02-2022,20:50,Serie A,Giornata n. 27,Dom,Casa,P,1,2,Napoli,1.1,1.4,45,25.0,Ciro Immobile,4-3-3,Marco Di Bello,Report partita,,1,13,8,615,8,13.0,149.0,0.0,0,0,1.1,8.0,-0.1,-0.1
27,05-03-2022,20:45,Serie A,Giornata n. 28,Sab,Ospiti,V,3,0,Cagliari,2.6,0.6,55,10.873,Ciro Immobile,4-3-3,Fabio Maresca,Report partita,,3,14,4,286,14,50.0,173.0,0.0,1,1,1.9,14.0,0.4,0.1
28,14-03-2022,20:45,Serie A,Giornata n. 29,Lun,Casa,V,1,0,Venezia,1.4,0.3,66,18.0,Ciro Immobile,4-3-3,Gianluca Manganiello,Report partita,,1,9,0,0,0,,177.0,1.0,1,1,0.6,7.0,-0.4,-0.6
29,20-03-2022,18:00,Serie A,Giornata n. 30,Dom,Ospiti,P,0,3,Roma,0.5,2.2,66,51.932,Ciro Immobile,4-3-3,Massimiliano Irrati,Report partita,,0,9,3,333,0,0.0,226.0,1.0,0,0,0.5,6.0,-0.5,-0.5
30,02-04-2022,18:00,Serie A,Giornata n. 31,Sab,Casa,V,2,1,Sassuolo,2.3,1.8,54,15.0,Ciro Immobile,4-3-3,Antonio Rapuano,Report partita,,2,14,5,357,14,40.0,133.0,0.0,0,0,2.3,17.0,-0.3,-0.3
31,10-04-2022,12:30,Serie A,Giornata n. 32,Dom,Ospiti,V,4,1,Genoa,1.6,0.8,56,16.756,Ciro Immobile,4-3-2-1,Gianluca Manganiello,Report partita,,4,17,11,647,24,36.0,166.0,0.0,0,0,1.6,10.0,2.4,2.4
32,16-04-2022,20:45,Serie A,Giornata n. 33,Sab,Casa,N,1,1,Torino,0.7,1.0,48,25.0,Ciro Immobile,4-3-3,Alessandro Prontera,Report partita,,1,10,4,400,10,25.0,164.0,0.0,0,0,0.7,7.0,0.3,0.3
33,24-04-2022,20:45,Serie A,Giornata n. 34,Dom,Casa,P,1,2,Milan,0.6,2.1,47,25.0,Ciro Immobile,4-3-3,Marco Guida,Report partita,,1,7,2,286,14,50.0,192.0,0.0,0,0,0.6,8.0,0.4,0.4
34,30-04-2022,20:45,Serie A,Giornata n. 35,Sab,Ospiti,V,4,3,Spezia,3.5,1.6,70,8.75,Ciro Immobile,4-3-3,Luca Pairetto,Report partita,,3,21,8,381,10,25.0,167.0,0.0,1,1,2.8,14.0,-0.5,-0.8
35,07-05-2022,20:45,Serie A,Giornata n. 36,Sab,Casa,V,2,0,Sampdoria,1.4,0.9,60,31.0,Ciro Immobile,4-3-3,Davide Massa,Report partita,,2,16,10,625,13,20.0,168.0,0.0,0,0,1.4,9.0,0.6,0.6
36,16-05-2022,20:45,Serie A,Giornata n. 37,Lun,Ospiti,N,2,2,Juventus,1.1,0.8,63,40.515,Sergej Milinković-Savić,4-3-3,Giovanni Ayroldi,Report partita,,1,18,7,389,6,14.0,200.0,1.0,0,0,1.1,6.0,-0.1,-0.1
37,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Casa,N,3,3,Hellas Verona,2.4,1.6,53,50.0,Sergej Milinković-Savić,4-3-3,Andrea Colombo,Report partita,,3,19,7,368,16,43.0,137.0,1.0,0,0,2.4,14.0,0.6,0.6
