,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
22,23-01-2022,18:00,Serie A,Giornata n. 23,Dom,Casa,P,2,4,Roma,0.9,3.0,58,4.92,Filippo Bandinelli,4-3-2-1,Michael Fabbri,Report partita,,2,16,7,438,13,29,174.0,0.0,0,0,0.9,6.0,1.1,1.1
23,06-02-2022,15:00,Serie A,Giornata n. 24,Dom,Ospiti,N,0,0,Bologna,1.6,0.7,41,10.349,Simone Romagnoli,4-3-2-1,Cosso Cosso,Report partita,,0,15,4,267,0,0,172.0,0.0,0,0,1.6,11.0,-1.6,-1.6
24,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Casa,N,1,1,Cagliari,1.0,1.0,45,4.787,Simone Romagnoli,4-4-2◆,Federico Dionisi,Report partita,,1,15,6,400,7,17,239.0,0.0,0,0,1.0,7.0,0.0,0.0
25,19-02-2022,15:00,Serie A,Giornata n. 26,Sab,Ospiti,P,0,2,Sampdoria,0.8,0.5,58,9.069,Simone Romagnoli,4-4-2◆,Antonio Rapuano,Report partita,,0,10,2,200,0,0,169.0,1.0,0,0,0.8,8.0,-0.8,-0.8
26,26-02-2022,18:00,Serie A,Giornata n. 27,Sab,Casa,P,2,3,Juventus,1.3,2.1,53,11.89,Filippo Bandinelli,4-4-2◆,Fabio Maresca,Report partita,,2,11,2,182,18,100,137.0,0.0,0,0,1.3,13.0,0.7,0.7
27,06-03-2022,12:30,Serie A,Giornata n. 28,Dom,Ospiti,N,0,0,Genoa,0.3,1.1,48,14.935,Simone Romagnoli,4-3-3,Gianluca Aureliano,Report partita,,0,8,2,250,0,0,225.0,1.0,0,0,0.3,4.0,-0.3,-0.3
28,12-03-2022,20:45,Serie A,Giornata n. 29,Sab,Ospiti,P,0,1,Milan,0.2,0.7,48,48.801,Simone Romagnoli,4-3-2-1,Daniele Chiffi,Report partita,,0,5,3,600,0,0,178.0,0.0,0,0,0.2,4.0,-0.2,-0.2
29,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Casa,N,1,1,Hellas Verona,1.0,1.3,38,5.445,Simone Romagnoli,4-4-2◆,Matteo Marcenaro,Report partita,,1,7,2,286,14,50,191.0,1.0,0,0,1.0,15.0,0.0,0.0
30,03-04-2022,12:30,Serie A,Giornata n. 31,Dom,Ospiti,P,0,1,Fiorentina,0.1,1.5,39,22.407,Filippo Bandinelli,4-4-2◆,Luca Massimi,Report partita,,0,4,1,250,0,0,160.0,0.0,0,0,0.1,3.0,-0.1,-0.1
31,09-04-2022,15:00,Serie A,Giornata n. 32,Sab,Casa,N,0,0,Spezia,1.0,0.7,57,5.265,Simone Romagnoli,4-4-2◆,Giovanni Ayroldi,Report partita,,0,15,4,267,0,0,159.0,0.0,0,0,1.0,6.0,-1.0,-1.0
32,16-04-2022,14:30,Serie A,Giornata n. 33,Sab,Ospiti,P,1,4,Udinese,1.7,1.2,61,15.226,Andrea La Mantia,4-4-2◆,Matteo Marchetti,Report partita,,1,14,3,214,0,0,175.0,1.0,1,1,1.0,7.0,-0.7,-1.0
33,24-04-2022,15:00,Serie A,Giornata n. 34,Dom,Casa,V,3,2,Napoli,1.8,1.3,42,10.245,Filippo Bandinelli,4-4-2◆,Livio Marinelli,Report partita,,3,17,7,412,18,43,166.0,0.0,0,0,1.8,10.0,1.2,1.2
34,01-05-2022,15:00,Serie A,Giornata n. 35,Dom,Casa,P,1,3,Torino,0.7,2.4,39,8.416,Sebastiano Luperto,4-4-2◆,Cosso Cosso,Report partita,,1,11,4,364,9,25,263.0,1.0,0,0,0.7,6.0,0.3,0.3
35,06-05-2022,18:45,Serie A,Giornata n. 36,Ven,Ospiti,P,2,4,Inter,0.6,4.3,36,69.959,Simone Romagnoli,4-4-2◆,Gianluca Manganiello,Report partita,,2,4,2,500,50,100,182.0,0.0,0,0,0.6,14.0,1.4,1.4
36,14-05-2022,15:00,Serie A,Giornata n. 37,Sab,Casa,N,1,1,Salernitana,2.1,3.1,45,7.0,Simone Romagnoli,4-4-2◆,Davide Massa,Report partita,,1,16,6,375,6,17,165.0,0.0,0,0,2.1,13.0,-1.1,-1.1
37,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,V,1,0,Atalanta,0.4,3.8,39,17.654,Filippo Bandinelli,4-4-2◆,Rosario Abisso,Report partita,,1,7,3,429,14,33,225.0,1.0,0,0,0.4,6.0,0.6,0.6
