,h_team,Data,Stadio,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards
15,Cagliari,06-12-2021,Casa,N,1,Torino,1,16.0,2.0,0,0,288.0,440.0,5.0,52.0,12.0,2,0
17,Cagliari,18-12-2021,Casa,P,0,Udinese,4,5.0,2.0,0,0,436.0,544.0,4.0,55.0,12.0,4,1
20,Cagliari,11-01-2022,Casa,V,2,Bologna,1,13.0,4.0,0,0,354.0,482.0,5.0,53.0,14.0,3,0
22,Cagliari,23-01-2022,Casa,N,1,Fiorentina,1,11.0,1.0,0,1,196.0,293.0,6.0,41.0,24.0,3,0
25,Cagliari,21-02-2022,Casa,N,1,Napoli,1,13.0,5.0,0,0,290.0,419.0,3.0,46.0,18.0,1,0
27,Cagliari,05-03-2022,Casa,P,0,Lazio,3,16.0,3.0,0,0,357.0,481.0,7.0,45.0,11.0,3,0
29,Cagliari,19-03-2022,Casa,P,0,Milan,1,13.0,1.0,0,0,242.0,368.0,6.0,43.0,14.0,1,0
31,Cagliari,09-04-2022,Casa,P,1,Juventus,2,4.0,1.0,0,0,256.0,375.0,1.0,41.0,19.0,1,0
32,Cagliari,16-04-2022,Casa,V,1,Sassuolo,0,15.0,7.0,0,0,220.0,329.0,3.0,37.0,18.0,2,0
34,Cagliari,30-04-2022,Casa,P,1,Hellas Verona,2,14.0,4.0,0,0,353.0,487.0,2.0,60.0,16.0,2,0
36,Cagliari,15-05-2022,Casa,P,1,Inter,3,10.0,2.0,0,0,294.0,375.0,2.0,38.0,14.0,0,0
0,Empoli,21-08-2021,Casa,P,1,Lazio,3,17.0,4.0,0,0,410.0,496.0,5.0,46.0,15.0,2,0
2,Empoli,11-09-2021,Casa,P,1,Venezia,2,21.0,5.0,1,1,499.0,607.0,8.0,69.0,13.0,2,0
3,Empoli,19-09-2021,Casa,P,0,Sampdoria,3,15.0,4.0,0,0,349.0,456.0,8.0,53.0,11.0,2,0
