,h_team,Data,Stadio,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards
30,Milan,04-04-2022,Casa,N,0,Bologna,0,33.0,7.0,0,0,377.0,484.0,9.0,53.0,11.0,0,0
32,Milan,15-04-2022,Casa,V,2,Genoa,0,10.0,5.0,0,0,442.0,536.0,3.0,58.0,11.0,1,0
34,Milan,01-05-2022,Casa,V,1,Fiorentina,0,13.0,2.0,0,0,341.0,437.0,2.0,49.0,18.0,1,0
36,Milan,15-05-2022,Casa,V,2,Atalanta,0,12.0,6.0,0,0,314.0,401.0,4.0,45.0,12.0,3,0
0,Napoli,22-08-2021,Casa,V,2,Venezia,0,11.0,3.0,1,2,520.0,586.0,2.0,56.0,4.0,1,1
2,Napoli,11-09-2021,Casa,V,2,Juventus,1,25.0,7.0,0,0,585.0,666.0,13.0,67.0,15.0,2,0
5,Napoli,26-09-2021,Casa,V,2,Cagliari,0,16.0,6.0,1,1,696.0,766.0,6.0,67.0,11.0,2,0
7,Napoli,17-10-2021,Casa,V,1,Torino,0,10.0,2.0,0,1,333.0,440.0,3.0,51.0,6.0,2,0
9,Napoli,28-10-2021,Casa,V,3,Bologna,0,16.0,4.0,2,2,665.0,719.0,4.0,65.0,20.0,1,0
11,Napoli,07-11-2021,Casa,N,1,Hellas Verona,1,16.0,1.0,0,0,454.0,543.0,3.0,58.0,16.0,2,0
13,Napoli,28-11-2021,Casa,V,4,Lazio,0,18.0,8.0,0,0,759.0,822.0,1.0,62.0,12.0,2,0
15,Napoli,04-12-2021,Casa,P,2,Atalanta,3,15.0,4.0,0,0,481.0,568.0,6.0,55.0,19.0,2,0
16,Napoli,12-12-2021,Casa,P,0,Empoli,1,30.0,6.0,0,0,522.0,616.0,10.0,60.0,8.0,0,0
18,Napoli,22-12-2021,Casa,P,0,Spezia,1,27.0,6.0,0,0,562.0,653.0,10.0,65.0,15.0,2,0
20,Napoli,09-01-2022,Casa,V,1,Sampdoria,0,22.0,5.0,0,0,672.0,758.0,13.0,69.0,13.0,0,0
22,Napoli,23-01-2022,Casa,V,4,Salernitana,1,24.0,12.0,2,2,895.0,981.0,10.0,81.0,9.0,0,0
24,Napoli,12-02-2022,Casa,N,1,Inter,1,12.0,3.0,1,1,456.0,534.0,4.0,49.0,7.0,1,0
27,Napoli,06-03-2022,Casa,P,0,Milan,1,10.0,3.0,0,0,497.0,581.0,6.0,60.0,10.0,4,0
29,Napoli,19-03-2022,Casa,V,2,Udinese,1,20.0,8.0,0,0,531.0,621.0,7.0,64.0,10.0,2,0
31,Napoli,10-04-2022,Casa,P,2,Fiorentina,3,15.0,3.0,0,0,437.0,528.0,3.0,50.0,14.0,0,0
32,Napoli,18-04-2022,Casa,N,1,Roma,1,8.0,3.0,1,1,370.0,456.0,5.0,49.0,23.0,4,0
34,Napoli,30-04-2022,Casa,V,6,Sassuolo,1,18.0,8.0,0,0,519.0,580.0,4.0,53.0,12.0,0,0
36,Napoli,15-05-2022,Casa,V,3,Genoa,0,16.0,8.0,1,1,487.0,585.0,9.0,66.0,13.0,1,0
0,Roma,22-08-2021,Casa,V,3,Fiorentina,1,11.0,6.0,0,0,334.0,407.0,4.0,42.0,13.0,3,1
2,Roma,12-09-2021,Casa,V,2,Sassuolo,1,18.0,6.0,0,0,413.0,480.0,4.0,49.0,7.0,2,0
4,Roma,23-09-2021,Casa,V,1,Udinese,0,12.0,2.0,0,0,455.0,544.0,6.0,52.0,23.0,4,1
6,Roma,03-10-2021,Casa,V,2,Empoli,0,18.0,5.0,0,0,580.0,644.0,5.0,64.0,13.0,2,0
8,Roma,24-10-2021,Casa,N,0,Napoli,0,13.0,1.0,0,0,277.0,352.0,7.0,38.0,14.0,4,0
10,Roma,31-10-2021,Casa,P,1,Milan,2,24.0,6.0,0,0,351.0,425.0,5.0,50.0,23.0,4,0
13,Roma,28-11-2021,Casa,V,1,Torino,0,10.0,2.0,0,0,227.0,306.0,2.0,32.0,8.0,2,0
15,Roma,04-12-2021,Casa,P,0,Inter,3,9.0,1.0,0,0,357.0,414.0,4.0,34.0,12.0,3,0
16,Roma,13-12-2021,Casa,V,2,Spezia,0,12.0,5.0,0,0,456.0,555.0,9.0,52.0,13.0,4,1
18,Roma,22-12-2021,Casa,N,1,Sampdoria,1,15.0,4.0,0,0,469.0,589.0,10.0,54.0,6.0,0,0
20,Roma,09-01-2022,Casa,P,3,Juventus,4,19.0,6.0,0,1,369.0,471.0,8.0,53.0,13.0,3,0
21,Roma,16-01-2022,Casa,V,1,Cagliari,0,14.0,6.0,1,1,475.0,579.0,1.0,56.0,15.0,3,0
23,Roma,05-02-2022,Casa,N,0,Genoa,0,23.0,3.0,0,0,406.0,520.0,6.0,62.0,10.0,3,1
25,Roma,19-02-2022,Casa,N,2,Hellas Verona,2,7.0,3.0,0,0,411.0,550.0,4.0,57.0,19.0,3,0
27,Roma,05-03-2022,Casa,V,1,Atalanta,0,13.0,4.0,0,0,250.0,346.0,6.0,36.0,18.0,6,1
29,Roma,20-03-2022,Casa,V,3,Lazio,0,12.0,6.0,0,0,256.0,342.0,5.0,34.0,17.0,4,0
31,Roma,10-04-2022,Casa,V,2,Salernitana,1,17.0,7.0,0,0,456.0,548.0,9.0,66.0,19.0,5,0
34,Roma,01-05-2022,Casa,N,0,Bologna,0,18.0,5.0,0,0,303.0,399.0,10.0,43.0,10.0,0,0
36,Roma,14-05-2022,Casa,N,1,Venezia,1,46.0,15.0,0,0,522.0,629.0,20.0,68.0,12.0,2,0
1,Salernitana,29-08-2021,Casa,P,0,Roma,4,5.0,0.0,0,0,114.0,219.0,1.0,23.0,14.0,2,0
3,Salernitana,18-09-2021,Casa,P,0,Atalanta,1,11.0,1.0,0,0,310.0,425.0,6.0,43.0,22.0,4,0
4,Salernitana,22-09-2021,Casa,N,2,Hellas Verona,2,15.0,4.0,0,0,304.0,420.0,4.0,50.0,13.0,2,0
6,Salernitana,02-10-2021,Casa,V,1,Genoa,0,10.0,4.0,0,0,308.0,419.0,9.0,50.0,20.0,2,0
8,Salernitana,23-10-2021,Casa,P,2,Empoli,4,12.0,5.0,0,0,426.0,537.0,7.0,59.0,16.0,1,0
10,Salernitana,31-10-2021,Casa,P,0,Napoli,1,9.0,2.0,0,0,254.0,340.0,4.0,38.0,10.0,0,1
12,Salernitana,21-11-2021,Casa,P,0,Sampdoria,2,18.0,3.0,0,0,373.0,489.0,13.0,55.0,12.0,0,0
14,Salernitana,30-11-2021,Casa,P,0,Juventus,2,4.0,0.0,0,0,241.0,321.0,4.0,27.0,15.0,1,0
17,Salernitana,17-12-2021,Casa,P,0,Inter,5,10.0,2.0,0,0,274.0,353.0,3.0,35.0,11.0,1,0
19,Salernitana,15-01-2022,Casa,P,0,Lazio,3,7.0,1.0,0,0,267.0,338.0,3.0,27.0,12.0,2,0
21,Salernitana,07-02-2022,Casa,N,2,Spezia,2,10.0,5.0,0,0,395.0,512.0,5.0,56.0,13.0,3,0
23,Salernitana,19-02-2022,Casa,N,2,Milan,2,9.0,4.0,0,0,259.0,349.0,4.0,40.0,19.0,2,0
24,Salernitana,26-02-2022,Casa,N,1,Bologna,1,16.0,4.0,0,0,372.0,463.0,6.0,56.0,18.0,2,0
26,Salernitana,12-03-2022,Casa,N,2,Sassuolo,2,15.0,5.0,0,0,392.0,476.0,5.0,47.0,13.0,2,0
28,Salernitana,02-04-2022,Casa,P,0,Torino,1,14.0,4.0,0,0,283.0,410.0,9.0,53.0,16.0,5,1
32,Salernitana,24-04-2022,Casa,V,2,Fiorentina,1,10.0,4.0,0,0,155.0,246.0,6.0,28.0,17.0,1,0
34,Salernitana,05-05-2022,Casa,V,2,Venezia,1,18.0,3.0,1,1,238.0,331.0,6.0,42.0,12.0,2,0
35,Salernitana,08-05-2022,Casa,N,1,Cagliari,1,12.0,2.0,1,1,283.0,388.0,7.0,48.0,12.0,5,1
37,Salernitana,22-05-2022,Casa,P,0,Udinese,4,25.0,11.0,0,0,456.0,528.0,7.0,52.0,11.0,1,0
0,Sampdoria,23-08-2021,Casa,P,0,Milan,1,16.0,3.0,0,0,334.0,432.0,8.0,49.0,20.0,3,0
2,Sampdoria,12-09-2021,Casa,N,2,Inter,2,14.0,2.0,0,0,360.0,455.0,4.0,52.0,14.0,4,0
4,Sampdoria,23-09-2021,Casa,P,0,Napoli,4,13.0,5.0,0,0,414.0,509.0,5.0,48.0,11.0,2,0
6,Sampdoria,03-10-2021,Casa,N,3,Udinese,3,11.0,2.0,1,1,365.0,450.0,6.0,54.0,14.0,4,0
8,Sampdoria,22-10-2021,Casa,V,2,Spezia,1,6.0,2.0,0,0,195.0,302.0,0.0,30.0,10.0,3,0
9,Sampdoria,27-10-2021,Casa,P,1,Atalanta,3,8.0,3.0,0,0,282.0,414.0,3.0,40.0,16.0,4,0
11,Sampdoria,07-11-2021,Casa,P,1,Bologna,2,10.0,4.0,0,0,317.0,455.0,6.0,47.0,16.0,4,0
13,Sampdoria,27-11-2021,Casa,V,3,Hellas Verona,1,15.0,6.0,0,0,246.0,365.0,4.0,42.0,16.0,4,0
15,Sampdoria,05-12-2021,Casa,P,1,Lazio,3,18.0,5.0,0,0,443.0,560.0,7.0,48.0,16.0,4,0
17,Sampdoria,19-12-2021,Casa,N,1,Venezia,1,18.0,7.0,0,0,324.0,440.0,4.0,50.0,10.0,2,0
19,Sampdoria,06-01-2022,Casa,P,1,Cagliari,2,4.0,2.0,0,0,369.0,496.0,0.0,49.0,14.0,1,1
21,Sampdoria,15-01-2022,Casa,P,1,Torino,2,11.0,3.0,0,0,211.0,332.0,3.0,37.0,13.0,0,0
23,Sampdoria,06-02-2022,Casa,V,4,Sassuolo,0,10.0,6.0,1,1,262.0,356.0,3.0,40.0,17.0,2,0
25,Sampdoria,19-02-2022,Casa,V,2,Empoli,0,8.0,3.0,0,0,296.0,391.0,3.0,42.0,17.0,4,0
28,Sampdoria,12-03-2022,Casa,P,1,Juventus,3,16.0,4.0,0,1,490.0,561.0,9.0,49.0,7.0,0,0
30,Sampdoria,03-04-2022,Casa,P,0,Roma,1,8.0,3.0,0,0,379.0,483.0,4.0,49.0,16.0,2,0
32,Sampdoria,16-04-2022,Casa,P,1,Salernitana,2,5.0,1.0,0,0,537.0,652.0,5.0,67.0,18.0,1,0
34,Sampdoria,30-04-2022,Casa,V,1,Genoa,0,10.0,2.0,0,0,261.0,374.0,1.0,48.0,19.0,3,0
36,Sampdoria,16-05-2022,Casa,V,4,Fiorentina,1,13.0,5.0,0,0,232.0,309.0,4.0,37.0,19.0,3,1
1,Sassuolo,29-08-2021,Casa,N,0,Sampdoria,0,19.0,5.0,0,0,529.0,627.0,8.0,63.0,9.0,2,0
3,Sassuolo,17-09-2021,Casa,P,0,Torino,1,10.0,2.0,0,0,390.0,485.0,6.0,52.0,9.0,0,0
5,Sassuolo,26-09-2021,Casa,V,1,Salernitana,0,17.0,6.0,0,0,409.0,491.0,4.0,57.0,17.0,3,0
6,Sassuolo,02-10-2021,Casa,P,1,Inter,2,11.0,7.0,1,1,432.0,524.0,6.0,55.0,11.0,4,0
8,Sassuolo,23-10-2021,Casa,V,3,Venezia,1,14.0,7.0,0,0,584.0,654.0,5.0,63.0,14.0,1,0
10,Sassuolo,31-10-2021,Casa,P,1,Empoli,2,15.0,5.0,0,0,471.0,549.0,4.0,57.0,20.0,4,0
12,Sassuolo,21-11-2021,Casa,N,2,Cagliari,2,19.0,3.0,1,1,469.0,545.0,6.0,58.0,13.0,1,0
14,Sassuolo,01-12-2021,Casa,N,2,Napoli,2,9.0,7.0,0,0,441.0,508.0,5.0,50.0,11.0,4,0
16,Sassuolo,12-12-2021,Casa,V,2,Lazio,1,17.0,6.0,0,0,589.0,679.0,6.0,59.0,9.0,1,1
18,Sassuolo,22-12-2021,Casa,P,0,Bologna,3,13.0,5.0,0,0,477.0,566.0,5.0,59.0,15.0,1,0
19,Sassuolo,06-01-2022,Casa,N,1,Genoa,1,28.0,7.0,0,0,718.0,810.0,7.0,74.0,8.0,3,0
21,Sassuolo,16-01-2022,Casa,P,2,Hellas Verona,4,14.0,5.0,0,0,378.0,489.0,9.0,55.0,6.0,2,0
24,Sassuolo,13-02-2022,Casa,N,2,Roma,2,12.0,3.0,0,0,345.0,425.0,4.0,46.0,12.0,4,1
26,Sassuolo,26-02-2022,Casa,V,2,Fiorentina,1,16.0,6.0,0,0,376.0,450.0,6.0,49.0,14.0,1,0
29,Sassuolo,18-03-2022,Casa,V,4,Spezia,1,14.0,6.0,1,1,490.0,578.0,6.0,58.0,14.0,2,0
31,Sassuolo,10-04-2022,Casa,V,2,Atalanta,1,14.0,7.0,0,0,442.0,526.0,8.0,51.0,19.0,2,0
33,Sassuolo,25-04-2022,Casa,P,1,Juventus,2,22.0,7.0,0,0,619.0,691.0,6.0,62.0,16.0,2,1
35,Sassuolo,07-05-2022,Casa,N,1,Udinese,1,15.0,5.0,0,0,491.0,573.0,6.0,59.0,12.0,2,0
37,Sassuolo,22-05-2022,Casa,P,0,Milan,3,15.0,3.0,0,0,372.0,426.0,3.0,52.0,8.0,2,0
2,Spezia,12-09-2021,Casa,P,0,Udinese,1,20.0,5.0,0,0,432.0,520.0,4.0,56.0,13.0,1,0
4,Spezia,22-09-2021,Casa,P,2,Juventus,3,10.0,4.0,0,0,293.0,376.0,5.0,41.0,15.0,2,0
5,Spezia,25-09-2021,Casa,P,1,Milan,2,8.0,2.0,0,0,242.0,319.0,2.0,36.0,13.0,2,0
7,Spezia,16-10-2021,Casa,V,2,Salernitana,1,18.0,5.0,0,0,384.0,505.0,10.0,59.0,16.0,2,0
9,Spezia,26-10-2021,Casa,N,1,Genoa,1,13.0,3.0,0,0,319.0,436.0,3.0,47.0,15.0,2,0
11,Spezia,06-11-2021,Casa,V,1,Torino,0,7.0,3.0,0,0,255.0,360.0,2.0,41.0,16.0,3,0
13,Spezia,28-11-2021,Casa,P,0,Bologna,1,14.0,6.0,0,0,330.0,419.0,3.0,43.0,17.0,3,0
15,Spezia,05-12-2021,Casa,N,2,Sassuolo,2,9.0,4.0,0,0,264.0,352.0,2.0,35.0,15.0,4,0
17,Spezia,19-12-2021,Casa,N,1,Empoli,1,9.0,2.0,0,0,220.0,298.0,3.0,34.0,24.0,3,0
19,Spezia,06-01-2022,Casa,P,1,Hellas Verona,2,9.0,3.0,0,0,228.0,348.0,6.0,40.0,13.0,3,1
22,Spezia,23-01-2022,Casa,V,1,Sampdoria,0,7.0,2.0,0,0,275.0,368.0,2.0,40.0,25.0,2,0
24,Spezia,14-02-2022,Casa,P,1,Fiorentina,2,9.0,1.0,0,0,192.0,263.0,4.0,33.0,20.0,2,0
26,Spezia,27-02-2022,Casa,P,0,Roma,1,9.0,3.0,0,0,270.0,365.0,1.0,36.0,13.0,5,1
28,Spezia,12-03-2022,Casa,V,2,Cagliari,0,14.0,8.0,0,1,220.0,350.0,5.0,43.0,13.0,1,0
30,Spezia,02-04-2022,Casa,V,1,Venezia,0,11.0,4.0,0,0,332.0,453.0,5.0,53.0,18.0,3,0
32,Spezia,15-04-2022,Casa,P,1,Inter,3,11.0,3.0,0,0,229.0,334.0,6.0,34.0,13.0,2,0
34,Spezia,30-04-2022,Casa,P,3,Lazio,4,9.0,3.0,0,0,196.0,296.0,4.0,30.0,17.0,3,0
35,Spezia,08-05-2022,Casa,P,1,Atalanta,3,5.0,1.0,0,0,236.0,321.0,0.0,34.0,10.0,2,0
37,Spezia,22-05-2022,Casa,P,0,Napoli,3,16.0,4.0,0,0,283.0,346.0,4.0,32.0,12.0,1,0
0,Torino,21-08-2021,Casa,P,1,Atalanta,2,21.0,7.0,0,0,304.0,413.0,5.0,47.0,17.0,2,0
2,Torino,12-09-2021,Casa,V,4,Salernitana,0,15.0,5.0,0,0,453.0,544.0,7.0,60.0,11.0,0,0
4,Torino,23-09-2021,Casa,N,1,Lazio,1,16.0,5.0,0,0,313.0,416.0,6.0,45.0,21.0,3,0
6,Torino,02-10-2021,Casa,P,0,Juventus,1,13.0,2.0,0,0,347.0,452.0,4.0,48.0,23.0,3,0
8,Torino,22-10-2021,Casa,V,3,Genoa,2,17.0,6.0,0,0,377.0,491.0,2.0,58.0,19.0,2,0
10,Torino,30-10-2021,Casa,V,3,Sampdoria,0,16.0,5.0,0,0,515.0,620.0,4.0,63.0,20.0,2,0
12,Torino,22-11-2021,Casa,V,2,Udinese,1,14.0,3.0,0,0,367.0,479.0,4.0,51.0,20.0,1,0
14,Torino,02-12-2021,Casa,N,2,Empoli,2,10.0,3.0,0,0,259.0,338.0,1.0,41.0,8.0,1,1
16,Torino,12-12-2021,Casa,V,2,Bologna,1,16.0,7.0,0,0,330.0,439.0,5.0,49.0,18.0,2,0
17,Torino,19-12-2021,Casa,V,1,Hellas Verona,0,8.0,1.0,0,0,506.0,621.0,5.0,66.0,15.0,1,0
19,Torino,10-01-2022,Casa,V,4,Fiorentina,0,9.0,6.0,0,0,314.0,417.0,1.0,45.0,19.0,2,0
21,Torino,23-01-2022,Casa,N,1,Sassuolo,1,21.0,6.0,0,0,341.0,447.0,4.0,50.0,25.0,3,0
23,Torino,12-02-2022,Casa,P,1,Venezia,2,14.0,2.0,0,0,406.0,520.0,8.0,67.0,16.0,2,0
25,Torino,27-02-2022,Casa,P,1,Cagliari,2,15.0,6.0,0,0,319.0,467.0,4.0,57.0,21.0,2,0
27,Torino,13-03-2022,Casa,N,1,Inter,1,13.0,3.0,0,0,323.0,424.0,3.0,44.0,17.0,1,0
30,Torino,10-04-2022,Casa,N,0,Milan,0,14.0,3.0,0,0,268.0,361.0,6.0,43.0,19.0,2,0
32,Torino,23-04-2022,Casa,V,2,Spezia,1,14.0,5.0,1,1,441.0,539.0,5.0,55.0,11.0,1,0
35,Torino,07-05-2022,Casa,P,0,Napoli,1,10.0,3.0,0,0,295.0,383.0,5.0,43.0,19.0,2,0
37,Torino,20-05-2022,Casa,P,0,Roma,3,13.0,2.0,0,0,444.0,522.0,5.0,58.0,11.0,2,0
0,Udinese,22-08-2021,Casa,N,2,Juventus,2,11.0,5.0,1,1,363.0,433.0,3.0,44.0,14.0,1,0
1,Udinese,27-08-2021,Casa,V,3,Venezia,0,21.0,10.0,0,0,369.0,464.0,7.0,45.0,13.0,2,0
3,Udinese,20-09-2021,Casa,P,0,Napoli,4,9.0,1.0,0,0,346.0,403.0,2.0,37.0,12.0,2,0
5,Udinese,26-09-2021,Casa,P,0,Fiorentina,1,12.0,5.0,0,0,423.0,506.0,4.0,46.0,17.0,2,0
7,Udinese,17-10-2021,Casa,N,1,Bologna,1,10.0,2.0,0,0,295.0,370.0,2.0,41.0,16.0,3,1
9,Udinese,27-10-2021,Casa,N,1,Hellas Verona,1,16.0,5.0,0,0,202.0,305.0,7.0,34.0,15.0,1,0
11,Udinese,07-11-2021,Casa,V,3,Sassuolo,2,13.0,2.0,0,0,285.0,378.0,1.0,38.0,14.0,3,1
13,Udinese,28-11-2021,Casa,N,0,Genoa,0,16.0,3.0,0,0,323.0,416.0,8.0,43.0,19.0,3,0
16,Udinese,11-12-2021,Casa,N,1,Milan,1,11.0,6.0,0,0,259.0,348.0,3.0,34.0,21.0,2,1
18,Udinese,09-01-2022,Casa,P,2,Atalanta,6,8.0,4.0,0,0,349.0,453.0,2.0,40.0,10.0,2,0
21,Udinese,06-02-2022,Casa,V,2,Torino,0,10.0,2.0,1,1,220.0,347.0,8.0,42.0,11.0,3,0
23,Udinese,20-02-2022,Casa,N,1,Lazio,1,12.0,2.0,0,0,325.0,407.0,2.0,41.0,24.0,3,0
25,Udinese,05-03-2022,Casa,V,2,Sampdoria,1,20.0,5.0,0,0,281.0,404.0,11.0,43.0,20.0,5,0
26,Udinese,13-03-2022,Casa,N,1,Roma,1,11.0,5.0,0,0,285.0,367.0,6.0,37.0,17.0,3,0
28,Udinese,03-04-2022,Casa,V,5,Cagliari,1,24.0,11.0,0,0,392.0,469.0,2.0,51.0,20.0,2,0
30,Udinese,16-04-2022,Casa,V,4,Empoli,1,13.0,5.0,0,0,248.0,319.0,4.0,39.0,21.0,1,0
31,Udinese,20-04-2022,Casa,P,0,Salernitana,1,12.0,3.0,0,0,320.0,435.0,9.0,54.0,23.0,3,0
34,Udinese,01-05-2022,Casa,P,1,Inter,2,8.0,5.0,0,0,385.0,466.0,5.0,48.0,15.0,2,0
36,Udinese,14-05-2022,Casa,P,2,Spezia,3,17.0,6.0,0,0,463.0,561.0,4.0,61.0,18.0,3,0
3,Venezia,19-09-2021,Casa,P,1,Spezia,2,14.0,3.0,0,0,320.0,425.0,3.0,45.0,15.0,4,0
5,Venezia,27-09-2021,Casa,N,1,Torino,1,6.0,0.0,1,1,300.0,404.0,4.0,44.0,9.0,1,0
7,Venezia,18-10-2021,Casa,V,1,Fiorentina,0,4.0,2.0,0,0,294.0,396.0,2.0,39.0,16.0,2,0
9,Venezia,26-10-2021,Casa,P,1,Salernitana,2,8.0,4.0,0,0,347.0,441.0,4.0,45.0,19.0,3,1
11,Venezia,07-11-2021,Casa,V,3,Roma,2,12.0,6.0,1,1,269.0,348.0,4.0,39.0,13.0,2,0
13,Venezia,27-11-2021,Casa,P,0,Inter,2,6.0,1.0,0,0,412.0,492.0,3.0,44.0,13.0,2,0
15,Venezia,05-12-2021,Casa,P,3,Hellas Verona,4,9.0,5.0,0,0,281.0,384.0,1.0,44.0,12.0,2,1
16,Venezia,11-12-2021,Casa,N,1,Juventus,1,13.0,4.0,0,0,302.0,404.0,3.0,40.0,20.0,4,0
18,Venezia,22-12-2021,Casa,P,1,Lazio,3,10.0,2.0,0,0,446.0,525.0,4.0,47.0,13.0,3,1
19,Venezia,09-01-2022,Casa,P,0,Milan,3,10.0,3.0,0,0,332.0,418.0,1.0,38.0,11.0,1,1
20,Venezia,16-01-2022,Casa,N,1,Empoli,1,14.0,3.0,0,0,333.0,434.0,6.0,50.0,16.0,3,0
22,Venezia,06-02-2022,Casa,P,0,Napoli,2,7.0,3.0,0,0,306.0,397.0,2.0,34.0,12.0,2,1
24,Venezia,20-02-2022,Casa,N,1,Genoa,1,15.0,4.0,0,0,218.0,369.0,6.0,47.0,14.0,2,0
26,Venezia,06-03-2022,Casa,P,1,Sassuolo,4,15.0,4.0,0,1,342.0,431.0,8.0,45.0,18.0,4,0
28,Venezia,20-03-2022,Casa,P,0,Sampdoria,2,13.0,1.0,0,0,296.0,405.0,3.0,47.0,30.0,5,1
30,Venezia,10-04-2022,Casa,P,1,Udinese,2,9.0,4.0,0,0,299.0,395.0,7.0,52.0,16.0,7,0
32,Venezia,23-04-2022,Casa,P,1,Atalanta,3,9.0,2.0,0,0,327.0,434.0,0.0,39.0,12.0,0,0
35,Venezia,08-05-2022,Casa,V,4,Bologna,3,16.0,7.0,1,2,256.0,348.0,4.0,41.0,10.0,2,0
37,Venezia,22-05-2022,Casa,N,0,Cagliari,0,8.0,1.0,0,0,306.0,413.0,6.0,44.0,11.0,0,0
