,a_team,Data,Stadio,Risultato,a_goals,h_team,h_goals,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_completed_passings,a_total_passings,a_corners,a_percentage_possession,a_fouls,a_yellow_cards,a_red_cards
16,Cagliari,12-12-2021,Ospiti,P,0,Inter,4,5.0,2.0,0,0,201.0,268.0,0.0,25.0,15.0,2,0
18,Cagliari,21-12-2021,Ospiti,P,0,Juventus,2,6.0,1.0,0,0,275.0,369.0,1.0,37.0,18.0,3,0
19,Cagliari,06-01-2022,Ospiti,V,2,Sampdoria,1,15.0,7.0,0,0,395.0,518.0,5.0,51.0,17.0,3,0
21,Cagliari,16-01-2022,Ospiti,P,0,Roma,1,8.0,2.0,0,0,334.0,458.0,1.0,44.0,20.0,4,0
23,Cagliari,06-02-2022,Ospiti,V,2,Atalanta,1,7.0,4.0,0,0,305.0,406.0,1.0,39.0,14.0,5,0
24,Cagliari,13-02-2022,Ospiti,N,1,Empoli,1,17.0,4.0,0,0,320.0,444.0,4.0,55.0,14.0,2,0
26,Cagliari,27-02-2022,Ospiti,V,2,Torino,1,11.0,5.0,0,0,213.0,359.0,3.0,43.0,25.0,4,0
28,Cagliari,12-03-2022,Ospiti,P,0,Spezia,2,11.0,1.0,0,0,333.0,465.0,7.0,57.0,20.0,4,0
30,Cagliari,03-04-2022,Ospiti,P,1,Udinese,5,6.0,3.0,0,0,346.0,450.0,2.0,49.0,15.0,4,1
33,Cagliari,24-04-2022,Ospiti,P,0,Genoa,1,11.0,1.0,0,0,189.0,362.0,3.0,47.0,18.0,2,0
35,Cagliari,08-05-2022,Ospiti,N,1,Salernitana,1,9.0,3.0,0,0,332.0,427.0,6.0,52.0,18.0,2,1
37,Cagliari,22-05-2022,Ospiti,N,0,Venezia,0,30.0,7.0,0,0,428.0,536.0,11.0,56.0,22.0,3,0
1,Empoli,28-08-2021,Ospiti,V,1,Juventus,0,12.0,3.0,0,0,292.0,397.0,9.0,46.0,8.0,3,0
4,Empoli,22-09-2021,Ospiti,V,2,Cagliari,0,18.0,5.0,0,0,394.0,499.0,4.0,51.0,14.0,1,0
6,Empoli,03-10-2021,Ospiti,P,0,Roma,2,12.0,3.0,0,0,304.0,368.0,5.0,36.0,17.0,3,0
8,Empoli,23-10-2021,Ospiti,V,4,Salernitana,2,9.0,4.0,1,1,268.0,371.0,2.0,41.0,17.0,3,0
10,Empoli,31-10-2021,Ospiti,V,2,Sassuolo,1,13.0,4.0,1,1,323.0,418.0,6.0,43.0,15.0,2,0
12,Empoli,22-11-2021,Ospiti,P,1,Hellas Verona,2,9.0,3.0,0,0,278.0,401.0,3.0,44.0,14.0,3,0
14,Empoli,02-12-2021,Ospiti,N,2,Torino,2,17.0,5.0,0,0,372.0,480.0,11.0,59.0,17.0,3,0
16,Empoli,12-12-2021,Ospiti,V,1,Napoli,0,12.0,5.0,0,0,334.0,418.0,3.0,40.0,14.0,1,0
17,Empoli,19-12-2021,Ospiti,N,1,Spezia,1,22.0,7.0,0,0,490.0,590.0,5.0,66.0,12.0,2,0
