;h_team;Risultato;a_team;h_total_shots;h_shots_on_target;h_corners;h_percentage_possession;h_fouls;h_yellow_cards;h_red_cards;a_total_shots;a_shots_on_target;a_corners;a_yellow_cards;a_red_cards;a_fouls
0;Salernitana;P;Empoli;12.0;5.0;7.0;59.0;16.0;1;0;9.0;4.0;2.0;3;0;17.0
0;Sassuolo;V;Venezia;14.0;7.0;5.0;63.0;14.0;1;0;7.0;1.0;4.0;2;0;17.0
0;Bologna;P;Milan;9.0;4.0;4.0;38.0;9.0;1;2;15.0;7.0;1.0;3;0;17.0
0;Hellas Verona;V;Lazio;16.0;7.0;3.0;49.0;15.0;2;0;9.0;4.0;4.0;2;0;17.0
0;Roma;N;Napoli;13.0;1.0;7.0;38.0;14.0;4;0;11.0;2.0;4.0;1;0;10.0
0;Inter;N;Juventus;10.0;2.0;5.0;49.0;17.0;2;0;15.0;3.0;2.0;2;0;19.0
0;Atalanta;N;Udinese;8.0;3.0;6.0;67.0;16.0;2;0;9.0;3.0;3.0;2;0;17.0
0;Fiorentina;V;Cagliari;20.0;4.0;4.0;65.0;11.0;0;0;3.0;1.0;1.0;2;0;15.0
0;Venezia;P;Salernitana;8.0;4.0;4.0;45.0;19.0;3;1;21.0;7.0;5.0;3;0;16.0
0;Milan;V;Torino;10.0;2.0;2.0;44.0;15.0;3;0;13.0;2.0;5.0;3;0;22.0
0;Spezia;N;Genoa;13.0;3.0;3.0;47.0;15.0;2;0;8.0;1.0;3.0;4;0;17.0
0;Udinese;N;Hellas Verona;16.0;5.0;7.0;34.0;15.0;1;0;4.0;1.0;4.0;2;0;12.0
0;Juventus;P;Sassuolo;14.0;2.0;4.0;57.0;23.0;1;0;8.0;4.0;4.0;5;0;18.0
0;Lazio;V;Fiorentina;5.0;2.0;3.0;49.0;17.0;3;0;9.0;1.0;6.0;3;0;14.0
0;Sampdoria;P;Atalanta;8.0;3.0;3.0;40.0;16.0;4;0;13.0;4.0;3.0;3;0;19.0
0;Empoli;P;Inter;9.0;1.0;5.0;31.0;22.0;1;1;21.0;9.0;6.0;3;0;16.0
0;Cagliari;P;Roma;7.0;5.0;2.0;42.0;18.0;3;0;23.0;3.0;10.0;4;0;19.0
0;Napoli;V;Bologna;16.0;4.0;4.0;65.0;20.0;1;0;8.0;1.0;2.0;1;0;6.0
0;Torino;V;Sampdoria;16.0;5.0;4.0;63.0;20.0;2;0;5.0;1.0;5.0;4;1;10.0
0;Hellas Verona;V;Juventus;12.0;5.0;4.0;45.0;25.0;4;0;15.0;4.0;1.0;3;0;7.0
0;Atalanta;N;Lazio;17.0;3.0;6.0;56.0;14.0;1;0;8.0;5.0;2.0;3;0;15.0
0;Fiorentina;V;Spezia;26.0;11.0;7.0;55.0;10.0;4;0;3.0;0.0;4.0;3;0;23.0
0;Genoa;N;Venezia;19.0;4.0;12.0;62.0;16.0;1;0;6.0;2.0;4.0;3;0;16.0
0;Salernitana;P;Napoli;9.0;2.0;4.0;38.0;10.0;0;1;18.0;4.0;4.0;2;1;13.0
0;Inter;V;Udinese;15.0;5.0;6.0;66.0;11.0;0;0;9.0;5.0;4.0;2;0;16.0
0;Roma;P;Milan;24.0;6.0;5.0;50.0;23.0;4;0;7.0;2.0;2.0;7;1;14.0
0;Sassuolo;P;Empoli;15.0;5.0;4.0;57.0;20.0;4;0;13.0;4.0;6.0;2;0;15.0
0;Bologna;V;Cagliari;8.0;3.0;5.0;57.0;13.0;3;0;9.0;2.0;2.0;2;1;10.0
0;Empoli;N;Genoa;10.0;2.0;4.0;53.0;9.0;0;0;14.0;6.0;5.0;4;0;22.0
0;Cagliari;P;Atalanta;7.0;1.0;2.0;38.0;16.0;1;0;20.0;8.0;7.0;1;0;10.0
0;Juventus;V;Fiorentina;13.0;3.0;5.0;50.0;17.0;2;0;6.0;1.0;5.0;4;1;17.0
0;Spezia;V;Torino;7.0;3.0;2.0;41.0;16.0;3;0;10.0;1.0;3.0;3;0;19.0
0;Udinese;V;Sassuolo;13.0;2.0;1.0;38.0;14.0;3;1;10.0;4.0;5.0;3;0;15.0
0;Milan;N;Inter;16.0;4.0;4.0;51.0;17.0;1;0;12.0;0.0;8.0;0;0;11.0
0;Sampdoria;P;Bologna;10.0;4.0;6.0;47.0;16.0;4;0;14.0;6.0;5.0;1;0;14.0
0;Venezia;V;Roma;12.0;6.0;4.0;39.0;13.0;2;0;28.0;8.0;11.0;2;0;19.0
0;Lazio;V;Salernitana;17.0;5.0;5.0;60.0;8.0;1;0;5.0;0.0;1.0;2;0;14.0
0;Napoli;N;Hellas Verona;16.0;1.0;3.0;58.0;16.0;2;0;11.0;3.0;2.0;7;2;18.0
0;Fiorentina;V;Milan;9.0;5.0;5.0;45.0;7.0;1;0;16.0;6.0;6.0;1;0;13.0
0;Atalanta;V;Spezia;17.0;8.0;0.0;50.0;11.0;2;0;10.0;5.0;6.0;3;0;13.0
0;Lazio;P;Juventus;8.0;1.0;3.0;57.0;12.0;3;0;9.0;3.0;2.0;1;0;16.0
0;Sassuolo;N;Cagliari;19.0;3.0;6.0;58.0;13.0;1;0;10.0;3.0;5.0;2;0;11.0
0;Inter;V;Napoli;16.0;6.0;4.0;44.0;18.0;4;0;9.0;3.0;1.0;3;0;19.0
0;Genoa;P;Roma;1.0;1.0;2.0;41.0;12.0;3;0;18.0;3.0;7.0;2;0;15.0
