,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Genoa,2021-08-21,Giornata n. 1,P,0.0,10.0,4.0,0.0,0.0,365.0,430.0,2.0,41.0,7.0,2.0,0.0
1,Genoa,2021-08-29,Giornata n. 2,P,0.0,10.0,4.0,0.0,0.0,365.0,430.0,2.0,41.0,7.0,2.0,0.0
2,Genoa,2021-09-12,Giornata n. 3,V,0.5,8.0,3.5,0.0,0.0,337.5,415.0,3.0,40.0,13.5,2.0,0.0
3,Genoa,2021-09-18,Giornata n. 4,P,1.3333333333333333,9.0,3.3333333333333335,0.0,0.0,356.6666666666667,435.0,4.0,42.333333333333336,14.333333333333334,2.3333333333333335,0.0
4,Genoa,2021-09-21,Giornata n. 5,N,1.25,8.75,3.0,0.25,0.25,339.5,418.5,3.25,41.0,14.25,2.75,0.0
5,Genoa,2021-09-25,Giornata n. 6,N,1.4,9.0,3.4,0.4,0.4,330.0,413.2,3.0,41.0,15.2,3.0,0.0
6,Genoa,2021-10-02,Giornata n. 7,P,1.6666666666666667,9.166666666666666,3.3333333333333335,0.5,0.5,333.5,421.6666666666667,3.0,42.333333333333336,15.166666666666666,3.0,0.0
7,Genoa,2021-10-17,Giornata n. 8,N,1.4285714285714286,10.428571428571429,3.2857142857142856,0.42857142857142855,0.42857142857142855,333.85714285714283,422.42857142857144,3.7142857142857144,43.42857142857143,15.714285714285714,2.857142857142857,0.0
8,Genoa,2021-10-22,Giornata n. 9,P,1.5,11.5,3.375,0.375,0.375,327.5,417.5,4.0,43.375,15.25,2.875,0.0
9,Genoa,2021-10-26,Giornata n. 10,N,1.5555555555555556,11.777777777777779,3.4444444444444446,0.3333333333333333,0.3333333333333333,317.3333333333333,410.44444444444446,4.0,43.22222222222222,16.22222222222222,2.888888888888889,0.0
10,Genoa,2021-10-31,Giornata n. 11,N,1.5,11.4,3.2,0.4,0.4,322.4,418.7,3.9,44.2,16.3,3.0,0.0
11,Genoa,2021-11-05,Giornata n. 12,N,1.3636363636363635,12.090909090909092,3.272727272727273,0.36363636363636365,0.36363636363636365,329.8181818181818,429.45454545454544,4.636363636363637,45.81818181818182,16.272727272727273,2.8181818181818183,0.0
12,Genoa,2021-11-21,Giornata n. 13,P,1.4166666666666667,12.25,3.5,0.4166666666666667,0.4166666666666667,327.5,428.4166666666667,4.666666666666667,45.916666666666664,16.75,2.9166666666666665,0.0
13,Genoa,2021-11-28,Giornata n. 14,N,1.3076923076923077,11.384615384615385,3.3076923076923075,0.38461538461538464,0.38461538461538464,328.61538461538464,428.15384615384613,4.461538461538462,45.53846153846154,16.384615384615383,2.923076923076923,0.0
14,Genoa,2021-12-01,Giornata n. 15,P,1.2142857142857142,11.214285714285714,3.2142857142857144,0.35714285714285715,0.35714285714285715,337.0,437.14285714285717,4.214285714285714,46.357142857142854,16.0,3.0,0.0
15,Genoa,2021-12-05,Giornata n. 16,P,1.1333333333333333,11.2,3.2,0.3333333333333333,0.3333333333333333,338.8666666666667,437.46666666666664,4.066666666666666,46.06666666666667,15.933333333333334,2.933333333333333,0.0
16,Genoa,2021-12-10,Giornata n. 17,P,1.0625,10.5,3.0,0.3125,0.3125,333.5,431.375,3.875,45.0625,15.4375,2.8125,0.0
17,Genoa,2021-12-17,Giornata n. 18,P,1.0588235294117647,10.588235294117647,2.9411764705882355,0.29411764705882354,0.29411764705882354,335.05882352941177,435.0,4.117647058823529,45.588235294117645,15.411764705882353,2.764705882352941,0.0
18,Genoa,2021-12-21,Giornata n. 19,N,1.0555555555555556,10.222222222222221,2.888888888888889,0.2777777777777778,0.2777777777777778,342.5,441.6666666666667,4.0,45.55555555555556,15.166666666666666,2.7777777777777777,0.0
19,Genoa,2022-01-06,Giornata n. 20,N,1.0,9.736842105263158,2.736842105263158,0.2631578947368421,0.2631578947368421,335.2631578947368,436.6842105263158,3.9473684210526314,44.89473684210526,15.210526315789474,2.736842105263158,0.0
20,Genoa,2022-01-09,Giornata n. 21,P,1.0,9.45,2.65,0.25,0.25,328.45,429.2,3.95,43.95,15.05,2.6,0.0
21,Genoa,2022-01-17,Giornata n. 22,P,0.9523809523809523,9.714285714285714,2.619047619047619,0.23809523809523808,0.23809523809523808,332.9047619047619,434.42857142857144,4.095238095238095,44.42857142857143,15.142857142857142,2.619047619047619,0.0
22,Genoa,2022-01-22,Giornata n. 23,N,0.9090909090909091,9.409090909090908,2.5,0.22727272727272727,0.22727272727272727,327.5,427.77272727272725,3.909090909090909,43.63636363636363,15.318181818181818,2.6363636363636362,0.0
