,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
35,genoa,2018-09-16,V,2.5,bologna,4.0,1.6666666666666665,0.0,0.0,5.0,5.0,1.3333333333333333,-0.3333333333333333,2018-2019,1.0,2.0
36,empoli,2018-09-16,P,0.33333333333333337,lazio,-0.3333333333333339,0.0,0.0,0.0,11.0,4.0,1.0,0.0,2018-2019,0.0,4.0
37,spal,2018-09-17,V,-1.666666666666667,atalanta,-2.9999999999999982,-2.0,0.0,0.0,3.3333333333333357,2.333333333333334,2.0,0.0,2018-2019,0.0,2.0
38,sampdoria,2018-09-19,N,0.33333333333333304,fiorentina,-3.0,-1.3333333333333335,0.3333333333333333,0.3333333333333333,7.666666666666664,-0.6666666666666661,-0.6666666666666665,0.0,2018-2019,2.0,0.0
39,sassuolo,2018-09-21,V,1.5,empoli,-0.75,1.5,0.5,0.5,-8.75,2.25,1.0,0.25,2018-2019,4.0,0.0
40,sampdoria,2018-09-22,P,1.0,inter,-6.0,-0.75,0.25,0.25,-6.5,2.25,0.75,0.0,2018-2019,2.0,2.0
41,parma,2018-09-22,V,0.0,cagliari,-1.75,-0.25,0.0,0.0,-8.0,-2.75,-0.75,0.0,2018-2019,0.0,4.0
42,fiorentina,2018-09-22,V,1.0,spal,0.0,1.75,0.0,0.0,-4.25,-1.5,-0.5,0.0,2018-2019,2.0,0.0
43,torino,2018-09-23,P,-0.5,napoli,-6.25,0.25,0.0,0.0,-4.25,1.75,-0.25,0.0,2018-2019,0.0,3.0
44,frosinone,2018-09-23,P,-2.25,juventus,-13.5,-4.75,0.0,0.0,-16.75,1.25,0.0,-0.25,2018-2019,0.0,4.0
45,milan,2018-09-23,N,-0.08333333333333326,atalanta,1.1666666666666679,1.25,0.0,0.0,1.1666666666666643,-4.25,-1.0,0.0,2018-2019,0.0,1.0
46,bologna,2018-09-23,V,-1.75,roma,-4.75,-4.5,0.0,0.0,-13.0,4.0,0.75,0.5,2018-2019,0.0,3.0
47,lazio,2018-09-23,V,-1.25,genoa,1.333333333333334,-0.5,0.0,0.0,1.0833333333333357,-4.166666666666668,-1.1666666666666665,0.0,2018-2019,2.0,1.0
48,chievo,2018-09-23,P,0.25,udinese,-2.5,0.25,0.0,0.0,-0.75,-3.0,0.25,0.0,2018-2019,2.0,0.0
49,inter,2018-09-25,V,-1.0000000000000002,fiorentina,1.9999999999999982,-1.5999999999999996,0.0,0.0,13.600000000000001,-1.5999999999999996,-0.6000000000000001,0.0,2018-2019,2.0,1.0
50,udinese,2018-09-26,P,-0.19999999999999996,lazio,-5.0,-1.0,0.2,0.2,-8.399999999999999,2.0,0.0,0.0,2018-2019,0.0,4.0
51,roma,2018-09-26,V,1.4,frosinone,11.200000000000001,5.6,0.0,0.0,17.6,-2.4000000000000004,-0.19999999999999973,0.0,2018-2019,4.0,0.0
52,napoli,2018-09-26,V,0.6000000000000001,parma,7.800000000000001,1.2000000000000002,0.0,0.0,20.0,-0.40000000000000036,0.19999999999999996,0.0,2018-2019,4.0,0.0
53,juventus,2018-09-26,V,1.8000000000000003,bologna,11.8,5.0,0.0,0.0,21.799999999999997,-2.4000000000000004,-0.3999999999999999,-0.2,2018-2019,4.0,0.0
54,genoa,2018-09-26,V,0.75,chievo,3.1999999999999993,0.6000000000000001,-0.2,-0.2,1.5499999999999972,1.4000000000000004,0.8999999999999999,0.0,2018-2019,1.0,1.0
55,atalanta,2018-09-26,N,0.8,torino,4.400000000000002,0.5999999999999996,-0.2,-0.2,1.0,-2.8000000000000007,0.19999999999999996,0.0,2018-2019,2.0,0.0
56,cagliari,2018-09-26,N,-1.0,sampdoria,0.6000000000000014,-0.3999999999999999,-0.2,-0.2,-6.799999999999997,0.3999999999999986,-0.19999999999999973,0.0,2018-2019,1.0,1.0
57,empoli,2018-09-27,N,-0.95,milan,-3.0,-2.7,0.0,0.0,-0.20000000000000284,3.1500000000000004,0.9500000000000002,0.2,2018-2019,1.0,3.0
58,spal,2018-09-27,P,-1.5999999999999999,sassuolo,-1.200000000000001,-1.0,-0.4,-0.4,-0.7999999999999972,-1.5999999999999979,0.19999999999999973,-0.2,2018-2019,0.0,3.0
59,inter,2018-09-29,V,0.8,cagliari,5.599999999999998,1.2000000000000002,0.2,0.2,11.600000000000001,-0.8000000000000007,-0.40000000000000013,0.0,2018-2019,3.0,1.0
60,juventus,2018-09-29,V,0.0,napoli,-0.8000000000000007,1.0,0.0,0.0,6.0,-2.4000000000000004,0.3999999999999999,0.2,2018-2019,2.0,1.0
61,roma,2018-09-29,V,0.3999999999999999,lazio,2.0,3.8,0.0,0.0,6.799999999999997,-2.8000000000000007,-1.0,0.0,2018-2019,2.0,1.0
62,parma,2018-09-30,V,0.20000000000000007,empoli,-3.6000000000000014,0.7999999999999998,-0.2,-0.2,-21.599999999999994,1.4000000000000004,0.0,-0.2,2018-2019,0.0,2.0
63,frosinone,2018-09-30,P,-1.8,genoa,-6.0,-2.4,0.0,0.0,-8.400000000000006,-2.1999999999999993,-0.5999999999999996,0.0,2018-2019,0.0,4.0
64,chievo,2018-09-30,P,-0.4,torino,0.40000000000000036,0.0,-0.2,-0.2,-1.7999999999999972,-3.6000000000000014,0.3999999999999999,0.0,2018-2019,0.0,2.0
65,bologna,2018-09-30,V,-0.6,udinese,-0.40000000000000036,-1.9999999999999998,0.0,0.0,-4.200000000000003,-0.40000000000000036,1.0,0.2,2018-2019,1.0,3.0
66,fiorentina,2018-09-30,V,0.19999999999999996,atalanta,-1.6000000000000014,0.8000000000000003,0.0,0.0,-1.7999999999999972,1.8000000000000007,0.3999999999999999,0.0,2018-2019,0.0,0.0
67,sassuolo,2018-09-30,P,1.0,milan,-3.4000000000000004,-0.6000000000000005,0.2,0.2,-0.8000000000000043,5.399999999999999,0.6000000000000001,0.2,2018-2019,0.0,3.0
68,sampdoria,2018-10-01,V,1.2000000000000002,spal,-2.5999999999999996,0.19999999999999973,0.2,0.4,4.800000000000004,0.40000000000000213,-0.20000000000000018,0.0,2018-2019,3.0,1.0
69,torino,2018-10-05,V,0.6000000000000001,frosinone,2.1999999999999993,1.8000000000000003,0.0,0.0,16.800000000000004,3.799999999999999,-0.5999999999999999,0.0,2018-2019,4.0,0.0
70,cagliari,2018-10-06,V,-0.4,bologna,-2.200000000000001,-0.3999999999999999,0.0,0.0,14.799999999999997,2.0,-0.8,-0.2,2018-2019,0.0,1.0
71,udinese,2018-10-06,P,-1.2000000000000002,juventus,-10.799999999999999,-4.4,0.0,0.0,-17.4,0.40000000000000036,-0.3999999999999999,-0.2,2018-2019,0.0,3.0
72,empoli,2018-10-06,P,-1.6,roma,-5.199999999999999,-5.6000000000000005,0.2,0.2,-2.200000000000003,0.0,0.20000000000000018,0.2,2018-2019,0.0,3.0
73,lazio,2018-10-07,V,0.40000000000000013,fiorentina,6.000000000000002,0.1999999999999993,-0.2,-0.2,9.799999999999997,-2.1999999999999993,-0.20000000000000018,0.0,2018-2019,2.0,1.0
74,napoli,2018-10-07,V,-0.7999999999999998,sassuolo,5.199999999999999,-0.6000000000000005,0.0,0.0,1.2000000000000028,-1.8000000000000007,0.7999999999999998,0.2,2018-2019,1.0,0.0
75,milan,2018-10-07,V,1.6,chievo,8.6,4.0,0.0,0.0,7.199999999999996,-4.799999999999999,-0.8,0.0,2018-2019,4.0,0.0
76,spal,2018-10-07,P,-1.0,inter,-6.200000000000001,-1.2000000000000002,-0.2,-0.2,-11.0,2.5999999999999996,0.8000000000000003,0.0,2018-2019,0.0,3.0
77,genoa,2018-10-07,P,0.8,parma,3.3999999999999986,0.6000000000000001,0.0,0.0,18.4,2.200000000000001,0.6000000000000001,0.0,2018-2019,4.0,0.0
78,atalanta,2018-10-07,P,-1.2000000000000002,sampdoria,2.799999999999999,-1.7999999999999998,-0.2,-0.4,1.7999999999999972,-3.799999999999999,0.0,0.0,2018-2019,1.0,3.0
79,udinese,2018-10-20,P,-1.0,napoli,-8.2,-2.2,0.0,0.0,-10.0,0.1999999999999993,0.3999999999999999,-0.2,2018-2019,0.0,4.0
80,roma,2018-10-20,P,1.4000000000000001,spal,5.800000000000001,3.9999999999999996,0.0,-0.2,9.600000000000001,-4.4,-1.2,0.0,2018-2019,4.0,0.0
81,juventus,2018-10-20,N,0.8000000000000003,genoa,4.800000000000001,2.2,0.0,0.0,9.199999999999996,0.40000000000000036,-0.20000000000000018,0.2,2018-2019,3.0,1.0
82,inter,2018-10-21,V,-0.8000000000000003,milan,-1.1999999999999993,-2.2,0.2,0.2,-1.0,5.600000000000001,0.20000000000000018,0.0,2018-2019,1.0,0.0
83,bologna,2018-10-21,N,-0.3999999999999999,torino,-0.5999999999999996,-0.6000000000000001,-0.2,-0.2,-16.199999999999996,-4.0,1.0,0.2,2018-2019,1.0,2.0
84,frosinone,2018-10-21,N,0.19999999999999996,empoli,-3.0,0.19999999999999996,0.0,-0.2,-12.599999999999994,4.399999999999999,0.20000000000000018,-0.2,2018-2019,0.0,2.0
85,fiorentina,2018-10-21,N,0.7999999999999999,cagliari,3.0,2.8000000000000003,0.2,0.2,-4.0,2.4000000000000004,0.5999999999999999,0.0,2018-2019,3.0,1.0
86,chievo,2018-10-21,P,0.19999999999999996,atalanta,-4.800000000000001,-0.3999999999999999,0.0,0.0,-11.399999999999999,2.200000000000001,-0.6000000000000001,0.0,2018-2019,0.0,3.0
87,parma,2018-10-21,P,-0.40000000000000013,lazio,-6.199999999999999,-1.0,0.0,0.0,-16.799999999999997,-3.1999999999999993,-1.2000000000000002,0.0,2018-2019,0.0,4.0
88,sampdoria,2018-10-22,N,-0.5999999999999999,sassuolo,-3.799999999999999,-1.2000000000000002,0.0,0.2,-6.600000000000001,2.5999999999999996,1.8000000000000003,-0.2,2018-2019,1.0,3.0
89,torino,2018-10-27,N,0.0,fiorentina,-0.40000000000000036,0.20000000000000018,-0.2,-0.2,2.3999999999999986,5.199999999999999,0.20000000000000018,0.0,2018-2019,1.0,2.0
90,empoli,2018-10-27,P,-1.0,juventus,-6.199999999999999,-3.8000000000000003,0.2,0.4,-12.0,0.0,1.0,0.2,2018-2019,0.0,4.0
91,atalanta,2018-10-27,V,0.19999999999999996,parma,8.2,1.2000000000000002,0.0,0.0,22.599999999999994,1.4000000000000004,-0.19999999999999996,0.0,2018-2019,4.0,0.0
92,cagliari,2018-10-28,V,0.19999999999999996,chievo,1.200000000000001,1.1999999999999997,-0.2,-0.2,8.599999999999994,-2.9999999999999982,-0.20000000000000018,-0.2,2018-2019,1.0,3.0
93,napoli,2018-10-28,N,0.5999999999999999,roma,-0.7999999999999972,-2.0,0.2,0.2,-5.200000000000003,-2.1999999999999993,0.3999999999999999,0.2,2018-2019,2.0,2.0
94,sassuolo,2018-10-28,N,0.0,bologna,2.0,1.2000000000000002,0.0,0.0,14.600000000000001,2.8000000000000007,-1.2000000000000002,0.2,2018-2019,0.0,3.0
95,genoa,2018-10-28,N,0.5999999999999999,udinese,3.799999999999999,1.0,0.0,0.0,2.6000000000000014,1.799999999999999,-0.20000000000000018,0.0,2018-2019,0.0,3.0
96,milan,2018-10-28,V,1.4,sampdoria,6.600000000000001,2.1999999999999997,0.0,-0.2,3.3999999999999986,-5.799999999999999,-0.7999999999999998,0.0,2018-2019,2.0,2.0
97,spal,2018-10-28,P,-0.3999999999999999,frosinone,0.0,1.0,-0.2,0.0,9.399999999999999,-1.8000000000000007,0.8000000000000003,0.2,2018-2019,2.0,0.0
98,lazio,2018-10-29,P,0.3999999999999999,inter,0.5999999999999996,2.1999999999999997,0.0,0.0,1.6000000000000014,-2.5999999999999996,1.6,0.0,2018-2019,0.0,3.0
