,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
2,lazio,2018-09-02,Giornata n. 3,Casa,V,1.0,frosinone,24.0,6.0,0,0,64.0,13.0,1,0,2018-2019
1,fiorentina,2018-09-02,Giornata n. 3,Casa,V,1.0,udinese,14.0,3.0,0,0,62.0,11.0,3,0,2018-2019
2,chievo,2018-09-02,Giornata n. 3,Casa,N,0.0,empoli,10.0,3.0,0,0,36.0,13.0,1,0,2018-2019
2,sassuolo,2018-09-02,Giornata n. 3,Casa,V,5.0,genoa,10.0,7.0,0,0,44.0,17.0,3,0,2018-2019
2,atalanta,2018-09-02,Giornata n. 3,Casa,P,0.0,cagliari,11.0,2.0,0,0,53.0,15.0,2,0,2018-2019
1,sampdoria,2018-09-02,Giornata n. 3,Casa,V,3.0,napoli,9.0,3.0,0,0,49.0,14.0,2,0,2018-2019
2,frosinone,2018-09-02,Giornata n. 3,Ospiti,P,0.0,lazio,10.0,2.0,0,0,36.0,8.0,2,0,2018-2019
2,udinese,2018-09-02,Giornata n. 3,Ospiti,P,0.0,fiorentina,6.0,1.0,0,0,38.0,17.0,1,0,2018-2019
2,empoli,2018-09-02,Giornata n. 3,Ospiti,N,0.0,chievo,12.0,2.0,0,0,64.0,12.0,1,0,2018-2019
1,genoa,2018-09-02,Giornata n. 3,Ospiti,P,3.0,sassuolo,19.0,5.0,0,0,56.0,20.0,3,0,2018-2019
3,frosinone,2018-09-15,Giornata n. 4,Casa,P,0.0,sampdoria,8.0,1.0,0,0,38.0,13.0,3,0,2018-2019
2,fiorentina,2018-09-15,Giornata n. 4,Ospiti,P,0.0,napoli,9.0,1.0,0,0,43.0,18.0,4,0,2018-2019
3,parma,2018-09-15,Giornata n. 4,Ospiti,V,1.0,inter,9.0,5.0,0,0,27.0,8.0,2,0,2018-2019
3,napoli,2018-09-15,Giornata n. 4,Casa,V,1.0,fiorentina,21.0,3.0,0,0,57.0,16.0,1,0,2018-2019
3,inter,2018-09-15,Giornata n. 4,Casa,P,0.0,parma,31.0,7.0,0,0,73.0,10.0,2,0,2018-2019
2,sampdoria,2018-09-15,Giornata n. 4,Ospiti,V,5.0,frosinone,11.0,5.0,1,1,62.0,17.0,1,0,2018-2019
3,bologna,2018-09-16,Giornata n. 4,Ospiti,P,0.0,genoa,12.0,1.0,0,0,48.0,21.0,5,1,2018-2019
2,milan,2018-09-16,Giornata n. 4,Ospiti,N,1.0,cagliari,21.0,5.0,0,0,63.0,13.0,1,0,2018-2019
3,udinese,2018-09-16,Giornata n. 4,Casa,N,1.0,torino,7.0,1.0,0,0,34.0,16.0,2,0,2018-2019
3,juventus,2018-09-16,Giornata n. 4,Casa,V,2.0,sassuolo,18.0,4.0,0,0,43.0,16.0,3,1,2018-2019
3,cagliari,2018-09-16,Giornata n. 4,Casa,N,1.0,milan,7.0,2.0,0,0,37.0,16.0,1,0,2018-2019
3,roma,2018-09-16,Giornata n. 4,Casa,N,2.0,chievo,17.0,9.0,0,0,56.0,10.0,1,0,2018-2019
3,lazio,2018-09-16,Giornata n. 4,Ospiti,V,1.0,empoli,21.0,4.0,0,0,45.0,14.0,3,0,2018-2019
3,torino,2018-09-16,Giornata n. 4,Ospiti,N,1.0,udinese,16.0,4.0,0,0,66.0,15.0,2,0,2018-2019
2,genoa,2018-09-16,Giornata n. 4,Casa,V,1.0,bologna,12.0,4.0,0,0,52.0,14.0,2,0,2018-2019
3,sassuolo,2018-09-16,Giornata n. 4,Ospiti,P,1.0,juventus,17.0,5.0,0,0,57.0,16.0,3,0,2018-2019
3,empoli,2018-09-16,Giornata n. 4,Casa,P,0.0,lazio,13.0,2.0,0,0,55.0,15.0,2,0,2018-2019
3,chievo,2018-09-16,Giornata n. 4,Ospiti,N,2.0,roma,13.0,5.0,0,0,44.0,15.0,1,0,2018-2019
3,spal,2018-09-17,Giornata n. 4,Casa,V,2.0,atalanta,17.0,5.0,0,0,42.0,17.0,3,0,2018-2019
3,atalanta,2018-09-17,Giornata n. 4,Ospiti,P,0.0,spal,14.0,1.0,0,0,58.0,21.0,5,0,2018-2019
3,fiorentina,2018-09-19,Giornata n. 1,Ospiti,N,1.0,sampdoria,15.0,9.0,0,0,40.0,17.0,2,0,2018-2019
3,sampdoria,2018-09-19,Giornata n. 1,Casa,N,1.0,fiorentina,11.0,4.0,0,0,60.0,14.0,3,0,2018-2019
4,empoli,2018-09-21,Giornata n. 5,Ospiti,P,1.0,sassuolo,15.0,2.0,0,0,40.0,9.0,3,1,2018-2019
4,sassuolo,2018-09-21,Giornata n. 5,Casa,V,3.0,empoli,22.0,6.0,0,0,60.0,20.0,1,0,2018-2019
4,sampdoria,2018-09-22,Giornata n. 5,Casa,P,0.0,inter,9.0,3.0,0,0,48.0,17.0,3,0,2018-2019
4,spal,2018-09-22,Giornata n. 5,Ospiti,P,0.0,fiorentina,8.0,2.0,0,0,47.0,16.0,2,0,2018-2019
4,cagliari,2018-09-22,Giornata n. 5,Ospiti,P,0.0,parma,16.0,2.0,0,0,70.0,7.0,1,0,2018-2019
4,parma,2018-09-22,Giornata n. 5,Casa,V,2.0,cagliari,18.0,6.0,0,0,30.0,15.0,2,0,2018-2019
4,fiorentina,2018-09-22,Giornata n. 5,Casa,V,3.0,spal,17.0,5.0,0,0,53.0,9.0,1,0,2018-2019
4,inter,2018-09-22,Giornata n. 5,Ospiti,V,1.0,sampdoria,16.0,3.0,0,0,52.0,15.0,2,0,2018-2019
4,juventus,2018-09-23,Giornata n. 5,Ospiti,V,2.0,frosinone,30.0,9.0,0,0,70.0,10.0,1,0,2018-2019
4,torino,2018-09-23,Giornata n. 5,Casa,P,1.0,napoli,10.0,1.0,1,1,47.0,23.0,2,0,2018-2019
4,roma,2018-09-23,Giornata n. 5,Ospiti,P,0.0,bologna,27.0,9.0,0,0,69.0,13.0,4,0,2018-2019
4,udinese,2018-09-23,Giornata n. 5,Ospiti,V,2.0,chievo,12.0,5.0,0,0,41.0,10.0,1,0,2018-2019
3,genoa,2018-09-23,Giornata n. 5,Ospiti,P,1.0,lazio,12.0,4.0,0,0,43.0,10.0,2,0,2018-2019
4,frosinone,2018-09-23,Giornata n. 5,Casa,P,0.0,juventus,3.0,0.0,0,0,30.0,17.0,3,0,2018-2019
3,milan,2018-09-23,Giornata n. 5,Casa,N,2.0,atalanta,15.0,4.0,0,0,56.0,9.0,2,0,2018-2019
4,napoli,2018-09-23,Giornata n. 5,Ospiti,V,3.0,torino,17.0,6.0,0,0,53.0,16.0,3,0,2018-2019
4,bologna,2018-09-23,Giornata n. 5,Casa,V,2.0,roma,12.0,2.0,0,0,31.0,9.0,2,0,2018-2019
4,lazio,2018-09-23,Giornata n. 5,Casa,V,4.0,genoa,21.0,7.0,0,0,57.0,11.0,1,0,2018-2019
4,atalanta,2018-09-23,Giornata n. 5,Ospiti,N,2.0,milan,17.0,5.0,0,0,44.0,6.0,1,0,2018-2019
4,chievo,2018-09-23,Giornata n. 5,Casa,P,0.0,udinese,16.0,5.0,0,0,59.0,19.0,1,0,2018-2019
5,fiorentina,2018-09-25,Giornata n. 6,Ospiti,P,1.0,inter,16.0,4.0,0,0,50.0,24.0,3,0,2018-2019
5,inter,2018-09-25,Giornata n. 6,Casa,V,2.0,fiorentina,14.0,2.0,1,1,50.0,21.0,1,0,2018-2019
5,parma,2018-09-26,Giornata n. 6,Ospiti,P,0.0,napoli,3.0,0.0,0,0,34.0,17.0,3,0,2018-2019
5,chievo,2018-09-26,Giornata n. 6,Ospiti,P,0.0,genoa,9.0,1.0,0,0,52.0,18.0,4,0,2018-2019
5,juventus,2018-09-26,Giornata n. 6,Casa,V,2.0,bologna,15.0,9.0,0,0,75.0,13.0,2,0,2018-2019
5,atalanta,2018-09-26,Giornata n. 6,Casa,N,0.0,torino,13.0,3.0,0,0,57.0,14.0,2,0,2018-2019
5,frosinone,2018-09-26,Giornata n. 6,Ospiti,P,0.0,roma,12.0,1.0,0,0,33.0,9.0,1,0,2018-2019
4,genoa,2018-09-26,Giornata n. 6,Casa,V,2.0,chievo,18.0,4.0,0,0,48.0,15.0,4,0,2018-2019
5,cagliari,2018-09-26,Giornata n. 6,Casa,N,0.0,sampdoria,15.0,1.0,0,0,48.0,19.0,1,0,2018-2019
5,torino,2018-09-26,Giornata n. 6,Ospiti,N,0.0,atalanta,7.0,0.0,0,0,43.0,20.0,1,0,2018-2019
5,sampdoria,2018-09-26,Giornata n. 6,Ospiti,N,0.0,cagliari,13.0,2.0,0,1,52.0,22.0,3,0,2018-2019
5,napoli,2018-09-26,Giornata n. 6,Casa,V,3.0,parma,28.0,7.0,0,0,66.0,9.0,0,0,2018-2019
5,lazio,2018-09-26,Giornata n. 6,Ospiti,V,2.0,udinese,10.0,2.0,0,0,49.0,18.0,6,0,2018-2019
5,roma,2018-09-26,Giornata n. 6,Casa,V,4.0,frosinone,19.0,10.0,0,0,67.0,14.0,0,0,2018-2019
5,udinese,2018-09-26,Giornata n. 6,Casa,P,1.0,lazio,12.0,6.0,0,0,51.0,12.0,2,0,2018-2019
5,bologna,2018-09-26,Giornata n. 6,Ospiti,P,0.0,juventus,6.0,2.0,0,0,25.0,15.0,3,0,2018-2019
5,empoli,2018-09-27,Giornata n. 6,Casa,N,1.0,milan,3.0,1.0,1,1,47.0,13.0,2,0,2018-2019
5,sassuolo,2018-09-27,Giornata n. 6,Ospiti,V,2.0,spal,14.0,6.0,0,0,49.0,13.0,0,0,2018-2019
4,milan,2018-09-27,Giornata n. 6,Ospiti,N,1.0,empoli,26.0,9.0,0,0,53.0,10.0,2,0,2018-2019
5,spal,2018-09-27,Giornata n. 6,Casa,P,0.0,sassuolo,12.0,2.0,0,0,51.0,16.0,1,0,2018-2019
6,inter,2018-09-29,Giornata n. 7,Casa,V,2.0,cagliari,15.0,6.0,0,0,50.0,17.0,1,0,2018-2019
6,lazio,2018-09-29,Giornata n. 7,Ospiti,P,1.0,roma,17.0,4.0,0,0,55.0,14.0,1,0,2018-2019
6,napoli,2018-09-29,Giornata n. 7,Ospiti,P,1.0,juventus,15.0,4.0,0,0,49.0,10.0,4,1,2018-2019
6,juventus,2018-09-29,Giornata n. 7,Casa,V,3.0,napoli,19.0,9.0,0,0,51.0,16.0,3,0,2018-2019
6,cagliari,2018-09-29,Giornata n. 7,Ospiti,P,0.0,inter,5.0,2.0,0,0,50.0,12.0,4,0,2018-2019
6,roma,2018-09-29,Giornata n. 7,Casa,V,3.0,lazio,17.0,7.0,0,0,45.0,11.0,3,0,2018-2019
6,fiorentina,2018-09-30,Giornata n. 7,Casa,V,2.0,atalanta,6.0,3.0,1,1,35.0,13.0,3,0,2018-2019
5,milan,2018-09-30,Giornata n. 7,Ospiti,V,4.0,sassuolo,13.0,7.0,0,0,40.0,16.0,1,0,2018-2019
