,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
0,Atalanta,2022-08-13,Giornata n. 1,Ospiti,V,2.0,Sampdoria,9.0,3.0,0,0,45.0,21.0,6,0
0,Inter,2022-08-13,Giornata n. 1,Ospiti,V,2.0,Lecce,19.0,9.0,0,0,70.0,19.0,2,0
0,Lecce,2022-08-13,Giornata n. 1,Casa,P,1.0,Inter,10.0,4.0,0,0,30.0,21.0,4,0
0,Milan,2022-08-13,Giornata n. 1,Casa,V,4.0,Udinese,13.0,4.0,1,1,59.0,16.0,1,0
0,Udinese,2022-08-13,Giornata n. 1,Ospiti,P,2.0,Milan,9.0,4.0,0,0,41.0,13.0,4,0
0,Sampdoria,2022-08-13,Giornata n. 1,Casa,P,0,Atalanta,11.0,1.0,0,0,55.0,13.0,4,0
0,Monza,2022-08-13,Giornata n. 1,Casa,P,1.0,Torino,15.0,4.0,0,0,54.0,6.0,1,0
0,Torino,2022-08-13,Giornata n. 1,Ospiti,V,2.0,Monza,13.0,6.0,0,0,46.0,17.0,2,0
0,Cremonese,2022-08-14,Giornata n. 1,Ospiti,P,2.0,Fiorentina,13.0,4.0,0,0,26.0,19.0,3,1
0,Lazio,2022-08-14,Giornata n. 1,Casa,V,2.0,Bologna,9.0,6.0,0,0,42.0,11.0,2,1
0,Spezia,2022-08-14,Giornata n. 1,Casa,V,1.0,Empoli,9.0,2.0,0,0,41.0,15.0,2,0
0,Fiorentina,2022-08-14,Giornata n. 1,Casa,V,3.0,Cremonese,28.0,11.0,0,0,74.0,10.0,0,0
0,Empoli,2022-08-14,Giornata n. 1,Ospiti,P,0.0,Spezia,18.0,5.0,0,0,59.0,8.0,1,0
0,Roma,2022-08-14,Giornata n. 1,Ospiti,V,1.0,Salernitana,20.0,4.0,0,0,49.0,9.0,2,0
0,Salernitana,2022-08-14,Giornata n. 1,Casa,P,0.0,Roma,13.0,2.0,0,0,51.0,18.0,3,0
0,Bologna,2022-08-14,Giornata n. 1,Ospiti,P,1.0,Lazio,10.0,2.0,1,1,58.0,18.0,6,1
0,Napoli,2022-08-15,Giornata n. 1,Ospiti,V,5.0,Hellas Verona,25.0,8.0,0,0,66.0,6.0,2,0
0,Sassuolo,2022-08-15,Giornata n. 1,Ospiti,P,0.0,Juventus,19.0,7.0,0,0,58.0,5.0,3,0
0,Juventus,2022-08-15,Giornata n. 1,Casa,V,3.0,Sassuolo,13.0,3.0,1,1,42.0,7.0,1,0
0,Hellas Verona,2022-08-15,Giornata n. 1,Casa,P,2.0,Napoli,6.0,3.0,0,0,34.0,15.0,2,0
1,Spezia,2022-08-20,Giornata n. 2,Ospiti,P,0.0,Inter,2.0,0.0,0,0,46.0,7.0,0,0
1,Udinese,2022-08-20,Giornata n. 2,Casa,N,0.0,Salernitana,15.0,2.0,0,0,48.0,9.0,2,1
1,Lazio,2022-08-20,Giornata n. 2,Ospiti,N,0.0,Torino,7.0,2.0,0,0,46.0,12.0,5,0
1,Inter,2022-08-20,Giornata n. 2,Casa,V,3.0,Spezia,19.0,8.0,0,0,54.0,11.0,0,0
1,Torino,2022-08-20,Giornata n. 2,Casa,N,0.0,Lazio,10.0,1.0,0,0,54.0,11.0,0,0
1,Salernitana,2022-08-20,Giornata n. 2,Ospiti,N,0.0,Udinese,17.0,6.0,0,0,52.0,12.0,4,0
1,Sassuolo,2022-08-20,Giornata n. 2,Casa,V,1.0,Lecce,12.0,3.0,0,0,59.0,14.0,5,0
1,Lecce,2022-08-20,Giornata n. 2,Ospiti,P,0.0,Sassuolo,7.0,1.0,0,0,41.0,12.0,1,0
1,Hellas Verona,2022-08-21,Giornata n. 2,Ospiti,N,1.0,Bologna,19.0,3.0,0,0,48.0,14.0,3,0
1,Atalanta,2022-08-21,Giornata n. 2,Casa,N,1.0,Milan,11.0,2.0,0,0,40.0,15.0,4,0
1,Bologna,2022-08-21,Giornata n. 2,Casa,N,1.0,Hellas Verona,17.0,5.0,0,0,52.0,10.0,3,1
1,Fiorentina,2022-08-21,Giornata n. 2,Ospiti,N,0.0,Empoli,19.0,2.0,0,0,63.0,11.0,3,0
1,Monza,2022-08-21,Giornata n. 2,Ospiti,P,0.0,Napoli,4.0,1.0,0,0,46.0,13.0,1,0
1,Napoli,2022-08-21,Giornata n. 2,Casa,V,4.0,Monza,22.0,5.0,0,0,54.0,11.0,2,0
1,Empoli,2022-08-21,Giornata n. 2,Casa,N,0.0,Fiorentina,4.0,2.0,0,0,37.0,13.0,1,1
1,Milan,2022-08-21,Giornata n. 2,Ospiti,N,1.0,Atalanta,18.0,7.0,0,0,60.0,6.0,3,0
1,Juventus,2022-08-22,Giornata n. 2,Ospiti,N,0.0,Sampdoria,10.0,4.0,0,0,52.0,14.0,2,0
1,Cremonese,2022-08-22,Giornata n. 2,Ospiti,P,0.0,Roma,14.0,3.0,0,0,51.0,14.0,3,0
1,Roma,2022-08-22,Giornata n. 2,Casa,V,1.0,Cremonese,27.0,11.0,0,0,49.0,7.0,0,0
1,Sampdoria,2022-08-22,Giornata n. 2,Casa,N,0,Juventus,10.0,1.0,0,0,48.0,8.0,3,0
2,Lazio,2022-08-26,Giornata n. 3,Casa,V,3.0,Inter,11.0,7.0,0,0,48.0,5.0,2,0
2,Monza,2022-08-26,Giornata n. 3,Casa,P,1.0,Udinese,10.0,5.0,0,0,56.0,16.0,3,0
2,Inter,2022-08-26,Giornata n. 3,Ospiti,P,1.0,Lazio,19.0,7.0,0,0,52.0,12.0,1,0
2,Udinese,2022-08-26,Giornata n. 3,Ospiti,V,2.0,Monza,15.0,4.0,0,0,44.0,10.0,2,0
2,Torino,2022-08-27,Giornata n. 3,Ospiti,V,2.0,Cremonese,14.0,5.0,0,0,47.0,21.0,3,0
2,Bologna,2022-08-27,Giornata n. 3,Ospiti,P,0.0,Milan,8.0,0.0,0,0,52.0,9.0,1,0
2,Cremonese,2022-08-27,Giornata n. 3,Casa,P,1.0,Torino,16.0,6.0,0,0,53.0,9.0,0,0
2,Roma,2022-08-27,Giornata n. 3,Ospiti,N,1.0,Juventus,8.0,4.0,0,0,43.0,7.0,2,0
2,Sassuolo,2022-08-27,Giornata n. 3,Ospiti,N,2.0,Spezia,21.0,8.0,0,0,57.0,10.0,1,0
2,Spezia,2022-08-27,Giornata n. 3,Casa,N,2.0,Sassuolo,6.0,1.0,1,1,43.0,17.0,2,1
2,Juventus,2022-08-27,Giornata n. 3,Casa,N,1.0,Roma,14.0,3.0,0,0,57.0,16.0,2,0
2,Milan,2022-08-27,Giornata n. 3,Casa,V,2.0,Bologna,19.0,7.0,0,0,48.0,13.0,2,0
2,Hellas Verona,2022-08-28,Giornata n. 3,Casa,P,0.0,Atalanta,14.0,2.0,0,0,49.0,15.0,3,0
2,Napoli,2022-08-28,Giornata n. 3,Ospiti,N,0.0,Fiorentina,13.0,2.0,0,0,52.0,14.0,3,0
2,Lecce,2022-08-28,Giornata n. 3,Casa,N,1.0,Empoli,15.0,5.0,0,0,41.0,10.0,1,0
2,Sampdoria,2022-08-28,Giornata n. 3,Ospiti,P,0,Salernitana,17.0,6.0,0,0,55.0,14.0,2,0
2,Empoli,2022-08-28,Giornata n. 3,Ospiti,N,1.0,Lecce,9.0,3.0,0,0,59.0,5.0,2,0
2,Atalanta,2022-08-28,Giornata n. 3,Ospiti,V,1.0,Hellas Verona,15.0,7.0,0,0,51.0,7.0,3,0
2,Fiorentina,2022-08-28,Giornata n. 3,Casa,N,0.0,Napoli,10.0,5.0,0,0,48.0,12.0,2,0
2,Salernitana,2022-08-28,Giornata n. 3,Casa,V,4.0,Sampdoria,9.0,6.0,0,0,45.0,19.0,2,0
3,Inter,2022-08-30,Giornata n. 4,Casa,V,3.0,Cremonese,18.0,7.0,0,0,53.0,6.0,0,0
3,Milan,2022-08-30,Giornata n. 4,Ospiti,N,0.0,Sassuolo,11.0,2.0,0,0,62.0,13.0,2,0
3,Monza,2022-08-30,Giornata n. 4,Ospiti,P,0.0,Roma,13.0,1.0,0,0,60.0,7.0,3,0
3,Sassuolo,2022-08-30,Giornata n. 4,Casa,N,0.0,Milan,7.0,2.0,0,1,38.0,14.0,5,0
3,Roma,2022-08-30,Giornata n. 4,Casa,V,3.0,Monza,15.0,8.0,0,0,40.0,10.0,0,0
3,Cremonese,2022-08-30,Giornata n. 4,Ospiti,P,1.0,Inter,11.0,4.0,0,0,47.0,14.0,3,0
3,Spezia,2022-08-31,Giornata n. 4,Ospiti,P,0.0,Juventus,9.0,0.0,0,0,50.0,10.0,2,0
3,Juventus,2022-08-31,Giornata n. 4,Casa,V,2.0,Spezia,15.0,3.0,0,0,50.0,11.0,0,0
3,Empoli,2022-08-31,Giornata n. 4,Casa,N,1.0,Hellas Verona,16.0,4.0,0,0,52.0,5.0,0,0
3,Sampdoria,2022-08-31,Giornata n. 4,Casa,N,1,Lazio,10.0,3.0,0,0,44.0,11.0,0,0
3,Lazio,2022-08-31,Giornata n. 4,Ospiti,N,1.0,Sampdoria,13.0,6.0,0,0,56.0,10.0,2,0
3,Lecce,2022-08-31,Giornata n. 4,Ospiti,N,1.0,Napoli,8.0,3.0,0,1,29.0,20.0,4,0
3,Fiorentina,2022-08-31,Giornata n. 4,Ospiti,P,0.0,Udinese,12.0,2.0,0,0,73.0,10.0,2,0
3,Napoli,2022-08-31,Giornata n. 4,Casa,N,1.0,Lecce,19.0,7.0,0,0,71.0,7.0,1,0
