,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
1,Hellas Verona,2020-09-27,Giornata n. 2,Casa,V,1,Udinese,11,2,0,0,48.0,15,1,0
1,Juventus,2020-09-27,Giornata n. 2,Ospiti,N,2,Roma,7,2,1,1,60.0,9,3,1
0,Spezia,2020-09-27,Giornata n. 2,Casa,P,1,Sassuolo,12,5,0,0,34.0,16,2,0
0,Udinese,2020-09-27,Giornata n. 2,Ospiti,P,0,Hellas Verona,21,4,0,0,52.0,14,0,0
1,Sassuolo,2020-09-27,Giornata n. 2,Ospiti,V,4,Spezia,16,5,1,1,66.0,8,1,0
1,Roma,2020-09-27,Giornata n. 2,Casa,N,2,Juventus,10,4,1,1,40.0,21,2,0
1,Milan,2020-09-27,Giornata n. 2,Ospiti,V,2,Crotone,14,5,1,1,53.0,15,3,0
1,Napoli,2020-09-27,Giornata n. 2,Casa,V,6,Genoa,18,10,0,0,57.0,9,1,0
1,Crotone,2020-09-27,Giornata n. 2,Casa,P,0,Milan,6,0,0,0,47.0,14,1,0
1,Genoa,2020-09-27,Giornata n. 2,Ospiti,P,0,Napoli,6,0,0,0,43.0,14,2,0
1,Parma,2020-09-28,Giornata n. 2,Ospiti,P,1,Bologna,8,3,0,0,42.0,12,2,1
1,Bologna,2020-09-28,Giornata n. 2,Casa,V,4,Parma,13,8,0,0,58.0,14,1,0
1,Lazio,2020-09-30,Giornata n. 1,Casa,P,1,Atalanta,14,5,0,0,60.0,15,7,0
1,Atalanta,2020-09-30,Giornata n. 1,Ospiti,V,4,Lazio,10,6,0,0,40.0,15,2,0
1,Udinese,2020-09-30,Giornata n. 1,Casa,P,0,Spezia,15,4,0,0,48.0,15,0,0
1,Benevento,2020-09-30,Giornata n. 1,Casa,P,2,Inter,11,6,0,0,34.0,10,1,0
1,Spezia,2020-09-30,Giornata n. 1,Ospiti,V,2,Udinese,4,2,0,0,52.0,17,5,1
1,Inter,2020-09-30,Giornata n. 1,Ospiti,V,5,Benevento,18,8,0,0,66.0,17,0,0
2,Fiorentina,2020-10-02,Giornata n. 3,Casa,P,1,Sampdoria,22,5,0,0,65.0,12,0,0
2,Sampdoria,2020-10-02,Giornata n. 3,Ospiti,V,2,Fiorentina,18,7,1,1,35.0,19,3,0
2,Udinese,2020-10-03,Giornata n. 3,Casa,P,0,Roma,10,4,0,0,45.0,16,1,0
2,Crotone,2020-10-03,Giornata n. 3,Ospiti,P,1,Sassuolo,15,4,1,1,47.0,17,3,0
2,Sassuolo,2020-10-03,Giornata n. 3,Casa,V,4,Crotone,6,3,1,1,53.0,15,2,0
2,Roma,2020-10-03,Giornata n. 3,Ospiti,V,1,Udinese,14,3,0,0,55.0,9,0,0
2,Bologna,2020-10-04,Giornata n. 3,Ospiti,P,0,Benevento,17,7,0,0,59.0,15,1,0
2,Atalanta,2020-10-04,Giornata n. 3,Casa,V,5,Cagliari,21,12,0,0,59.0,12,0,0
2,Hellas Verona,2020-10-04,Giornata n. 3,Ospiti,P,0,Parma,8,2,0,0,61.0,21,1,0
2,Parma,2020-10-04,Giornata n. 3,Casa,V,1,Hellas Verona,11,4,0,0,39.0,12,1,0
2,Lazio,2020-10-04,Giornata n. 3,Casa,N,1,Inter,13,4,0,0,40.0,16,3,1
2,Spezia,2020-10-04,Giornata n. 3,Ospiti,P,0,Milan,4,2,0,0,39.0,19,2,0
2,Inter,2020-10-04,Giornata n. 3,Ospiti,N,1,Lazio,12,4,0,0,60.0,14,4,1
2,Milan,2020-10-04,Giornata n. 3,Casa,V,3,Spezia,16,5,0,0,61.0,15,1,0
2,Benevento,2020-10-04,Giornata n. 3,Casa,V,1,Bologna,7,2,0,0,41.0,13,2,0
2,Cagliari,2020-10-04,Giornata n. 3,Ospiti,P,2,Atalanta,13,3,0,0,41.0,11,0,0
3,Inter,2020-10-17,Giornata n. 4,Casa,P,1,Milan,18,5,0,0,55.0,20,3,0
