,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
13,30-10-2021,15:00,Serie A,Giornata n. 11,Sab,Casa,N,2,2,Lazio,0.9,1.4,56,11.981,Remo Freuler,3-4-3,Marco Guida,Report partita,
15,06-11-2021,20:45,Serie A,Giornata n. 12,Sab,Ospiti,V,2,1,Cagliari,2.8,0.9,62,6.976,Remo Freuler,3-4-3,Marco Piccinini,Report partita,
16,20-11-2021,15:00,Serie A,Giornata n. 13,Sab,Casa,V,5,2,Spezia,2.5,1.0,50,10.744,Rafael Tolói,3-4-3,Rosario Abisso,Report partita,
18,27-11-2021,18:00,Serie A,Giornata n. 14,Sab,Ospiti,V,1,0,Juventus,0.4,0.9,41,29.886,Rafael Tolói,3-4-3,Giovanni Ayroldi,Report partita,
19,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Casa,V,4,0,Venezia,2.7,0.7,58,8.667,José Luis Palomino,3-4-3,Alberto Santoro,Report partita,
20,04-12-2021,20:45,Serie A,Giornata n. 16,Sab,Ospiti,V,3,2,Napoli,1.6,1.2,45,30.0,Rafael Tolói,3-4-3,Maurizio Mariani,Report partita,
22,12-12-2021,15:00,Serie A,Giornata n. 17,Dom,Ospiti,V,2,1,Hellas Verona,1.7,1.1,47,15.0,Rafael Tolói,3-4-3,Juan Sacchi,Report partita,
23,18-12-2021,15:00,Serie A,Giornata n. 18,Sab,Casa,P,1,4,Roma,1.3,1.2,71,14.469,Rafael Tolói,3-4-3,Massimiliano Irrati,Report partita,
24,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Ospiti,N,0,0,Genoa,1.2,0.0,67,6.0,Remo Freuler,3-4-3,Paolo Valeri,Report partita,
25,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Ospiti,V,6,2,Udinese,3.1,0.5,60,8.679,Rafael Tolói,3-4-3,Michael Fabbri,Report partita,
27,16-01-2022,20:45,Serie A,Giornata n. 22,Dom,Casa,N,0,0,Inter,1.6,1.5,37,5.0,Remo Freuler,4-3-3,Davide Massa,Report partita,
28,22-01-2022,20:45,Serie A,Giornata n. 23,Sab,Ospiti,N,0,0,Lazio,0.4,0.2,39,4.0,Remo Freuler,3-4-1-2,Simone Sozza,Report partita,
29,06-02-2022,12:30,Serie A,Giornata n. 24,Dom,Casa,P,1,2,Cagliari,1.1,1.1,61,7.868,Remo Freuler,4-2-3-1,Alessandro Prontera,Report partita,
