,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
27,13-02-2022,12:30,Serie A,Giornata n. 25,Dom,Ospiti,P,0,1,Milan,0.2,1.4,50,35.71,Bartosz Bereszyński,4-4-1-1,Daniele Chiffi,Report partita,
28,19-02-2022,15:00,Serie A,Giornata n. 26,Sab,Casa,V,2,0,Empoli,0.5,0.8,42,9.069,Fabio Quagliarella,4-4-2◆,Antonio Rapuano,Report partita,
29,28-02-2022,20:50,Serie A,Giornata n. 27,Lun,Ospiti,P,0,4,Atalanta,0.5,2.1,44,10.245,Fabio Quagliarella,3-4-1-2,Simone Sozza,Report partita,
30,05-03-2022,15:00,Serie A,Giornata n. 28,Sab,Ospiti,P,1,2,Udinese,0.7,1.9,57,12.405,Fabio Quagliarella,4-4-2◆,Massimiliano Irrati,Report partita,
31,12-03-2022,18:00,Serie A,Giornata n. 29,Sab,Casa,P,1,3,Juventus,1.7,1.1,49,16.644,Fabio Quagliarella,4-4-2◆,Paolo Valeri,Report partita,
32,20-03-2022,12:30,Serie A,Giornata n. 30,Dom,Ospiti,V,2,0,Venezia,1.6,1.2,53,7.591,Albin Ekdal,4-4-2◆,Daniele Orsato,Report partita,
33,03-04-2022,18:00,Serie A,Giornata n. 31,Dom,Casa,P,0,1,Roma,0.4,1.1,49,16.465,Bartosz Bereszyński,4-4-2◆,Gianluca Manganiello,Report partita,
34,11-04-2022,20:45,Serie A,Giornata n. 32,Lun,Ospiti,P,0,2,Bologna,0.6,2.6,47,15.783,Bartosz Bereszyński,4-4-2◆,Luca Pairetto,Report partita,
35,16-04-2022,14:30,Serie A,Giornata n. 33,Sab,Casa,P,1,2,Salernitana,0.8,0.3,67,14.908,Fabio Quagliarella,4-4-2◆,Paolo Valeri,Report partita,
36,23-04-2022,20:45,Serie A,Giornata n. 34,Sab,Ospiti,N,1,1,Hellas Verona,1.0,1.1,43,16.188,Bartosz Bereszyński,4-5-1,Giovanni Ayroldi,Report partita,
37,30-04-2022,18:00,Serie A,Giornata n. 35,Sab,Casa,V,1,0,Genoa,1.0,1.6,48,30.136,Albin Ekdal,4-1-4-1,Fabio Maresca,Report partita,
38,07-05-2022,20:45,Serie A,Giornata n. 36,Sab,Ospiti,P,0,2,Lazio,0.9,1.4,40,31.0,Bartosz Bereszyński,4-1-4-1,Davide Massa,Report partita,
39,16-05-2022,18:30,Serie A,Giornata n. 37,Lun,Casa,V,4,1,Fiorentina,1.5,1.9,37,21.331,Fabio Quagliarella,4-5-1,Maurizio Mariani,Report partita,
40,22-05-2022,18:00,Serie A,Giornata n. 38,Dom,Ospiti,P,0,3,Inter,0.9,3.3,42,71.109,Bartosz Bereszyński,4-1-4-1,Marco Di Bello,Report partita,
