,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
53,Cagliari,2018-09-26,N,0.0,Sampdoria,2.0,-1.0,0,-1,-4.0,-3.0,-2,0,2018-2019
54,Napoli,2018-09-26,V,3.0,Parma,25.0,7.0,0,0,32.0,-8.0,-3,0,2018-2019
55,Roma,2018-09-26,V,4.0,Frosinone,7.0,9.0,0,0,34.0,5.0,-1,0,2018-2019
56,Udinese,2018-09-26,P,-1.0,Lazio,2.0,4.0,0,0,2.0,-6.0,-4,0,2018-2019
57,Empoli,2018-09-27,N,0.0,Milan,-23.0,-8.0,1,1,-6.0,3.0,0,0,2018-2019
58,SPAL,2018-09-27,P,-2.0,Sassuolo,-2.0,-4.0,0,0,2.0,3.0,1,0,2018-2019
59,Inter,2018-09-29,V,2.0,Cagliari,10.0,4.0,0,0,0.0,5.0,-3,0,2018-2019
60,Juventus,2018-09-29,V,2.0,Napoli,4.0,5.0,0,0,2.0,6.0,-1,-1,2018-2019
61,Roma,2018-09-29,V,2.0,Lazio,0.0,3.0,0,0,-10.0,-3.0,2,0,2018-2019
62,Parma,2018-09-30,V,1.0,Empoli,-4.0,1.0,0,0,-36.0,4.0,-1,0,2018-2019
63,Frosinone,2018-09-30,P,-1.0,Genoa,6.0,-1.0,1,1,0.0,5.0,1,0,2018-2019
64,Chievo,2018-09-30,P,-1.0,Torino,-8.0,-4.0,0,0,-26.0,1.0,0,0,2018-2019
65,Fiorentina,2018-09-30,V,2.0,Atalanta,-12.0,0.0,1,1,-30.0,1.0,0,0,2018-2019
66,Sassuolo,2018-09-30,P,-3.0,Milan,-1.0,-4.0,0,0,20.0,-2.0,0,0,2018-2019
67,Bologna,2018-09-30,V,1.0,Udinese,8.0,4.0,0,0,-8.0,-4.0,-2,0,2018-2019
68,Sampdoria,2018-10-01,V,1.0,SPAL,6.0,5.0,0,0,-8.0,-2.0,0,0,2018-2019
69,Torino,2018-10-05,V,1.0,Frosinone,5.0,3.0,0,0,20.0,-1.0,0,0,2018-2019
70,Cagliari,2018-10-06,V,2.0,Bologna,0.0,1.0,0,0,4.0,-8.0,-2,0,2018-2019
71,Udinese,2018-10-06,P,-2.0,Juventus,-14.0,-4.0,0,0,-20.0,0.0,2,0,2018-2019
72,Empoli,2018-10-06,P,-2.0,Roma,9.0,-1.0,0,1,-12.0,0.0,1,0,2018-2019
73,Milan,2018-10-07,V,2.0,Chievo,8.0,6.0,0,0,34.0,-7.0,0,0,2018-2019
74,Lazio,2018-10-07,V,1.0,Fiorentina,-2.0,2.0,0,0,-18.0,9.0,2,0,2018-2019
75,Napoli,2018-10-07,V,2.0,Sassuolo,4.0,0.0,0,0,-10.0,4.0,0,-1,2018-2019
76,SPAL,2018-10-07,P,-1.0,Inter,1.0,2.0,0,1,2.0,-5.0,4,0,2018-2019
77,Genoa,2018-10-07,P,-2.0,Parma,21.0,5.0,0,0,20.0,-1.0,0,0,2018-2019
78,Atalanta,2018-10-07,P,-1.0,Sampdoria,12.0,0.0,0,0,16.0,5.0,-2,0,2018-2019
79,Udinese,2018-10-20,P,-3.0,Napoli,-2.0,1.0,-1,-1,-22.0,4.0,-1,0,2018-2019
80,Roma,2018-10-20,P,-2.0,SPAL,14.0,4.0,-1,-1,26.0,10.0,-1,-1,2018-2019
81,Juventus,2018-10-20,N,0.0,Genoa,11.0,1.0,0,0,26.0,-9.0,-2,0,2018-2019
82,Parma,2018-10-21,P,-2.0,Lazio,-12.0,-7.0,-1,-1,-30.0,-7.0,-1,0,2018-2019
83,Inter,2018-10-21,V,1.0,Milan,2.0,1.0,0,0,16.0,7.0,-3,0,2018-2019
84,Bologna,2018-10-21,N,0.0,Torino,-4.0,-4.0,0,0,-4.0,-13.0,0,0,2018-2019
85,Frosinone,2018-10-21,N,0.0,Empoli,-17.0,-7.0,1,1,-20.0,-4.0,-1,0,2018-2019
