,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
235,Inter,2019-02-17,V,1.0,Sampdoria,3.0,4.0,0,0,-4.0,2.0,2,0,2018-2019
236,Empoli,2019-02-17,V,3.0,Sassuolo,0.0,1.0,0,0,-30.0,0.0,-2,0,2018-2019
237,Udinese,2019-02-17,V,1.0,Chievo,-7.0,-2.0,0,1,-16.0,-7.0,1,0,2018-2019
238,Genoa,2019-02-17,V,1.0,Lazio,12.0,3.0,0,0,-10.0,5.0,1,0,2018-2019
239,Roma,2019-02-18,V,1.0,Bologna,-6.0,-4.0,1,1,0.0,-1.0,-2,0,2018-2019
240,Milan,2019-02-22,V,3.0,Empoli,3.0,6.0,0,0,16.0,6.0,0,0,2018-2019
241,Frosinone,2019-02-23,P,-1.0,Roma,-3.0,0.0,0,0,-12.0,10.0,0,0,2018-2019
242,Torino,2019-02-23,V,2.0,Atalanta,6.0,5.0,0,0,-26.0,0.0,1,0,2018-2019
243,Chievo,2019-02-24,N,0.0,Genoa,2.0,4.0,0,0,4.0,0.0,-1,0,2018-2019
244,Parma,2019-02-24,P,-4.0,Napoli,-6.0,-3.0,0,0,-34.0,7.0,1,0,2018-2019
245,Fiorentina,2019-02-24,N,0.0,Inter,6.0,-2.0,0,0,-4.0,-4.0,-2,0,2018-2019
246,Bologna,2019-02-24,P,-1.0,Juventus,10.0,-2.0,0,0,0.0,-3.0,0,0,2018-2019
247,Sampdoria,2019-02-24,V,1.0,Cagliari,8.0,3.0,1,1,20.0,-9.0,-1,0,2018-2019
248,Sassuolo,2019-02-24,N,0.0,SPAL,0.0,0.0,-1,-1,4.0,-1.0,3,1,2018-2019
249,Cagliari,2019-03-01,V,1.0,Inter,-9.0,-1.0,0,1,-20.0,3.0,2,0,2018-2019
250,Lazio,2019-03-02,V,3.0,Roma,-3.0,0.0,1,1,-10.0,-2.0,0,-1,2018-2019
251,Empoli,2019-03-02,N,0.0,Parma,10.0,0.0,1,1,24.0,-6.0,-2,0,2018-2019
252,Milan,2019-03-02,V,1.0,Sassuolo,-3.0,-1.0,0,0,-10.0,12.0,3,-1,2018-2019
253,SPAL,2019-03-03,P,-1.0,Sampdoria,0.0,-6.0,0,0,6.0,0.0,-1,1,2018-2019
254,Udinese,2019-03-03,V,1.0,Bologna,-1.0,1.0,1,1,-32.0,2.0,0,0,2018-2019
255,Napoli,2019-03-03,P,-1.0,Juventus,15.0,2.0,0,1,26.0,-5.0,-2,0,2018-2019
256,Genoa,2019-03-03,N,0.0,Frosinone,14.0,4.0,0,0,30.0,-1.0,-1,-1,2018-2019
257,Torino,2019-03-03,V,3.0,Chievo,3.0,2.0,0,0,18.0,-13.0,-3,0,2018-2019
258,Atalanta,2019-03-03,V,2.0,Fiorentina,9.0,6.0,0,0,18.0,-8.0,2,0,2018-2019
259,Juventus,2019-03-08,V,3.0,Udinese,10.0,4.0,1,1,24.0,-2.0,-3,0,2018-2019
260,Chievo,2019-03-09,P,-1.0,Milan,-3.0,-2.0,0,0,-26.0,9.0,2,0,2018-2019
261,Parma,2019-03-09,V,1.0,Genoa,-7.0,1.0,0,0,-18.0,-2.0,1,0,2018-2019
262,Fiorentina,2019-03-10,N,0.0,Lazio,2.0,-5.0,0,0,6.0,-5.0,2,0,2018-2019
263,Frosinone,2019-03-10,P,-1.0,Torino,0.0,0.0,0,0,-8.0,-5.0,-2,0,2018-2019
264,Bologna,2019-03-10,V,2.0,Cagliari,12.0,4.0,1,1,-6.0,-3.0,-3,0,2018-2019
265,Inter,2019-03-10,V,2.0,SPAL,8.0,2.0,0,0,8.0,-2.0,-2,0,2018-2019
266,Sampdoria,2019-03-10,P,-1.0,Atalanta,-1.0,0.0,1,1,-2.0,1.0,0,0,2018-2019
267,Sassuolo,2019-03-10,N,0.0,Napoli,1.0,-3.0,0,0,-16.0,1.0,1,0,2018-2019
268,Roma,2019-03-11,V,1.0,Empoli,4.0,2.0,0,0,10.0,-2.0,2,1,2018-2019
269,Cagliari,2019-03-15,V,1.0,Fiorentina,4.0,3.0,0,0,0.0,9.0,1,0,2018-2019
270,Torino,2019-03-16,P,-1.0,Bologna,13.0,3.0,-1,-1,10.0,-1.0,1,0,2018-2019
271,Sassuolo,2019-03-16,P,-2.0,Sampdoria,3.0,-4.0,0,0,-14.0,-1.0,0,0,2018-2019
272,SPAL,2019-03-16,V,1.0,Roma,-8.0,0.0,0,0,-2.0,-7.0,-1,0,2018-2019
273,Lazio,2019-03-17,V,3.0,Parma,15.0,5.0,1,1,8.0,-1.0,-2,0,2018-2019
274,Empoli,2019-03-17,V,1.0,Frosinone,-3.0,1.0,1,1,-4.0,-2.0,2,0,2018-2019
275,Genoa,2019-03-17,V,2.0,Juventus,9.0,5.0,0,0,-18.0,3.0,-1,0,2018-2019
276,Atalanta,2019-03-17,N,0.0,Chievo,6.0,3.0,0,0,44.0,-13.0,-6,0,2018-2019
277,Milan,2019-03-17,P,-1.0,Inter,-2.0,1.0,-1,-1,12.0,5.0,1,0,2018-2019
278,Napoli,2019-03-17,V,2.0,Udinese,3.0,2.0,0,0,32.0,-4.0,0,0,2018-2019
279,Chievo,2019-03-29,P,-3.0,Cagliari,4.0,3.0,0,0,-4.0,-4.0,2,1,2018-2019
280,Sampdoria,2019-03-30,V,1.0,Milan,8.0,1.0,0,0,-10.0,4.0,-2,0,2018-2019
281,Juventus,2019-03-30,V,1.0,Empoli,7.0,4.0,0,0,-12.0,0.0,0,0,2018-2019
282,Udinese,2019-03-30,V,2.0,Genoa,-8.0,-1.0,0,0,-22.0,-3.0,-1,0,2018-2019
283,Inter,2019-03-31,P,-1.0,Lazio,12.0,1.0,0,0,32.0,-4.0,0,0,2018-2019
284,Bologna,2019-03-31,V,1.0,Sassuolo,3.0,4.0,1,1,-12.0,0.0,-1,0,2018-2019
285,Parma,2019-03-31,P,-2.0,Atalanta,-11.0,-4.0,0,0,-36.0,4.0,0,0,2018-2019
286,Roma,2019-03-31,P,-3.0,Napoli,-7.0,-8.0,1,1,-20.0,1.0,2,0,2018-2019
287,Frosinone,2019-03-31,P,-1.0,SPAL,15.0,3.0,0,0,10.0,5.0,0,0,2018-2019
288,Fiorentina,2019-03-31,N,0.0,Torino,12.0,7.0,0,0,-12.0,6.0,-2,0,2018-2019
289,Milan,2019-04-02,N,0.0,Udinese,10.0,4.0,0,0,12.0,0.0,0,0,2018-2019
290,Cagliari,2019-04-02,P,-2.0,Juventus,-6.0,-6.0,0,0,-10.0,6.0,1,0,2018-2019
291,Genoa,2019-04-03,P,-4.0,Inter,-6.0,-4.0,-1,-1,-52.0,2.0,1,1,2018-2019
292,Empoli,2019-04-03,V,1.0,Napoli,2.0,3.0,0,0,-24.0,8.0,0,0,2018-2019
293,SPAL,2019-04-03,V,1.0,Lazio,-2.0,-1.0,1,1,-28.0,-7.0,-3,0,2018-2019
294,Frosinone,2019-04-03,V,1.0,Parma,8.0,-1.0,0,0,22.0,-4.0,-1,0,2018-2019
295,Roma,2019-04-03,N,0.0,Fiorentina,3.0,0.0,0,0,0.0,-2.0,-1,0,2018-2019
296,Torino,2019-04-03,V,1.0,Sampdoria,9.0,3.0,0,0,-10.0,2.0,0,0,2018-2019
297,Sassuolo,2019-04-04,V,4.0,Chievo,9.0,4.0,0,-1,12.0,-1.0,0,0,2018-2019
298,Atalanta,2019-04-04,V,3.0,Bologna,9.0,2.0,0,0,2.0,-3.0,-1,0,2018-2019
299,Sampdoria,2019-04-06,P,-1.0,Roma,2.0,-2.0,0,0,26.0,-3.0,0,0,2018-2019
300,Juventus,2019-04-06,V,1.0,Milan,-4.0,0.0,1,1,-6.0,6.0,0,0,2018-2019
301,Parma,2019-04-06,N,0.0,Torino,-9.0,-3.0,0,0,-26.0,1.0,-1,0,2018-2019
302,Lazio,2019-04-07,N,0.0,Sassuolo,17.0,4.0,1,1,16.0,5.0,1,0,2018-2019
303,Udinese,2019-04-07,V,1.0,Empoli,1.0,-1.0,1,1,-26.0,-1.0,-1,1,2018-2019
304,Fiorentina,2019-04-07,P,-1.0,Frosinone,8.0,1.0,0,0,26.0,2.0,-3,0,2018-2019
305,Cagliari,2019-04-07,V,1.0,SPAL,11.0,8.0,-1,-1,8.0,13.0,1,0,2018-2019
306,Napoli,2019-04-07,N,0.0,Genoa,11.0,5.0,0,0,48.0,1.0,2,-1,2018-2019
307,Inter,2019-04-07,N,0.0,Atalanta,3.0,4.0,0,0,10.0,-2.0,-1,0,2018-2019
308,Bologna,2019-04-08,V,3.0,Chievo,6.0,7.0,2,2,32.0,-13.0,-6,-1,2018-2019
309,SPAL,2019-04-13,V,1.0,Juventus,3.0,0.0,0,0,-14.0,1.0,3,0,2018-2019
310,Roma,2019-04-13,V,1.0,Udinese,7.0,3.0,0,0,10.0,-3.0,-1,0,2018-2019
311,Milan,2019-04-13,V,1.0,Lazio,6.0,-1.0,1,1,6.0,-4.0,-1,0,2018-2019
312,Chievo,2019-04-14,P,-2.0,Napoli,-8.0,-1.0,0,0,-38.0,5.0,0,0,2018-2019
313,Sampdoria,2019-04-14,V,2.0,Genoa,1.0,3.0,1,1,14.0,-6.0,-3,-1,2018-2019
314,Sassuolo,2019-04-14,N,0.0,Parma,18.0,5.0,0,-1,42.0,-5.0,1,0,2018-2019
315,Torino,2019-04-14,N,0.0,Cagliari,2.0,4.0,0,0,-12.0,-5.0,-3,-1,2018-2019
316,Frosinone,2019-04-14,P,-2.0,Inter,-4.0,-1.0,-1,-1,-38.0,2.0,2,0,2018-2019
317,Fiorentina,2019-04-14,N,0.0,Bologna,12.0,5.0,0,0,14.0,4.0,-1,0,2018-2019
318,Atalanta,2019-04-15,N,0.0,Empoli,44.0,16.0,0,0,20.0,-3.0,-2,0,2018-2019
319,Lazio,2019-04-17,V,2.0,Udinese,1.0,4.0,0,-1,12.0,-3.0,2,0,2018-2019
320,Cagliari,2019-04-20,V,1.0,Frosinone,-1.0,3.0,1,1,10.0,1.0,1,1,2018-2019
321,Udinese,2019-04-20,N,0.0,Sassuolo,7.0,0.0,0,0,-10.0,4.0,1,0,2018-2019
322,Bologna,2019-04-20,V,3.0,Sampdoria,-1.0,3.0,0,0,-26.0,7.0,-2,0,2018-2019
323,Inter,2019-04-20,N,0.0,Roma,12.0,0.0,0,0,40.0,-8.0,-1,0,2018-2019
324,Juventus,2019-04-20,V,1.0,Fiorentina,5.0,1.0,0,0,22.0,11.0,-1,0,2018-2019
325,Empoli,2019-04-20,P,-2.0,SPAL,2.0,0.0,-1,-1,14.0,0.0,-2,0,2018-2019
326,Genoa,2019-04-20,P,-1.0,Torino,4.0,2.0,0,0,-4.0,-3.0,0,0,2018-2019
327,Parma,2019-04-20,N,0.0,Milan,-3.0,-2.0,0,0,-16.0,0.0,-1,0,2018-2019
328,Lazio,2019-04-20,P,-1.0,Chievo,16.0,-3.0,0,0,8.0,-16.0,-4,2,2018-2019
329,Napoli,2019-04-22,P,-1.0,Atalanta,4.0,-1.0,0,0,-8.0,2.0,2,0,2018-2019
330,Inter,2019-04-27,N,0.0,Juventus,4.0,3.0,0,0,10.0,0.0,-2,0,2018-2019
331,Roma,2019-04-27,V,3.0,Cagliari,9.0,8.0,0,0,-12.0,1.0,-1,0,2018-2019
332,Bologna,2019-04-27,V,2.0,Empoli,18.0,4.0,0,0,2.0,-1.0,1,0,2018-2019
333,Torino,2019-04-28,V,2.0,Milan,-3.0,-1.0,1,1,-16.0,-2.0,-4,-1,2018-2019
334,Sampdoria,2019-04-28,P,-1.0,Lazio,1.0,1.0,0,0,10.0,-1.0,2,1,2018-2019
335,SPAL,2019-04-28,N,0.0,Genoa,-6.0,0.0,0,0,12.0,-1.0,0,0,2018-2019
336,Chievo,2019-04-28,N,0.0,Parma,3.0,-1.0,0,0,4.0,-1.0,0,0,2018-2019
337,Frosinone,2019-04-28,P,-2.0,Napoli,-4.0,-4.0,0,0,-34.0,10.0,2,0,2018-2019
338,Atalanta,2019-04-29,V,2.0,Udinese,10.0,6.0,1,1,24.0,-6.0,-2,0,2018-2019
339,Fiorentina,2019-04-29,P,-1.0,Sassuolo,-3.0,0.0,0,1,-10.0,9.0,2,0,2018-2019
340,Juventus,2019-05-03,N,0.0,Torino,4.0,2.0,0,0,14.0,2.0,0,0,2018-2019
341,Chievo,2019-05-04,P,-4.0,SPAL,-6.0,-4.0,0,0,-2.0,1.0,3,0,2018-2019
342,Udinese,2019-05-04,N,0.0,Inter,-12.0,-1.0,0,0,-44.0,8.0,-2,0,2018-2019
343,Napoli,2019-05-05,V,1.0,Cagliari,14.0,4.0,1,1,26.0,-2.0,-1,-1,2018-2019
344,Sassuolo,2019-05-05,N,0.0,Frosinone,17.0,1.0,0,0,34.0,-2.0,-1,0,2018-2019
345,Empoli,2019-05-05,V,1.0,Fiorentina,-14.0,-6.0,0,0,-4.0,-5.0,2,-1,2018-2019
346,Lazio,2019-05-05,P,-2.0,Atalanta,-5.0,-1.0,0,0,12.0,0.0,1,0,2018-2019
347,Genoa,2019-05-05,N,0.0,Roma,3.0,0.0,0,1,-14.0,4.0,-1,0,2018-2019
348,Parma,2019-05-05,N,0.0,Sampdoria,-6.0,-4.0,0,0,-28.0,8.0,1,0,2018-2019
349,Milan,2019-05-06,V,1.0,Bologna,-1.0,-1.0,0,0,-2.0,-9.0,-2,-1,2018-2019
350,Atalanta,2019-05-11,V,1.0,Genoa,-5.0,1.0,0,0,20.0,-8.0,-2,0,2018-2019
351,Fiorentina,2019-05-11,P,-1.0,Milan,-2.0,-2.0,0,0,-2.0,7.0,1,0,2018-2019
352,Cagliari,2019-05-11,P,-1.0,Lazio,8.0,1.0,0,0,-4.0,-3.0,-2,0,2018-2019
353,Roma,2019-05-12,V,2.0,Juventus,7.0,-1.0,0,0,-24.0,2.0,2,0,2018-2019
354,SPAL,2019-05-12,P,-1.0,Napoli,-13.0,-2.0,1,1,-21.0,-9.0,1,0,2018-2019
355,Sampdoria,2019-05-12,P,-1.0,Empoli,9.0,1.0,1,0,16.0,-4.0,1,0,2018-2019
356,Torino,2019-05-12,V,1.0,Sassuolo,12.0,6.0,0,1,22.0,0.0,-3,-1,2018-2019
357,Frosinone,2019-05-12,P,-2.0,Udinese,6.0,-1.0,0,0,4.0,-1.0,-1,0,2018-2019
358,Inter,2019-05-13,V,2.0,Chievo,18.0,9.0,0,0,40.0,-8.0,0,-1,2018-2019
359,Bologna,2019-05-13,V,3.0,Parma,13.0,8.0,0,0,30.0,-3.0,-4,-1,2018-2019
360,Sassuolo,2019-05-18,N,0.0,Roma,-5.0,-2.0,0,0,8.0,-7.0,-2,0,2018-2019
361,Genoa,2019-05-18,N,0.0,Cagliari,19.0,3.0,1,1,2.0,-11.0,1,1,2018-2019
362,Udinese,2019-05-18,V,1.0,SPAL,-4.0,1.0,0,0,-26.0,1.0,0,0,2018-2019
363,Parma,2019-05-19,V,1.0,Fiorentina,-6.0,-1.0,0,0,-20.0,-8.0,-1,0,2018-2019
364,Juventus,2019-05-19,N,0.0,Atalanta,-1.0,0.0,0,0,26.0,0.0,2,1,2018-2019
365,Milan,2019-05-19,V,2.0,Frosinone,3.0,2.0,0,-1,20.0,6.0,1,0,2018-2019
366,Napoli,2019-05-19,V,3.0,Inter,-7.0,2.0,-1,-1,-14.0,0.0,2,0,2018-2019
367,Empoli,2019-05-19,V,3.0,Torino,3.0,4.0,0,0,-20.0,-2.0,0,0,2018-2019
368,Chievo,2019-05-19,N,0.0,Sampdoria,-4.0,-4.0,0,0,-34.0,5.0,3,1,2018-2019
369,Lazio,2019-05-20,N,0.0,Bologna,-4.0,0.0,0,0,2.0,0.0,1,0,2018-2019
370,Frosinone,2019-05-25,N,0.0,Chievo,12.0,2.0,0,0,4.0,-7.0,0,0,2018-2019
371,Bologna,2019-05-25,V,1.0,Napoli,-11.0,-2.0,0,0,-34.0,3.0,-1,0,2018-2019
372,Atalanta,2019-05-26,V,2.0,Sassuolo,11.0,5.0,0,0,22.0,-3.0,-1,-2,2018-2019
373,Cagliari,2019-05-26,P,-1.0,Udinese,10.0,1.0,0,0,14.0,5.0,0,0,2018-2019
374,Fiorentina,2019-05-26,N,0.0,Genoa,3.0,4.0,0,0,22.0,3.0,-1,0,2018-2019
375,Torino,2019-05-26,V,2.0,Lazio,-4.0,3.0,0,0,18.0,-1.0,-1,0,2018-2019
376,Roma,2019-05-26,V,1.0,Parma,16.0,4.0,0,0,16.0,4.0,1,0,2018-2019
377,SPAL,2019-05-26,P,-1.0,Milan,-9.0,-4.0,-1,-1,12.0,6.0,0,0,2018-2019
378,Sampdoria,2019-05-26,V,2.0,Juventus,5.0,2.0,0,0,6.0,-7.0,-2,0,2018-2019
379,Inter,2019-05-26,V,1.0,Empoli,14.0,9.0,0,1,6.0,2.0,1,0,2018-2019
380,Fiorentina,2019-08-24,P,-1.0,Napoli,5.0,0.0,0,0,-14.0,4.0,-2,0,2019-2020
381,Parma,2019-08-24,P,-1.0,Juventus,-5.0,-1.0,0,0,-24.0,2.0,-1,0,2019-2020
382,Torino,2019-08-25,V,1.0,Sassuolo,-8.0,-4.0,0,0,-30.0,6.0,1,0,2019-2020
383,Cagliari,2019-08-25,P,-1.0,Brescia,5.0,3.0,-1,-1,18.0,-2.0,0,0,2019-2020
384,Roma,2019-08-25,N,0.0,Genoa,18.0,6.0,-1,-1,8.0,-1.0,2,0,2019-2020
385,Sampdoria,2019-08-25,P,-3.0,Lazio,-3.0,-3.0,0,0,0.0,0.0,0,0,2019-2020
386,SPAL,2019-08-25,P,-1.0,Atalanta,-13.0,-10.0,0,0,-18.0,-6.0,1,0,2019-2020
387,Hellas Verona,2019-08-25,N,0.0,Bologna,-10.0,1.0,-1,-1,-48.0,-3.0,-2,1,2019-2020
388,Udinese,2019-08-25,V,1.0,Milan,6.0,6.0,0,0,-16.0,5.0,-2,0,2019-2020
389,Inter,2019-08-26,V,4.0,Lecce,8.0,5.0,0,0,20.0,6.0,-1,-1,2019-2020
390,Bologna,2019-08-30,V,1.0,SPAL,14.0,7.0,0,0,16.0,-2.0,1,0,2019-2020
391,Milan,2019-08-31,V,1.0,Brescia,10.0,3.0,0,0,24.0,-5.0,-1,0,2019-2020
392,Juventus,2019-08-31,V,1.0,Napoli,-5.0,0.0,0,0,-10.0,2.0,0,0,2019-2020
393,Cagliari,2019-09-01,P,-1.0,Inter,0.0,-2.0,-1,-1,-18.0,1.0,2,0,2019-2020
394,Udinese,2019-09-01,P,-2.0,Parma,13.0,7.0,0,0,4.0,-1.0,-2,0,2019-2020
395,Lecce,2019-09-01,P,-1.0,Hellas Verona,2.0,-1.0,0,0,-4.0,1.0,-1,0,2019-2020
396,Atalanta,2019-09-01,P,-1.0,Torino,17.0,4.0,0,0,14.0,-4.0,0,0,2019-2020
397,Sassuolo,2019-09-01,V,3.0,Sampdoria,4.0,5.0,-1,-1,38.0,1.0,-2,-1,2019-2020
398,Lazio,2019-09-01,N,0.0,Roma,12.0,7.0,-1,-1,0.0,1.0,1,0,2019-2020
399,Genoa,2019-09-01,V,1.0,Fiorentina,4.0,3.0,-1,-1,0.0,5.0,2,0,2019-2020
400,Inter,2019-09-14,V,1.0,Udinese,16.0,3.0,0,0,26.0,-5.0,1,-1,2019-2020
401,Fiorentina,2019-09-14,N,0.0,Juventus,10.0,2.0,0,0,-6.0,-4.0,0,0,2019-2020
402,Napoli,2019-09-14,V,2.0,Sampdoria,16.0,5.0,0,0,34.0,-10.0,0,0,2019-2020
403,Parma,2019-09-15,P,-2.0,Cagliari,11.0,4.0,0,0,12.0,-7.0,-5,0,2019-2020
404,SPAL,2019-09-15,V,1.0,Lazio,6.0,-1.0,-1,-1,-8.0,-2.0,2,0,2019-2020
405,Hellas Verona,2019-09-15,P,-1.0,Milan,-8.0,-2.0,-1,-1,-38.0,-4.0,1,0,2019-2020
406,Brescia,2019-09-15,P,-1.0,Bologna,-11.0,-1.0,0,0,-34.0,-6.0,-4,1,2019-2020
407,Genoa,2019-09-15,P,-1.0,Atalanta,-3.0,-2.0,0,0,4.0,0.0,0,0,2019-2020
408,Roma,2019-09-15,V,2.0,Sassuolo,2.0,3.0,0,0,-2.0,7.0,-1,0,2019-2020
409,Torino,2019-09-16,P,-1.0,Lecce,-5.0,-2.0,1,1,20.0,-9.0,-5,0,2019-2020
410,Cagliari,2019-09-20,V,2.0,Genoa,3.0,2.0,0,0,-16.0,6.0,0,0,2019-2020
411,Juventus,2019-09-21,V,1.0,Hellas Verona,10.0,-2.0,1,0,18.0,-13.0,-4,-1,2019-2020
412,Udinese,2019-09-21,P,-1.0,Brescia,1.0,-1.0,0,0,14.0,5.0,0,0,2019-2020
413,Milan,2019-09-21,P,-2.0,Inter,-7.0,-6.0,0,0,6.0,-8.0,1,0,2019-2020
414,Bologna,2019-09-22,P,-1.0,Roma,-14.0,-2.0,1,1,-18.0,1.0,-3,-1,2019-2020
415,Lazio,2019-09-22,V,2.0,Parma,19.0,8.0,0,0,22.0,-8.0,-2,0,2019-2020
416,Sampdoria,2019-09-22,V,1.0,Torino,12.0,5.0,0,0,-22.0,3.0,1,0,2019-2020
417,Sassuolo,2019-09-22,V,3.0,SPAL,7.0,3.0,0,0,10.0,2.0,1,0,2019-2020
418,Lecce,2019-09-22,P,-3.0,Napoli,-11.0,-7.0,0,0,-24.0,5.0,0,0,2019-2020
419,Atalanta,2019-09-22,N,0.0,Fiorentina,10.0,1.0,0,0,28.0,-2.0,-3,0,2019-2020
420,Hellas Verona,2019-09-24,N,0.0,Udinese,4.0,1.0,0,0,10.0,-14.0,-4,0,2019-2020
421,Brescia,2019-09-24,P,-1.0,Juventus,-2.0,-2.0,0,0,-34.0,-2.0,-2,0,2019-2020
422,Parma,2019-09-25,V,1.0,Sassuolo,-4.0,0.0,0,1,-36.0,10.0,2,0,2019-2020
423,Genoa,2019-09-25,N,0.0,Bologna,-10.0,1.0,0,-1,-16.0,5.0,1,0,2019-2020
424,SPAL,2019-09-25,P,-2.0,Lecce,11.0,5.0,-2,-2,16.0,1.0,-1,0,2019-2020
425,Napoli,2019-09-25,P,-1.0,Cagliari,25.0,4.0,0,0,34.0,-7.0,0,1,2019-2020
426,Roma,2019-09-25,P,-2.0,Atalanta,-5.0,-3.0,0,0,-4.0,7.0,1,0,2019-2020
427,Inter,2019-09-25,V,1.0,Lazio,6.0,-1.0,0,0,28.0,-7.0,-1,0,2019-2020
428,Fiorentina,2019-09-25,V,1.0,Sampdoria,10.0,6.0,0,0,12.0,-2.0,-1,-1,2019-2020
429,Torino,2019-09-26,V,1.0,Milan,-5.0,1.0,-1,-1,-8.0,-6.0,-1,-1,2019-2020
430,Sassuolo,2019-09-28,P,-3.0,Atalanta,-1.0,0.0,0,0,4.0,-2.0,0,0,2019-2020
431,Sampdoria,2019-09-28,P,-2.0,Inter,4.0,-5.0,0,0,-10.0,3.0,-2,-1,2019-2020
432,Juventus,2019-09-28,V,2.0,SPAL,16.0,9.0,0,0,34.0,0.0,0,0,2019-2020
433,Napoli,2019-09-29,V,1.0,Brescia,3.0,4.0,0,0,10.0,3.0,1,0,2019-2020
434,Cagliari,2019-09-29,N,0.0,Hellas Verona,1.0,1.0,0,0,-12.0,0.0,0,0,2019-2020
435,Udinese,2019-09-29,V,1.0,Bologna,0.0,1.0,0,0,-20.0,3.0,1,-1,2019-2020
436,Milan,2019-09-29,P,-2.0,Fiorentina,-3.0,-2.0,-1,-2,10.0,-9.0,-2,1,2019-2020
437,Lazio,2019-09-29,V,4.0,Genoa,2.0,3.0,0,0,8.0,-3.0,-1,0,2019-2020
438,Lecce,2019-09-29,P,-1.0,Roma,-5.0,1.0,0,-1,-20.0,-11.0,-2,0,2019-2020
439,Parma,2019-09-30,V,1.0,Torino,12.0,0.0,-1,0,2.0,7.0,-1,-1,2019-2020
440,Genoa,2019-10-05,P,-1.0,Milan,5.0,0.0,-1,0,2.0,12.0,0,0,2019-2020
441,Hellas Verona,2019-10-05,V,2.0,Sampdoria,-5.0,2.0,0,0,-2.0,3.0,-2,0,2019-2020
442,SPAL,2019-10-05,V,1.0,Parma,8.0,6.0,0,0,-6.0,-4.0,3,1,2019-2020
443,Fiorentina,2019-10-06,V,1.0,Udinese,9.0,2.0,0,0,0.0,-4.0,-1,0,2019-2020
444,Roma,2019-10-06,N,0.0,Cagliari,14.0,5.0,-1,-1,32.0,9.0,-3,0,2019-2020
445,Torino,2019-10-06,N,0.0,Napoli,-4.0,0.0,0,0,-20.0,0.0,-1,0,2019-2020
446,Atalanta,2019-10-06,V,2.0,Lecce,23.0,13.0,0,0,14.0,-1.0,-1,0,2019-2020
447,Inter,2019-10-06,P,-1.0,Juventus,-9.0,-4.0,1,1,0.0,14.0,-1,0,2019-2020
448,Bologna,2019-10-06,N,0.0,Lazio,7.0,4.0,0,-1,6.0,0.0,1,0,2019-2020
449,Juventus,2019-10-19,V,1.0,Bologna,14.0,8.0,0,0,30.0,-4.0,-1,0,2019-2020
450,Lazio,2019-10-19,N,0.0,Atalanta,-7.0,-6.0,2,2,2.0,5.0,3,0,2019-2020
451,Napoli,2019-10-19,V,2.0,Hellas Verona,1.0,2.0,0,0,12.0,-2.0,0,0,2019-2020
452,Udinese,2019-10-20,V,1.0,Torino,8.0,1.0,0,0,-22.0,-4.0,0,0,2019-2020
453,Cagliari,2019-10-20,V,2.0,SPAL,4.0,0.0,0,0,-12.0,1.0,-1,0,2019-2020
454,Parma,2019-10-20,V,4.0,Genoa,4.0,2.0,0,0,-26.0,-3.0,-1,0,2019-2020
455,Sampdoria,2019-10-20,N,0.0,Roma,3.0,3.0,0,0,-28.0,1.0,-1,-1,2019-2020
456,Sassuolo,2019-10-20,P,-1.0,Inter,0.0,-1.0,-2,-2,6.0,-3.0,1,0,2019-2020
457,Milan,2019-10-20,N,0.0,Lecce,10.0,1.0,0,-1,28.0,1.0,-1,0,2019-2020
458,Brescia,2019-10-21,N,0.0,Fiorentina,-10.0,-3.0,0,0,-8.0,-10.0,-3,0,2019-2020
459,Hellas Verona,2019-10-25,P,-1.0,Sassuolo,-8.0,-1.0,0,0,14.0,6.0,0,0,2019-2020
460,Lecce,2019-10-26,N,0.0,Juventus,-15.0,1.0,0,0,-42.0,-1.0,3,0,2019-2020
461,Inter,2019-10-26,N,0.0,Parma,17.0,1.0,0,0,34.0,-3.0,1,0,2019-2020
462,Genoa,2019-10-26,V,2.0,Brescia,9.0,8.0,0,0,22.0,7.0,2,0,2019-2020
463,Atalanta,2019-10-27,V,6.0,Udinese,14.0,7.0,2,2,26.0,6.0,-1,-1,2019-2020
464,SPAL,2019-10-27,N,0.0,Napoli,-3.0,-2.0,0,0,-36.0,4.0,3,0,2019-2020
465,Fiorentina,2019-10-27,P,-1.0,Lazio,0.0,-3.0,0,-1,-6.0,2.0,2,1,2019-2020
466,Torino,2019-10-27,N,0.0,Cagliari,1.0,1.0,0,0,0.0,5.0,-1,0,2019-2020
467,Roma,2019-10-27,V,1.0,Milan,0.0,1.0,0,0,-16.0,-4.0,-1,0,2019-2020
468,Bologna,2019-10-27,V,1.0,Sampdoria,1.0,3.0,0,0,10.0,-5.0,-2,0,2019-2020
469,Parma,2019-10-29,P,-1.0,Hellas Verona,12.0,3.0,0,0,6.0,-3.0,-4,0,2019-2020
470,Brescia,2019-10-29,P,-1.0,Inter,2.0,4.0,0,0,-14.0,-3.0,1,0,2019-2020
471,Sassuolo,2019-10-30,P,-1.0,Fiorentina,-7.0,-3.0,0,0,8.0,-4.0,-1,0,2019-2020
472,Napoli,2019-10-30,N,0.0,Atalanta,4.0,5.0,0,0,2.0,-1.0,0,0,2019-2020
473,Lazio,2019-10-30,V,4.0,Torino,9.0,5.0,1,1,8.0,0.0,0,-1,2019-2020
