Model,Accuracy,Avg Precision (macro),Avg Recall (macro),Avg F1-score (macro),Avg Precision (weighted),Avg Recall (weighted),Avg F1-score (weighted)
Logistic Regression,0.6578947368421053,0.6893631436314364,0.5800042869008387,0.5727644376505334,0.6783536585365854,0.6578947368421053,0.6122956379292428
Support Vector Machine,0.4649122807017544,0.4867256637168142,0.3434343434343434,0.22970885323826498,0.4993789784195001,0.4649122807017544,0.304534509178472
Multinomial Naive Bayes,0.6578947368421053,0.6194051194051194,0.6086260482812207,0.5958977321970244,0.6341171999066736,0.6578947368421053,0.6307039084059999
Decision Tree,0.7456140350877193,0.7413158500115021,0.7069233448543794,0.7174863387978142,0.7456352233240106,0.7456140350877193,0.7388697152717859
Random Forest,0.6052631578947368,0.8263888888888888,0.5078369905956113,0.4813266195754675,0.7728435672514619,0.6052631578947368,0.5305838390970576
K-Nearest Neighbors,0.5,0.4608834244080146,0.4581424322803633,0.4282314990279594,0.4772469082542422,0.5,0.46354048147247967
