,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
152,Roma,2021-12-04,P,-0.8,Inter,-1.1999999999999993,-1.4000000000000004,-0.8,-1.0,-3.6000000000000014,3.200000000000001,1.7999999999999998,0.0,0.0,2.0,0.0
153,Venezia,2021-12-05,P,-0.3999999999999999,Hellas Verona,-7.0,-0.6000000000000005,0.2,0.2,-14.599999999999994,-4.0,-1.0,-0.4,0.0,6.0,0.0
154,Spezia,2021-12-05,N,-1.4,Sassuolo,-5.4,-1.1999999999999997,-0.2,-0.2,-12.199999999999996,3.200000000000001,0.0,0.0,1.0,7.0,2.0
155,Sampdoria,2021-12-05,P,-0.40000000000000013,Lazio,0.40000000000000036,0.6000000000000001,0.0,0.0,-10.0,4.0,0.8000000000000003,0.0,1.0,6.0,0.0
156,Juventus,2021-12-05,V,0.7999999999999999,Genoa,3.0,0.5999999999999996,0.2,0.39999999999999997,6.200000000000003,-1.799999999999999,-0.5999999999999996,0.0,6.0,1.0,1.0
157,Bologna,2021-12-05,P,-1.0000000000000002,Fiorentina,-1.200000000000001,-1.7999999999999998,0.0,0.0,3.4000000000000057,0.6000000000000014,-0.3999999999999999,-0.2,0.0,3.0,0.0
158,Cagliari,2021-12-06,N,-0.5999999999999999,Torino,-2.1999999999999993,-0.6000000000000001,0.2,0.2,-14.0,-2.1999999999999993,0.3999999999999999,0.0,2.0,3.0,1.0
159,Empoli,2021-12-06,V,0.19999999999999996,Udinese,-0.6000000000000014,-0.6000000000000005,0.2,0.2,9.600000000000001,-1.799999999999999,-1.4000000000000001,-0.6,1.0,7.0,2.0
160,Genoa,2021-12-10,P,-1.2000000000000002,Sampdoria,-6.4,-2.6,0.2,0.2,-1.0,-3.799999999999999,-0.8000000000000003,0.0,1.0,3.0,0.0
161,Udinese,2021-12-11,N,-0.19999999999999996,Milan,-1.5999999999999979,0.20000000000000018,0.0,0.0,-14.599999999999994,2.799999999999999,1.7999999999999998,0.39999999999999997,1.0,4.0,2.0
162,Venezia,2021-12-11,N,0.0,Juventus,-7.6,-1.0,-0.2,-0.39999999999999997,-18.6,-2.8000000000000007,-0.20000000000000018,0.2,0.0,8.0,2.0
163,Fiorentina,2021-12-11,V,2.0,Salernitana,2.1999999999999993,3.0000000000000004,0.2,0.2,14.399999999999999,-1.0,0.6000000000000001,0.2,8.0,0.0,1.0
164,Sassuolo,2021-12-12,V,0.20000000000000018,Lazio,4.6,1.1999999999999997,0.2,0.2,3.200000000000003,0.20000000000000107,-0.19999999999999973,-0.4,2.0,4.0,0.0
165,Hellas Verona,2021-12-12,P,-1.4,Atalanta,-1.200000000000001,-1.5999999999999996,0.0,0.0,4.799999999999997,-0.40000000000000036,0.5999999999999996,0.4,1.0,6.0,0.0
166,Torino,2021-12-12,V,-0.19999999999999996,Bologna,-1.5999999999999996,-1.8000000000000003,-0.2,-0.2,2.1999999999999957,6.6,0.3999999999999999,0.2,2.0,1.0,1.0
167,Inter,2021-12-12,V,1.2000000000000002,Cagliari,6.0,3.6,0.6000000000000001,0.8,11.399999999999999,-1.200000000000001,-0.8,0.0,6.0,1.0,1.0
168,Napoli,2021-12-12,P,0.20000000000000018,Empoli,-1.5999999999999996,-0.5999999999999996,0.0,0.0,3.4000000000000057,2.5999999999999996,0.0,0.0,7.0,1.0,1.0
169,Roma,2021-12-13,V,0.0,Spezia,6.199999999999999,-0.6000000000000005,0.0,0.0,7.599999999999994,-0.5999999999999996,-0.3999999999999999,0.0,7.0,0.0,1.0
170,Salernitana,2021-12-17,P,-2.5999999999999996,Inter,-11.4,-6.200000000000001,-0.6,-0.8,-23.799999999999997,-0.1999999999999993,-0.3999999999999999,0.0,0.0,8.0,2.0
171,Lazio,2021-12-17,V,1.4000000000000001,Genoa,1.2000000000000002,1.4,0.0,0.0,5.200000000000003,-0.1999999999999993,0.6000000000000001,0.4,5.0,2.0,1.0
172,Atalanta,2021-12-18,P,2.0,Roma,3.1999999999999993,2.3999999999999995,0.2,0.2,1.2000000000000028,2.4000000000000004,-0.7999999999999998,-0.2,4.0,1.0,1.0
173,Bologna,2021-12-18,P,-0.3999999999999999,Juventus,-5.400000000000002,-2.0,0.0,-0.19999999999999996,-10.200000000000003,-2.5999999999999996,0.0,0.0,0.0,8.0,0.0
174,Cagliari,2021-12-18,P,-0.5999999999999999,Udinese,-3.0,-3.1999999999999997,0.2,0.2,0.20000000000000284,-5.000000000000002,-1.0,-0.6,3.0,4.0,1.0
175,Spezia,2021-12-19,N,-1.0,Empoli,-5.800000000000001,-1.0,0.0,0.0,-7.600000000000001,-2.1999999999999993,0.20000000000000018,0.0,2.0,2.0,2.0
176,Torino,2021-12-19,V,-0.20000000000000018,Hellas Verona,-4.0,-0.6000000000000005,-0.2,-0.2,-6.800000000000004,2.8000000000000007,0.0,0.2,2.0,1.0,0.0
177,Sampdoria,2021-12-19,N,1.0,Venezia,5.399999999999999,1.2000000000000002,0.0,0.0,3.6000000000000014,4.200000000000001,0.8000000000000003,-0.2,8.0,0.0,1.0
178,Fiorentina,2021-12-19,N,0.7999999999999998,Sassuolo,-3.1999999999999993,0.7999999999999998,0.0,0.0,1.0,-0.1999999999999993,-1.0000000000000002,-0.2,2.0,4.0,1.0
179,Milan,2021-12-19,P,0.0,Napoli,0.40000000000000213,-0.7999999999999998,0.0,0.0,3.1999999999999957,-2.4000000000000004,0.0,0.2,1.0,3.0,0.0
180,Genoa,2021-12-21,N,-1.8000000000000003,Atalanta,-8.399999999999999,-3.4000000000000004,0.0,0.0,-6.799999999999997,-3.5999999999999996,0.3999999999999999,0.0,1.0,5.0,2.0
181,Juventus,2021-12-21,V,0.9999999999999999,Cagliari,6.6,4.4,0.0,0.2,16.799999999999997,1.1999999999999993,-0.3999999999999999,-0.2,7.0,1.0,1.0
182,Empoli,2021-12-22,P,0.40000000000000013,Milan,2.1999999999999993,2.6,0.0,0.0,-3.799999999999997,1.3999999999999986,0.6000000000000001,-0.2,0.0,7.0,0.0
183,Sassuolo,2021-12-22,P,1.2000000000000002,Bologna,4.200000000000001,2.0000000000000004,-0.4,-0.4,4.600000000000001,-1.200000000000001,0.6000000000000001,0.2,3.0,3.0,0.0
184,Hellas Verona,2021-12-22,N,-1.4000000000000001,Fiorentina,-1.1999999999999993,-2.5999999999999996,0.0,0.0,-6.0,3.8000000000000007,0.3999999999999999,0.0,2.0,4.0,0.0
185,Inter,2021-12-22,V,2.0,Torino,10.399999999999999,5.799999999999999,0.4,0.6,10.600000000000001,-5.0,-0.8,-0.2,4.0,2.0,1.0
186,Roma,2021-12-22,N,-0.40000000000000013,Sampdoria,-4.799999999999999,-1.8000000000000003,0.0,0.0,-4.200000000000003,-1.5999999999999996,0.20000000000000018,0.2,4.0,2.0,1.0
187,Venezia,2021-12-22,P,-1.2000000000000002,Lazio,1.1999999999999993,-0.7999999999999998,0.0,0.0,-5.600000000000001,4.0,-0.3999999999999999,-0.2,0.0,8.0,0.0
188,Napoli,2021-12-22,P,1.2000000000000002,Spezia,7.200000000000001,1.1999999999999997,0.0,0.0,16.4,0.40000000000000036,-1.0,0.0,7.0,1.0,1.0
189,Milan,2022-01-06,V,0.6000000000000001,Roma,4.999999999999998,0.5999999999999996,0.0,0.0,11.800000000000004,0.5999999999999996,-1.5999999999999999,-0.2,5.0,2.0,1.0
190,Juventus,2022-01-06,N,0.8,Napoli,-0.3999999999999986,2.8,0.0,0.2,5.399999999999999,-1.200000000000001,-0.20000000000000018,0.0,5.0,4.0,1.0
191,Sampdoria,2022-01-06,P,1.2,Cagliari,5.199999999999999,2.5999999999999996,0.0,0.0,5.799999999999997,0.0,0.19999999999999973,-0.2,3.0,3.0,1.0
192,Sassuolo,2022-01-06,N,1.2000000000000002,Genoa,7.800000000000001,4.0,0.0,0.0,14.400000000000006,-0.40000000000000036,0.7999999999999998,0.2,4.0,2.0,1.0
193,Spezia,2022-01-06,P,-0.3999999999999999,Hellas Verona,-4.600000000000001,-1.2000000000000002,-0.2,-0.2,-12.400000000000006,1.200000000000001,0.3999999999999999,-0.2,0.0,6.0,1.0
194,Lazio,2022-01-06,N,0.9999999999999998,Empoli,-9.000000000000002,-1.5999999999999996,-0.2,-0.2,-3.0,-4.399999999999999,0.0,0.4,9.0,0.0,1.0
195,Roma,2022-01-09,P,0.0,Juventus,-8.0,-2.8,0.0,0.0,-13.200000000000003,-1.0,1.7999999999999998,0.6,2.0,5.0,0.0
196,Udinese,2022-01-09,P,0.0,Atalanta,-3.8000000000000007,-0.1999999999999993,0.0,0.0,-17.0,3.1999999999999993,1.8,0.6,1.0,6.0,-1.0
197,Napoli,2022-01-09,V,-0.5999999999999999,Sampdoria,7.200000000000001,0.20000000000000018,0.0,0.0,9.800000000000004,1.4000000000000004,-1.0,-0.2,8.0,1.0,0.0
198,Venezia,2022-01-09,P,-0.8,Milan,-5.799999999999999,-1.0,-0.2,-0.4,-12.0,3.4000000000000004,0.8000000000000003,0.4,0.0,9.0,0.0
199,Hellas Verona,2022-01-09,P,1.4000000000000001,Salernitana,6.199999999999999,1.0,0.2,0.2,15.600000000000001,0.5999999999999996,0.8,0.2,6.0,0.0,1.0
200,Empoli,2022-01-09,P,0.6000000000000001,Sassuolo,-1.0,0.0,0.4,0.4,-8.600000000000001,2.1999999999999993,-0.20000000000000018,-0.2,2.0,7.0,0.0
201,Inter,2022-01-09,V,0.3999999999999999,Lazio,9.799999999999999,3.0,0.2,0.2,11.999999999999993,0.40000000000000036,-1.2,-0.2,4.0,3.0,1.0
202,Genoa,2022-01-09,P,-0.4,Spezia,-4.3999999999999995,-1.2000000000000002,0.0,0.0,-0.7999999999999972,-2.1999999999999993,-1.1999999999999997,-0.2,8.0,0.0,1.0
203,Torino,2022-01-10,V,-1.4000000000000001,Fiorentina,-3.799999999999999,-2.0000000000000004,-0.2,-0.2,-12.0,8.8,0.0,0.0,1.0,5.0,2.0
204,Cagliari,2022-01-11,V,-0.7999999999999999,Bologna,1.200000000000001,-0.8000000000000003,-0.2,-0.2,-1.6000000000000014,2.0,0.0,0.2,3.0,3.0,1.0
205,Salernitana,2022-01-15,P,-1.8000000000000003,Lazio,-2.1999999999999993,-1.4000000000000004,0.2,0.0,-19.800000000000004,-0.6000000000000014,-1.0,0.0,0.0,9.0,0.0
206,Sampdoria,2022-01-15,P,-0.40000000000000013,Torino,0.5999999999999996,-0.6000000000000001,0.0,0.0,-6.399999999999999,-7.0,0.19999999999999996,0.2,3.0,3.0,0.0
207,Juventus,2022-01-15,V,-0.3999999999999999,Udinese,4.199999999999999,-0.1999999999999993,0.0,0.0,11.399999999999999,-1.4000000000000004,-0.9999999999999998,-0.39999999999999997,7.0,1.0,1.0
208,Venezia,2022-01-16,N,-0.40000000000000013,Empoli,-4.0,-1.5999999999999996,-0.4,-0.4,-5.200000000000003,1.3999999999999986,0.20000000000000018,0.39999999999999997,1.0,2.0,1.0
209,Atalanta,2022-01-16,N,-0.6000000000000001,Inter,0.3999999999999986,-1.0,0.0,-0.2,-6.0,4.0,0.40000000000000013,0.0,1.0,3.0,0.0
210,Roma,2022-01-16,V,1.4000000000000001,Cagliari,4.199999999999999,1.7999999999999998,0.0,0.2,2.3999999999999986,-1.1999999999999993,0.3999999999999999,0.39999999999999997,6.0,1.0,1.0
211,Sassuolo,2022-01-16,P,1.0,Hellas Verona,2.0,3.0,0.2,0.2,6.600000000000001,1.4000000000000004,0.8,-0.2,7.0,1.0,1.0
212,Bologna,2022-01-17,P,0.7999999999999999,Napoli,-12.2,-0.9999999999999996,0.2,0.2,-13.799999999999997,1.0,1.6,0.0,2.0,6.0,2.0
213,Fiorentina,2022-01-17,V,1.4,Genoa,6.2,3.4,0.2,0.2,18.6,-4.199999999999999,0.0,0.2,2.0,1.0,1.0
214,Milan,2022-01-17,P,1.4000000000000001,Spezia,5.0,0.7999999999999998,0.4,0.6,14.399999999999999,-2.1999999999999993,-0.8,-0.2,8.0,1.0,1.0
215,Hellas Verona,2022-01-21,V,0.6000000000000001,Bologna,6.399999999999999,0.20000000000000018,0.0,0.0,2.799999999999997,-1.5999999999999996,-0.3999999999999999,0.4,0.0,6.0,1.0
216,Lazio,2022-01-22,N,0.8,Atalanta,-4.199999999999999,-0.1999999999999993,0.0,0.2,0.20000000000000284,0.5999999999999996,1.4,0.0,1.0,4.0,0.0
217,Inter,2022-01-22,V,1.5999999999999999,Venezia,6.0,3.9999999999999996,0.0,0.2,18.4,-4.800000000000001,-1.0,-0.4,9.0,0.0,1.0
218,Genoa,2022-01-22,N,-1.2000000000000002,Udinese,-7.4,-4.2,0.0,0.0,-2.200000000000003,-0.1999999999999993,0.0,-0.2,0.0,5.0,2.0
219,Spezia,2022-01-23,V,0.3999999999999999,Sampdoria,0.0,1.0,0.0,0.0,-3.6000000000000014,5.199999999999999,1.7999999999999998,0.0,1.0,7.0,1.0
220,Torino,2022-01-23,N,-0.19999999999999996,Sassuolo,-4.399999999999999,-0.7999999999999998,-0.2,-0.2,-3.4000000000000057,4.199999999999999,-1.4,0.0,5.0,1.0,0.0
221,Cagliari,2022-01-23,N,-1.8,Fiorentina,-7.200000000000001,-3.3999999999999995,0.0,-0.2,-15.0,7.0,1.7999999999999998,0.0,3.0,3.0,2.0
222,Milan,2022-01-23,N,0.0,Juventus,2.400000000000002,0.40000000000000036,0.4,0.8,1.1999999999999957,-1.200000000000001,0.19999999999999996,-0.2,2.0,6.0,2.0
223,Napoli,2022-01-23,V,0.6,Salernitana,9.4,1.4000000000000004,-0.2,-0.2,30.200000000000003,2.8000000000000007,-0.6000000000000001,0.0,9.0,0.0,1.0
224,Empoli,2022-01-23,P,-0.3999999999999999,Roma,2.5999999999999996,-0.40000000000000036,0.2,0.0,3.6000000000000014,0.40000000000000036,-0.40000000000000036,-0.2,0.0,9.0,2.0
225,Roma,2022-02-05,N,1.8,Genoa,8.4,4.6,0.2,0.4,11.600000000000001,-3.8000000000000007,0.6000000000000001,0.2,6.0,0.0,1.0
226,Inter,2022-02-05,P,-0.20000000000000018,Milan,0.0,0.40000000000000036,-0.4,-0.8,9.0,-1.4000000000000004,-0.40000000000000013,0.0,6.0,1.0,0.0
227,Fiorentina,2022-02-05,P,0.0,Lazio,4.4,1.2000000000000002,0.0,0.2,3.0,-3.6000000000000014,-0.7999999999999998,0.4,1.0,6.0,2.0
228,Sampdoria,2022-02-06,V,-1.2000000000000002,Sassuolo,-8.4,-4.4,-0.2,-0.2,-14.0,-0.8000000000000007,-0.3999999999999999,0.4,1.0,5.0,0.0
229,Bologna,2022-02-06,N,-0.8,Empoli,-4.800000000000001,-1.1999999999999997,-0.4,-0.4,-4.0,-2.799999999999999,-0.19999999999999973,-0.2,7.0,2.0,1.0
230,Udinese,2022-02-06,V,-0.20000000000000018,Torino,-4.6,-1.9999999999999996,0.0,0.0,-13.799999999999997,-3.599999999999998,0.7999999999999998,0.2,2.0,6.0,0.0
231,Atalanta,2022-02-06,P,0.3999999999999999,Cagliari,4.0,1.7999999999999998,0.0,-0.2,9.599999999999994,-4.400000000000002,-1.4000000000000001,0.0,5.0,4.0,1.0
232,Venezia,2022-02-06,P,-0.8,Napoli,-10.8,-4.0,-0.4,-0.4,-23.60000000000001,2.0,1.5999999999999999,0.4,0.0,9.0,2.0
233,Juventus,2022-02-06,V,-0.19999999999999996,Hellas Verona,-2.799999999999999,-1.4,-0.2,-0.2,0.20000000000000284,-1.0,-0.40000000000000013,0.0,5.0,2.0,1.0
234,Salernitana,2022-02-07,N,-0.6,Spezia,-2.799999999999999,-1.2000000000000002,0.2,0.2,-12.000000000000004,-5.0,-1.0,0.0,0.0,3.0,2.0
235,Torino,2022-02-12,P,0.7999999999999999,Venezia,4.6,2.8,0.0,0.0,12.799999999999997,7.4,-0.20000000000000018,-0.39999999999999997,8.0,0.0,0.0
236,Lazio,2022-02-12,V,1.0,Bologna,2.4000000000000004,1.8000000000000003,0.0,0.2,11.400000000000006,2.0,0.40000000000000036,0.0,4.0,2.0,1.0
237,Napoli,2022-02-12,N,0.8,Inter,2.599999999999998,0.8000000000000007,0.4,0.4,7.799999999999997,-3.0,-1.0,0.0,1.0,5.0,0.0
238,Milan,2022-02-13,V,0.6000000000000001,Sampdoria,7.599999999999998,2.4,0.2,0.6000000000000001,12.200000000000003,-0.20000000000000107,0.8,-0.2,5.0,2.0,1.0
239,Atalanta,2022-02-13,N,-0.40000000000000013,Juventus,-0.6000000000000014,0.0,0.0,0.0,1.5999999999999943,1.200000000000001,-0.19999999999999996,0.0,2.0,2.0,2.0
240,Genoa,2022-02-13,N,-0.8,Salernitana,1.2000000000000002,-1.0,-0.2,-0.2,6.0,6.999999999999998,-0.20000000000000018,0.2,8.0,1.0,1.0
241,Hellas Verona,2022-02-13,V,0.19999999999999996,Udinese,9.400000000000002,2.0,0.0,0.0,15.400000000000006,2.0,-0.6000000000000001,0.2,1.0,5.0,1.0
242,Sassuolo,2022-02-13,N,0.0,Roma,2.799999999999997,1.3999999999999995,0.0,-0.2,7.199999999999996,-2.1999999999999993,-1.0,-0.6,1.0,4.0,0.0
243,Empoli,2022-02-13,N,0.0,Cagliari,4.0,1.1999999999999997,0.2,0.0,0.7999999999999972,-3.200000000000001,-0.20000000000000018,0.2,2.0,6.0,0.0
244,Spezia,2022-02-14,P,-0.20000000000000018,Fiorentina,-2.3999999999999986,-0.7999999999999998,0.4,0.0,-17.4,7.199999999999999,1.2000000000000002,-0.2,0.0,8.0,1.0
245,Juventus,2022-02-18,N,0.19999999999999996,Torino,-1.4000000000000004,-0.8000000000000007,0.0,0.0,-4.600000000000001,-4.799999999999999,-0.5999999999999996,0.0,7.0,0.0,1.0
246,Roma,2022-02-19,N,-0.20000000000000018,Hellas Verona,1.4000000000000004,1.0,0.2,0.39999999999999997,-0.6000000000000014,-1.8000000000000007,0.3999999999999999,0.0,7.0,2.0,1.0
247,Salernitana,2022-02-19,N,-0.19999999999999996,Milan,-8.4,-2.5999999999999996,0.0,-0.2,-18.0,-2.4000000000000004,0.0,0.0,0.0,9.0,2.0
248,Sampdoria,2022-02-19,V,0.0,Empoli,-7.0,-3.2,0.2,0.2,-4.199999999999996,-2.5999999999999996,-0.9999999999999998,0.0,8.0,1.0,1.0
249,Inter,2022-02-20,P,-0.8,Sassuolo,-1.799999999999999,-0.5999999999999996,-0.2,-0.2,5.0,1.0,-0.9999999999999998,-0.2,4.0,3.0,1.0
250,Fiorentina,2022-02-20,V,0.19999999999999996,Atalanta,1.0,1.0,0.0,0.6,11.0,-1.3999999999999986,0.0,0.2,2.0,4.0,0.0
251,Venezia,2022-02-20,N,0.6000000000000001,Genoa,-2.8000000000000007,0.3999999999999999,0.0,0.0,-7.200000000000003,-8.999999999999998,-0.3999999999999999,0.19999999999999996,0.0,8.0,1.0
252,Udinese,2022-02-20,N,-1.2,Lazio,1.0,-1.5999999999999996,0.0,0.0,-12.200000000000003,-3.0,-0.3999999999999999,0.0,1.0,6.0,2.0
253,Cagliari,2022-02-21,N,-0.8,Napoli,-6.400000000000002,-3.2,-0.6,-0.39999999999999997,-18.800000000000004,7.0,2.5999999999999996,0.0,1.0,7.0,2.0
254,Bologna,2022-02-21,V,-0.9999999999999999,Spezia,-0.20000000000000107,-0.6000000000000001,-0.4,-0.4,5.600000000000001,-7.399999999999999,-0.3999999999999999,0.0,8.0,0.0,1.0
255,Genoa,2022-02-25,N,-0.4,Inter,-6.600000000000001,-3.4,0.0,0.0,-14.0,7.0,0.9999999999999998,0.4,1.0,8.0,2.0
256,Milan,2022-02-25,N,0.6,Udinese,3.0,2.8000000000000003,-0.2,0.0,10.0,0.20000000000000107,0.3999999999999999,0.2,4.0,1.0,1.0
257,Sassuolo,2022-02-26,V,-0.6000000000000001,Fiorentina,0.0,-0.6000000000000005,0.0,-0.6,-9.0,-1.1999999999999993,0.6000000000000001,-0.2,4.0,2.0,0.0
258,Salernitana,2022-02-26,N,0.6,Bologna,-4.6000000000000005,-0.7999999999999998,0.0,0.0,-10.399999999999999,3.200000000000001,0.20000000000000018,0.2,0.0,9.0,1.0
259,Empoli,2022-02-26,P,-0.3999999999999999,Juventus,2.8000000000000007,0.7999999999999998,0.0,0.0,-1.3999999999999986,0.40000000000000036,1.1999999999999997,0.0,1.0,8.0,2.0
260,Spezia,2022-02-27,P,-0.40000000000000013,Roma,-5.800000000000001,-3.0,0.0,0.0,-15.0,4.799999999999999,0.0,-0.2,0.0,8.0,1.0
261,Torino,2022-02-27,P,0.0,Cagliari,2.8000000000000007,1.5999999999999996,0.0,-0.2,13.399999999999999,1.3999999999999986,-0.20000000000000018,0.2,3.0,2.0,1.0
262,Lazio,2022-02-27,P,0.0,Napoli,-3.1999999999999993,-1.2000000000000002,-0.39999999999999997,-0.39999999999999997,-2.200000000000003,0.8000000000000007,1.2,0.0,2.0,7.0,0.0
263,Hellas Verona,2022-02-27,V,1.4,Venezia,2.5999999999999996,1.0,0.2,0.2,10.0,3.1999999999999993,-0.3999999999999999,-0.4,7.0,0.0,1.0
264,Atalanta,2022-02-28,V,-0.9999999999999999,Sampdoria,3.0,0.6000000000000001,-0.2,-0.2,2.200000000000003,1.9999999999999982,0.3999999999999999,0.0,4.0,4.0,0.0
265,Inter,2022-03-04,V,-0.5999999999999999,Salernitana,9.200000000000001,2.4,0.0,0.0,15.0,-0.5999999999999996,-1.0,-0.2,9.0,0.0,1.0
266,Cagliari,2022-03-05,P,-0.20000000000000018,Lazio,0.8000000000000007,-0.7999999999999998,-0.2,0.0,-9.600000000000001,6.6,0.6000000000000001,0.0,0.0,7.0,0.0
267,Udinese,2022-03-05,V,-0.3999999999999999,Sampdoria,3.999999999999999,1.0,0.0,0.0,-2.200000000000003,2.5999999999999996,0.3999999999999999,-0.2,2.0,6.0,1.0
268,Roma,2022-03-05,V,0.6000000000000001,Atalanta,5.000000000000002,1.6000000000000005,0.4,0.4,4.0,-1.799999999999999,0.20000000000000018,0.0,2.0,4.0,0.0
269,Venezia,2022-03-06,P,-0.3999999999999999,Sassuolo,-6.4,-1.7999999999999998,0.0,0.0,-12.199999999999996,-2.0,0.0,0.2,0.0,9.0,2.0
270,Juventus,2022-03-06,V,0.3999999999999999,Spezia,3.1999999999999993,2.8000000000000003,-0.4,-0.4,9.600000000000001,-5.0,-1.2000000000000002,-0.2,9.0,0.0,1.0
271,Bologna,2022-03-06,N,0.0,Torino,-1.4000000000000004,-0.20000000000000018,0.0,0.0,-7.200000000000003,-7.0,-0.3999999999999999,-0.2,1.0,3.0,0.0
272,Fiorentina,2022-03-06,N,-1.2000000000000002,Hellas Verona,1.4000000000000004,-1.0,0.0,0.4,4.200000000000003,-0.7999999999999989,0.6000000000000001,0.6,4.0,2.0,1.0
273,Napoli,2022-03-06,P,0.8,Milan,2.4000000000000004,1.7999999999999998,0.6,0.6,6.399999999999999,-1.4000000000000004,-1.6,-0.2,4.0,1.0,1.0
274,Genoa,2022-03-06,N,-0.6,Empoli,-2.4000000000000004,-1.6,0.0,0.0,-6.799999999999997,4.799999999999999,0.19999999999999973,0.4,8.0,0.0,1.0
275,Salernitana,2022-03-12,N,-0.8,Sassuolo,-4.200000000000001,-2.0,-0.6,-0.6,-1.7999999999999972,-0.1999999999999993,0.0,-0.2,0.0,9.0,0.0
276,Sampdoria,2022-03-12,P,-0.20000000000000018,Juventus,-4.8,-2.2,0.2,0.2,-2.0,1.3999999999999986,0.6000000000000001,0.0,2.0,7.0,2.0
277,Spezia,2022-03-12,V,-0.3999999999999999,Cagliari,-4.0,-2.2,0.4,0.4,-6.399999999999999,0.40000000000000213,-0.6000000000000001,0.2,1.0,6.0,0.0
278,Milan,2022-03-12,V,0.7999999999999999,Empoli,0.0,1.7999999999999998,0.0,0.0,4.200000000000003,-2.1999999999999993,1.0,0.2,8.0,0.0,1.0
279,Hellas Verona,2022-03-13,P,0.8,Napoli,-2.6000000000000014,-0.20000000000000018,0.0,0.0,-7.199999999999996,0.5999999999999996,-0.20000000000000018,0.0,1.0,6.0,2.0
280,Atalanta,2022-03-13,N,0.7999999999999999,Genoa,0.0,0.8000000000000003,0.0,0.0,12.599999999999994,-1.8000000000000007,0.20000000000000018,0.2,5.0,1.0,1.0
281,Udinese,2022-03-13,N,0.0,Roma,-2.1999999999999993,-0.5999999999999996,-0.2,-0.2,-10.600000000000001,1.5999999999999979,-0.19999999999999973,-0.4,2.0,7.0,0.0
282,Torino,2022-03-13,N,-0.7999999999999999,Inter,-7.200000000000001,-3.2,0.0,0.0,-0.4000000000000057,5.0,1.4,0.2,2.0,5.0,2.0
283,Fiorentina,2022-03-13,V,0.4,Bologna,0.40000000000000036,0.3999999999999999,0.0,0.2,1.6000000000000014,-2.200000000000001,-0.6000000000000001,0.4,4.0,0.0,1.0
284,Lazio,2022-03-14,V,1.2000000000000002,Venezia,1.5999999999999996,2.0,0.4,0.2,12.800000000000004,-1.1999999999999993,0.3999999999999999,-0.2,9.0,0.0,1.0
285,Genoa,2022-03-18,V,-0.4,Torino,0.40000000000000036,0.19999999999999973,0.0,0.0,-9.200000000000003,-0.8000000000000007,0.0,0.0,0.0,7.0,0.0
286,Sassuolo,2022-03-18,V,1.5999999999999999,Spezia,5.4,1.9999999999999996,0.6,0.39999999999999997,10.0,-0.8000000000000007,0.3999999999999999,0.2,7.0,1.0,1.0
287,Inter,2022-03-19,N,0.19999999999999996,Fiorentina,6.4,2.2,0.0,-0.2,3.6000000000000014,0.40000000000000036,0.8,-0.2,5.0,0.0,1.0
288,Napoli,2022-03-19,V,0.19999999999999996,Udinese,-3.8000000000000007,-0.7999999999999998,0.2,0.2,10.799999999999997,-4.600000000000001,-1.4000000000000001,0.0,8.0,0.0,1.0
289,Cagliari,2022-03-19,P,-0.3999999999999999,Milan,0.7999999999999989,-1.8000000000000003,0.0,0.0,-3.5999999999999943,4.000000000000002,0.0,0.0,0.0,7.0,2.0
290,Venezia,2022-03-20,P,0.19999999999999996,Sampdoria,2.0,0.6000000000000001,0.0,0.0,-8.0,2.200000000000001,0.40000000000000013,0.2,0.0,8.0,1.0
291,Roma,2022-03-20,V,-0.40000000000000013,Lazio,2.799999999999999,0.7999999999999998,0.0,0.0,-1.6000000000000014,3.799999999999999,1.2000000000000002,0.0,3.0,3.0,0.0
292,Bologna,2022-03-20,P,-0.4,Atalanta,-3.5999999999999996,-1.0,0.0,0.0,-8.600000000000001,1.4000000000000021,0.0,0.0,1.0,6.0,2.0
293,Empoli,2022-03-20,N,-1.6,Hellas Verona,1.6000000000000014,-1.2000000000000002,-0.2,-0.2,1.7999999999999972,1.0000000000000018,-1.4,-0.4,2.0,7.0,0.0
294,Juventus,2022-03-20,V,0.6000000000000001,Salernitana,-1.799999999999999,-0.20000000000000018,0.2,0.2,2.8000000000000043,0.0,0.0,0.0,9.0,0.0,1.0
295,Spezia,2022-04-02,V,0.20000000000000007,Venezia,-3.0,0.8000000000000003,0.0,0.0,-2.4000000000000057,-3.200000000000001,-0.3999999999999999,0.0,3.0,0.0,0.0
296,Salernitana,2022-04-02,P,0.4,Torino,0.5999999999999996,0.6000000000000001,0.0,0.0,-10.0,-4.400000000000002,-0.40000000000000013,0.0,0.0,9.0,2.0
297,Lazio,2022-04-02,V,-1.5999999999999999,Sassuolo,-4.199999999999999,-2.8000000000000003,-0.4,-0.4,6.800000000000004,-2.5999999999999996,0.20000000000000018,0.0,4.0,3.0,0.0
298,Juventus,2022-04-03,P,0.6000000000000001,Inter,-9.8,-2.8,0.2,0.2,-7.799999999999997,-0.40000000000000036,-0.19999999999999996,0.0,5.0,1.0,0.0
299,Udinese,2022-04-03,V,0.6,Cagliari,0.0,1.2000000000000002,0.0,0.0,-7.799999999999997,1.0,0.7999999999999998,0.2,5.0,3.0,1.0
