,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
39,Udinese,2021-09-20,P,0.0,Napoli,-2.666666666666666,0.33333333333333304,0.0,-0.3333333333333333,-17.0,2.666666666666666,-0.33333333333333326,-0.3333333333333333,0.0,7.0,2.0
40,Atalanta,2021-09-21,V,0.0,Sassuolo,-2.5,-2.25,0.25,0.25,-0.5,2.5,1.75,0.0,7.0,0.0,1.0
41,Fiorentina,2021-09-21,P,-2.0,Inter,-4.75,-2.75,0.5,0.5,3.75,3.0,1.75,0.25,0.0,4.0,2.0
42,Bologna,2021-09-21,N,0.0,Genoa,2.75,0.5,-0.25,-0.25,11.5,-0.75,1.0,0.5,2.0,4.0,1.0
43,Spezia,2021-09-22,P,0.25,Juventus,0.75,-0.5,0.0,0.0,1.0,-2.5,0.0,0.25,0.0,8.0,1.0
44,Cagliari,2021-09-22,P,1.0,Empoli,-5.25,-0.75,0.25,0.25,-7.75,2.75,0.75,0.25,6.0,1.0,1.0
45,Milan,2021-09-22,V,1.25,Venezia,4.5,0.25,0.25,0.5,9.0,-3.5,-3.75,0.0,8.0,0.0,1.0
46,Salernitana,2021-09-22,N,-1.0,Hellas Verona,-1.0,-1.0,0.0,0.0,-14.75,-1.0,-0.25,0.0,0.0,6.0,0.0
47,Sampdoria,2021-09-23,P,-1.25,Napoli,-3.0,-2.75,-0.25,-0.5,-15.5,4.25,1.0,-0.25,1.0,7.0,0.0
48,Roma,2021-09-23,V,1.25,Udinese,5.5,0.75,-0.25,-0.25,11.25,-2.25,0.5,0.25,6.0,2.0,1.0
49,Torino,2021-09-23,N,-1.0,Lazio,-0.25,-2.75,-0.25,-0.5,-11.0,8.75,1.25,0.0,2.0,4.0,1.0
50,Inter,2021-09-25,N,2.4000000000000004,Atalanta,2.4000000000000004,3.6,-0.2,-0.2,-2.8000000000000043,-0.8000000000000007,-0.7999999999999998,0.0,3.0,1.0,1.0
51,Spezia,2021-09-25,P,-0.6000000000000001,Milan,-3.1999999999999993,0.0,-0.2,-0.4,-9.200000000000003,-1.1999999999999993,1.0,0.2,1.0,7.0,2.0
52,Genoa,2021-09-25,N,-0.20000000000000018,Hellas Verona,-0.1999999999999993,0.3999999999999999,0.2,0.2,-7.600000000000001,-1.6000000000000014,0.0,-0.2,5.0,1.0,0.0
53,Lazio,2021-09-26,V,0.0,Roma,-3.8000000000000007,0.5999999999999996,0.4,0.6,5.600000000000001,-3.0,-0.8,-0.4,2.0,3.0,0.0
54,Udinese,2021-09-26,P,-0.40000000000000013,Fiorentina,0.5999999999999996,-0.5999999999999996,-0.2,-0.2,-12.0,-2.8000000000000007,-1.6,-0.4,1.0,5.0,0.0
55,Juventus,2021-09-26,V,0.3999999999999999,Sampdoria,0.8000000000000007,1.0,0.0,0.0,2.6000000000000014,-1.0,-1.0,0.0,6.0,2.0,1.0
56,Napoli,2021-09-26,V,1.4,Cagliari,5.0,4.2,-0.2,0.0,13.399999999999999,-3.1999999999999993,-1.1999999999999997,0.0,6.0,1.0,1.0
57,Sassuolo,2021-09-26,V,0.19999999999999996,Salernitana,4.200000000000001,2.4000000000000004,-0.2,-0.2,19.0,-2.4000000000000004,-1.2000000000000002,-0.2,8.0,0.0,1.0
58,Empoli,2021-09-26,V,-0.3999999999999999,Bologna,4.200000000000001,0.6000000000000001,0.0,0.0,-0.7999999999999972,-1.6000000000000014,-1.6,-0.4,1.0,7.0,0.0
59,Venezia,2021-09-27,N,-1.0,Torino,-4.800000000000001,-1.2000000000000002,0.0,0.0,-6.600000000000001,-3.400000000000002,1.4000000000000004,0.0,0.0,8.0,2.0
60,Cagliari,2021-10-01,N,0.19999999999999996,Venezia,-0.6000000000000014,-0.6000000000000001,0.0,0.0,-0.3999999999999986,-0.5999999999999996,-0.3999999999999999,0.2,8.0,0.0,1.0
61,Sassuolo,2021-10-02,P,-2.6,Inter,-1.8000000000000007,-2.3999999999999995,0.0,-0.2,5.600000000000001,-1.0,-0.7999999999999998,0.0,3.0,3.0,2.0
62,Torino,2021-10-02,P,0.0,Juventus,-3.0,-2.0000000000000004,-0.2,-0.2,2.0,5.199999999999999,1.4000000000000001,0.2,0.0,6.0,0.0
63,Salernitana,2021-10-02,V,-1.6,Genoa,1.1999999999999993,-1.0,-0.6,-0.6,-2.8000000000000043,-1.200000000000001,-0.6000000000000001,0.0,0.0,8.0,0.0
64,Atalanta,2021-10-03,P,-1.0000000000000002,Milan,-0.5999999999999979,0.20000000000000018,0.0,-0.2,-4.600000000000001,0.5999999999999996,2.4,0.0,3.0,2.0,0.0
65,Sampdoria,2021-10-03,N,0.5999999999999999,Udinese,-0.20000000000000107,-0.40000000000000036,0.0,0.0,2.799999999999997,1.4000000000000004,0.8,0.0,6.0,2.0,1.0
66,Hellas Verona,2021-10-03,V,0.6000000000000001,Spezia,-2.4000000000000004,0.3999999999999999,0.2,0.2,5.399999999999999,5.4,1.0,-0.2,5.0,0.0,1.0
67,Roma,2021-10-03,V,0.6000000000000001,Empoli,2.3999999999999986,0.40000000000000036,-0.2,-0.2,3.799999999999997,2.0,0.7999999999999998,0.2,8.0,0.0,1.0
68,Bologna,2021-10-03,V,-1.2,Lazio,-0.7999999999999989,-2.5999999999999996,0.0,0.0,-6.200000000000003,3.5999999999999996,0.7999999999999998,0.0,1.0,4.0,0.0
69,Fiorentina,2021-10-03,P,-1.1999999999999997,Napoli,-7.600000000000001,-3.9999999999999996,0.39999999999999997,0.39999999999999997,-7.200000000000003,3.0,1.5999999999999999,0.2,2.0,4.0,2.0
70,Lazio,2021-10-16,V,-1.8,Inter,-3.5999999999999996,-0.6000000000000005,0.0,-0.2,10.599999999999994,-2.4000000000000004,0.6000000000000001,0.2,2.0,4.0,2.0
71,Spezia,2021-10-16,V,0.4,Salernitana,1.200000000000001,0.6000000000000001,0.0,0.0,3.3999999999999986,-4.0,-1.2000000000000002,0.2,2.0,0.0,1.0
72,Milan,2021-10-16,V,-0.3999999999999999,Hellas Verona,7.4,0.20000000000000018,-0.2,0.0,4.399999999999999,-4.400000000000002,-0.7999999999999998,0.0,5.0,1.0,1.0
73,Napoli,2021-10-17,V,1.4,Torino,3.3999999999999986,3.1999999999999997,0.2,0.4,7.399999999999999,-8.0,-0.9999999999999998,-0.2,4.0,0.0,1.0
74,Juventus,2021-10-17,V,0.0,Roma,-2.799999999999999,0.7999999999999998,0.0,0.0,-4.799999999999997,1.3999999999999986,-1.1999999999999997,-0.2,4.0,2.0,1.0
75,Udinese,2021-10-17,N,-1.0,Bologna,-2.8000000000000007,0.19999999999999973,-0.2,-0.4,-7.799999999999997,0.6000000000000014,0.19999999999999973,0.0,4.0,1.0,0.0
76,Cagliari,2021-10-17,V,-1.0,Sampdoria,-2.0,-2.2,0.0,0.0,-9.200000000000003,0.1999999999999993,-1.0,0.2,2.0,3.0,1.0
77,Genoa,2021-10-17,N,1.0,Sassuolo,-0.5999999999999996,-1.3999999999999995,0.39999999999999997,0.39999999999999997,-8.800000000000004,3.400000000000002,1.2000000000000002,0.0,2.0,4.0,0.0
