,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
268,Inter,2020-06-24,N,-0.19999999999999996,Sassuolo,-2.799999999999999,-2.0,0.0,0.0,-38.00000000000006,-33.80000000000007,0.0,-5.800000000000004,3.4000000000000004,-0.40000000000000036,0.2,19_20,5.0,4.0
269,Roma,2020-06-24,V,0.8,Sampdoria,5.0,3.3999999999999995,-0.39999999999999997,-0.39999999999999997,112.80000000000001,100.0,3.0000000000000004,11.200000000000003,-5.6,-0.40000000000000036,0.2,19_20,5.0,2.0
270,Juventus,2020-06-26,V,0.19999999999999996,Lecce,7.600000000000001,0.9999999999999996,-0.2,-0.2,188.8,176.39999999999998,2.4000000000000004,15.600000000000001,3.4000000000000004,0.3999999999999999,0.2,19_20,9.0,0.0
271,Brescia,2020-06-27,N,-1.2000000000000002,Genoa,-3.4000000000000004,-1.2000000000000002,-0.39999999999999997,-0.6000000000000001,-142.39999999999998,-150.59999999999997,-1.0,-14.399999999999999,0.5999999999999996,0.19999999999999973,0.0,19_20,0.0,10.0
272,Cagliari,2020-06-27,V,0.19999999999999996,Torino,1.8000000000000007,1.0,0.0,0.0,57.80000000000001,55.400000000000034,1.7999999999999998,5.600000000000001,1.799999999999999,2.0000000000000004,0.0,19_20,3.0,3.0
273,Lazio,2020-06-27,V,0.3999999999999999,Fiorentina,-0.1999999999999993,-0.39999999999999947,-0.39999999999999997,-0.39999999999999997,27.600000000000023,20.400000000000034,-1.4000000000000004,-2.6000000000000014,-0.5999999999999996,-0.19999999999999973,-0.6,19_20,8.0,1.0
274,Parma,2020-06-28,P,-0.8,Inter,-2.6000000000000014,-0.20000000000000018,-0.2,-0.2,-123.40000000000003,-116.80000000000001,-2.0,-7.399999999999999,2.0,-0.6000000000000001,-0.4,19_20,1.0,7.0
275,Sampdoria,2020-06-28,P,0.8,Bologna,-2.4000000000000004,2.0,0.4,0.4,-99.19999999999999,-98.0,-1.7999999999999998,-10.399999999999999,1.8000000000000007,1.1999999999999997,-0.2,19_20,2.0,9.0
276,Napoli,2020-06-28,V,1.0,SPAL,3.4000000000000004,2.1999999999999997,-0.2,-0.2,258.8,251.8,1.9999999999999996,14.0,-9.6,-0.3999999999999999,0.0,19_20,9.0,0.0
277,Milan,2020-06-28,V,-0.8,Roma,-3.0,-3.5999999999999996,0.0,0.0,70.0,87.39999999999998,0.0,5.199999999999996,2.0,-1.0,-0.2,19_20,6.0,3.0
278,Sassuolo,2020-06-28,N,0.8,Hellas Verona,5.6,1.4000000000000004,0.2,0.2,159.00000000000006,143.2,0.20000000000000018,12.799999999999997,-1.200000000000001,1.4000000000000001,-0.2,19_20,8.0,2.0
279,Udinese,2020-06-28,P,-3.2,Atalanta,-2.0,-2.6000000000000005,0.0,0.0,-127.19999999999999,-112.39999999999998,2.2,-7.600000000000001,-1.5999999999999996,-0.20000000000000018,0.0,19_20,1.0,8.0
280,Torino,2020-06-30,P,-1.2000000000000002,Lazio,1.5999999999999996,-0.3999999999999999,-0.4,-0.2,-27.0,-16.80000000000001,-0.8000000000000003,0.3999999999999986,-0.7999999999999989,-0.9999999999999998,0.0,19_20,2.0,5.0
281,Genoa,2020-06-30,P,-0.3999999999999999,Juventus,-9.200000000000001,-2.4000000000000004,0.6,0.7999999999999999,-164.2,-139.20000000000005,-3.0,-8.199999999999996,1.0,-0.20000000000000018,0.0,19_20,2.0,8.0
282,Lecce,2020-07-01,P,-0.19999999999999996,Sampdoria,-4.4,-3.0,0.2,0.2,43.0,35.0,-2.4000000000000004,-1.3999999999999986,-8.4,-1.7999999999999998,0.0,19_20,0.0,9.0
283,Inter,2020-07-01,V,0.8,Brescia,8.399999999999999,1.9999999999999996,0.0,0.0,211.60000000000002,209.20000000000005,3.1999999999999997,21.0,1.1999999999999993,-0.20000000000000018,0.39999999999999997,19_20,11.0,0.0
284,Fiorentina,2020-07-01,P,-0.3999999999999999,Sassuolo,-2.5999999999999996,-1.0,0.39999999999999997,0.39999999999999997,-160.0,-154.79999999999995,-1.4000000000000004,-11.199999999999996,-2.1999999999999993,-0.3999999999999999,0.8,19_20,3.0,5.0
285,Hellas Verona,2020-07-01,V,-0.19999999999999996,Parma,-1.4000000000000004,-0.6000000000000001,0.0,0.0,51.39999999999998,55.19999999999999,1.9999999999999996,3.200000000000003,-2.0,-0.5999999999999999,0.0,19_20,8.0,3.0
286,SPAL,2020-07-01,N,-1.0,Milan,-4.0,-1.7999999999999998,0.2,0.2,-144.0,-155.40000000000003,-2.1999999999999997,-11.599999999999994,6.799999999999999,1.1999999999999997,0.0,19_20,0.0,10.0
287,Bologna,2020-07-01,N,-1.2000000000000002,Cagliari,4.6,-1.1999999999999997,0.0,-0.2,31.0,37.39999999999998,1.0,5.600000000000001,0.8000000000000007,-1.7999999999999998,0.2,19_20,3.0,5.0
288,Atalanta,2020-07-02,V,1.7999999999999998,Napoli,3.3999999999999986,1.7999999999999998,-0.2,-0.2,-112.0,-100.0,3.799999999999999,-3.0,3.0,1.0000000000000002,0.0,19_20,4.0,5.0
289,Roma,2020-07-02,P,1.6,Udinese,3.9999999999999982,3.3999999999999995,0.0,0.0,64.0,49.80000000000001,-1.2000000000000002,3.6000000000000014,-0.1999999999999993,0.8,0.0,19_20,8.0,2.0
290,Juventus,2020-07-04,V,1.4000000000000001,Torino,7.800000000000001,3.3999999999999995,0.2,0.0,199.2,187.60000000000002,3.6000000000000005,11.199999999999996,-1.1999999999999993,0.40000000000000013,0.2,19_20,8.0,0.0
291,Sassuolo,2020-07-04,V,1.8,Lecce,4.4,3.4,0.0,0.0,127.19999999999999,112.19999999999993,1.0,15.200000000000003,6.4,1.2000000000000002,-0.2,19_20,9.0,0.0
292,Lazio,2020-07-04,P,0.20000000000000018,Milan,-8.000000000000002,-2.2,0.0,0.0,-175.79999999999995,-187.59999999999997,-2.6000000000000005,-15.0,2.200000000000001,1.4000000000000001,0.0,19_20,4.0,6.0
293,Udinese,2020-07-05,N,-0.6000000000000001,Genoa,0.5999999999999996,-0.8000000000000003,-0.8,-1.0,-43.80000000000001,-49.200000000000045,2.3999999999999995,-3.0,-2.8000000000000007,0.0,-0.2,19_20,6.0,0.0
294,Cagliari,2020-07-05,P,-1.7999999999999998,Atalanta,-6.400000000000002,-3.0,0.2,0.4,-201.20000000000005,-193.0,-3.5999999999999996,-9.800000000000004,-0.1999999999999993,1.4,0.2,19_20,6.0,5.0
295,Parma,2020-07-05,P,0.8,Fiorentina,-2.0,-0.5999999999999996,-0.2,-0.2,-50.39999999999998,-47.0,-3.5999999999999996,-5.0,1.5999999999999996,0.0,-0.39999999999999997,19_20,2.0,5.0
296,Napoli,2020-07-05,V,-0.19999999999999996,Roma,-4.0,-0.7999999999999998,0.2,0.2,209.60000000000002,207.0,-2.8,11.200000000000003,1.1999999999999993,-1.2,-0.2,19_20,5.0,3.0
297,Inter,2020-07-05,P,1.8,Bologna,2.8000000000000007,3.1999999999999997,0.2,0.2,81.20000000000005,69.99999999999994,-0.7999999999999998,3.3999999999999986,-0.40000000000000213,1.0,0.6,19_20,7.0,3.0
298,Sampdoria,2020-07-05,V,0.3999999999999999,SPAL,4.3999999999999995,1.7999999999999998,0.19999999999999996,0.19999999999999996,-27.80000000000001,-11.800000000000011,3.1999999999999997,-0.3999999999999986,-0.6000000000000014,0.20000000000000018,-0.2,19_20,10.0,1.0
299,Brescia,2020-07-05,V,-1.0,Hellas Verona,-0.8000000000000007,-0.8000000000000003,0.0,0.0,-90.19999999999999,-94.80000000000001,-1.0,-8.200000000000003,1.5999999999999996,1.4000000000000001,-0.2,19_20,1.0,8.0
300,Lecce,2020-07-07,V,-0.40000000000000013,Lazio,-1.1999999999999993,-0.7999999999999998,0.39999999999999997,0.39999999999999997,-40.80000000000001,-47.0,-0.6000000000000005,-6.799999999999997,-3.400000000000002,-0.5999999999999999,0.2,19_20,1.0,10.0
301,Milan,2020-07-07,V,-0.6000000000000001,Juventus,0.1999999999999993,-0.20000000000000018,0.0,0.0,22.199999999999932,45.19999999999993,0.20000000000000018,3.8000000000000043,0.5999999999999996,-1.4000000000000001,-0.2,19_20,2.0,7.0
302,Atalanta,2020-07-08,V,1.0,Sampdoria,4.200000000000001,1.8000000000000007,-0.2,-0.2,245.79999999999995,231.8,0.5999999999999996,18.199999999999996,-1.0,-0.19999999999999973,0.0,19_20,5.0,4.0
303,Roma,2020-07-08,V,-0.40000000000000013,Parma,3.8000000000000007,1.3999999999999995,-0.2,-0.2,70.19999999999999,61.60000000000002,4.6,1.7999999999999972,-2.200000000000001,0.20000000000000018,0.0,19_20,8.0,3.0
304,Torino,2020-07-08,V,0.19999999999999996,Brescia,4.6,1.0,0.2,0.39999999999999997,90.80000000000001,90.0,1.4000000000000004,9.800000000000004,-1.200000000000001,-2.0,0.0,19_20,11.0,0.0
305,Bologna,2020-07-08,P,-1.7999999999999998,Sassuolo,2.799999999999999,-2.4,-0.39999999999999997,-0.39999999999999997,-110.59999999999997,-100.19999999999993,1.0,-6.400000000000006,-0.1999999999999993,0.19999999999999973,0.2,19_20,4.0,5.0
306,Fiorentina,2020-07-08,N,-0.3999999999999999,Cagliari,2.0,1.4000000000000004,0.2,0.2,80.80000000000001,65.39999999999998,-0.40000000000000036,8.200000000000003,1.0,0.0,0.0,19_20,3.0,4.0
307,Genoa,2020-07-08,P,-0.19999999999999996,Napoli,-7.000000000000002,-4.8,0.6,1.0,-217.0,-191.60000000000002,-1.5999999999999996,-11.600000000000001,4.0,1.0,0.2,19_20,1.0,7.0
308,SPAL,2020-07-09,P,-0.3999999999999999,Udinese,-2.8000000000000007,-0.8000000000000003,0.2,0.2,-29.0,-35.0,-1.6000000000000005,-2.8000000000000043,3.4000000000000004,0.0,0.2,19_20,1.0,6.0
309,Hellas Verona,2020-07-09,N,-1.1999999999999997,Inter,-8.2,-2.5999999999999996,-0.2,-0.39999999999999997,-108.39999999999998,-106.80000000000001,-2.0,-14.199999999999996,-3.5999999999999996,-1.6,-0.39999999999999997,19_20,0.0,10.0
310,Brescia,2020-07-11,P,0.19999999999999996,Roma,-6.6,-1.7999999999999998,0.2,0.2,-167.59999999999997,-153.39999999999998,-3.8,-9.0,2.8000000000000007,0.20000000000000018,-0.2,19_20,0.0,11.0
311,Juventus,2020-07-11,N,0.7999999999999998,Atalanta,1.3999999999999986,-0.40000000000000036,0.2,0.2,-37.400000000000034,-47.39999999999998,-0.6000000000000005,-4.0,-1.8000000000000007,0.40000000000000013,0.2,19_20,3.0,2.0
312,Lazio,2020-07-11,P,-1.6,Sassuolo,-0.40000000000000036,-1.5999999999999996,-0.39999999999999997,-0.39999999999999997,-54.799999999999955,-32.200000000000045,0.20000000000000018,-7.199999999999996,-2.3999999999999986,0.3999999999999999,0.2,19_20,6.0,3.0
313,Genoa,2020-07-12,V,0.7999999999999999,SPAL,-1.0,0.19999999999999973,0.6,1.0,-8.199999999999989,-1.0,-1.2000000000000002,1.7999999999999972,2.0,0.20000000000000018,-0.2,19_20,5.0,1.0
314,Fiorentina,2020-07-12,N,-0.6000000000000001,Hellas Verona,2.5999999999999996,0.6000000000000005,0.2,0.2,48.80000000000001,34.0,-0.39999999999999947,5.600000000000001,2.8000000000000007,1.9999999999999998,0.4,19_20,4.0,3.0
315,Udinese,2020-07-12,P,0.40000000000000013,Sampdoria,-3.4000000000000004,-1.4,-0.4,-0.4,112.19999999999999,100.19999999999999,-2.5999999999999996,7.200000000000003,-5.999999999999998,-0.5999999999999999,0.0,19_20,3.0,7.0
316,Cagliari,2020-07-12,N,0.0,Lecce,-0.8000000000000007,1.0,-0.39999999999999997,-0.6000000000000001,-67.80000000000001,-56.599999999999966,-0.40000000000000036,-2.1999999999999957,2.200000000000001,0.6000000000000001,0.0,19_20,8.0,0.0
317,Parma,2020-07-12,N,0.6000000000000001,Bologna,-2.8000000000000007,0.20000000000000018,0.2,0.2,12.199999999999989,2.8000000000000114,-5.0,-4.200000000000003,-2.1999999999999993,0.3999999999999999,0.0,19_20,0.0,7.0
318,Napoli,2020-07-12,N,-1.2,Milan,-0.1999999999999993,0.7999999999999989,-0.6,-0.6,75.0,71.60000000000002,0.0,2.0,-2.8000000000000007,-0.8,0.0,19_20,4.0,2.0
319,Inter,2020-07-13,V,1.1999999999999997,Torino,6.0,3.0,0.0,0.19999999999999996,69.60000000000002,76.80000000000001,2.5999999999999996,9.600000000000001,-0.40000000000000213,1.5999999999999999,0.6,19_20,6.0,2.0
320,Atalanta,2020-07-14,V,1.0,Brescia,3.5999999999999996,2.4,0.2,0.2,263.0,256.59999999999997,2.8,17.4,1.1999999999999993,-0.8,0.0,19_20,11.0,0.0
321,Roma,2020-07-15,V,-0.6000000000000001,Hellas Verona,5.0,0.8000000000000003,-0.2,-0.2,95.0,69.39999999999998,1.7999999999999998,3.3999999999999986,1.200000000000001,1.2000000000000002,0.2,19_20,8.0,2.0
322,Milan,2020-07-15,V,1.2000000000000002,Parma,3.6000000000000014,2.9999999999999996,0.4,0.4,147.39999999999998,142.59999999999997,2.8000000000000003,8.799999999999997,-0.40000000000000036,-0.19999999999999973,0.0,19_20,9.0,0.0
323,Sassuolo,2020-07-15,N,-0.20000000000000018,Juventus,-3.0,-0.7999999999999998,-0.19999999999999996,-0.19999999999999996,-40.799999999999955,-35.799999999999955,-0.39999999999999947,4.0,1.4000000000000004,0.6000000000000001,0.0,19_20,1.0,7.0
324,Udinese,2020-07-15,N,0.8,Lazio,-3.5999999999999996,-0.3999999999999999,-0.2,-0.2,-14.800000000000011,-21.399999999999977,-3.0,-4.600000000000001,-1.5999999999999996,-1.6,-0.2,19_20,1.0,7.0
325,Lecce,2020-07-15,P,0.0,Fiorentina,1.1999999999999993,0.6000000000000001,0.0,0.19999999999999996,-41.400000000000034,-46.0,1.2000000000000002,-7.0,-5.199999999999999,-1.4,0.0,19_20,2.0,9.0
326,Bologna,2020-07-15,N,-0.19999999999999996,Napoli,-5.199999999999999,-4.0,0.2,0.2,-260.6,-247.79999999999995,-0.6000000000000005,-9.800000000000004,6.399999999999999,1.4000000000000001,0.2,19_20,3.0,7.0
327,Sampdoria,2020-07-15,V,0.8,Cagliari,3.0,0.7999999999999998,0.2,0.2,13.600000000000023,27.400000000000034,3.5999999999999996,2.6000000000000014,3.4000000000000004,0.5999999999999996,-0.2,19_20,3.0,5.0
328,SPAL,2020-07-16,P,-2.1999999999999997,Inter,-12.200000000000001,-5.4,-0.2,-0.4,-102.19999999999999,-96.39999999999998,-1.8000000000000007,-17.4,-1.799999999999999,-1.4000000000000001,-0.2,19_20,0.0,10.0
329,Torino,2020-07-16,V,0.0,Genoa,4.399999999999999,0.0,0.0,-0.4,26.399999999999977,6.800000000000011,-0.8000000000000007,3.799999999999997,2.0,-0.8000000000000003,0.0,19_20,8.0,1.0
330,Milan,2020-07-18,V,1.4,Bologna,4.600000000000001,2.2,0.6,0.6,133.79999999999995,124.40000000000003,-0.7999999999999998,7.0,-5.600000000000001,-0.20000000000000018,0.0,19_20,9.0,0.0
331,Cagliari,2020-07-18,N,-2.5999999999999996,Sassuolo,-2.1999999999999993,-2.8000000000000003,-0.4,-0.4,-146.0,-132.0,-0.5999999999999996,-14.0,-0.40000000000000036,-1.0,0.2,19_20,1.0,2.0
332,Hellas Verona,2020-07-18,N,-1.2000000000000002,Atalanta,-4.4,-1.7999999999999998,0.0,0.0,-162.2,-138.39999999999998,1.3999999999999995,-4.799999999999997,-3.1999999999999993,0.8000000000000003,0.0,19_20,2.0,8.0
333,Roma,2020-07-19,N,-1.6,Inter,-1.0,-2.4000000000000004,0.0,-0.2,-59.599999999999966,-72.00000000000006,-0.6000000000000005,-11.399999999999999,2.0,0.6000000000000001,0.0,19_20,0.0,4.0
334,Parma,2020-07-19,P,-0.8000000000000003,Sampdoria,-1.0,-1.6000000000000005,0.0,0.0,15.199999999999989,8.399999999999977,-2.1999999999999997,4.600000000000001,-2.599999999999998,0.0,0.0,19_20,2.0,8.0
335,Napoli,2020-07-19,V,-0.20000000000000018,Udinese,5.599999999999998,3.0,0.0,0.0,146.60000000000002,141.8,1.6000000000000005,9.199999999999996,-2.1999999999999993,-0.6000000000000001,0.0,19_20,9.0,0.0
336,Fiorentina,2020-07-19,V,-0.40000000000000013,Torino,0.0,0.40000000000000036,0.0,0.19999999999999996,74.40000000000003,73.0,-0.20000000000000018,5.400000000000006,-5.199999999999999,1.5999999999999999,0.0,19_20,5.0,3.0
337,Brescia,2020-07-19,V,0.6,SPAL,0.40000000000000036,2.4,0.0,0.0,-75.59999999999997,-84.80000000000001,-2.2,-6.399999999999999,0.6000000000000014,0.19999999999999996,-0.2,19_20,3.0,4.0
338,Genoa,2020-07-19,V,0.0,Lecce,-4.0,0.0,-0.4,-0.19999999999999996,-15.199999999999989,5.0,-1.2000000000000002,1.1999999999999957,2.799999999999999,-0.3999999999999999,0.0,19_20,9.0,0.0
339,Juventus,2020-07-20,V,1.9999999999999998,Lazio,1.8000000000000007,1.5999999999999996,0.4,0.4,64.39999999999998,50.0,-0.39999999999999947,1.5999999999999943,-0.1999999999999993,-0.19999999999999973,-0.2,19_20,6.0,3.0
340,Sassuolo,2020-07-21,P,-1.0,Milan,0.20000000000000107,-1.1999999999999993,-0.39999999999999997,-0.39999999999999997,90.60000000000002,85.0,2.0,11.0,-0.7999999999999989,0.6000000000000001,-0.2,19_20,2.0,6.0
341,Atalanta,2020-07-21,V,1.0,Bologna,5.600000000000001,2.1999999999999997,0.2,0.2,193.40000000000003,193.59999999999997,-1.3999999999999995,14.200000000000003,-1.7999999999999972,-0.19999999999999996,-0.2,19_20,7.0,2.0
342,Parma,2020-07-22,V,-0.40000000000000013,Napoli,-6.199999999999999,-4.6000000000000005,0.4,0.4,-215.60000000000002,-211.0,-1.5999999999999996,-9.200000000000003,3.8000000000000007,0.20000000000000018,0.0,19_20,3.0,8.0
343,Torino,2020-07-22,N,0.6000000000000001,Hellas Verona,2.3999999999999986,-0.20000000000000018,0.2,0.2,-8.0,-39.19999999999999,-1.4000000000000004,-4.800000000000004,5.6,-0.20000000000000018,0.0,19_20,4.0,1.0
344,Lecce,2020-07-22,V,-0.19999999999999996,Brescia,2.5999999999999996,-1.0,0.2,0.6,84.0,64.39999999999998,1.7999999999999998,3.6000000000000014,-0.7999999999999989,0.9999999999999998,0.0,19_20,1.0,2.0
345,Inter,2020-07-22,N,0.7999999999999998,Fiorentina,2.5999999999999996,1.5999999999999996,-0.2,-0.19999999999999996,36.0,47.60000000000002,3.3999999999999995,8.399999999999999,0.8000000000000007,0.0,0.2,19_20,5.0,0.0
346,Sampdoria,2020-07-22,P,1.0,Genoa,3.5999999999999996,0.39999999999999947,0.0,-0.4,-31.80000000000001,-36.0,1.2000000000000002,-5.199999999999996,-0.40000000000000036,0.19999999999999996,0.0,19_20,6.0,1.0
347,SPAL,2020-07-22,P,-1.8,Roma,-4.4,-2.8,-0.2,-0.2,1.3999999999999773,24.0,-0.8000000000000007,1.0,-4.800000000000001,-1.8000000000000003,0.0,19_20,2.0,9.0
348,Lazio,2020-07-23,V,0.39999999999999997,Cagliari,1.8000000000000007,0.6000000000000001,0.2,0.2,85.19999999999999,87.19999999999993,2.8000000000000003,8.399999999999999,-0.40000000000000036,0.0,-0.2,19_20,9.0,0.0
349,Udinese,2020-07-23,V,-1.2000000000000002,Juventus,-7.0,-1.4,-0.6,-0.6,-69.0,-54.19999999999999,-1.2000000000000002,-6.200000000000003,-1.799999999999999,-1.4,0.0,19_20,1.0,9.0
350,Milan,2020-07-24,N,0.8000000000000003,Atalanta,0.5999999999999979,1.2000000000000002,0.4,0.4,-48.400000000000034,-70.20000000000005,-0.39999999999999947,-5.0,0.8000000000000007,1.0,0.2,19_20,4.0,4.0
351,Napoli,2020-07-25,V,-0.19999999999999996,Sassuolo,2.400000000000002,1.6000000000000005,0.0,0.0,87.60000000000002,92.79999999999995,-1.2000000000000002,1.2000000000000028,-2.4000000000000004,-1.8,-0.2,19_20,6.0,1.0
352,Genoa,2020-07-25,P,-0.8000000000000003,Inter,-5.800000000000001,-1.3999999999999995,0.0,0.2,-91.80000000000001,-89.40000000000003,-3.4000000000000004,-10.800000000000004,1.5999999999999979,-0.7999999999999998,0.0,19_20,1.0,9.0
353,Brescia,2020-07-25,P,-0.40000000000000013,Parma,1.4000000000000004,1.6,-0.6,-0.6,-37.19999999999999,-28.200000000000045,1.0,-2.200000000000003,2.8000000000000007,0.0,0.0,19_20,0.0,5.0
354,Roma,2020-07-26,V,1.8,Fiorentina,4.4,2.0,0.2,0.0,-16.399999999999977,-22.0,1.8000000000000007,-0.3999999999999986,4.799999999999999,0.19999999999999973,0.0,19_20,7.0,2.0
355,SPAL,2020-07-26,N,-1.2000000000000002,Torino,-0.7999999999999989,-1.4,0.0,0.0,15.399999999999977,15.800000000000011,-0.8000000000000003,-1.1999999999999957,-6.999999999999998,-1.0,0.2,19_20,2.0,6.0
356,Cagliari,2020-07-26,P,-0.9999999999999999,Udinese,1.1999999999999993,0.0,0.0,0.0,-53.0,-47.19999999999999,-1.2000000000000002,-1.2000000000000028,-0.40000000000000036,0.6000000000000001,0.2,19_20,3.0,7.0
357,Bologna,2020-07-26,V,-0.3999999999999999,Lecce,-5.0,-2.1999999999999997,0.0,-0.4,-29.19999999999999,-11.800000000000011,-1.2000000000000002,-0.20000000000000284,7.199999999999999,-0.7999999999999998,0.0,19_20,11.0,0.0
358,Hellas Verona,2020-07-26,P,0.19999999999999996,Lazio,-5.800000000000001,-1.6,0.0,0.0,-72.19999999999999,-40.400000000000034,-3.0,-1.0,1.0,-0.3999999999999999,-0.2,19_20,2.0,6.0
359,Juventus,2020-07-26,V,0.0,Sampdoria,0.6000000000000014,0.0,0.6,0.6,122.59999999999997,100.20000000000005,-0.6000000000000005,5.199999999999996,1.0,0.20000000000000018,0.0,19_20,9.0,2.0
360,Inter,2020-07-28,V,0.7999999999999998,Napoli,-2.200000000000001,-0.40000000000000036,0.0,0.0,-108.0,-99.79999999999995,3.0,0.7999999999999972,4.6,1.2000000000000002,0.0,19_20,6.0,1.0
361,Parma,2020-07-28,P,-0.40000000000000013,Atalanta,-3.0,-1.8000000000000003,0.4,0.2,-78.60000000000002,-96.19999999999999,-0.1999999999999993,-6.199999999999996,-3.8000000000000007,-0.6000000000000001,0.0,19_20,0.0,11.0
362,Cagliari,2020-07-29,V,-1.6,Juventus,-4.399999999999999,-1.4,-0.6,-0.8,-170.0,-159.79999999999995,-2.0,-10.399999999999999,-2.4000000000000004,-1.2000000000000002,0.2,19_20,1.0,10.0
363,Sampdoria,2020-07-29,P,-0.6000000000000001,Milan,-0.7999999999999989,-1.0,-0.2,-0.2,-41.400000000000034,-34.200000000000045,1.0,-4.200000000000003,-5.200000000000001,0.3999999999999999,0.0,19_20,2.0,6.0
364,Udinese,2020-07-29,P,-0.3999999999999999,Lecce,-6.799999999999999,-1.7999999999999998,0.0,-0.2,-58.60000000000002,-61.60000000000002,-0.8000000000000007,-7.399999999999999,4.0,-0.3999999999999999,0.0,19_20,10.0,1.0
365,Hellas Verona,2020-07-29,V,0.4,SPAL,1.200000000000001,1.7999999999999998,0.4,0.4,36.0,66.0,4.8,7.600000000000001,0.20000000000000107,0.40000000000000013,-0.2,19_20,7.0,3.0
366,Torino,2020-07-29,P,-1.8,Roma,-5.0,-1.7999999999999998,-0.6,-0.6,-76.19999999999999,-62.60000000000002,-1.2000000000000002,-6.0,3.599999999999998,1.1999999999999997,0.0,19_20,3.0,8.0
367,Sassuolo,2020-07-29,V,0.19999999999999996,Genoa,2.5999999999999996,-0.6000000000000001,0.0,-0.2,143.40000000000003,120.00000000000006,1.6,8.399999999999999,-3.5999999999999996,0.9999999999999998,0.2,19_20,4.0,3.0
368,Fiorentina,2020-07-29,V,0.0,Bologna,-2.1999999999999993,-1.0000000000000004,0.0,0.2,-58.39999999999998,-62.39999999999998,-1.0,-4.0,-5.999999999999998,1.4000000000000001,0.0,19_20,5.0,0.0
369,Lazio,2020-07-29,V,0.6000000000000001,Brescia,0.40000000000000036,-0.20000000000000018,0.6,0.6,73.19999999999999,71.19999999999999,1.0,7.0,-1.5999999999999996,1.0,0.0,19_20,11.0,0.0
370,Atalanta,2020-08-01,P,0.0,Inter,3.799999999999999,0.7999999999999998,-0.2,0.0,-5.599999999999966,8.799999999999955,-2.0,0.19999999999999574,1.4000000000000004,-0.7999999999999998,0.0,19_20,1.0,3.0
371,Napoli,2020-08-01,V,-0.8,Lazio,1.1999999999999993,-1.5999999999999996,-0.39999999999999997,-0.39999999999999997,154.0,148.60000000000002,-2.0,5.199999999999996,-2.8000000000000007,-0.6000000000000001,0.0,19_20,8.0,3.0
372,Milan,2020-08-01,V,2.2,Cagliari,8.999999999999998,3.8000000000000003,0.0,0.0,117.0,118.80000000000007,3.0,13.0,2.200000000000001,-0.40000000000000013,-0.2,19_20,9.0,0.0
373,Brescia,2020-08-01,N,-0.40000000000000013,Sampdoria,-3.0,-0.5999999999999996,0.0,-0.2,-39.400000000000034,-40.400000000000034,1.0,-2.3999999999999986,0.8000000000000007,-0.40000000000000013,-0.2,19_20,0.0,10.0
374,Juventus,2020-08-01,P,-1.4,Roma,5.800000000000001,1.6000000000000005,-0.6000000000000001,-0.4,142.20000000000005,138.8,0.1999999999999993,8.599999999999994,-1.200000000000001,0.9999999999999998,0.0,19_20,7.0,2.0
375,Genoa,2020-08-02,V,-0.5999999999999999,Hellas Verona,-2.8000000000000007,-2.2,-0.2,-0.2,-14.200000000000045,-31.799999999999955,-3.6000000000000005,-6.799999999999997,-0.40000000000000036,-0.19999999999999996,0.0,19_20,5.0,3.0
376,SPAL,2020-08-02,P,-1.4,Fiorentina,-0.5999999999999996,-1.2000000000000002,0.0,-0.2,-9.399999999999977,-8.600000000000023,-2.0,1.3999999999999986,-0.40000000000000036,-0.7999999999999998,0.2,19_20,0.0,9.0
377,Bologna,2020-08-02,N,-0.3999999999999999,Torino,3.0,0.20000000000000018,0.0,0.0,77.60000000000002,77.20000000000005,0.0,4.600000000000001,-0.5999999999999979,-1.4000000000000001,0.0,19_20,1.0,4.0
378,Sassuolo,2020-08-02,P,1.0,Udinese,2.4000000000000004,0.5999999999999996,0.2,0.2,146.60000000000002,147.79999999999995,0.0,15.0,-2.0,1.0,0.2,19_20,1.0,6.0
379,Lecce,2020-08-02,P,0.19999999999999996,Parma,4.000000000000002,2.3999999999999995,-0.2,0.0,72.79999999999995,71.99999999999994,2.2,4.400000000000006,-0.5999999999999996,1.2000000000000002,0.0,19_20,0.0,7.0
380,Fiorentina,2020-09-19,V,1.0,Torino,3.1999999999999993,0.39999999999999947,0.2,0.2,-12.800000000000011,-19.599999999999966,0.0,-2.200000000000003,-1.1999999999999993,-0.5999999999999996,0.0,20_21,5.0,3.0
381,Hellas Verona,2020-09-19,V,-2.0,Roma,0.7999999999999989,0.40000000000000036,-0.4,-0.4,-39.0,-3.7999999999999545,1.0,5.800000000000004,0.5999999999999996,-0.40000000000000013,0.2,20_21,2.0,8.0
382,Parma,2020-09-20,P,0.6000000000000001,Napoli,-4.600000000000001,-0.8000000000000007,0.0,0.0,-211.39999999999998,-207.2,-1.1999999999999997,-12.0,2.4000000000000004,-0.40000000000000013,0.0,20_21,3.0,8.0
383,Genoa,2020-09-20,V,3.0,Crotone,2.0,3.0,0.0,0.0,-31.0,-27.0,2.0,-2.0,-3.0,2.0,0.0,20_21,10.0,0.0
384,Sassuolo,2020-09-20,N,0.5999999999999999,Cagliari,5.6,1.4,0.2,0.2,257.59999999999997,245.60000000000002,2.4000000000000004,22.6,-0.1999999999999993,-0.3999999999999999,0.0,20_21,2.0,1.0
