,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
34,Sampdoria,2019-09-22,V,-1.6666666666666667,Torino,-0.6666666666666679,-0.33333333333333304,0.0,0.0,17.333333333333314,5.0,0.0,-8.0,-3.9999999999999982,0.0,0.3333333333333333,19_20,3.0,4.0
35,Bologna,2019-09-22,P,-0.6666666666666665,Roma,3.0,0.33333333333333304,0.0,0.0,88.0,102.0,3.333333333333333,15.333333333333329,0.0,1.6666666666666665,0.0,19_20,3.0,5.0
36,Lazio,2019-09-22,V,0.3333333333333335,Parma,4.999999999999998,2.666666666666667,0.3333333333333333,0.3333333333333333,63.0,52.66666666666663,1.333333333333333,4.0,-1.0,1.3333333333333333,0.0,19_20,10.0,0.0
37,Atalanta,2019-09-22,N,1.0000000000000002,Fiorentina,4.0,3.666666666666666,-0.3333333333333333,-0.3333333333333333,17.666666666666686,26.0,2.333333333333333,8.0,-1.3333333333333357,0.33333333333333326,0.0,19_20,4.0,3.0
38,Sassuolo,2019-09-22,V,1.0000000000000002,SPAL,4.0,4.333333333333334,0.0,0.0,215.0,200.99999999999994,0.0,18.666666666666664,-1.0,-1.0,0.0,19_20,8.0,0.0
39,Lecce,2019-09-22,P,-2.3333333333333335,Napoli,-2.0,-2.9999999999999996,-0.3333333333333333,-0.3333333333333333,-209.66666666666663,-211.66666666666669,-1.666666666666667,-17.0,2.666666666666666,0.3333333333333335,0.3333333333333333,19_20,1.0,9.0
40,Hellas Verona,2019-09-24,N,0.25,Udinese,-5.0,-3.5,0.0,0.25,-101.75,-101.5,-2.0,-9.5,0.25,1.25,0.5,19_20,2.0,5.0
41,Brescia,2019-09-24,P,-0.5,Juventus,-5.0,-1.0,0.0,0.0,-203.75,-172.25,2.5,-16.0,1.5,0.75,0.25,19_20,0.0,10.0
42,Fiorentina,2019-09-25,V,1.0,Sampdoria,3.0,-0.25,0.25,0.25,32.5,31.5,-0.25,5.75,2.25,0.25,-0.25,19_20,3.0,5.0
43,Inter,2019-09-25,V,0.5,Lazio,-1.75,-1.0,0.0,0.0,64.25,72.25,-1.5,3.5,2.75,-0.75,0.0,19_20,5.0,3.0
44,Napoli,2019-09-25,P,1.5,Cagliari,8.0,3.75,0.5,0.5,229.25,205.5,1.0,13.75,-3.5,-0.25,0.0,19_20,7.0,1.0
45,Roma,2019-09-25,P,0.25,Atalanta,-4.75,-2.5,0.0,0.0,1.75,-10.5,-4.25,-4.0,0.0,1.25,0.25,19_20,3.0,4.0
46,Genoa,2019-09-25,N,0.0,Bologna,-2.5,-1.0,0.0,0.0,-77.75,-72.25,-2.25,-8.5,-1.0,-2.0,0.0,19_20,4.0,3.0
47,Parma,2019-09-25,V,-1.5,Sassuolo,-5.75,-3.0,0.0,0.0,-161.75,-152.5,1.0,-14.75,0.25,-0.25,0.0,19_20,3.0,5.0
48,SPAL,2019-09-25,P,0.25,Lecce,-3.25,-0.5,-0.25,-0.25,-16.25,-5.25,1.0,2.0,-0.25,-0.5,-0.25,19_20,4.0,2.0
49,Torino,2019-09-26,V,1.0,Milan,-3.0,1.5,0.0,0.0,-181.5,-167.75,1.75,-10.75,2.5,-0.75,-0.25,19_20,2.0,4.0
50,Sampdoria,2019-09-28,P,-1.4,Inter,-5.199999999999999,-1.7999999999999998,0.0,0.0,-242.8,-242.59999999999997,-1.0,-19.200000000000003,1.5999999999999996,0.9999999999999998,0.4,19_20,1.0,8.0
51,Juventus,2019-09-28,V,0.8,SPAL,1.5999999999999996,1.0,0.2,0.2,141.60000000000002,135.60000000000002,-3.2,10.800000000000004,0.1999999999999993,0.0,0.0,19_20,8.0,1.0
52,Sassuolo,2019-09-28,P,-0.20000000000000018,Atalanta,-5.200000000000001,-0.7999999999999998,-0.2,-0.2,110.39999999999998,96.60000000000002,-3.2,5.600000000000001,-1.3999999999999986,0.19999999999999996,0.0,19_20,1.0,8.0
53,Lazio,2019-09-29,V,0.0,Genoa,5.599999999999998,3.5999999999999996,-0.2,-0.2,102.60000000000002,82.0,2.3999999999999995,0.6000000000000014,-3.3999999999999986,0.20000000000000018,0.0,19_20,7.0,2.0
54,Lecce,2019-09-29,P,-0.8,Roma,-2.8000000000000007,-1.6,0.39999999999999997,0.39999999999999997,-67.39999999999998,-78.39999999999998,-1.6,-10.399999999999999,-1.8000000000000007,0.0,0.0,19_20,0.0,10.0
55,Milan,2019-09-29,P,-1.0,Fiorentina,-2.599999999999998,-2.8,0.0,0.0,129.8,130.20000000000005,-0.6000000000000005,12.800000000000004,0.0,0.40000000000000036,0.4,19_20,5.0,3.0
56,Udinese,2019-09-29,V,-0.9999999999999999,Bologna,-2.4000000000000004,1.6000000000000005,-0.4,-0.6,-69.80000000000001,-57.19999999999999,-1.0,-13.0,1.3999999999999986,-1.5999999999999996,0.2,19_20,4.0,1.0
57,Cagliari,2019-09-29,N,1.0,Hellas Verona,-0.1999999999999993,0.0,0.0,-0.2,25.400000000000034,24.0,0.0,2.799999999999997,0.5999999999999996,0.3999999999999999,-0.6,19_20,3.0,4.0
58,Napoli,2019-09-29,V,1.4000000000000001,Brescia,11.399999999999999,3.5999999999999996,0.2,0.2,316.40000000000003,291.2,2.2,24.0,-4.600000000000001,0.0,0.0,19_20,10.0,0.0
59,Parma,2019-09-30,V,-0.6000000000000001,Torino,-0.20000000000000107,0.0,-0.2,0.0,0.19999999999998863,-11.199999999999989,0.0,-6.399999999999999,-1.3999999999999986,-0.19999999999999973,0.0,19_20,2.0,6.0
60,SPAL,2019-10-05,V,-1.0,Parma,-0.1999999999999993,-1.0,0.0,-0.4,15.0,9.600000000000023,0.20000000000000018,-0.4000000000000057,-3.200000000000001,0.19999999999999973,0.0,19_20,6.0,2.0
61,Hellas Verona,2019-10-05,V,-0.20000000000000007,Sampdoria,-1.4000000000000004,0.0,-0.2,0.0,41.0,54.39999999999998,-0.40000000000000036,8.600000000000001,1.0000000000000018,-0.19999999999999973,0.0,19_20,1.0,7.0
62,Genoa,2019-10-05,P,0.0,Milan,0.0,1.0,-0.2,-0.2,-150.8,-136.20000000000005,1.8000000000000007,-9.0,-0.8000000000000007,-0.3999999999999999,-0.6,19_20,1.0,7.0
63,Bologna,2019-10-06,N,-0.40000000000000013,Lazio,-1.4000000000000021,-2.3999999999999995,0.0,0.2,-62.400000000000034,-47.0,-0.20000000000000018,5.799999999999997,4.600000000000001,1.4,0.2,19_20,2.0,5.0
64,Inter,2019-10-06,P,-0.19999999999999996,Juventus,-0.20000000000000107,0.39999999999999947,0.0,0.0,10.399999999999977,21.199999999999932,1.5999999999999996,-0.6000000000000014,-2.200000000000001,0.19999999999999973,0.2,19_20,2.0,5.0
65,Atalanta,2019-10-06,V,1.2,Lecce,6.6,2.1999999999999997,-0.39999999999999997,-0.39999999999999997,92.80000000000001,105.80000000000001,3.4000000000000004,12.199999999999996,-0.40000000000000036,-1.0,0.0,19_20,10.0,0.0
66,Torino,2019-10-06,N,-0.6000000000000001,Napoli,-12.999999999999998,-3.6,0.2,0.2,-224.8,-207.79999999999995,-2.8,-9.400000000000006,6.199999999999999,0.0,0.0,19_20,0.0,6.0
67,Roma,2019-10-06,N,-0.19999999999999996,Cagliari,5.4,0.6000000000000001,0.2,0.4,133.0,128.2,3.2,12.400000000000006,0.20000000000000284,0.40000000000000036,0.2,19_20,7.0,1.0
68,Fiorentina,2019-10-06,V,1.2000000000000002,Udinese,3.4000000000000004,0.0,0.4,0.6,35.80000000000001,17.19999999999999,0.7999999999999998,0.5999999999999943,-2.599999999999998,0.40000000000000036,-0.2,19_20,6.0,2.0
69,Juventus,2019-10-19,V,0.20000000000000018,Bologna,2.8000000000000007,1.0,0.0,-0.2,138.0,129.79999999999995,-1.4000000000000004,3.4000000000000057,-3.1999999999999993,-2.0,-0.4,19_20,9.0,0.0
70,Lazio,2019-10-19,N,-0.8,Atalanta,-5.400000000000002,-0.7999999999999998,0.0,0.2,-9.400000000000034,-17.40000000000009,0.20000000000000018,-3.3999999999999986,-2.200000000000001,0.3999999999999999,0.2,19_20,1.0,4.0
71,Napoli,2019-10-19,V,0.8,Hellas Verona,11.799999999999999,3.2,0.2,0.0,253.8,230.60000000000002,2.3999999999999995,15.800000000000004,-7.399999999999999,-0.20000000000000018,-0.2,19_20,7.0,1.0
72,Udinese,2019-10-20,V,-0.8,Torino,-0.1999999999999993,0.3999999999999999,-0.4,-0.4,-30.799999999999955,-23.0,-1.0,-5.400000000000006,3.400000000000002,1.0,0.0,19_20,3.0,6.0
73,Parma,2019-10-20,V,0.4,Genoa,0.5999999999999996,0.0,-0.2,0.0,-40.80000000000001,-46.19999999999999,1.4000000000000004,-3.5999999999999943,1.8000000000000007,-1.0,-0.4,19_20,5.0,5.0
74,Cagliari,2019-10-20,V,1.0,SPAL,-4.199999999999999,-1.4,0.2,0.2,-95.99999999999997,-85.39999999999998,-4.4,-6.399999999999999,3.4000000000000004,-0.3999999999999999,-0.2,19_20,9.0,0.0
75,Sassuolo,2019-10-20,P,0.3999999999999999,Inter,-1.6000000000000014,0.1999999999999993,-0.2,-0.2,29.0,12.0,-1.2000000000000002,3.200000000000003,-2.0,-0.40000000000000013,-0.2,19_20,4.0,4.0
76,Milan,2019-10-20,N,-0.3999999999999999,Lecce,1.0,-0.20000000000000018,0.0,0.0,147.0,153.60000000000002,0.0,15.399999999999999,1.0,0.0,1.0,19_20,9.0,0.0
77,Sampdoria,2019-10-20,N,-1.0,Roma,-3.3999999999999986,-1.7999999999999998,0.0,-0.2,-153.60000000000002,-145.8,-1.7999999999999998,-14.0,-1.8000000000000007,0.0,0.0,19_20,2.0,5.0
78,Brescia,2019-10-21,N,-0.40000000000000013,Fiorentina,-3.799999999999999,-1.6,-0.2,-0.4,-112.0,-95.59999999999997,-1.4000000000000004,-8.399999999999999,0.5999999999999996,-1.0,0.2,19_20,0.0,8.0
79,Hellas Verona,2019-10-25,P,-1.0,Sassuolo,-1.1999999999999993,-1.0,0.0,0.2,-159.2,-124.19999999999999,1.5999999999999996,-6.799999999999997,3.4000000000000004,-0.3999999999999999,0.2,19_20,2.0,7.0
80,Lecce,2019-10-26,N,-0.6000000000000001,Juventus,-10.6,-3.2,0.39999999999999997,0.6000000000000001,-235.40000000000003,-236.40000000000003,-2.3999999999999995,-21.800000000000004,-0.5999999999999996,0.3999999999999999,0.0,19_20,0.0,9.0
81,Inter,2019-10-26,N,0.40000000000000013,Parma,1.200000000000001,1.4,0.6,0.19999999999999996,150.8,151.19999999999993,0.20000000000000018,10.200000000000003,0.6000000000000014,0.19999999999999973,0.2,19_20,7.0,1.0
82,Genoa,2019-10-26,V,-0.6,Brescia,1.5999999999999996,0.6000000000000001,0.0,0.2,107.59999999999997,102.20000000000005,0.20000000000000018,12.0,3.0,1.1999999999999997,0.2,19_20,9.0,0.0
83,Atalanta,2019-10-27,V,2.4,Udinese,8.600000000000001,4.6,0.0,0.0,176.39999999999998,158.20000000000005,0.1999999999999993,7.799999999999997,-4.999999999999998,-1.5999999999999999,0.0,19_20,7.0,1.0
84,Fiorentina,2019-10-27,P,-0.6000000000000001,Lazio,-0.8000000000000007,-1.2000000000000002,-0.2,-0.19999999999999996,-49.60000000000002,-48.80000000000001,0.6000000000000005,-1.5999999999999943,2.1999999999999993,0.6000000000000001,-0.2,19_20,1.0,7.0
85,SPAL,2019-10-27,N,-1.2000000000000002,Napoli,-8.6,-1.7999999999999998,-0.2,-0.2,-156.2,-164.2,-1.0,-12.200000000000003,3.0,0.7999999999999998,0.0,19_20,0.0,9.0
86,Torino,2019-10-27,N,-0.8,Cagliari,-1.8000000000000007,0.0,0.0,0.0,82.40000000000003,92.39999999999998,1.4000000000000004,12.0,1.1999999999999993,0.0,0.2,19_20,3.0,3.0
87,Roma,2019-10-27,V,-0.3999999999999999,Milan,3.0,0.0,-0.4,-0.2,1.400000000000034,9.799999999999955,3.4000000000000004,4.399999999999999,3.0,0.6000000000000001,-0.4,19_20,2.0,6.0
88,Bologna,2019-10-27,V,0.20000000000000007,Sampdoria,-2.1999999999999993,0.0,0.2,0.4,57.80000000000001,40.39999999999998,-0.7999999999999998,6.399999999999999,1.1999999999999993,0.6000000000000001,0.2,19_20,8.0,2.0
89,Parma,2019-10-29,P,1.6,Hellas Verona,1.200000000000001,0.40000000000000036,0.0,0.4,-75.0,-99.19999999999999,-2.0,-11.0,0.0,-0.20000000000000018,0.0,19_20,3.0,7.0
90,Brescia,2019-10-29,P,-1.4000000000000001,Inter,-5.799999999999999,-1.9999999999999996,-0.6,-0.6,-178.60000000000002,-170.99999999999994,-1.0,-15.399999999999999,-1.5999999999999996,-0.7999999999999998,-0.2,19_20,0.0,10.0
91,Juventus,2019-10-30,V,0.8,Genoa,7.4,1.2000000000000002,0.2,0.0,183.59999999999997,179.40000000000003,1.7999999999999998,11.399999999999999,-5.0,-1.5999999999999996,-0.4,19_20,7.0,2.0
92,Sampdoria,2019-10-30,N,-0.7999999999999999,Lecce,3.799999999999999,-1.2000000000000002,-0.6,-0.8,7.800000000000011,26.0,1.7999999999999998,6.200000000000003,2.8000000000000007,0.6000000000000001,0.2,19_20,9.0,0.0
93,Udinese,2019-10-30,P,-0.20000000000000007,Roma,-3.0,-0.3999999999999999,0.0,-0.2,-162.8,-156.39999999999998,-3.0,-13.799999999999997,-1.4000000000000021,0.20000000000000018,0.0,19_20,2.0,7.0
94,Cagliari,2019-10-30,V,0.19999999999999996,Bologna,-3.5999999999999996,-1.0,0.2,0.0,-103.60000000000002,-98.80000000000001,-1.5999999999999996,-11.200000000000003,-1.4000000000000004,-0.40000000000000036,-0.4,19_20,4.0,3.0
95,Napoli,2019-10-30,N,-2.8,Atalanta,-1.3999999999999986,-4.2,-0.4,-0.4,32.39999999999998,40.39999999999998,3.0,7.400000000000006,-1.0,0.0,0.2,19_20,5.0,4.0
96,Sassuolo,2019-10-30,P,0.20000000000000018,Fiorentina,0.0,0.20000000000000018,-0.2,-0.4,37.0,28.999999999999943,-1.6000000000000005,3.8000000000000043,-0.40000000000000036,-0.3999999999999999,-0.2,19_20,5.0,2.0
97,Lazio,2019-10-30,V,1.2000000000000002,Torino,2.0,1.6,0.2,0.6000000000000001,80.60000000000002,73.0,0.20000000000000018,-1.0,-2.1999999999999993,0.6000000000000001,0.0,19_20,4.0,2.0
98,Milan,2019-10-31,V,0.7999999999999999,SPAL,1.5999999999999996,0.0,0.4,0.4,137.60000000000002,141.2,-0.40000000000000036,10.799999999999997,1.0,0.0,0.6000000000000001,19_20,9.0,0.0
99,Roma,2019-11-02,V,0.20000000000000018,Napoli,-3.200000000000001,-1.5999999999999996,0.2,0.4,-54.400000000000034,-60.39999999999998,2.0,-2.6000000000000014,3.1999999999999993,0.7999999999999998,0.4,19_20,2.0,5.0
100,Bologna,2019-11-02,P,-1.0,Inter,-3.8000000000000007,-0.40000000000000036,-0.39999999999999997,-0.39999999999999997,-77.80000000000001,-81.0,-2.1999999999999993,-4.400000000000006,1.3999999999999986,-0.3999999999999999,0.2,19_20,3.0,6.0
101,Torino,2019-11-02,P,-1.2000000000000002,Juventus,-12.2,-4.6,-0.2,-0.2,-210.8,-202.19999999999993,-6.0,-12.199999999999996,0.7999999999999989,-0.3999999999999999,0.2,19_20,0.0,7.0
102,Fiorentina,2019-11-03,N,-0.6000000000000001,Parma,-2.3999999999999986,0.1999999999999993,0.2,0.2,88.19999999999999,82.40000000000003,1.3999999999999995,3.0,1.8000000000000007,1.7999999999999998,0.2,19_20,5.0,2.0
103,Atalanta,2019-11-03,P,2.1999999999999997,Cagliari,8.600000000000001,5.6,0.2,0.2,200.2,187.0,-0.5999999999999996,9.0,-0.5999999999999996,-0.7999999999999998,0.0,19_20,5.0,5.0
104,Genoa,2019-11-03,P,0.6,Udinese,1.8000000000000007,2.1999999999999997,0.0,0.2,119.79999999999995,114.79999999999995,1.5999999999999996,9.199999999999996,1.5999999999999996,0.19999999999999973,0.6000000000000001,19_20,0.0,5.0
105,Milan,2019-11-03,P,-1.6,Lazio,-0.1999999999999993,-1.2000000000000002,-0.39999999999999997,-0.8,29.80000000000001,30.0,0.8000000000000007,4.600000000000001,0.40000000000000036,0.20000000000000018,0.39999999999999997,19_20,6.0,3.0
106,Lecce,2019-11-03,N,-0.19999999999999996,Sassuolo,-1.1999999999999993,-0.39999999999999947,0.2,0.4,-134.40000000000003,-129.8,-1.2000000000000002,-14.799999999999997,-1.200000000000001,0.0,0.2,19_20,0.0,9.0
107,Hellas Verona,2019-11-03,V,0.0,Brescia,-0.6000000000000014,0.3999999999999999,0.0,0.0,30.600000000000023,44.200000000000045,1.0,9.399999999999999,5.800000000000001,1.2000000000000002,0.0,19_20,7.0,1.0
108,SPAL,2019-11-04,P,-0.19999999999999996,Sampdoria,-5.799999999999999,0.19999999999999973,0.0,0.0,-16.599999999999966,-31.0,-1.8000000000000007,-3.3999999999999986,-0.1999999999999993,1.0,0.2,19_20,1.0,9.0
109,Sassuolo,2019-11-08,V,0.0,Bologna,0.5999999999999996,0.40000000000000036,-0.2,-0.2,89.39999999999998,76.19999999999999,0.6000000000000005,4.399999999999999,-2.5999999999999996,0.7999999999999998,-0.2,19_20,4.0,4.0
110,Brescia,2019-11-09,P,0.6000000000000001,Torino,1.0,0.0,0.0,0.0,-7.600000000000023,1.8000000000000114,0.20000000000000018,-3.1999999999999957,-4.000000000000002,0.20000000000000018,0.0,19_20,0.0,10.0
111,Inter,2019-11-09,V,1.2000000000000002,Hellas Verona,4.0,1.2000000000000002,0.8,0.8,91.80000000000001,76.40000000000003,1.2000000000000002,5.0,1.3999999999999986,0.0,0.0,19_20,9.0,0.0
112,Napoli,2019-11-09,N,-0.19999999999999996,Genoa,2.5999999999999996,0.20000000000000018,0.0,-0.2,19.80000000000001,29.800000000000068,-1.5999999999999996,1.2000000000000028,-2.599999999999998,-0.6000000000000001,-0.8,19_20,7.0,1.0
113,Sampdoria,2019-11-10,N,-2.4,Atalanta,-5.800000000000001,-4.3999999999999995,-0.4,-0.4,-199.0,-175.40000000000003,-0.40000000000000036,-10.0,2.1999999999999993,0.5999999999999996,-0.2,19_20,4.0,5.0
114,Juventus,2019-11-10,V,0.20000000000000018,Milan,8.2,3.2,0.2,0.2,72.79999999999995,60.799999999999955,1.7999999999999998,5.200000000000003,0.1999999999999993,-0.7999999999999998,-0.2,19_20,6.0,2.0
115,Parma,2019-11-10,V,-0.19999999999999996,Roma,0.1999999999999993,0.0,-0.4,-0.6,-108.59999999999997,-109.79999999999995,-0.7999999999999998,-9.600000000000001,-3.200000000000001,-1.6,-0.6,19_20,2.0,8.0
116,Udinese,2019-11-10,N,0.6,SPAL,0.7999999999999989,0.0,0.0,0.0,16.19999999999999,4.0,-1.5999999999999996,-4.0,-2.0,-1.4000000000000004,0.0,19_20,6.0,1.0
117,Cagliari,2019-11-10,V,0.8,Fiorentina,-2.6000000000000014,-1.0000000000000004,0.2,0.2,-106.60000000000002,-96.39999999999998,-3.2,-7.799999999999997,-2.200000000000001,0.20000000000000018,-0.2,19_20,3.0,3.0
118,Lazio,2019-11-10,V,1.2000000000000002,Lecce,2.5999999999999996,1.2000000000000002,0.39999999999999997,0.6,101.80000000000001,110.80000000000001,0.20000000000000018,12.600000000000001,0.5999999999999996,0.7999999999999998,0.0,19_20,9.0,1.0
119,Atalanta,2019-11-23,P,1.0,Juventus,-3.799999999999997,-1.7999999999999998,0.0,0.0,-15.799999999999955,-8.799999999999955,-2.5999999999999996,-4.200000000000003,-2.0,0.3999999999999999,0.2,19_20,2.0,2.0
120,Milan,2019-11-23,N,-0.19999999999999996,Napoli,-2.6000000000000014,-1.0,0.0,0.0,-41.0,-35.0,3.0,0.0,0.0,1.4,0.0,19_20,2.0,4.0
121,Torino,2019-11-23,P,-1.4,Inter,-10.0,-2.6,-0.19999999999999996,-0.19999999999999996,-89.80000000000001,-97.20000000000005,-3.4000000000000004,-6.199999999999996,1.3999999999999986,-0.40000000000000036,0.2,19_20,2.0,5.0
122,Hellas Verona,2019-11-24,V,-0.3999999999999999,Fiorentina,-3.200000000000001,-2.4,0.2,0.2,-77.80000000000001,-58.400000000000034,-1.2000000000000002,-4.0,-1.8000000000000007,-0.3999999999999999,-0.2,19_20,2.0,4.0
123,Sassuolo,2019-11-24,P,-1.0,Lazio,-1.3999999999999986,-1.0,-0.8,-1.0,-8.800000000000011,-28.799999999999955,-0.6000000000000005,-1.1999999999999957,2.6000000000000014,0.0,0.0,19_20,3.0,5.0
124,Bologna,2019-11-24,N,-0.6000000000000001,Parma,-4.800000000000001,-2.1999999999999997,0.2,0.2,87.40000000000003,91.20000000000005,-0.6000000000000005,7.800000000000004,3.8000000000000007,0.9999999999999998,0.0,19_20,7.0,0.0
125,Roma,2019-11-24,V,1.0,Brescia,2.6000000000000014,1.0,0.4,0.6,90.0,80.39999999999998,2.6000000000000005,7.600000000000001,0.1999999999999993,0.0,0.19999999999999996,19_20,10.0,0.0
126,Sampdoria,2019-11-24,V,-0.4,Udinese,0.1999999999999993,0.19999999999999973,0.0,0.0,-58.400000000000034,-32.0,1.2000000000000002,-2.6000000000000014,1.8000000000000007,-0.3999999999999999,-0.2,19_20,6.0,3.0
127,Lecce,2019-11-25,N,-1.0,Cagliari,-1.4000000000000004,0.40000000000000036,0.2,0.6,-24.399999999999977,-34.80000000000001,-1.7999999999999998,-7.799999999999997,-1.5999999999999996,0.3999999999999999,0.2,19_20,0.0,8.0
