,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,prediction
306,Fiorentina,2020-07-08,N,-0.3999999999999999,Cagliari,2.0,1.4000000000000004,0.2,0.2,8.200000000000003,1.0,0.0,0.0,19_20,3.0,4.0,V
307,Genoa,2020-07-08,P,-0.19999999999999996,Napoli,-7.000000000000002,-4.8,0.6,1.0,-11.600000000000001,4.0,1.0,0.2,19_20,1.0,7.0,N
308,SPAL,2020-07-09,P,-0.3999999999999999,Udinese,-2.8000000000000007,-0.8000000000000003,0.2,0.2,-2.8000000000000043,3.4000000000000004,0.0,0.2,19_20,1.0,6.0,P
309,Hellas Verona,2020-07-09,N,-1.1999999999999997,Inter,-8.2,-2.5999999999999996,-0.2,-0.39999999999999997,-14.199999999999996,-3.5999999999999996,-1.6,-0.39999999999999997,19_20,0.0,10.0,P
310,Brescia,2020-07-11,P,0.19999999999999996,Roma,-6.6,-1.7999999999999998,0.2,0.2,-9.0,2.8000000000000007,0.20000000000000018,-0.2,19_20,0.0,11.0,P
311,Juventus,2020-07-11,N,0.7999999999999998,Atalanta,1.3999999999999986,-0.40000000000000036,0.2,0.2,-4.0,-1.8000000000000007,0.40000000000000013,0.2,19_20,3.0,2.0,N
312,Lazio,2020-07-11,P,-1.6,Sassuolo,-0.40000000000000036,-1.5999999999999996,-0.39999999999999997,-0.39999999999999997,-7.199999999999996,-2.3999999999999986,0.3999999999999999,0.2,19_20,6.0,3.0,N
313,Genoa,2020-07-12,V,0.7999999999999999,SPAL,-1.0,0.19999999999999973,0.6,1.0,1.7999999999999972,2.0,0.20000000000000018,-0.2,19_20,5.0,1.0,-1
314,Fiorentina,2020-07-12,N,-0.6000000000000001,Hellas Verona,2.5999999999999996,0.6000000000000005,0.2,0.2,5.600000000000001,2.8000000000000007,1.9999999999999998,0.4,19_20,4.0,3.0,V
315,Udinese,2020-07-12,P,0.40000000000000013,Sampdoria,-3.4000000000000004,-1.4,-0.4,-0.4,7.200000000000003,-5.999999999999998,-0.5999999999999999,0.0,19_20,3.0,7.0,V
316,Cagliari,2020-07-12,N,0.0,Lecce,-0.8000000000000007,1.0,-0.39999999999999997,-0.6000000000000001,-2.1999999999999957,2.200000000000001,0.6000000000000001,0.0,19_20,8.0,0.0,V
317,Parma,2020-07-12,N,0.6000000000000001,Bologna,-2.8000000000000007,0.20000000000000018,0.2,0.2,-4.200000000000003,-2.1999999999999993,0.3999999999999999,0.0,19_20,0.0,7.0,P
318,Napoli,2020-07-12,N,-1.2,Milan,-0.1999999999999993,0.7999999999999989,-0.6,-0.6,2.0,-2.8000000000000007,-0.8,0.0,19_20,4.0,2.0,V
319,Inter,2020-07-13,V,1.1999999999999997,Torino,6.0,3.0,0.0,0.19999999999999996,9.600000000000001,-0.40000000000000213,1.5999999999999999,0.6,19_20,6.0,2.0,V
320,Atalanta,2020-07-14,V,1.0,Brescia,3.5999999999999996,2.4,0.2,0.2,17.4,1.1999999999999993,-0.8,0.0,19_20,11.0,0.0,V
321,Roma,2020-07-15,V,-0.6000000000000001,Hellas Verona,5.0,0.8000000000000003,-0.2,-0.2,3.3999999999999986,1.200000000000001,1.2000000000000002,0.2,19_20,8.0,2.0,V
322,Milan,2020-07-15,V,1.2000000000000002,Parma,3.6000000000000014,2.9999999999999996,0.4,0.4,8.799999999999997,-0.40000000000000036,-0.19999999999999973,0.0,19_20,9.0,0.0,V
323,Sassuolo,2020-07-15,N,-0.20000000000000018,Juventus,-3.0,-0.7999999999999998,-0.19999999999999996,-0.19999999999999996,4.0,1.4000000000000004,0.6000000000000001,0.0,19_20,1.0,7.0,N
324,Udinese,2020-07-15,N,0.8,Lazio,-3.5999999999999996,-0.3999999999999999,-0.2,-0.2,-4.600000000000001,-1.5999999999999996,-1.6,-0.2,19_20,1.0,7.0,P
325,Lecce,2020-07-15,P,0.0,Fiorentina,1.1999999999999993,0.6000000000000001,0.0,0.19999999999999996,-7.0,-5.199999999999999,-1.4,0.0,19_20,2.0,9.0,P
326,Bologna,2020-07-15,N,-0.19999999999999996,Napoli,-5.199999999999999,-4.0,0.2,0.2,-9.800000000000004,6.399999999999999,1.4000000000000001,0.2,19_20,3.0,7.0,P
327,Sampdoria,2020-07-15,V,0.8,Cagliari,3.0,0.7999999999999998,0.2,0.2,2.6000000000000014,3.4000000000000004,0.5999999999999996,-0.2,19_20,3.0,5.0,V
328,SPAL,2020-07-16,P,-2.1999999999999997,Inter,-12.200000000000001,-5.4,-0.2,-0.4,-17.4,-1.799999999999999,-1.4000000000000001,-0.2,19_20,0.0,10.0,-1
329,Torino,2020-07-16,V,0.0,Genoa,4.399999999999999,0.0,0.0,-0.4,3.799999999999997,2.0,-0.8000000000000003,0.0,19_20,8.0,1.0,V
330,Milan,2020-07-18,V,1.4,Bologna,4.600000000000001,2.2,0.6,0.6,7.0,-5.600000000000001,-0.20000000000000018,0.0,19_20,9.0,0.0,V
331,Cagliari,2020-07-18,N,-2.5999999999999996,Sassuolo,-2.1999999999999993,-2.8000000000000003,-0.4,-0.4,-14.0,-0.40000000000000036,-1.0,0.2,19_20,1.0,2.0,N
332,Hellas Verona,2020-07-18,N,-1.2000000000000002,Atalanta,-4.4,-1.7999999999999998,0.0,0.0,-4.799999999999997,-3.1999999999999993,0.8000000000000003,0.0,19_20,2.0,8.0,N
333,Roma,2020-07-19,N,-1.6,Inter,-1.0,-2.4000000000000004,0.0,-0.2,-11.399999999999999,2.0,0.6000000000000001,0.0,19_20,0.0,4.0,N
334,Parma,2020-07-19,P,-0.8000000000000003,Sampdoria,-1.0,-1.6000000000000005,0.0,0.0,4.600000000000001,-2.599999999999998,0.0,0.0,19_20,2.0,8.0,N
335,Napoli,2020-07-19,V,-0.20000000000000018,Udinese,5.599999999999998,3.0,0.0,0.0,9.199999999999996,-2.1999999999999993,-0.6000000000000001,0.0,19_20,9.0,0.0,V
336,Fiorentina,2020-07-19,V,-0.40000000000000013,Torino,0.0,0.40000000000000036,0.0,0.19999999999999996,5.400000000000006,-5.199999999999999,1.5999999999999999,0.0,19_20,5.0,3.0,V
337,Brescia,2020-07-19,V,0.6,SPAL,0.40000000000000036,2.4,0.0,0.0,-6.399999999999999,0.6000000000000014,0.19999999999999996,-0.2,19_20,3.0,4.0,N
338,Genoa,2020-07-19,V,0.0,Lecce,-4.0,0.0,-0.4,-0.19999999999999996,1.1999999999999957,2.799999999999999,-0.3999999999999999,0.0,19_20,9.0,0.0,N
339,Juventus,2020-07-20,V,1.9999999999999998,Lazio,1.8000000000000007,1.5999999999999996,0.4,0.4,1.5999999999999943,-0.1999999999999993,-0.19999999999999973,-0.2,19_20,6.0,3.0,V
340,Sassuolo,2020-07-21,P,-1.0,Milan,0.20000000000000107,-1.1999999999999993,-0.39999999999999997,-0.39999999999999997,11.0,-0.7999999999999989,0.6000000000000001,-0.2,19_20,2.0,6.0,P
341,Atalanta,2020-07-21,V,1.0,Bologna,5.600000000000001,2.1999999999999997,0.2,0.2,14.200000000000003,-1.7999999999999972,-0.19999999999999996,-0.2,19_20,7.0,2.0,V
342,Parma,2020-07-22,V,-0.40000000000000013,Napoli,-6.199999999999999,-4.6000000000000005,0.4,0.4,-9.200000000000003,3.8000000000000007,0.20000000000000018,0.0,19_20,3.0,8.0,N
343,Torino,2020-07-22,N,0.6000000000000001,Hellas Verona,2.3999999999999986,-0.20000000000000018,0.2,0.2,-4.800000000000004,5.6,-0.20000000000000018,0.0,19_20,4.0,1.0,N
344,Lecce,2020-07-22,V,-0.19999999999999996,Brescia,2.5999999999999996,-1.0,0.2,0.6,3.6000000000000014,-0.7999999999999989,0.9999999999999998,0.0,19_20,1.0,2.0,V
345,Inter,2020-07-22,N,0.7999999999999998,Fiorentina,2.5999999999999996,1.5999999999999996,-0.2,-0.19999999999999996,8.399999999999999,0.8000000000000007,0.0,0.2,19_20,5.0,0.0,V
346,Sampdoria,2020-07-22,P,1.0,Genoa,3.5999999999999996,0.39999999999999947,0.0,-0.4,-5.199999999999996,-0.40000000000000036,0.19999999999999996,0.0,19_20,6.0,1.0,N
347,SPAL,2020-07-22,P,-1.8,Roma,-4.4,-2.8,-0.2,-0.2,1.0,-4.800000000000001,-1.8000000000000003,0.0,19_20,2.0,9.0,P
348,Lazio,2020-07-23,V,0.39999999999999997,Cagliari,1.8000000000000007,0.6000000000000001,0.2,0.2,8.399999999999999,-0.40000000000000036,0.0,-0.2,19_20,9.0,0.0,V
349,Udinese,2020-07-23,V,-1.2000000000000002,Juventus,-7.0,-1.4,-0.6,-0.6,-6.200000000000003,-1.799999999999999,-1.4,0.0,19_20,1.0,9.0,P
350,Milan,2020-07-24,N,0.8000000000000003,Atalanta,0.5999999999999979,1.2000000000000002,0.4,0.4,-5.0,0.8000000000000007,1.0,0.2,19_20,4.0,4.0,N
351,Napoli,2020-07-25,V,-0.19999999999999996,Sassuolo,2.400000000000002,1.6000000000000005,0.0,0.0,1.2000000000000028,-2.4000000000000004,-1.8,-0.2,19_20,6.0,1.0,V
352,Genoa,2020-07-25,P,-0.8000000000000003,Inter,-5.800000000000001,-1.3999999999999995,0.0,0.2,-10.800000000000004,1.5999999999999979,-0.7999999999999998,0.0,19_20,1.0,9.0,P
353,Brescia,2020-07-25,P,-0.40000000000000013,Parma,1.4000000000000004,1.6,-0.6,-0.6,-2.200000000000003,2.8000000000000007,0.0,0.0,19_20,0.0,5.0,P
354,Roma,2020-07-26,V,1.8,Fiorentina,4.4,2.0,0.2,0.0,-0.3999999999999986,4.799999999999999,0.19999999999999973,0.0,19_20,7.0,2.0,V
355,SPAL,2020-07-26,N,-1.2000000000000002,Torino,-0.7999999999999989,-1.4,0.0,0.0,-1.1999999999999957,-6.999999999999998,-1.0,0.2,19_20,2.0,6.0,P
356,Cagliari,2020-07-26,P,-0.9999999999999999,Udinese,1.1999999999999993,0.0,0.0,0.0,-1.2000000000000028,-0.40000000000000036,0.6000000000000001,0.2,19_20,3.0,7.0,V
357,Bologna,2020-07-26,V,-0.3999999999999999,Lecce,-5.0,-2.1999999999999997,0.0,-0.4,-0.20000000000000284,7.199999999999999,-0.7999999999999998,0.0,19_20,11.0,0.0,V
358,Hellas Verona,2020-07-26,P,0.19999999999999996,Lazio,-5.800000000000001,-1.6,0.0,0.0,-1.0,1.0,-0.3999999999999999,-0.2,19_20,2.0,6.0,N
359,Juventus,2020-07-26,V,0.0,Sampdoria,0.6000000000000014,0.0,0.6,0.6,5.199999999999996,1.0,0.20000000000000018,0.0,19_20,9.0,2.0,V
360,Inter,2020-07-28,V,0.7999999999999998,Napoli,-2.200000000000001,-0.40000000000000036,0.0,0.0,0.7999999999999972,4.6,1.2000000000000002,0.0,19_20,6.0,1.0,V
361,Parma,2020-07-28,P,-0.40000000000000013,Atalanta,-3.0,-1.8000000000000003,0.4,0.2,-6.199999999999996,-3.8000000000000007,-0.6000000000000001,0.0,19_20,0.0,11.0,P
362,Cagliari,2020-07-29,V,-1.6,Juventus,-4.399999999999999,-1.4,-0.6,-0.8,-10.399999999999999,-2.4000000000000004,-1.2000000000000002,0.2,19_20,1.0,10.0,P
363,Sampdoria,2020-07-29,P,-0.6000000000000001,Milan,-0.7999999999999989,-1.0,-0.2,-0.2,-4.200000000000003,-5.200000000000001,0.3999999999999999,0.0,19_20,2.0,6.0,P
364,Udinese,2020-07-29,P,-0.3999999999999999,Lecce,-6.799999999999999,-1.7999999999999998,0.0,-0.2,-7.399999999999999,4.0,-0.3999999999999999,0.0,19_20,10.0,1.0,V
365,Hellas Verona,2020-07-29,V,0.4,SPAL,1.200000000000001,1.7999999999999998,0.4,0.4,7.600000000000001,0.20000000000000107,0.40000000000000013,-0.2,19_20,7.0,3.0,-1
366,Torino,2020-07-29,P,-1.8,Roma,-5.0,-1.7999999999999998,-0.6,-0.6,-6.0,3.599999999999998,1.1999999999999997,0.0,19_20,3.0,8.0,P
367,Sassuolo,2020-07-29,V,0.19999999999999996,Genoa,2.5999999999999996,-0.6000000000000001,0.0,-0.2,8.399999999999999,-3.5999999999999996,0.9999999999999998,0.2,19_20,4.0,3.0,V
368,Fiorentina,2020-07-29,V,0.0,Bologna,-2.1999999999999993,-1.0000000000000004,0.0,0.2,-4.0,-5.999999999999998,1.4000000000000001,0.0,19_20,5.0,0.0,V
369,Lazio,2020-07-29,V,0.6000000000000001,Brescia,0.40000000000000036,-0.20000000000000018,0.6,0.6,7.0,-1.5999999999999996,1.0,0.0,19_20,11.0,0.0,V
370,Atalanta,2020-08-01,P,0.0,Inter,3.799999999999999,0.7999999999999998,-0.2,0.0,0.19999999999999574,1.4000000000000004,-0.7999999999999998,0.0,19_20,1.0,3.0,N
371,Napoli,2020-08-01,V,-0.8,Lazio,1.1999999999999993,-1.5999999999999996,-0.39999999999999997,-0.39999999999999997,5.199999999999996,-2.8000000000000007,-0.6000000000000001,0.0,19_20,8.0,3.0,V
372,Milan,2020-08-01,V,2.2,Cagliari,8.999999999999998,3.8000000000000003,0.0,0.0,13.0,2.200000000000001,-0.40000000000000013,-0.2,19_20,9.0,0.0,V
373,Brescia,2020-08-01,N,-0.40000000000000013,Sampdoria,-3.0,-0.5999999999999996,0.0,-0.2,-2.3999999999999986,0.8000000000000007,-0.40000000000000013,-0.2,19_20,0.0,10.0,P
374,Juventus,2020-08-01,P,-1.4,Roma,5.800000000000001,1.6000000000000005,-0.6000000000000001,-0.4,8.599999999999994,-1.200000000000001,0.9999999999999998,0.0,19_20,7.0,2.0,N
375,Genoa,2020-08-02,V,-0.5999999999999999,Hellas Verona,-2.8000000000000007,-2.2,-0.2,-0.2,-6.799999999999997,-0.40000000000000036,-0.19999999999999996,0.0,19_20,5.0,3.0,N
376,SPAL,2020-08-02,P,-1.4,Fiorentina,-0.5999999999999996,-1.2000000000000002,0.0,-0.2,1.3999999999999986,-0.40000000000000036,-0.7999999999999998,0.2,19_20,0.0,9.0,-1
377,Bologna,2020-08-02,N,-0.3999999999999999,Torino,3.0,0.20000000000000018,0.0,0.0,4.600000000000001,-0.5999999999999979,-1.4000000000000001,0.0,19_20,1.0,4.0,N
378,Sassuolo,2020-08-02,P,1.0,Udinese,2.4000000000000004,0.5999999999999996,0.2,0.2,15.0,-2.0,1.0,0.2,19_20,1.0,6.0,N
379,Lecce,2020-08-02,P,0.19999999999999996,Parma,4.000000000000002,2.3999999999999995,-0.2,0.0,4.400000000000006,-0.5999999999999996,1.2000000000000002,0.0,19_20,0.0,7.0,V
380,Fiorentina,2020-09-19,V,1.0,Torino,3.1999999999999993,0.39999999999999947,0.2,0.2,-2.200000000000003,-1.1999999999999993,-0.5999999999999996,0.0,20_21,5.0,3.0,V
381,Hellas Verona,2020-09-19,V,-2.0,Roma,0.7999999999999989,0.40000000000000036,-0.4,-0.4,5.800000000000004,0.5999999999999996,-0.40000000000000013,0.2,20_21,2.0,8.0,P
382,Parma,2020-09-20,P,0.6000000000000001,Napoli,-4.600000000000001,-0.8000000000000007,0.0,0.0,-12.0,2.4000000000000004,-0.40000000000000013,0.0,20_21,3.0,8.0,N
383,Genoa,2020-09-20,V,3.0,Crotone,2.0,3.0,0.0,0.0,-2.0,-3.0,2.0,0.0,20_21,10.0,0.0,N
384,Sassuolo,2020-09-20,N,0.5999999999999999,Cagliari,5.6,1.4,0.2,0.2,22.6,-0.1999999999999993,-0.3999999999999999,0.0,20_21,2.0,1.0,V
385,Juventus,2020-09-20,V,0.0,Sampdoria,2.400000000000002,0.7999999999999998,0.2,0.0,14.600000000000001,1.8000000000000007,-0.7999999999999998,-0.4,20_21,9.0,2.0,V
386,Milan,2020-09-21,V,2.0,Bologna,1.200000000000001,2.3999999999999995,0.0,0.2,1.0,1.799999999999999,0.19999999999999996,0.0,20_21,9.0,0.0,V
387,Cagliari,2020-09-26,P,-1.4000000000000001,Lazio,-5.6,-2.5999999999999996,-0.6,-0.6,-13.399999999999999,0.5999999999999996,0.40000000000000013,0.0,20_21,0.0,9.0,N
388,Inter,2020-09-26,V,0.0,Fiorentina,-3.5999999999999996,-0.7999999999999998,0.0,0.0,6.799999999999997,-0.20000000000000107,-0.20000000000000018,0.0,20_21,5.0,0.0,V
389,Sampdoria,2020-09-26,P,-1.0,Benevento,-5.0,-2.0,0.0,0.0,-20.0,4.0,2.0,0.0,20_21,7.0,2.0,V
390,Torino,2020-09-26,P,0.0,Atalanta,-4.0,0.39999999999999947,0.0,-0.2,-6.0,1.0,0.6000000000000001,0.0,20_21,3.0,4.0,P
391,Hellas Verona,2020-09-27,V,0.40000000000000013,Udinese,3.200000000000001,1.0000000000000004,0.4,0.4,14.799999999999997,1.200000000000001,0.0,0.2,20_21,2.0,5.0,P
392,Spezia,2020-09-27,P,-3.0,Sassuolo,-4.0,0.0,-1.0,-1.0,-32.0,8.0,1.0,0.0,20_21,1.0,8.0,N
393,Roma,2020-09-27,N,1.4,Juventus,-3.0,-1.0,0.8,0.6000000000000001,-8.599999999999994,2.0,-0.19999999999999996,0.0,20_21,2.0,7.0,N
394,Napoli,2020-09-27,V,-0.19999999999999996,Genoa,8.0,1.1999999999999997,0.2,0.2,14.0,-2.8000000000000007,-1.2000000000000002,-0.4,20_21,7.0,1.0,V
395,Crotone,2020-09-27,P,-1.4,Milan,-2.4000000000000004,-2.2,-0.2,-0.4,-3.799999999999997,-1.0,0.0,0.0,20_21,0.0,10.0,P
396,Bologna,2020-09-28,V,-1.0,Parma,4.800000000000001,0.5999999999999996,-0.4,-0.4,6.799999999999997,4.399999999999999,0.19999999999999973,0.2,20_21,7.0,0.0,V
397,Lazio,2020-09-30,P,0.7999999999999998,Atalanta,1.4000000000000021,3.1999999999999993,0.4,0.2,0.8000000000000043,-3.5999999999999996,-0.19999999999999996,0.0,20_21,1.0,4.0,N
398,Udinese,2020-09-30,P,0.0,Spezia,2.0,-1.2000000000000002,0.0,0.0,9.600000000000001,-1.4000000000000004,-1.0,0.0,20_21,8.0,2.0,N
399,Benevento,2020-09-30,P,0.7999999999999998,Inter,-0.1999999999999993,-0.20000000000000018,0.0,0.0,5.799999999999997,-2.0,-1.4,0.0,20_21,0.0,10.0,P
400,Fiorentina,2020-10-02,P,1.5999999999999999,Sampdoria,0.5999999999999996,1.2000000000000002,0.2,-0.2,3.799999999999997,1.8000000000000007,-0.5999999999999996,-0.4,20_21,4.0,5.0,V
401,Udinese,2020-10-03,P,-1.4,Roma,-1.0,-0.40000000000000036,-1.0,-1.0,-5.0,-1.5999999999999979,-1.4,0.0,20_21,2.0,8.0,-1
402,Sassuolo,2020-10-03,V,1.5,Crotone,9.899999999999999,5.3,0.2,0.2,12.0,-4.6,-0.10000000000000009,0.0,20_21,9.0,1.0,V
403,Benevento,2020-10-04,V,0.8999999999999999,Bologna,-4.5,-0.2999999999999998,0.0,0.0,-5.399999999999999,-5.0,-1.2000000000000002,-0.2,20_21,1.0,8.0,N
404,Lazio,2020-10-04,N,-1.0,Inter,1.5999999999999996,0.8000000000000007,0.4,0.4,-2.6000000000000014,-4.199999999999999,0.3999999999999999,0.0,20_21,3.0,6.0,N
405,Milan,2020-10-04,V,0.8999999999999999,Spezia,7.0,1.2999999999999998,0.4,0.6,12.399999999999999,-1.3000000000000007,-1.7,-0.5,20_21,8.0,2.0,V
406,Atalanta,2020-10-04,V,1.6,Cagliari,3.5999999999999996,0.6000000000000001,0.0,0.2,11.199999999999996,2.4000000000000004,-0.6000000000000001,0.0,20_21,5.0,6.0,V
407,Parma,2020-10-04,V,0.0,Hellas Verona,-2.0,0.5999999999999996,-0.2,-0.2,-6.0,-3.1999999999999993,0.8,0.0,20_21,3.0,8.0,P
408,Inter,2020-10-17,P,0.0,Milan,-2.0,0.1999999999999993,-0.4,-0.6,-2.0,1.200000000000001,0.5999999999999999,0.2,20_21,7.0,2.0,N
409,Crotone,2020-10-17,N,-0.9333333333333335,Juventus,-6.066666666666665,-3.266666666666666,0.1333333333333333,-0.06666666666666671,-13.266666666666666,2.0666666666666664,0.0,-0.2,20_21,0.0,8.0,P
410,Napoli,2020-10-17,V,-0.3999999999999999,Atalanta,2.3999999999999986,0.20000000000000018,0.2,0.2,3.6000000000000014,-5.199999999999999,0.0,0.0,20_21,5.0,4.0,N
411,Sampdoria,2020-10-17,V,-0.19999999999999996,Lazio,-0.5999999999999996,-2.0,0.2,0.6,-12.200000000000003,0.5999999999999996,-0.3999999999999999,0.0,20_21,1.0,9.0,P
412,Torino,2020-10-18,P,0.19999999999999996,Cagliari,2.4000000000000004,2.0,0.0,0.0,8.600000000000001,4.0,0.19999999999999996,0.0,20_21,3.0,3.0,V
413,Bologna,2020-10-18,P,-1.7999999999999998,Sassuolo,-4.599999999999998,-2.0,-0.4,-0.4,-8.399999999999999,5.399999999999999,1.0000000000000002,0.2,20_21,4.0,5.0,N
414,Roma,2020-10-18,V,-0.19999999999999996,Benevento,3.533333333333333,-0.13333333333333286,0.6,0.6,4.600000000000001,4.2666666666666675,0.4666666666666668,0.0,20_21,9.0,0.0,V
415,Spezia,2020-10-18,N,-1.4,Fiorentina,-11.133333333333333,-3.0,-0.2,-0.2,-7.5333333333333385,2.933333333333332,1.6,0.3333333333333333,20_21,0.0,9.0,V
416,Udinese,2020-10-18,V,-0.9999999999999999,Parma,2.0,-1.0000000000000004,0.0,0.0,1.6000000000000014,1.5999999999999996,-1.6,-0.2,20_21,5.0,4.0,N
417,Hellas Verona,2020-10-19,N,0.0,Genoa,3.5999999999999996,1.0,0.0,0.0,10.200000000000003,5.4,-1.6,-0.2,20_21,3.0,5.0,V
418,Sassuolo,2020-10-23,N,1.2000000000000002,Torino,11.0,3.1999999999999993,0.2,0.2,11.600000000000001,-4.599999999999998,-0.40000000000000013,-0.2,20_21,1.0,6.0,V
419,Genoa,2020-10-24,P,-1.2000000000000002,Inter,-7.4,-2.6000000000000005,0.0,0.0,-16.0,-3.3999999999999986,0.7999999999999998,0.2,20_21,1.0,9.0,P
420,Atalanta,2020-10-24,P,1.1999999999999997,Sampdoria,0.1999999999999993,1.2000000000000002,-0.2,-0.4,9.799999999999997,-0.1999999999999993,-0.8,-0.2,20_21,5.0,4.0,N
421,Lazio,2020-10-24,V,-0.6000000000000001,Bologna,-3.0,-2.2,0.0,0.0,-2.799999999999997,-4.400000000000002,0.6000000000000001,0.0,20_21,5.0,2.0,V
422,Juventus,2020-10-25,N,0.5999999999999999,Hellas Verona,3.799999999999999,1.1999999999999997,0.2,0.2,5.600000000000001,-3.9999999999999982,0.8,0.2,20_21,7.0,2.0,V
423,Benevento,2020-10-25,P,-1.0,Napoli,-6.75,-3.2,-0.2,0.04999999999999999,-10.25,1.5500000000000007,0.10000000000000009,0.0,20_21,0.0,10.0,P
424,Cagliari,2020-10-25,V,0.44999999999999996,Crotone,-1.1500000000000004,0.9500000000000002,-0.5,-0.5,-7.950000000000003,-2.25,-0.25,0.0,20_21,9.0,0.0,N
425,Parma,2020-10-25,N,0.3500000000000001,Spezia,2.5500000000000007,1.8499999999999996,0.0,0.0,1.1499999999999986,-4.6,-0.5499999999999998,-0.04999999999999999,20_21,4.0,2.0,N
426,Fiorentina,2020-10-25,V,1.2,Udinese,2.5999999999999996,1.8000000000000003,0.2,0.2,5.600000000000001,0.5999999999999996,0.3999999999999999,0.0,20_21,7.0,2.0,V
427,Milan,2020-10-26,N,0.19999999999999973,Roma,-1.0,-0.20000000000000018,-0.19999999999999996,0.20000000000000007,5.599999999999994,-0.8000000000000007,0.40000000000000013,0.0,20_21,6.0,3.0,V
428,Crotone,2020-10-31,P,-2.0,Atalanta,-5.0,-3.5999999999999996,0.2,0.2,-4.399999999999999,0.3999999999999986,0.6000000000000001,0.2,20_21,0.0,9.0,P
429,Bologna,2020-10-31,V,-0.3999999999999999,Cagliari,3.5999999999999996,1.6000000000000005,0.0,0.0,10.600000000000001,3.400000000000002,0.5999999999999999,0.2,20_21,3.0,5.0,V
430,Inter,2020-10-31,N,1.4000000000000001,Parma,6.400000000000002,1.9999999999999996,-0.2,-0.2,16.4,4.0,-0.5999999999999999,0.0,20_21,7.0,1.0,V
431,Roma,2020-11-01,V,0.20000000000000018,Fiorentina,2.4000000000000004,0.39999999999999947,0.6,0.6,2.0,1.6000000000000014,0.0,0.0,20_21,7.0,2.0,V
432,Torino,2020-11-01,P,0.40000000000000013,Lazio,-1.1999999999999993,2.2,0.2,0.2,-5.0,2.6000000000000014,-1.4000000000000001,0.0,20_21,2.0,5.0,N
433,Spezia,2020-11-01,P,-0.20000000000000018,Juventus,-4.6,-0.6000000000000001,-0.2,-0.2,-13.600000000000001,5.199999999999999,0.8,-0.2,20_21,0.0,10.0,V
434,Udinese,2020-11-01,P,-1.4,Milan,1.5999999999999996,-0.39999999999999947,-0.6,-0.8,-5.799999999999997,-0.5999999999999996,-1.2000000000000002,0.0,20_21,2.0,4.0,P
435,Napoli,2020-11-01,P,0.19999999999999973,Sassuolo,-2.0,0.5999999999999996,-0.2,-0.2,-4.399999999999999,-1.0,-0.20000000000000018,0.0,20_21,6.0,1.0,V
436,Sampdoria,2020-11-01,N,0.6000000000000001,Genoa,5.6,1.8000000000000003,0.2,0.4,-2.1999999999999957,3.3999999999999986,-0.3999999999999999,-0.4,20_21,6.0,1.0,N
437,Hellas Verona,2020-11-02,V,-0.8,Benevento,0.1999999999999993,0.0,0.0,-0.2,5.799999999999997,5.199999999999999,0.0,0.0,20_21,7.0,1.0,V
438,Genoa,2020-11-04,P,-1.0,Torino,-2.6000000000000005,-2.6,-0.4,-0.4,-1.7999999999999972,-0.9999999999999982,0.7999999999999998,-0.2,20_21,1.0,8.0,N
439,Sassuolo,2020-11-06,N,2.2,Udinese,1.200000000000001,2.2,0.39999999999999997,0.39999999999999997,13.599999999999994,-2.3999999999999986,0.0,0.0,20_21,1.0,6.0,N
440,Cagliari,2020-11-07,V,0.0,Sampdoria,1.3999999999999986,-0.1999999999999993,-0.2,-0.4,1.0,-4.799999999999999,-1.5999999999999999,0.0,20_21,5.0,3.0,V
441,Benevento,2020-11-07,P,0.0,Spezia,0.0,0.7999999999999998,0.0,0.2,-5.199999999999996,-4.399999999999999,-0.3999999999999999,0.0,20_21,2.0,3.0,V
442,Parma,2020-11-07,N,-0.19999999999999996,Fiorentina,-1.0,0.5999999999999996,0.2,0.2,-6.800000000000004,-3.5999999999999996,0.6000000000000001,0.0,20_21,2.0,5.0,N
443,Genoa,2020-11-08,P,-2.2,Roma,-6.199999999999999,-3.4,-0.6,-0.6,-2.3999999999999986,-1.3999999999999986,0.0,0.0,20_21,0.0,6.0,P
444,Bologna,2020-11-08,P,-0.5999999999999996,Napoli,-1.1999999999999993,-0.7999999999999998,0.0,0.0,-1.6000000000000014,6.0,0.8,0.0,20_21,3.0,7.0,P
445,Lazio,2020-11-08,N,-0.6000000000000001,Juventus,-1.5999999999999996,-1.0,-0.2,-0.2,-9.0,2.4000000000000004,1.9999999999999998,-0.2,20_21,3.0,6.0,N
446,Milan,2020-11-08,N,1.4,Hellas Verona,1.4000000000000004,0.39999999999999947,0.4,0.6,4.399999999999999,-3.3999999999999986,0.0,0.0,20_21,8.0,1.0,V
447,Torino,2020-11-08,N,1.4,Crotone,1.1999999999999993,1.9999999999999996,0.0,0.0,-2.6000000000000014,1.0,-0.19999999999999973,0.0,20_21,7.0,1.0,V
448,Atalanta,2020-11-08,N,0.3999999999999999,Inter,-1.1999999999999993,0.40000000000000036,0.2,0.2,-7.800000000000004,0.0,0.40000000000000013,-0.2,20_21,1.0,3.0,N
449,Juventus,2020-11-21,V,-0.8,Cagliari,-1.6000000000000014,-1.1999999999999997,0.2,0.2,9.0,-3.6000000000000014,0.3999999999999999,0.4,20_21,10.0,1.0,V
