,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,prediction
38,Sassuolo,2019-09-22,V,1.0000000000000002,SPAL,4.0,4.333333333333334,0.0,0.0,18.666666666666664,-1.0,-1.0,0.0,19_20,8.0,0.0,N
39,Lecce,2019-09-22,P,-2.3333333333333335,Napoli,-2.0,-2.9999999999999996,-0.3333333333333333,-0.3333333333333333,-17.0,2.666666666666666,0.3333333333333335,0.3333333333333333,19_20,1.0,9.0,P
40,Hellas Verona,2019-09-24,N,0.25,Udinese,-5.0,-3.5,0.0,0.25,-9.5,0.25,1.25,0.5,19_20,2.0,5.0,P
41,Brescia,2019-09-24,P,-0.5,Juventus,-5.0,-1.0,0.0,0.0,-16.0,1.5,0.75,0.25,19_20,0.0,10.0,P
42,Fiorentina,2019-09-25,V,1.0,Sampdoria,3.0,-0.25,0.25,0.25,5.75,2.25,0.25,-0.25,19_20,3.0,5.0,V
43,Inter,2019-09-25,V,0.5,Lazio,-1.75,-1.0,0.0,0.0,3.5,2.75,-0.75,0.0,19_20,5.0,3.0,V
44,Napoli,2019-09-25,P,1.5,Cagliari,8.0,3.75,0.5,0.5,13.75,-3.5,-0.25,0.0,19_20,7.0,1.0,V
45,Roma,2019-09-25,P,0.25,Atalanta,-4.75,-2.5,0.0,0.0,-4.0,0.0,1.25,0.25,19_20,3.0,4.0,N
46,Genoa,2019-09-25,N,0.0,Bologna,-2.5,-1.0,0.0,0.0,-8.5,-1.0,-2.0,0.0,19_20,4.0,3.0,N
47,Parma,2019-09-25,V,-1.5,Sassuolo,-5.75,-3.0,0.0,0.0,-14.75,0.25,-0.25,0.0,19_20,3.0,5.0,P
48,SPAL,2019-09-25,P,0.25,Lecce,-3.25,-0.5,-0.25,-0.25,2.0,-0.25,-0.5,-0.25,19_20,4.0,2.0,V
49,Torino,2019-09-26,V,1.0,Milan,-3.0,1.5,0.0,0.0,-10.75,2.5,-0.75,-0.25,19_20,2.0,4.0,N
50,Sampdoria,2019-09-28,P,-1.4,Inter,-5.199999999999999,-1.7999999999999998,0.0,0.0,-19.200000000000003,1.5999999999999996,0.9999999999999998,0.4,19_20,1.0,8.0,P
51,Juventus,2019-09-28,V,0.8,SPAL,1.5999999999999996,1.0,0.2,0.2,10.800000000000004,0.1999999999999993,0.0,0.0,19_20,8.0,1.0,V
52,Sassuolo,2019-09-28,P,-0.20000000000000018,Atalanta,-5.200000000000001,-0.7999999999999998,-0.2,-0.2,5.600000000000001,-1.3999999999999986,0.19999999999999996,0.0,19_20,1.0,8.0,N
53,Lazio,2019-09-29,V,0.0,Genoa,5.599999999999998,3.5999999999999996,-0.2,-0.2,0.6000000000000014,-3.3999999999999986,0.20000000000000018,0.0,19_20,7.0,2.0,V
54,Lecce,2019-09-29,P,-0.8,Roma,-2.8000000000000007,-1.6,0.39999999999999997,0.39999999999999997,-10.399999999999999,-1.8000000000000007,0.0,0.0,19_20,0.0,10.0,P
55,Milan,2019-09-29,P,-1.0,Fiorentina,-2.599999999999998,-2.8,0.0,0.0,12.800000000000004,0.0,0.40000000000000036,0.4,19_20,5.0,3.0,V
56,Udinese,2019-09-29,V,-0.9999999999999999,Bologna,-2.4000000000000004,1.6000000000000005,-0.4,-0.6,-13.0,1.3999999999999986,-1.5999999999999996,0.2,19_20,4.0,1.0,N
57,Cagliari,2019-09-29,N,1.0,Hellas Verona,-0.1999999999999993,0.0,0.0,-0.2,2.799999999999997,0.5999999999999996,0.3999999999999999,-0.6,19_20,3.0,4.0,V
58,Napoli,2019-09-29,V,1.4000000000000001,Brescia,11.399999999999999,3.5999999999999996,0.2,0.2,24.0,-4.600000000000001,0.0,0.0,19_20,10.0,0.0,V
59,Parma,2019-09-30,V,-0.6000000000000001,Torino,-0.20000000000000107,0.0,-0.2,0.0,-6.399999999999999,-1.3999999999999986,-0.19999999999999973,0.0,19_20,2.0,6.0,P
60,SPAL,2019-10-05,V,-1.0,Parma,-0.1999999999999993,-1.0,0.0,-0.4,-0.4000000000000057,-3.200000000000001,0.19999999999999973,0.0,19_20,6.0,2.0,V
61,Hellas Verona,2019-10-05,V,-0.20000000000000007,Sampdoria,-1.4000000000000004,0.0,-0.2,0.0,8.600000000000001,1.0000000000000018,-0.19999999999999973,0.0,19_20,1.0,7.0,-1
62,Genoa,2019-10-05,P,0.0,Milan,0.0,1.0,-0.2,-0.2,-9.0,-0.8000000000000007,-0.3999999999999999,-0.6,19_20,1.0,7.0,P
63,Bologna,2019-10-06,N,-0.40000000000000013,Lazio,-1.4000000000000021,-2.3999999999999995,0.0,0.2,5.799999999999997,4.600000000000001,1.4,0.2,19_20,2.0,5.0,N
64,Inter,2019-10-06,P,-0.19999999999999996,Juventus,-0.20000000000000107,0.39999999999999947,0.0,0.0,-0.6000000000000014,-2.200000000000001,0.19999999999999973,0.2,19_20,2.0,5.0,N
65,Atalanta,2019-10-06,V,1.2,Lecce,6.6,2.1999999999999997,-0.39999999999999997,-0.39999999999999997,12.199999999999996,-0.40000000000000036,-1.0,0.0,19_20,10.0,0.0,V
66,Torino,2019-10-06,N,-0.6000000000000001,Napoli,-12.999999999999998,-3.6,0.2,0.2,-9.400000000000006,6.199999999999999,0.0,0.0,19_20,0.0,6.0,N
67,Roma,2019-10-06,N,-0.19999999999999996,Cagliari,5.4,0.6000000000000001,0.2,0.4,12.400000000000006,0.20000000000000284,0.40000000000000036,0.2,19_20,7.0,1.0,V
68,Fiorentina,2019-10-06,V,1.2000000000000002,Udinese,3.4000000000000004,0.0,0.4,0.6,0.5999999999999943,-2.599999999999998,0.40000000000000036,-0.2,19_20,6.0,2.0,V
69,Juventus,2019-10-19,V,0.20000000000000018,Bologna,2.8000000000000007,1.0,0.0,-0.2,3.4000000000000057,-3.1999999999999993,-2.0,-0.4,19_20,9.0,0.0,V
70,Lazio,2019-10-19,N,-0.8,Atalanta,-5.400000000000002,-0.7999999999999998,0.0,0.2,-3.3999999999999986,-2.200000000000001,0.3999999999999999,0.2,19_20,1.0,4.0,N
71,Napoli,2019-10-19,V,0.8,Hellas Verona,11.799999999999999,3.2,0.2,0.0,15.800000000000004,-7.399999999999999,-0.20000000000000018,-0.2,19_20,7.0,1.0,V
72,Udinese,2019-10-20,V,-0.8,Torino,-0.1999999999999993,0.3999999999999999,-0.4,-0.4,-5.400000000000006,3.400000000000002,1.0,0.0,19_20,3.0,6.0,N
73,Parma,2019-10-20,V,0.4,Genoa,0.5999999999999996,0.0,-0.2,0.0,-3.5999999999999943,1.8000000000000007,-1.0,-0.4,19_20,5.0,5.0,V
74,Cagliari,2019-10-20,V,1.0,SPAL,-4.199999999999999,-1.4,0.2,0.2,-6.399999999999999,3.4000000000000004,-0.3999999999999999,-0.2,19_20,9.0,0.0,V
75,Sassuolo,2019-10-20,P,0.3999999999999999,Inter,-1.6000000000000014,0.1999999999999993,-0.2,-0.2,3.200000000000003,-2.0,-0.40000000000000013,-0.2,19_20,4.0,4.0,P
76,Milan,2019-10-20,N,-0.3999999999999999,Lecce,1.0,-0.20000000000000018,0.0,0.0,15.399999999999999,1.0,0.0,1.0,19_20,9.0,0.0,V
