,h_team,a_team,date,matchday,result
0,Fiorentina,Spezia,2021-10-31,Giornata n. 11,V
0,Genoa,Venezia,2021-10-31,Giornata n. 11,N
0,Salernitana,Napoli,2021-10-31,Giornata n. 11,P
0,Inter,Udinese,2021-10-31,Giornata n. 11,V
0,Roma,Milan,2021-10-31,Giornata n. 11,P
0,Sassuolo,Empoli,2021-10-31,Giornata n. 11,P
0,Bologna,Cagliari,2021-11-01,Giornata n. 11,V
0,Empoli,Genoa,2021-11-05,Giornata n. 12,N
0,Cagliari,Atalanta,2021-11-06,Giornata n. 12,P
0,Juventus,Fiorentina,2021-11-06,Giornata n. 12,V
0,Spezia,Torino,2021-11-06,Giornata n. 12,V
0,Udinese,Sassuolo,2021-11-07,Giornata n. 12,V
0,Milan,Inter,2021-11-07,Giornata n. 12,N
0,Sampdoria,Bologna,2021-11-07,Giornata n. 12,P
0,Venezia,Roma,2021-11-07,Giornata n. 12,V
0,Lazio,Salernitana,2021-11-07,Giornata n. 12,V
0,Napoli,Hellas Verona,2021-11-07,Giornata n. 12,N
0,Fiorentina,Milan,2021-11-20,Giornata n. 13,V
0,Atalanta,Spezia,2021-11-20,Giornata n. 13,V
0,Lazio,Juventus,2021-11-20,Giornata n. 13,P
0,Sassuolo,Cagliari,2021-11-21,Giornata n. 13,N
0,Inter,Napoli,2021-11-21,Giornata n. 13,V
0,Genoa,Roma,2021-11-21,Giornata n. 13,P
0,Bologna,Venezia,2021-11-21,Giornata n. 13,P
0,Salernitana,Sampdoria,2021-11-21,Giornata n. 13,P
0,Torino,Udinese,2021-11-22,Giornata n. 13,V
0,Hellas Verona,Empoli,2021-11-22,Giornata n. 13,V
0,Cagliari,Salernitana,2021-11-26,Giornata n. 14,N
0,Sampdoria,Hellas Verona,2021-11-27,Giornata n. 14,V
0,Venezia,Inter,2021-11-27,Giornata n. 14,P
0,Empoli,Fiorentina,2021-11-27,Giornata n. 14,V
0,Juventus,Atalanta,2021-11-27,Giornata n. 14,P
0,Udinese,Genoa,2021-11-28,Giornata n. 14,N
0,Spezia,Bologna,2021-11-28,Giornata n. 14,P
0,Milan,Sassuolo,2021-11-28,Giornata n. 14,P
0,Napoli,Lazio,2021-11-28,Giornata n. 14,V
0,Roma,Torino,2021-11-28,Giornata n. 14,V
0,Atalanta,Venezia,2021-11-30,Giornata n. 15,V
0,Fiorentina,Sampdoria,2021-11-30,Giornata n. 15,V
0,Hellas Verona,Cagliari,2021-11-30,Giornata n. 15,N
0,Salernitana,Juventus,2021-11-30,Giornata n. 15,P
0,Sassuolo,Napoli,2021-12-01,Giornata n. 15,N
0,Bologna,Roma,2021-12-01,Giornata n. 15,V
0,Genoa,Milan,2021-12-01,Giornata n. 15,P
0,Inter,Spezia,2021-12-01,Giornata n. 15,V
0,Torino,Empoli,2021-12-02,Giornata n. 15,N
0,Lazio,Udinese,2021-12-02,Giornata n. 15,N
0,Milan,Salernitana,2021-12-04,Giornata n. 16,V
0,Roma,Inter,2021-12-04,Giornata n. 16,P
0,Napoli,Atalanta,2021-12-04,Giornata n. 16,P
0,Venezia,Hellas Verona,2021-12-05,Giornata n. 16,P
0,Spezia,Sassuolo,2021-12-05,Giornata n. 16,N
0,Sampdoria,Lazio,2021-12-05,Giornata n. 16,P
0,Bologna,Fiorentina,2021-12-05,Giornata n. 16,P
0,Juventus,Genoa,2021-12-05,Giornata n. 16,V
0,Cagliari,Torino,2021-12-06,Giornata n. 16,N
0,Empoli,Udinese,2021-12-06,Giornata n. 16,V
0,Genoa,Sampdoria,2021-12-10,Giornata n. 17,P
0,Udinese,Milan,2021-12-11,Giornata n. 17,N
0,Fiorentina,Salernitana,2021-12-11,Giornata n. 17,V
0,Venezia,Juventus,2021-12-11,Giornata n. 17,N
0,Napoli,Empoli,2021-12-12,Giornata n. 17,P
0,Hellas Verona,Atalanta,2021-12-12,Giornata n. 17,P
0,Sassuolo,Lazio,2021-12-12,Giornata n. 17,V
0,Inter,Cagliari,2021-12-12,Giornata n. 17,V
0,Torino,Bologna,2021-12-12,Giornata n. 17,V
0,Roma,Spezia,2021-12-13,Giornata n. 17,V
0,Lazio,Genoa,2021-12-17,Giornata n. 18,V
0,Salernitana,Inter,2021-12-17,Giornata n. 18,P
0,Cagliari,Udinese,2021-12-18,Giornata n. 18,P
0,Atalanta,Roma,2021-12-18,Giornata n. 18,P
0,Bologna,Juventus,2021-12-18,Giornata n. 18,P
