,h_team,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_corners,a_yellow_cards,a_red_cards,a_fouls,a_completed_passings,a_total_passings,a_percentage_possession
0,Salernitana,P,0,Atalanta,1,11.0,1.0,0,0,310.0,425.0,6.0,43.0,22.0,4,0,10.0,3.0,0,0,4.0,4,0,15.0,473.0,567.0,57.0
0,Lazio,N,2,Cagliari,2,28.0,10.0,0,0,646.0,748.0,10.0,72.0,5.0,1,0,10.0,3.0,0,0,1.0,3,1,13.0,198.0,296.0,28.0
0,Empoli,P,0,Sampdoria,3,15.0,4.0,0,0,349.0,456.0,8.0,53.0,11.0,2,0,14.0,8.0,0,0,8.0,2,0,15.0,294.0,400.0,47.0
0,Hellas Verona,V,3,Roma,2,10.0,6.0,0,0,367.0,468.0,3.0,53.0,18.0,4,0,15.0,2.0,0,0,8.0,2,0,17.0,294.0,410.0,47.0
0,Venezia,P,1,Spezia,2,14.0,3.0,0,0,320.0,425.0,3.0,45.0,15.0,4,0,12.0,3.0,0,0,10.0,1,0,11.0,403.0,522.0,55.0
0,Juventus,N,1,Milan,1,9.0,4.0,0,0,343.0,413.0,4.0,44.0,15.0,1,0,13.0,3.0,0,0,4.0,1,0,16.0,459.0,528.0,56.0
0,Udinese,P,0,Napoli,4,9.0,1.0,0,0,346.0,403.0,2.0,37.0,12.0,2,0,18.0,8.0,0,0,5.0,1,0,12.0,618.0,683.0,63.0
0,Fiorentina,P,1,Inter,3,14.0,6.0,0,0,452.0,530.0,4.0,53.0,13.0,2,1,17.0,5.0,0,0,8.0,3,0,17.0,400.0,472.0,47.0
0,Bologna,N,2,Genoa,2,16.0,4.0,1,1,471.0,567.0,6.0,59.0,15.0,3,0,10.0,5.0,1,1,2.0,4,0,19.0,292.0,392.0,41.0
0,Atalanta,V,2,Sassuolo,1,14.0,5.0,0,0,398.0,484.0,5.0,47.0,21.0,2,0,8.0,1.0,0,0,5.0,2,0,18.0,431.0,542.0,53.0
0,Salernitana,N,2,Hellas Verona,2,15.0,4.0,0,0,304.0,420.0,4.0,50.0,13.0,2,0,9.0,5.0,0,0,5.0,3,0,19.0,314.0,423.0,50.0
0,Cagliari,P,0,Empoli,2,15.0,1.0,0,0,376.0,489.0,7.0,49.0,15.0,2,0,18.0,5.0,0,0,4.0,1,0,14.0,394.0,499.0,51.0
0,Milan,V,2,Venezia,0,14.0,4.0,0,0,587.0,677.0,4.0,67.0,15.0,0,0,8.0,2.0,0,0,4.0,2,0,14.0,257.0,340.0,33.0
0,Spezia,P,2,Juventus,3,10.0,4.0,0,0,293.0,376.0,5.0,41.0,15.0,2,0,26.0,9.0,0,0,15.0,1,0,10.0,458.0,548.0,59.0
0,Torino,N,1,Lazio,1,16.0,5.0,0,0,313.0,416.0,6.0,45.0,21.0,3,0,5.0,1.0,1,1,5.0,3,0,9.0,378.0,499.0,55.0
0,Sampdoria,P,0,Napoli,4,13.0,5.0,0,0,414.0,509.0,5.0,48.0,11.0,2,0,17.0,9.0,0,0,5.0,1,0,8.0,481.0,552.0,52.0
0,Roma,V,1,Udinese,0,12.0,2.0,0,0,455.0,544.0,6.0,52.0,23.0,4,1,8.0,2.0,0,0,6.0,1,0,8.0,421.0,511.0,48.0
0,Genoa,N,3,Hellas Verona,3,10.0,3.0,1,1,351.0,464.0,3.0,49.0,15.0,3,0,11.0,6.0,1,1,2.0,1,0,15.0,358.0,475.0,51.0
0,Inter,N,2,Atalanta,2,17.0,6.0,0,1,337.0,430.0,4.0,50.0,16.0,3,0,21.0,5.0,0,0,11.0,5,0,12.0,351.0,429.0,50.0
0,Spezia,P,1,Milan,2,8.0,2.0,0,0,242.0,319.0,2.0,36.0,13.0,2,0,18.0,5.0,0,0,4.0,2,0,12.0,461.0,557.0,64.0
0,Napoli,V,2,Cagliari,0,16.0,6.0,1,1,696.0,766.0,6.0,67.0,11.0,2,0,6.0,0.0,0,0,4.0,1,0,13.0,297.0,375.0,33.0
0,Sassuolo,V,1,Salernitana,0,17.0,6.0,0,0,409.0,491.0,4.0,57.0,17.0,3,0,12.0,4.0,0,0,8.0,3,0,18.0,277.0,371.0,43.0
0,Lazio,V,3,Roma,2,10.0,4.0,0,0,406.0,475.0,1.0,50.0,16.0,2,0,19.0,6.0,1,1,9.0,4,0,14.0,409.0,481.0,50.0
0,Empoli,V,4,Bologna,2,14.0,6.0,1,1,219.0,299.0,2.0,37.0,16.0,2,0,20.0,5.0,0,1,10.0,2,0,22.0,420.0,500.0,63.0
0,Udinese,P,0,Fiorentina,1,12.0,5.0,0,0,423.0,506.0,4.0,46.0,17.0,2,0,7.0,1.0,1,1,1.0,3,0,14.0,518.0,599.0,54.0
0,Juventus,V,3,Sampdoria,2,15.0,5.0,1,1,387.0,478.0,4.0,50.0,24.0,4,0,6.0,3.0,0,0,2.0,3,0,18.0,391.0,487.0,50.0
0,Venezia,N,1,Torino,1,6.0,0.0,1,1,300.0,404.0,4.0,44.0,9.0,1,0,8.0,3.0,0,0,1.0,4,1,20.0,417.0,521.0,56.0
0,Cagliari,N,1,Venezia,1,9.0,3.0,0,0,310.0,401.0,2.0,42.0,16.0,2,0,12.0,4.0,0,0,4.0,5,0,20.0,455.0,548.0,58.0
0,Salernitana,V,1,Genoa,0,10.0,4.0,0,0,308.0,419.0,9.0,50.0,20.0,2,0,18.0,3.0,0,0,8.0,2,0,19.0,336.0,427.0,50.0
0,Sassuolo,P,1,Inter,2,11.0,7.0,1,1,432.0,524.0,6.0,55.0,11.0,4,0,16.0,2.0,1,1,8.0,2,0,21.0,348.0,436.0,45.0
0,Torino,P,0,Juventus,1,13.0,2.0,0,0,347.0,452.0,4.0,48.0,23.0,3,0,10.0,3.0,0,0,6.0,1,0,16.0,386.0,488.0,52.0
0,Roma,V,2,Empoli,0,18.0,5.0,0,0,580.0,644.0,5.0,64.0,13.0,2,0,12.0,3.0,0,0,5.0,3,0,17.0,304.0,368.0,36.0
0,Bologna,V,3,Lazio,0,10.0,3.0,0,0,378.0,462.0,3.0,41.0,7.0,2,0,8.0,4.0,0,0,3.0,5,1,18.0,570.0,665.0,59.0
0,Hellas Verona,V,4,Spezia,0,6.0,4.0,0,0,345.0,428.0,1.0,45.0,17.0,1,0,12.0,4.0,0,0,5.0,1,1,12.0,444.0,525.0,55.0
