,Data,Casa,Punteggio,Ospiti
0,2015-08-22,Hellas Verona,1–1,Roma
1,2015-08-22,Lazio,2–1,Bologna
2,2015-08-23,Juventus,0–1,Udinese
3,2015-08-23,Empoli,1–3,Chievo
4,2015-08-23,Frosinone,1–2,Torino
5,2015-08-23,Sampdoria,5–2,Carpi
6,2015-08-23,Inter,1–0,Atalanta
7,2015-08-23,Fiorentina,2–0,Milan
8,2015-08-23,Palermo,1–0,Genoa
9,2015-08-23,Sassuolo,2–1,Napoli
11,2015-08-29,Bologna,0–1,Sassuolo
12,2015-08-29,Milan,2–1,Empoli
13,2015-08-30,Roma,2–1,Juventus
14,2015-08-30,Napoli,2–2,Sampdoria
15,2015-08-30,Udinese,0–1,Palermo
16,2015-08-30,Atalanta,2–0,Frosinone
17,2015-08-30,Torino,3–1,Fiorentina
18,2015-08-30,Genoa,2–0,Hellas Verona
19,2015-08-30,Carpi,1–2,Inter
20,2015-08-30,Chievo,4–0,Lazio
22,2015-09-12,Fiorentina,1–0,Genoa
23,2015-09-12,Frosinone,0–2,Roma
24,2015-09-12,Juventus,1–1,Chievo
25,2015-09-13,Hellas Verona,2–2,Torino
26,2015-09-13,Palermo,2–2,Carpi
27,2015-09-13,Sassuolo,2–2,Atalanta
28,2015-09-13,Empoli,2–2,Napoli
29,2015-09-13,Lazio,2–0,Udinese
30,2015-09-13,Inter,1–0,Milan
31,2015-09-14,Sampdoria,2–0,Bologna
33,2015-09-19,Udinese,1–2,Empoli
34,2015-09-19,Milan,3–2,Palermo
35,2015-09-20,Chievo,0–1,Inter
36,2015-09-20,Genoa,0–2,Juventus
37,2015-09-20,Bologna,1–0,Frosinone
38,2015-09-20,Atalanta,1–1,Hellas Verona
39,2015-09-20,Roma,2–2,Sassuolo
40,2015-09-20,Torino,2–0,Sampdoria
41,2015-09-20,Carpi,0–1,Fiorentina
42,2015-09-20,Napoli,5–0,Lazio
44,2015-09-22,Udinese,2–3,Milan
45,2015-09-23,Sampdoria,2–1,Roma
46,2015-09-23,Juventus,1–1,Frosinone
47,2015-09-23,Inter,1–0,Hellas Verona
48,2015-09-23,Carpi,0–0,Napoli
49,2015-09-23,Chievo,1–0,Torino
50,2015-09-23,Palermo,0–1,Sassuolo
51,2015-09-23,Fiorentina,2–0,Bologna
52,2015-09-23,Lazio,2–0,Genoa
53,2015-09-24,Empoli,0–1,Atalanta
55,2015-09-26,Roma,5–1,Carpi
56,2015-09-26,Napoli,2–1,Juventus
57,2015-09-27,Genoa,1–0,Milan
58,2015-09-27,Torino,2–1,Palermo
59,2015-09-27,Bologna,1–2,Udinese
60,2015-09-27,Hellas Verona,1–2,Lazio
61,2015-09-27,Sassuolo,1–1,Chievo
62,2015-09-27,Inter,1–4,Fiorentina
63,2015-09-28,Frosinone,2–0,Empoli
64,2015-09-28,Atalanta,2–1,Sampdoria
66,2015-10-03,Carpi,2–1,Torino
67,2015-10-03,Chievo,1–1,Hellas Verona
68,2015-10-04,Empoli,1–0,Sassuolo
69,2015-10-04,Sampdoria,1–1,Inter
70,2015-10-04,Palermo,2–4,Roma
71,2015-10-04,Udinese,1–1,Genoa
72,2015-10-04,Lazio,2–0,Frosinone
73,2015-10-04,Juventus,3–1,Bologna
74,2015-10-04,Fiorentina,3–0,Atalanta
75,2015-10-04,Milan,0–4,Napoli
77,2015-10-17,Roma,3–1,Empoli
78,2015-10-17,Torino,1–1,Milan
79,2015-10-18,Bologna,0–1,Palermo
80,2015-10-18,Hellas Verona,1–1,Udinese
81,2015-10-18,Atalanta,3–0,Carpi
82,2015-10-18,Napoli,2–1,Fiorentina
83,2015-10-18,Frosinone,2–0,Sampdoria
84,2015-10-18,Sassuolo,2–1,Lazio
85,2015-10-18,Genoa,3–2,Chievo
86,2015-10-18,Inter,0–0,Juventus
88,2015-10-24,Empoli,2–0,Genoa
89,2015-10-24,Carpi,1–2,Bologna
90,2015-10-24,Palermo,1–1,Inter
91,2015-10-25,Sampdoria,4–1,Hellas Verona
92,2015-10-25,Juventus,2–0,Atalanta
93,2015-10-25,Udinese,1–0,Frosinone
94,2015-10-25,Milan,2–1,Sassuolo
95,2015-10-25,Lazio,3–0,Torino
96,2015-10-25,Fiorentina,1–2,Roma
97,2015-10-25,Chievo,0–1,Napoli
99,2015-10-27,Bologna,0–1,Inter
100,2015-10-28,Hellas Verona,0–2,Fiorentina
101,2015-10-28,Atalanta,2–1,Lazio
102,2015-10-28,Sassuolo,1–0,Juventus
103,2015-10-28,Torino,3–3,Genoa
104,2015-10-28,Milan,1–0,Chievo
105,2015-10-28,Roma,3–1,Udinese
106,2015-10-28,Napoli,2–0,Palermo
107,2015-10-28,Frosinone,2–1,Carpi
108,2015-10-29,Sampdoria,1–1,Empoli
110,2015-10-31,Juventus,2–1,Torino
111,2015-10-31,Inter,1–0,Roma
112,2015-11-01,Fiorentina,4–1,Frosinone
113,2015-11-01,Genoa,0–0,Napoli
114,2015-11-01,Carpi,0–0,Hellas Verona
115,2015-11-01,Bologna,3–0,Atalanta
116,2015-11-01,Udinese,0–0,Sassuolo
117,2015-11-01,Lazio,1–3,Milan
118,2015-11-02,Chievo,1–1,Sampdoria
119,2015-11-02,Palermo,0–1,Empoli
121,2015-11-07,Hellas Verona,0–2,Bologna
122,2015-11-07,Milan,0–0,Atalanta
123,2015-11-08,Torino,0–1,Inter
124,2015-11-08,Roma,2–0,Lazio
125,2015-11-08,Empoli,1–3,Juventus
126,2015-11-08,Palermo,1–0,Chievo
127,2015-11-08,Sassuolo,1–0,Carpi
