,Data,Casa,Punteggio,Ospiti
0,2018-08-18,chievo,2–3,juventus
1,2018-08-18,lazio,1–2,napoli
2,2018-08-19,torino,0–1,roma
3,2018-08-19,empoli,2–0,cagliari
4,2018-08-19,sassuolo,1–0,inter
5,2018-08-19,parma,2–2,udinese
6,2018-08-19,bologna,0–1,spal
7,2018-08-20,atalanta,4–0,frosinone
9,2018-08-25,juventus,2–0,lazio
10,2018-08-25,napoli,3–2,milan
11,2018-08-26,spal,1–0,parma
12,2018-08-26,cagliari,2–2,sassuolo
13,2018-08-26,inter,2–2,torino
14,2018-08-26,frosinone,0–0,bologna
15,2018-08-26,udinese,1–0,sampdoria
16,2018-08-26,fiorentina,6–1,chievo
17,2018-08-26,genoa,2–1,empoli
18,2018-08-27,roma,3–3,atalanta
20,2018-08-31,milan,2–1,roma
21,2018-09-01,bologna,0–3,inter
22,2018-09-01,parma,1–2,juventus
23,2018-09-02,fiorentina,1–0,udinese
24,2018-09-02,chievo,0–0,empoli
25,2018-09-02,lazio,1–0,frosinone
26,2018-09-02,torino,1–0,spal
27,2018-09-02,atalanta,0–1,cagliari
28,2018-09-02,sampdoria,3–0,napoli
29,2018-09-02,sassuolo,5–3,genoa
31,2018-09-15,inter,0–1,parma
32,2018-09-15,napoli,1–0,fiorentina
33,2018-09-15,frosinone,0–5,sampdoria
34,2018-09-16,roma,2–2,chievo
35,2018-09-16,juventus,2–1,sassuolo
36,2018-09-16,udinese,1–1,torino
37,2018-09-16,genoa,1–0,bologna
38,2018-09-16,empoli,0–1,lazio
39,2018-09-16,cagliari,1–1,milan
40,2018-09-17,spal,2–0,atalanta
42,2018-09-19,sampdoria,1–1,fiorentina
44,2018-09-21,sassuolo,3–1,empoli
45,2018-09-22,parma,2–0,cagliari
46,2018-09-22,fiorentina,3–0,spal
47,2018-09-22,sampdoria,0–1,inter
48,2018-09-23,torino,1–3,napoli
49,2018-09-23,bologna,2–0,roma
50,2018-09-23,chievo,0–2,udinese
51,2018-09-23,lazio,4–1,genoa
52,2018-09-23,milan,2–2,atalanta
