,Data,Casa,Punteggio,Ospiti
0,2021-08-21,hellas verona,2–3,sassuolo
1,2021-08-21,inter,4–0,genoa
2,2021-08-21,empoli,1–3,lazio
3,2021-08-21,torino,1–2,atalanta
4,2021-08-22,bologna,3–2,salernitana
5,2021-08-22,udinese,2–2,juventus
6,2021-08-22,napoli,2–0,venezia
7,2021-08-22,roma,3–1,fiorentina
8,2021-08-23,cagliari,2–2,spezia
9,2021-08-23,sampdoria,0–1,milan
11,2021-08-27,udinese,3–0,venezia
12,2021-08-27,hellas verona,1–3,inter
13,2021-08-28,atalanta,0–0,bologna
14,2021-08-28,lazio,6–1,spezia
15,2021-08-28,fiorentina,2–1,torino
16,2021-08-28,juventus,0–1,empoli
17,2021-08-29,sassuolo,0–0,sampdoria
18,2021-08-29,genoa,1–2,napoli
19,2021-08-29,milan,4–1,cagliari
20,2021-08-29,salernitana,0–4,roma
22,2021-09-11,empoli,1–2,venezia
23,2021-09-11,napoli,2–1,juventus
24,2021-09-11,atalanta,1–2,fiorentina
25,2021-09-12,sampdoria,2–2,inter
26,2021-09-12,spezia,0–1,udinese
27,2021-09-12,torino,4–0,salernitana
28,2021-09-12,cagliari,2–3,genoa
29,2021-09-12,milan,2–0,lazio
30,2021-09-12,roma,2–1,sassuolo
31,2021-09-13,bologna,1–0,hellas verona
33,2021-09-17,sassuolo,0–1,torino
34,2021-09-18,genoa,1–2,fiorentina
35,2021-09-18,inter,6–1,bologna
36,2021-09-18,salernitana,0–1,atalanta
37,2021-09-19,empoli,0–3,sampdoria
38,2021-09-19,venezia,1–2,spezia
39,2021-09-19,hellas verona,3–2,roma
40,2021-09-19,lazio,2–2,cagliari
41,2021-09-19,juventus,1–1,milan
42,2021-09-20,udinese,0–4,napoli
44,2021-09-21,bologna,2–2,genoa
45,2021-09-21,atalanta,2–1,sassuolo
46,2021-09-21,fiorentina,1–3,inter
47,2021-09-22,salernitana,2–2,hellas verona
48,2021-09-22,spezia,2–3,juventus
49,2021-09-22,milan,2–0,venezia
50,2021-09-22,cagliari,0–2,empoli
51,2021-09-23,torino,1–1,lazio
52,2021-09-23,sampdoria,0–4,napoli
53,2021-09-23,roma,1–0,udinese
55,2021-09-25,spezia,1–2,milan
56,2021-09-25,inter,2–2,atalanta
57,2021-09-25,genoa,3–3,hellas verona
58,2021-09-26,juventus,3–2,sampdoria
59,2021-09-26,udinese,0–1,fiorentina
60,2021-09-26,sassuolo,1–0,salernitana
61,2021-09-26,empoli,4–2,bologna
62,2021-09-26,lazio,3–2,roma
63,2021-09-26,napoli,2–0,cagliari
64,2021-09-27,venezia,1–1,torino
66,2021-10-01,cagliari,1–1,venezia
67,2021-10-02,salernitana,1–0,genoa
68,2021-10-02,torino,0–1,juventus
69,2021-10-02,sassuolo,1–2,inter
70,2021-10-03,bologna,3–0,lazio
71,2021-10-03,sampdoria,3–3,udinese
72,2021-10-03,hellas verona,4–0,spezia
73,2021-10-03,fiorentina,1–2,napoli
74,2021-10-03,roma,2–0,empoli
75,2021-10-03,atalanta,2–3,milan
77,2021-10-16,spezia,2–1,salernitana
78,2021-10-16,lazio,3–1,inter
79,2021-10-16,milan,3–2,hellas verona
80,2021-10-17,cagliari,3–1,sampdoria
81,2021-10-17,udinese,1–1,bologna
82,2021-10-17,empoli,1–4,atalanta
83,2021-10-17,genoa,2–2,sassuolo
84,2021-10-17,napoli,1–0,torino
85,2021-10-17,juventus,1–0,roma
86,2021-10-18,venezia,1–0,fiorentina
88,2021-10-22,torino,3–2,genoa
89,2021-10-22,sampdoria,2–1,spezia
90,2021-10-23,salernitana,2–4,empoli
91,2021-10-23,sassuolo,3–1,venezia
92,2021-10-23,bologna,2–4,milan
93,2021-10-24,atalanta,1–1,udinese
94,2021-10-24,fiorentina,3–0,cagliari
95,2021-10-24,hellas verona,4–1,lazio
96,2021-10-24,roma,0–0,napoli
97,2021-10-24,inter,1–1,juventus
99,2021-10-26,spezia,1–1,genoa
100,2021-10-26,venezia,1–2,salernitana
101,2021-10-26,milan,1–0,torino
102,2021-10-27,udinese,1–1,hellas verona
103,2021-10-27,sampdoria,1–3,atalanta
104,2021-10-27,juventus,1–2,sassuolo
105,2021-10-27,lazio,1–0,fiorentina
106,2021-10-27,cagliari,1–2,roma
107,2021-10-27,empoli,0–2,inter
108,2021-10-28,napoli,3–0,bologna
110,2021-10-30,atalanta,2–2,lazio
111,2021-10-30,hellas verona,2–1,juventus
112,2021-10-30,torino,3–0,sampdoria
113,2021-10-31,inter,2–0,udinese
114,2021-10-31,fiorentina,3–0,spezia
115,2021-10-31,genoa,0–0,venezia
116,2021-10-31,sassuolo,1–2,empoli
117,2021-10-31,salernitana,0–1,napoli
118,2021-10-31,roma,1–2,milan
119,2021-11-01,bologna,2–0,cagliari
121,2021-11-05,empoli,2–2,genoa
122,2021-11-06,spezia,1–0,torino
123,2021-11-06,juventus,1–0,fiorentina
124,2021-11-06,cagliari,1–2,atalanta
125,2021-11-07,venezia,3–2,roma
126,2021-11-07,udinese,3–2,sassuolo
127,2021-11-07,sampdoria,1–2,bologna
128,2021-11-07,napoli,1–1,hellas verona
129,2021-11-07,lazio,3–0,salernitana
130,2021-11-07,milan,1–1,inter
132,2021-11-20,atalanta,5–2,spezia
133,2021-11-20,lazio,0–2,juventus
134,2021-11-20,fiorentina,4–3,milan
135,2021-11-21,sassuolo,2–2,cagliari
136,2021-11-21,salernitana,0–2,sampdoria
137,2021-11-21,bologna,0–1,venezia
138,2021-11-21,inter,3–2,napoli
139,2021-11-21,genoa,0–2,roma
140,2021-11-22,hellas verona,2–1,empoli
141,2021-11-22,torino,2–1,udinese
143,2021-11-26,cagliari,1–1,salernitana
144,2021-11-27,empoli,2–1,fiorentina
145,2021-11-27,sampdoria,3–1,hellas verona
146,2021-11-27,juventus,0–1,atalanta
147,2021-11-27,venezia,0–2,inter
148,2021-11-28,udinese,0–0,genoa
149,2021-11-28,milan,1–3,sassuolo
150,2021-11-28,spezia,0–1,bologna
151,2021-11-28,roma,1–0,torino
152,2021-11-28,napoli,4–0,lazio
154,2021-11-30,atalanta,4–0,venezia
155,2021-11-30,fiorentina,3–1,sampdoria
156,2021-11-30,hellas verona,0–0,cagliari
157,2021-11-30,salernitana,0–2,juventus
158,2021-12-01,bologna,1–0,roma
159,2021-12-01,inter,2–0,spezia
160,2021-12-01,sassuolo,2–2,napoli
161,2021-12-01,genoa,0–3,milan
162,2021-12-02,torino,2–2,empoli
163,2021-12-02,lazio,4–4,udinese
165,2021-12-04,milan,2–0,salernitana
166,2021-12-04,roma,0–3,inter
167,2021-12-04,napoli,2–3,atalanta
168,2021-12-05,bologna,2–3,fiorentina
169,2021-12-05,venezia,3–4,hellas verona
170,2021-12-05,spezia,2–2,sassuolo
171,2021-12-05,sampdoria,1–3,lazio
172,2021-12-05,juventus,2–0,genoa
173,2021-12-06,empoli,3–1,udinese
174,2021-12-06,cagliari,1–1,torino
176,2021-12-10,genoa,1–3,sampdoria
177,2021-12-11,fiorentina,4–0,salernitana
178,2021-12-11,venezia,1–1,juventus
179,2021-12-11,udinese,1–1,milan
180,2021-12-12,torino,2–1,bologna
181,2021-12-12,hellas verona,1–2,atalanta
182,2021-12-12,napoli,0–1,empoli
183,2021-12-12,sassuolo,2–1,lazio
184,2021-12-12,inter,4–0,cagliari
185,2021-12-13,roma,2–0,spezia
187,2021-12-17,lazio,3–1,genoa
188,2021-12-17,salernitana,0–5,inter
189,2021-12-18,atalanta,1–4,roma
190,2021-12-18,bologna,0–2,juventus
191,2021-12-18,cagliari,0–4,udinese
192,2021-12-19,fiorentina,2–2,sassuolo
193,2021-12-19,spezia,1–1,empoli
194,2021-12-19,sampdoria,1–1,venezia
195,2021-12-19,torino,1–0,hellas verona
196,2021-12-19,milan,0–1,napoli
198,2021-12-21,juventus,2–0,cagliari
199,2021-12-21,genoa,0–0,atalanta
200,2021-12-22,venezia,1–3,lazio
201,2021-12-22,sassuolo,0–3,bologna
202,2021-12-22,inter,1–0,torino
203,2021-12-22,roma,1–1,sampdoria
204,2021-12-22,hellas verona,1–1,fiorentina
205,2021-12-22,napoli,0–1,spezia
206,2021-12-22,empoli,2–4,milan
208,2022-01-06,sampdoria,1–2,cagliari
209,2022-01-06,lazio,3–3,empoli
210,2022-01-06,spezia,1–2,hellas verona
211,2022-01-06,sassuolo,1–1,genoa
212,2022-01-06,milan,3–1,roma
213,2022-01-06,juventus,1–1,napoli
215,2022-01-09,venezia,0–3,milan
216,2022-01-09,empoli,1–5,sassuolo
