,h_team,h_goals,a_team,a_goals,date,matchday
0,Bologna,2,Milan,4,2021-10-23,Giornata n. 9
0,Hellas Verona,4,Lazio,1,2021-10-24,Giornata n. 9
0,Roma,0,Napoli,0,2021-10-24,Giornata n. 9
0,Inter,1,Juventus,1,2021-10-24,Giornata n. 9
0,Atalanta,1,Udinese,1,2021-10-24,Giornata n. 9
0,Fiorentina,3,Cagliari,0,2021-10-24,Giornata n. 9
0,Venezia,1,Salernitana,2,2021-10-26,Giornata n. 10
0,Milan,1,Torino,0,2021-10-26,Giornata n. 10
0,Spezia,1,Genoa,1,2021-10-26,Giornata n. 10
0,Udinese,1,Hellas Verona,1,2021-10-27,Giornata n. 10
0,Juventus,1,Sassuolo,2,2021-10-27,Giornata n. 10
0,Lazio,1,Fiorentina,0,2021-10-27,Giornata n. 10
0,Sampdoria,1,Atalanta,3,2021-10-27,Giornata n. 10
0,Empoli,0,Inter,2,2021-10-27,Giornata n. 10
0,Cagliari,1,Roma,2,2021-10-27,Giornata n. 10
0,Napoli,3,Bologna,0,2021-10-28,Giornata n. 10
0,Torino,3,Sampdoria,0,2021-10-30,Giornata n. 11
0,Hellas Verona,2,Juventus,1,2021-10-30,Giornata n. 11
0,Atalanta,2,Lazio,2,2021-10-30,Giornata n. 11
0,Fiorentina,3,Spezia,0,2021-10-31,Giornata n. 11
0,Genoa,0,Venezia,0,2021-10-31,Giornata n. 11
0,Salernitana,0,Napoli,1,2021-10-31,Giornata n. 11
0,Inter,2,Udinese,0,2021-10-31,Giornata n. 11
0,Roma,1,Milan,2,2021-10-31,Giornata n. 11
0,Sassuolo,1,Empoli,2,2021-10-31,Giornata n. 11
0,Bologna,2,Cagliari,0,2021-11-01,Giornata n. 11
0,Empoli,2,Genoa,2,2021-11-05,Giornata n. 12
0,Cagliari,1,Atalanta,2,2021-11-06,Giornata n. 12
0,Juventus,1,Fiorentina,0,2021-11-06,Giornata n. 12
0,Spezia,1,Torino,0,2021-11-06,Giornata n. 12
0,Udinese,3,Sassuolo,2,2021-11-07,Giornata n. 12
0,Milan,1,Inter,1,2021-11-07,Giornata n. 12
0,Sampdoria,1,Bologna,2,2021-11-07,Giornata n. 12
0,Venezia,3,Roma,2,2021-11-07,Giornata n. 12
0,Lazio,3,Salernitana,0,2021-11-07,Giornata n. 12
0,Napoli,1,Hellas Verona,1,2021-11-07,Giornata n. 12
0,Fiorentina,4,Milan,3,2021-11-20,Giornata n. 13
0,Atalanta,5,Spezia,2,2021-11-20,Giornata n. 13
0,Lazio,0,Juventus,2,2021-11-20,Giornata n. 13
0,Sassuolo,2,Cagliari,2,2021-11-21,Giornata n. 13
0,Inter,3,Napoli,2,2021-11-21,Giornata n. 13
0,Genoa,0,Roma,2,2021-11-21,Giornata n. 13
0,Bologna,0,Venezia,1,2021-11-21,Giornata n. 13
0,Salernitana,0,Sampdoria,2,2021-11-21,Giornata n. 13
0,Torino,2,Udinese,1,2021-11-22,Giornata n. 13
0,Hellas Verona,2,Empoli,1,2021-11-22,Giornata n. 13
0,Cagliari,1,Salernitana,1,2021-11-26,Giornata n. 14
0,Sampdoria,3,Hellas Verona,1,2021-11-27,Giornata n. 14
0,Venezia,0,Inter,2,2021-11-27,Giornata n. 14
0,Empoli,2,Fiorentina,1,2021-11-27,Giornata n. 14
0,Juventus,0,Atalanta,1,2021-11-27,Giornata n. 14
0,Udinese,0,Genoa,0,2021-11-28,Giornata n. 14
0,Spezia,0,Bologna,1,2021-11-28,Giornata n. 14
0,Milan,1,Sassuolo,3,2021-11-28,Giornata n. 14
0,Napoli,4,Lazio,0,2021-11-28,Giornata n. 14
0,Roma,1,Torino,0,2021-11-28,Giornata n. 14
0,Atalanta,4,Venezia,0,2021-11-30,Giornata n. 15
