,matchday,date,h_team,a_team,result,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
34,Giornata n. 4,2021-09-19,Lazio,Cagliari,N,1.3333333333333333,-0.6666666666666679,2.333333333333334,-0.3333333333333333,0.0,152.0,133.33333333333337,-2.6666666666666665,4.333333333333343,-1.0,-1.3333333333333333,0.0
35,Giornata n. 4,2021-09-19,Empoli,Sampdoria,P,0.33333333333333337,3.0000000000000018,1.666666666666667,0.3333333333333333,0.3333333333333333,82.0,80.66666666666669,1.333333333333333,7.666666666666657,-5.0,-0.666666666666667,0.0
36,Giornata n. 4,2021-09-19,Hellas Verona,Roma,V,-2.0,-10.0,-5.666666666666667,0.3333333333333333,0.3333333333333333,-152.0,-143.66666666666669,-1.0,-9.333333333333343,5.333333333333332,0.3333333333333335,0.0
37,Giornata n. 4,2021-09-19,Venezia,Spezia,P,-0.33333333333333337,-2.666666666666668,-0.3333333333333335,0.0,0.0,-5.333333333333314,-15.333333333333371,-1.333333333333333,-2.0,5.333333333333334,3.0,-0.3333333333333333
38,Giornata n. 4,2021-09-19,Juventus,Milan,N,-1.333333333333333,-3.666666666666666,0.3333333333333335,-0.3333333333333333,-0.6666666666666666,-46.333333333333314,-55.0,-1.333333333333333,-4.0,1.666666666666666,1.0,0.0
39,Giornata n. 4,2021-09-20,Udinese,Napoli,P,0.0,-2.666666666666666,0.33333333333333304,0.0,-0.3333333333333333,-190.99999999999994,-190.66666666666663,-1.666666666666667,-17.0,2.666666666666666,-0.33333333333333326,-0.3333333333333333
40,Giornata n. 5,2021-09-21,Fiorentina,Inter,P,-2.0,-4.75,-2.75,0.5,0.5,21.25,22.75,0.0,3.75,3.0,1.75,0.25
41,Giornata n. 5,2021-09-21,Bologna,Genoa,N,0.0,2.75,0.5,-0.25,-0.25,41.75,60.75,2.0,11.5,-0.75,1.0,0.5
42,Giornata n. 5,2021-09-21,Atalanta,Sassuolo,V,0.0,-2.5,-2.25,0.25,0.25,-22.5,5.5,-1.0,-0.5,2.5,1.75,0.0
43,Giornata n. 5,2021-09-22,Salernitana,Hellas Verona,N,-1.0,-1.0,-1.0,0.0,0.0,-126.25,-108.0,-0.75,-14.75,-1.0,-0.25,0.0
44,Giornata n. 5,2021-09-22,Cagliari,Empoli,P,1.0,-5.25,-0.75,0.25,0.25,-37.25,-46.0,-3.25,-7.75,2.75,0.75,0.25
45,Giornata n. 5,2021-09-22,Milan,Venezia,V,1.25,4.5,0.25,0.25,0.5,83.0,81.25,2.75,9.0,-3.5,-3.75,0.0
46,Giornata n. 5,2021-09-22,Spezia,Juventus,P,0.25,0.75,-0.5,0.0,0.0,5.5,24.5,1.0,1.0,-2.5,0.0,0.25
47,Giornata n. 5,2021-09-23,Torino,Lazio,N,-1.0,-0.25,-2.75,-0.25,-0.5,-237.75,-224.25,0.0,-11.0,8.75,1.25,0.0
48,Giornata n. 5,2021-09-23,Sampdoria,Napoli,P,-1.25,-3.0,-2.75,-0.25,-0.5,-251.5,-224.75,0.25,-15.5,4.25,1.0,-0.25
49,Giornata n. 5,2021-09-23,Roma,Udinese,V,1.25,5.5,0.75,-0.25,-0.25,73.75,86.0,2.25,11.25,-2.25,0.5,0.25
50,Giornata n. 6,2021-09-25,Genoa,Hellas Verona,N,-0.20000000000000018,-0.1999999999999993,0.3999999999999999,0.2,0.2,2.8000000000000114,-6.600000000000023,-1.5999999999999996,-7.600000000000001,-1.6000000000000014,0.0,-0.2
51,Giornata n. 6,2021-09-25,Inter,Atalanta,N,2.4000000000000004,2.4000000000000004,3.6,-0.2,-0.2,-13.0,-38.00000000000006,0.7999999999999998,-2.8000000000000043,-0.8000000000000007,-0.7999999999999998,0.0
52,Giornata n. 6,2021-09-25,Spezia,Milan,P,-0.6000000000000001,-3.1999999999999993,0.0,-0.2,-0.4,-105.39999999999998,-96.59999999999997,0.20000000000000018,-9.200000000000003,-1.1999999999999993,1.0,0.2
53,Giornata n. 6,2021-09-26,Napoli,Cagliari,V,1.4,5.0,4.2,-0.2,0.0,191.80000000000007,169.59999999999997,1.2000000000000002,13.399999999999999,-3.1999999999999993,-1.1999999999999997,0.0
54,Giornata n. 6,2021-09-26,Sassuolo,Salernitana,V,0.19999999999999996,4.200000000000001,2.4000000000000004,-0.2,-0.2,229.60000000000002,207.59999999999997,2.0,19.0,-2.4000000000000004,-1.2000000000000002,-0.2
55,Giornata n. 6,2021-09-26,Lazio,Roma,V,0.0,-3.8000000000000007,0.5999999999999996,0.4,0.6,104.60000000000002,106.0,-1.8000000000000007,5.600000000000001,-3.0,-0.8,-0.4
56,Giornata n. 6,2021-09-26,Empoli,Bologna,V,-0.3999999999999999,4.200000000000001,0.6000000000000001,0.0,0.0,-10.399999999999977,-5.800000000000011,1.3999999999999995,-0.7999999999999972,-1.6000000000000014,-1.6,-0.4
57,Giornata n. 6,2021-09-26,Udinese,Fiorentina,P,-0.40000000000000013,0.5999999999999996,-0.5999999999999996,-0.2,-0.2,-77.40000000000003,-81.80000000000001,-0.40000000000000036,-12.0,-2.8000000000000007,-1.6,-0.4
58,Giornata n. 6,2021-09-26,Juventus,Sampdoria,V,0.3999999999999999,0.8000000000000007,1.0,0.0,0.0,51.799999999999955,27.200000000000045,0.0,2.6000000000000014,-1.0,-1.0,0.0
59,Giornata n. 6,2021-09-27,Venezia,Torino,N,-1.0,-4.800000000000001,-1.2000000000000002,0.0,0.0,-4.599999999999966,-18.600000000000023,-2.1999999999999997,-6.600000000000001,-3.400000000000002,1.4000000000000004,0.0
