,matchday,date,h_team,a_team,result,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
124,Giornata n. 13,2021-11-21,Inter,Napoli,V,0.4166666666666665,-0.25,0.3333333333333339,-0.08333333333333331,-0.16666666666666669,-85.0,-77.91666666666663,1.083333333333333,-6.333333333333336,2.416666666666668,0.4166666666666665,-0.1666666666666666
125,Giornata n. 13,2021-11-21,Genoa,Roma,P,-0.33333333333333326,-6.333333333333329,-1.25,0.33333333333333337,0.2500000000000001,-95.75,-78.16666666666663,-2.416666666666666,-7.5,1.083333333333334,-0.25,-0.1666666666666666
126,Giornata n. 13,2021-11-21,Bologna,Venezia,P,0.6666666666666666,4.083333333333332,1.416666666666667,-0.0833333333333333,0.0,83.16666666666663,83.08333333333337,2.083333333333333,8.916666666666664,-3.7499999999999982,-0.3333333333333335,0.25
127,Giornata n. 13,2021-11-21,Salernitana,Sampdoria,P,-0.41666666666666663,0.08333333333333393,-0.16666666666666652,0.0,0.0,-30.666666666666686,-37.25,-0.5833333333333339,-3.5,0.5,-0.833333333333333,0.0833333333333333
128,Giornata n. 13,2021-11-22,Torino,Udinese,V,0.0,1.5,-0.666666666666667,-0.0833333333333333,-0.0833333333333333,52.333333333333314,70.5,-0.4166666666666665,11.666666666666664,6.000000000000002,0.75,-0.0833333333333333
129,Giornata n. 13,2021-11-22,Hellas Verona,Empoli,V,0.583333333333333,-4.0,0.0,0.0,0.0,18.91666666666663,20.333333333333314,-1.666666666666667,2.833333333333343,3.25,1.0,0.16666666666666669
130,Giornata n. 14,2021-11-26,Cagliari,Salernitana,N,0.38461538461538425,-2.153846153846155,-0.3846153846153846,0.1538461538461538,0.1538461538461538,21.692307692307736,11.769230769230774,-1.615384615384615,-1.46153846153846,-0.7692307692307683,0.3076923076923075,0.0
131,Giornata n. 14,2021-11-27,Sampdoria,Hellas Verona,V,-0.7692307692307694,0.5384615384615383,-0.3846153846153846,-0.2307692307692308,-0.2307692307692308,-36.61538461538464,-27.0,1.6153846153846154,-3.6153846153846203,-1.0769230769230784,0.23076923076923084,-0.1538461538461538
132,Giornata n. 14,2021-11-27,Venezia,Inter,P,-1.5384615384615383,-6.23076923076923,-2.1538461538461537,-0.1538461538461539,-0.3076923076923077,-105.61538461538464,-103.15384615384613,-2.615384615384615,-10.461538461538467,1.0769230769230749,0.9230769230769234,0.0769230769230769
133,Giornata n. 14,2021-11-27,Empoli,Fiorentina,V,-0.07692307692307665,1.46153846153846,-0.46153846153846123,-0.07692307692307687,-0.07692307692307687,-123.92307692307685,-109.30769230769226,0.0,-8.92307692307692,0.07692307692307665,-0.9230769230769229,-0.2307692307692308
134,Giornata n. 14,2021-11-27,Juventus,Atalanta,P,-0.6923076923076925,-2.1538461538461533,-0.6153846153846154,0.07692307692307701,0.0,-47.461538461538396,-61.076923076923094,-1.2307692307692308,-5.615384615384613,2.0769230769230766,-0.46153846153846145,0.0
135,Giornata n. 14,2021-11-28,Udinese,Genoa,N,-0.07692307692307687,1.153846153846155,1.1538461538461542,-0.3076923076923077,-0.3076923076923077,-6.538461538461547,-20.3846153846153,0.07692307692307665,-4.07692307692308,-1.0,-0.6923076923076921,0.1538461538461538
136,Giornata n. 14,2021-11-28,Spezia,Bologna,P,-0.30769230769230815,-2.4615384615384617,-0.7692307692307692,-0.0769230769230769,-0.1538461538461538,-54.153846153846075,-47.30769230769238,-1.2307692307692308,-3.615384615384613,2.076923076923075,-0.6923076923076925,-0.1538461538461539
137,Giornata n. 14,2021-11-28,Milan,Sassuolo,P,0.7692307692307692,0.6153846153846168,-0.6923076923076916,0.0769230769230769,0.1538461538461539,-36.46153846153845,-34.615384615384585,-0.8461538461538467,-2.3076923076923137,-0.3076923076923084,-0.4615384615384617,0.0769230769230769
138,Giornata n. 14,2021-11-28,Napoli,Lazio,V,0.07692307692307687,3.3076923076923084,0.07692307692307754,0.07692307692307701,0.23076923076923073,-6.230769230769226,-13.692307692307736,0.4615384615384621,3.6923076923076934,-0.5384615384615383,-0.5384615384615381,0.0
139,Giornata n. 14,2021-11-28,Roma,Torino,V,0.46153846153846145,4.923076923076923,1.0769230769230766,0.0769230769230769,0.1538461538461538,58.69230769230768,40.230769230769226,3.1538461538461537,1.46153846153846,-5.23076923076923,0.30769230769230793,0.0769230769230769
140,Giornata n. 15,2021-11-30,Atalanta,Venezia,V,1.1428571428571428,6.071428571428571,1.3571428571428572,0.0714285714285714,0.1428571428571429,119.21428571428578,131.3571428571429,2.3571428571428568,12.857142857142861,-0.7142857142857135,-0.5714285714285707,-0.0714285714285714
141,Giornata n. 15,2021-11-30,Fiorentina,Sampdoria,V,0.0714285714285714,0.7142857142857135,0.7857142857142847,0.2857142857142857,0.2857142857142857,132.9285714285714,108.14285714285717,0.14285714285714235,8.857142857142854,-1.7857142857142865,-0.2857142857142856,0.2142857142857143
142,Giornata n. 15,2021-11-30,Hellas Verona,Cagliari,N,0.8571428571428572,0.7857142857142865,1.1428571428571428,0.07142857142857151,0.07142857142857151,35.28571428571428,39.35714285714283,-0.3571428571428572,7.0714285714285765,2.071428571428573,0.28571428571428603,0.0714285714285714
143,Giornata n. 15,2021-11-30,Salernitana,Juventus,P,-0.5000000000000001,-1.928571428571427,-0.8571428571428572,-0.2142857142857143,-0.2142857142857143,-118.42857142857144,-101.21428571428584,0.9285714285714288,-7.285714285714292,-1.6428571428571406,-0.07142857142857206,0.1428571428571428
144,Giornata n. 15,2021-12-01,Sassuolo,Napoli,N,-0.5714285714285714,-1.1428571428571423,-0.07142857142857206,-0.1428571428571429,-0.3571428571428572,-77.57142857142861,-70.07142857142856,0.8571428571428568,-3.2857142857142847,1.6428571428571441,0.5714285714285716,-0.1428571428571428
145,Giornata n. 15,2021-12-01,Bologna,Roma,V,-0.2857142857142856,-3.9999999999999982,-0.07142857142857206,0.0714285714285714,0.0714285714285714,6.5,12.71428571428578,-0.5,0.5,-3.0,-0.42857142857142794,0.1428571428571429
146,Giornata n. 15,2021-12-01,Genoa,Milan,P,-0.9285714285714286,-3.142857142857144,-0.7857142857142856,0.1428571428571429,0.0714285714285714,-78.35714285714278,-64.71428571428555,-0.07142857142857117,-7.285714285714299,1.5,0.8571428571428572,-0.1428571428571428
147,Giornata n. 15,2021-12-01,Inter,Spezia,V,1.357142857142857,4.2857142857142865,1.7857142857142856,0.3571428571428571,0.5,69.14285714285722,57.21428571428572,1.0,3.9285714285714164,0.0,0.07142857142857073,-0.1428571428571428
148,Giornata n. 15,2021-12-02,Torino,Empoli,N,-0.2857142857142858,0.4285714285714288,-0.2857142857142856,-0.2857142857142857,-0.2857142857142857,52.142857142857224,57.07142857142867,-1.0,7.142857142857153,5.857142857142856,0.6428571428571428,0.0
149,Giornata n. 15,2021-12-02,Lazio,Udinese,N,0.642857142857143,-1.7857142857142865,0.07142857142857206,0.1428571428571428,0.2142857142857143,188.78571428571416,186.8571428571429,-0.9285714285714284,12.357142857142861,-2.2857142857142847,0.2142857142857144,0.0
150,Giornata n. 16,2021-12-04,Milan,Salernitana,V,1.4666666666666668,3.799999999999999,1.333333333333333,0.13333333333333341,0.2,131.4666666666667,116.80000000000001,-0.7999999999999998,11.599999999999994,-0.20000000000000107,0.13333333333333375,0.0
151,Giornata n. 16,2021-12-04,Roma,Inter,P,-0.7999999999999998,0.8666666666666671,-1.3999999999999995,-0.3333333333333334,-0.4,-24.133333333333383,-23.19999999999999,0.2666666666666666,-0.4000000000000128,0.6000000000000014,1.0,0.1333333333333333
152,Giornata n. 16,2021-12-04,Napoli,Atalanta,P,0.0,-0.40000000000000213,0.4666666666666659,0.0666666666666666,0.20000000000000007,69.06666666666666,49.46666666666658,-1.1333333333333329,3.6000000000000014,-1.6666666666666679,-0.5333333333333332,0.1333333333333333
153,Giornata n. 16,2021-12-05,Venezia,Hellas Verona,P,-1.0666666666666667,-2.5999999999999996,-0.9333333333333331,-0.1333333333333333,-0.1333333333333333,-42.26666666666665,-54.80000000000007,-1.0666666666666669,-9.533333333333339,-1.1333333333333329,0.2666666666666666,-0.13333333333333341
154,Giornata n. 16,2021-12-05,Spezia,Sassuolo,N,-0.6000000000000001,-2.2666666666666693,-1.2000000000000002,-0.1333333333333333,-0.1333333333333333,-88.73333333333329,-77.59999999999997,-0.40000000000000036,-7.733333333333341,0.2666666666666675,-0.46666666666666634,0.1333333333333333
155,Giornata n. 16,2021-12-05,Sampdoria,Lazio,P,-0.5333333333333332,0.20000000000000107,-0.8666666666666667,-0.13333333333333341,-0.2,-198.0,-174.53333333333342,1.0666666666666669,-9.200000000000003,2.4000000000000004,0.6000000000000001,-0.13333333333333341
156,Giornata n. 16,2021-12-05,Bologna,Fiorentina,P,-0.20000000000000018,1.0,-0.2666666666666666,-0.2,-0.1333333333333333,-36.39999999999998,-29.599999999999966,1.0666666666666664,-2.799999999999997,-1.3333333333333321,-0.06666666666666643,0.0
157,Giornata n. 16,2021-12-05,Juventus,Genoa,V,0.19999999999999996,2.2666666666666693,0.7999999999999998,-0.06666666666666671,0.0,98.0,84.13333333333344,0.2666666666666666,6.133333333333333,0.13333333333333286,-0.9333333333333331,0.0
158,Giornata n. 16,2021-12-06,Cagliari,Torino,N,-0.19999999999999973,-3.466666666666667,-0.8000000000000003,0.2,0.2,-61.73333333333329,-67.66666666666669,-0.3999999999999999,-10.333333333333321,-4.86666666666666,-0.1333333333333333,0.0
159,Giornata n. 16,2021-12-06,Empoli,Udinese,V,0.20000000000000018,0.9333333333333318,-0.5333333333333341,0.2,0.2,13.599999999999966,26.866666666666617,0.9333333333333336,5.866666666666667,-0.9333333333333318,-0.3999999999999999,-0.2
160,Giornata n. 17,2021-12-10,Genoa,Sampdoria,P,-0.3125,-1.25,-0.6875,0.25,0.25,12.0625,1.25,-1.25,-0.375,-0.1875,-0.375,-0.0625
161,Giornata n. 17,2021-12-11,Udinese,Milan,N,-0.875,-1.875,0.375,-0.125,-0.1875,-117.0625,-117.3125,0.125,-13.5,1.3125,0.5,0.125
162,Giornata n. 17,2021-12-11,Fiorentina,Salernitana,V,1.0,1.375,1.6875,0.3125,0.3125,170.0,154.0,-0.4375,13.8125,-1.1875,0.75,0.125
163,Giornata n. 17,2021-12-11,Venezia,Juventus,N,-0.4375,-5.75,-1.375,-0.125,-0.1875,-128.9375,-126.0,-1.5,-11.375,-0.75,0.875,0.125
164,Giornata n. 17,2021-12-12,Napoli,Empoli,P,0.5,0.3125,0.6875,0.0,0.1875,176.5,156.4375,-1.5625,10.4375,-1.0,-0.3125,0.0625
165,Giornata n. 17,2021-12-12,Hellas Verona,Atalanta,P,-0.1875,-3.9375,-0.5625,0.125,0.0625,-76.8125,-73.4375,-1.25,-2.625,1.3125,0.25,0.1875
166,Giornata n. 17,2021-12-12,Sassuolo,Lazio,V,-0.375,3.0625,0.5,-0.0625,-0.125,-54.1875,-56.3125,1.3125,1.6875,0.8125,0.0,-0.25
167,Giornata n. 17,2021-12-12,Inter,Cagliari,V,1.375,5.75,3.125,0.1875,0.3125,150.3125,133.75,2.25,10.9375,-0.125,-0.375,-0.125
168,Giornata n. 17,2021-12-12,Torino,Bologna,V,-0.1875,0.25,-0.75,-0.125,-0.1875,-38.125,-25.0,-1.6875,1.25,8.0,0.0,-0.125
169,Giornata n. 17,2021-12-13,Roma,Spezia,V,0.4375,6.0,0.4375,0.0625,0.125,61.4375,50.0625,1.875,4.625,0.6875,0.875,0.0
170,Giornata n. 18,2021-12-17,Lazio,Genoa,V,0.8823529411764708,-0.05882352941176627,1.4117647058823524,-0.11764705882352938,-0.05882352941176469,168.52941176470586,154.0588235294117,-0.6470588235294112,7.941176470588246,-2.470588235294116,-0.23529411764705888,0.2352941176470588
171,Giornata n. 18,2021-12-17,Salernitana,Inter,P,-1.8823529411764706,-6.117647058823529,-3.3529411764705883,-0.2941176470588235,-0.47058823529411764,-192.94117647058823,-176.41176470588238,-1.1176470588235299,-14.235294117647058,0.5294117647058787,-0.05882352941176516,0.1176470588235294
172,Giornata n. 18,2021-12-18,Cagliari,Udinese,P,-0.2941176470588236,-2.8235294117647065,-2.1176470588235294,0.11764705882352941,0.11764705882352941,-11.41176470588232,-0.35294117647055145,-1.1764705882352944,0.882352941176471,-1.6470588235294112,-0.11764705882352944,-0.1764705882352941
173,Giornata n. 18,2021-12-18,Atalanta,Roma,P,0.6470588235294117,-1.529411764705884,0.35294117647058876,0.11764705882352941,0.1176470588235294,20.35294117647061,35.76470588235293,-1.0588235294117645,2.294117647058812,0.0,-0.7647058823529407,-0.1764705882352941
174,Giornata n. 18,2021-12-18,Bologna,Juventus,P,0.05882352941176472,-1.9411764705882355,-0.41176470588235237,-0.05882352941176469,-0.05882352941176469,-51.35294117647061,-46.82352941176475,0.5882352941176467,-2.588235294117638,-3.529411764705884,0.6470588235294121,0.2352941176470588
175,Giornata n. 18,2021-12-19,Milan,Napoli,P,0.117647058823529,-0.588235294117645,-0.8235294117647065,-0.05882352941176469,-0.17647058823529413,-72.23529411764713,-63.70588235294122,0.11764705882352988,-2.764705882352942,1.0,0.23529411764705888,0.0
176,Giornata n. 18,2021-12-19,Fiorentina,Sassuolo,N,0.17647058823529393,-1.8235294117647065,-0.41176470588235237,0.23529411764705882,0.23529411764705882,5.882352941176521,6.4117647058823195,-0.5294117647058822,0.058823529411760944,-0.35294117647059053,0.11764705882352944,0.1764705882352941
177,Giornata n. 18,2021-12-19,Spezia,Empoli,N,-0.588235294117647,-3.2352941176470544,-0.47058823529411775,-0.2352941176470588,-0.2352941176470588,17.35294117647061,13.823529411764639,-1.2352941176470589,-0.41176470588235503,-0.47058823529411775,0.0,0.0588235294117647
178,Giornata n. 18,2021-12-19,Torino,Hellas Verona,V,-0.6470588235294119,1.6470588235294095,-0.2941176470588238,-0.2941176470588235,-0.2941176470588235,-1.4117647058823195,-1.7058823529412166,-0.23529411764705888,0.4705882352941302,3.4117647058823586,-0.05882352941176494,-0.058823529411764705
179,Giornata n. 18,2021-12-19,Sampdoria,Venezia,N,0.5294117647058826,3.0588235294117663,0.5882352941176472,-0.0588235294117647,-0.0588235294117647,-4.117647058823536,18.117647058823593,2.176470588235294,3.64705882352942,0.23529411764705976,0.117647058823529,-0.0588235294117647
180,Giornata n. 19,2021-12-21,Juventus,Cagliari,V,0.4444444444444444,4.5,2.1666666666666665,0.05555555555555561,0.11111111111111119,137.55555555555554,125.94444444444446,1.055555555555555,10.5,1.8333333333333375,-0.44444444444444464,-0.1666666666666666
181,Giornata n. 19,2021-12-21,Genoa,Atalanta,N,-1.0555555555555556,-5.111111111111114,-1.8333333333333335,0.11111111111111119,0.05555555555555558,-105.5,-105.33333333333331,-1.666666666666667,-9.222222222222221,0.4444444444444464,0.5,0.0
182,Giornata n. 19,2021-12-22,Venezia,Lazio,P,-1.0555555555555556,-1.5555555555555554,-1.3333333333333335,-0.0555555555555555,-0.1111111111111111,-183.94444444444446,-180.33333333333337,-0.7222222222222228,-11.333333333333343,3.0555555555555607,0.5,-0.1111111111111111
183,Giornata n. 19,2021-12-22,Roma,Sampdoria,N,0.22222222222222232,4.055555555555559,0.3888888888888884,0.0,0.05555555555555561,87.94444444444446,60.166666666666686,1.166666666666666,4.555555555555557,-0.3333333333333339,0.05555555555555536,0.1111111111111111
184,Giornata n. 19,2021-12-22,Napoli,Spezia,P,0.9444444444444444,4.444444444444439,1.1111111111111112,0.2222222222222222,0.3888888888888889,163.61111111111114,151.1111111111111,0.2777777777777777,11.777777777777779,-0.9444444444444446,-0.38888888888888884,0.0
185,Giornata n. 19,2021-12-22,Sassuolo,Bologna,P,0.3333333333333335,1.111111111111109,0.8888888888888893,-0.0555555555555555,-0.1111111111111111,48.666666666666686,41.00000000000006,-0.5,4.0,1.6111111111111143,0.0,-0.1666666666666667
186,Giornata n. 19,2021-12-22,Inter,Torino,V,1.3888888888888888,3.888888888888891,2.833333333333333,0.3333333333333333,0.5,109.27777777777777,87.61111111111114,2.333333333333334,2.7222222222222143,-5.72222222222222,-0.5555555555555556,-0.1111111111111111
187,Giornata n. 19,2021-12-22,Empoli,Milan,P,-0.4444444444444444,-0.1666666666666643,0.3888888888888884,0.05555555555555561,0.0,-94.11111111111114,-85.88888888888891,0.8888888888888884,-6.7777777777777715,0.05555555555555358,0.22222222222222232,-0.05555555555555561
188,Giornata n. 19,2021-12-22,Hellas Verona,Fiorentina,N,0.0,-1.2222222222222232,-0.9999999999999996,-0.055555555555555525,-0.055555555555555525,-110.72222222222223,-91.0,-0.6111111111111107,-5.555555555555557,2.9444444444444464,0.0,-0.05555555555555558
189,Giornata n. 20,2022-01-06,Lazio,Empoli,N,0.4736842105263157,-4.210526315789471,0.05263157894736814,-0.10526315789473689,-0.0526315789473685,155.9473684210526,143.5263157894737,-2.0526315789473686,4.789473684210527,-1.8421052631578938,0.3684210526315792,0.1578947368421052
190,Giornata n. 20,2022-01-06,Sampdoria,Cagliari,P,0.526315789473684,2.3157894736842106,1.3684210526315792,-0.10526315789473681,-0.10526315789473681,12.421052631578902,25.315789473684163,1.3684210526315796,3.421052631578945,0.7368421052631557,0.5789473684210527,-0.10526315789473681
191,Giornata n. 20,2022-01-06,Milan,Roma,V,0.4736842105263157,-1.3157894736842088,-0.1578947368421053,0.10526315789473681,0.1052631578947368,26.0,30.315789473684106,-1.6842105263157894,4.105263157894733,-0.2631578947368389,-1.0526315789473684,-0.052631578947368404
192,Giornata n. 20,2022-01-06,Sassuolo,Genoa,N,0.5789473684210529,3.947368421052632,2.263157894736842,-0.1578947368421053,-0.1578947368421053,123.42105263157896,105.89473684210526,1.0,10.736842105263158,-1.3684210526315788,-0.2105263157894739,0.0526315789473684
193,Giornata n. 20,2022-01-06,Juventus,Napoli,N,-0.42105263157894757,-1.3684210526315788,-0.10526315789473806,0.0,-0.10526315789473684,-61.99999999999994,-56.63157894736844,-0.1578947368421053,-4.736842105263165,2.473684210526317,0.10526315789473673,-0.1052631578947368
194,Giornata n. 20,2022-01-06,Spezia,Hellas Verona,P,-0.7894736842105263,-0.7368421052631611,-0.3157894736842102,-0.2631578947368421,-0.2631578947368421,-8.68421052631578,-20.736842105263122,0.2631578947368416,-4.526315789473685,-1.3157894736842088,-0.36842105263157876,-0.1052631578947368
195,Giornata n. 21,2022-01-09,Roma,Juventus,P,0.20000000000000018,1.0999999999999996,-0.35000000000000053,-0.15000000000000002,-0.15,-48.799999999999955,-49.49999999999994,1.75,-2.9499999999999957,-0.8499999999999996,1.25,0.25
196,Giornata n. 21,2022-01-09,Napoli,Sampdoria,V,0.40000000000000013,4.199999999999999,1.0,0.15000000000000002,0.3,192.3,162.34999999999997,0.25,12.350000000000001,-1.5,-1.2000000000000002,0.0
197,Giornata n. 21,2022-01-09,Udinese,Atalanta,P,-0.5555555555555556,-2.5321637426900594,0.09064327485380108,-0.1023391812865497,-0.1549707602339181,-133.94736842105272,-150.18713450292398,-1.233918128654972,-14.19883040935673,1.154970760233919,0.23391812865497075,0.2777777777777778
198,Giornata n. 21,2022-01-09,Venezia,Milan,P,-1.2026315789473683,-5.947368421052632,-1.0999999999999996,-0.09473684210526322,-0.1947368421052632,-101.56842105263155,-102.22631578947374,-1.655263157894736,-12.073684210526316,1.6815789473684202,0.9947368421052638,0.05789473684210519
199,Giornata n. 21,2022-01-09,Hellas Verona,Salernitana,P,1.1888888888888889,1.344444444444445,0.9666666666666668,0.1944444444444445,0.1944444444444445,72.54444444444448,80.10555555555555,-0.6944444444444446,10.094444444444441,1.327777777777781,0.7166666666666666,0.0888888888888889
200,Giornata n. 21,2022-01-09,Inter,Lazio,V,0.47894736842105257,5.997368421052631,1.6078947368421055,0.16578947368421051,0.2236842105263157,-27.421052631579016,-28.884210526315883,2.5710526315789477,1.5789473684210549,0.9342105263157894,-0.605263157894737,-0.2
201,Giornata n. 21,2022-01-09,Empoli,Sassuolo,P,0.09999999999999987,-0.05000000000000071,-0.8499999999999996,0.19999999999999998,0.19999999999999998,-123.04999999999995,-110.40000000000003,0.40000000000000036,-8.299999999999997,0.8499999999999996,-0.3999999999999999,0.0
202,Giornata n. 21,2022-01-09,Genoa,Spezia,P,0.0,-1.1000000000000014,-0.75,0.25,0.25,-11.199999999999989,-5.0,-0.5,-1.3999999999999986,0.6500000000000004,0.3500000000000001,-0.15
203,Giornata n. 21,2022-01-10,Torino,Fiorentina,V,-0.5789473684210527,0.36842105263157876,-1.1578947368421053,-0.3157894736842105,-0.3157894736842105,-95.84210526315786,-78.15789473684214,-0.8947368421052637,-3.8947368421052673,7.052631578947366,-0.1578947368421053,-0.1578947368421053
204,Giornata n. 21,2022-01-11,Cagliari,Bologna,V,-0.47105263157894717,-2.4210526315789487,-1.4578947368421051,-0.007894736842105204,-0.060526315789473595,-88.26052631578949,-80.7236842105263,-1.9210526315789478,-8.14473684210526,2.2868421052631582,-0.1315789473684208,-0.060526315789473595
205,Giornata n. 22,2022-01-15,Sampdoria,Torino,P,-0.01666666666666683,-1.28095238095238,0.01904761904761898,0.0476190476190476,0.0476190476190476,-47.445238095238096,-42.11904761904759,0.4333333333333331,-7.009523809523813,-4.497619047619047,0.5547619047619046,-0.0047619047619048005
206,Giornata n. 22,2022-01-15,Juventus,Udinese,V,0.050125313283207795,2.1779448621553907,0.030075187969925032,0.13784461152882202,0.1854636591478696,127.13533834586468,124.8145363408521,0.10275689223057594,11.699248120300744,-0.06015037593984829,-0.4210526315789478,-0.21553884711779447
207,Giornata n. 22,2022-01-15,Salernitana,Lazio,P,-1.363408521303258,-0.2456140350877174,-1.533834586466165,-0.037593984962406,-0.1328320802005012,-223.72932330827064,-210.77192982456137,1.085213032581454,-13.333333333333336,1.1528822055137837,-0.676691729323309,-0.08521303258145362
208,Giornata n. 22,2022-01-16,Atalanta,Inter,N,-0.34999999999999964,-1.25,-1.3499999999999996,-0.15,-0.25,-27.94999999999999,-8.75,-0.5499999999999998,-0.14999999999999858,1.0999999999999996,0.3500000000000001,0.0
209,Giornata n. 22,2022-01-16,Sassuolo,Hellas Verona,P,-0.047619047619047894,2.3809523809523814,1.4761904761904758,-0.0952380952380952,-0.0952380952380952,109.23809523809524,87.80952380952385,0.19047619047619158,4.904761904761912,-1.7142857142857153,0.09523809523809579,-0.1904761904761904
210,Giornata n. 22,2022-01-16,Roma,Cagliari,V,0.6666666666666667,5.9523809523809526,1.666666666666667,-0.09523809523809519,0.0,85.38095238095241,71.1904761904762,2.9523809523809517,7.095238095238095,0.2857142857142865,0.6190476190476186,0.0952380952380952
211,Giornata n. 22,2022-01-16,Venezia,Empoli,N,-0.719047619047619,-5.28095238095238,-1.2380952380952381,-0.1857142857142857,-0.1857142857142857,-20.252380952380975,-28.02857142857141,-2.628571428571429,-5.795238095238098,1.0666666666666664,0.657142857142857,0.1047619047619048
212,Giornata n. 22,2022-01-17,Bologna,Napoli,P,-0.3619047619047622,-3.8428571428571416,-0.6619047619047622,-0.040476190476190416,-0.1333333333333333,-127.34523809523807,-115.56904761904758,0.20952380952380967,-8.061904761904756,-0.9714285714285715,0.9333333333333333,0.1047619047619048
213,Giornata n. 22,2022-01-17,Fiorentina,Genoa,V,0.7476190476190475,2.935714285714287,1.9809523809523806,0.06190476190476199,0.06190476190476199,132.79523809523806,118.62142857142857,0.8547619047619053,11.971428571428568,-2.742857142857142,-0.11904761904761907,0.25
214,Giornata n. 22,2022-01-17,Milan,Spezia,P,1.1904761904761907,4.238095238095239,0.5238095238095242,0.238095238095238,0.3333333333333333,99.09523809523807,93.0,0.23809523809523814,9.57142857142857,-0.5238095238095237,-0.33333333333333326,-0.04761904761904759
215,Giornata n. 23,2022-01-21,Hellas Verona,Bologna,V,0.5303030303030303,0.5324675324675319,-0.14285714285714324,0.1298701298701299,0.0822510822510823,-34.92857142857139,-22.478354978354957,-0.23593073593073655,1.1298701298701275,3.069264069264067,-0.07359307359307365,0.0367965367965368
216,Giornata n. 23,2022-01-22,Inter,Venezia,V,1.5238095238095237,7.333333333333334,2.9523809523809526,0.1904761904761905,0.33333333333333326,161.09523809523813,156.19047619047626,3.2380952380952377,13.476190476190489,-1.9523809523809526,-0.9523809523809526,-0.1904761904761904
217,Giornata n. 23,2022-01-22,Lazio,Atalanta,N,-0.00432900432900496,-4.66017316017316,-0.21861471861471848,-0.006493506493506496,0.0367965367965368,65.57142857142861,47.396103896103796,-1.8073593073593068,-0.5346320346320326,-1.5757575757575744,0.40043290043290014,0.1818181818181818
218,Giornata n. 23,2022-01-22,Genoa,Udinese,N,-0.49090909090909074,-3.3909090909090924,-2.0999999999999996,0.1772727272727272,0.1772727272727272,8.149999999999977,21.67272727272723,-0.5909090909090908,2.836363636363636,-0.0318181818181813,0.2363636363636359,-0.25
219,Giornata n. 23,2022-01-23,Napoli,Salernitana,V,1.1227272727272726,5.795454545454547,1.9727272727272727,0.08181818181818179,0.21818181818181817,250.2454545454545,235.86363636363637,0.33636363636363686,19.513636363636365,-0.5454545454545432,-0.26363636363636345,-0.009090909090909108
220,Giornata n. 23,2022-01-23,Torino,Sassuolo,N,-0.34632034632034636,-1.5800865800865829,-1.4090909090909092,-0.1363636363636363,-0.1363636363636363,-94.67965367965377,-75.08658008658006,-1.0367965367965377,-3.694805194805184,5.8268398268398265,-0.21212121212121238,0.049783549783549805
221,Giornata n. 23,2022-01-23,Spezia,Sampdoria,V,-0.2727272727272725,-0.7727272727272734,0.1818181818181821,-0.0454545454545454,-0.0454545454545454,19.5,4.818181818181813,0.0,0.318181818181813,-0.18181818181818166,-0.36363636363636376,0.0454545454545454
222,Giornata n. 23,2022-01-23,Empoli,Roma,P,-0.045454545454545636,-1.4545454545454568,-0.18181818181818166,0.18181818181818182,0.09090909090909091,-54.72727272727275,-45.27272727272725,-0.8636363636363633,-2.4090909090909136,-0.27272727272727515,-0.8636363636363629,-0.1363636363636363
223,Giornata n. 23,2022-01-23,Milan,Juventus,N,0.5909090909090904,0.7272727272727284,-0.31818181818181834,0.045454545454545414,0.13636363636363638,-15.772727272727252,-11.545454545454618,0.2727272727272725,1.7272727272727266,-1.5454545454545432,0.0,0.0454545454545455
224,Giornata n. 23,2022-01-23,Cagliari,Fiorentina,N,-0.9502164502164503,-3.0021645021645043,-2.177489177489178,-0.1493506493506494,-0.19696969696969702,-160.02813852813853,-145.32683982683977,-1.4502164502164505,-13.917748917748916,2.391774891774892,0.16233766233766245,-0.1017316017316017
225,Giornata n. 24,2022-02-05,Roma,Genoa,N,0.8695652173913043,6.565217391304348,2.130434782608696,-0.1304347826086956,-0.04347826086956519,78.34782608695662,62.391304347826065,1.9565217391304346,6.217391304347828,-0.8695652173913047,0.3913043478260869,0.1739130434782608
226,Giornata n. 24,2022-02-05,Inter,Milan,P,0.36561264822134376,1.5652173913043477,1.879446640316207,0.05533596837944671,0.06126482213438744,60.85177865612644,56.403162055336,1.312252964426877,1.9920948616600782,-0.6304347826086953,-0.047430830039526084,-0.0869565217391304
227,Giornata n. 24,2022-02-05,Fiorentina,Lazio,P,-0.13636363636363646,2.308300395256918,0.47430830039525684,0.14229249011857711,0.1462450592885376,-51.57707509881419,-49.830039525691745,0.9071146245059287,2.750988142292492,-0.4565217391304355,-0.02371541501976271,0.0988142292490119
228,Giornata n. 24,2022-02-06,Atalanta,Cagliari,P,1.0434782608695652,5.003952569169961,2.0296442687747036,0.005928853754940705,0.007905138339920986,136.05928853754943,136.9723320158103,1.9802371541501977,10.871541501976289,-0.40118577075099005,-0.381422924901186,-0.1304347826086956
229,Giornata n. 24,2022-02-06,Sampdoria,Sassuolo,V,-0.43478260869565233,-3.0,-1.7826086956521738,-0.08695652173913039,-0.08695652173913039,-139.82608695652175,-115.86956521739137,-0.8695652173913038,-10.652173913043477,1.1304347826086971,0.26086956521739113,0.08695652173913039
