,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
39,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Ospiti,N,1,1,Udinese,1,9.0,2.0,222.0,0.0,0.0,207.0,0.0,1,1,1.2,0.5,5.0,-0.2,-0.5,Report partita
41,20-03-2022,18:00,Serie A,Giornata n. 30,Dom,Casa,V,3,0,Lazio,3,12.0,6.0,500.0,25.0,50.0,170.0,1.0,0,0,2.2,2.2,19.0,0.8,0.8,Report partita
42,03-04-2022,18:00,Serie A,Giornata n. 31,Dom,Ospiti,V,1,0,Sampdoria,1,6.0,1.0,167.0,17.0,100.0,144.0,0.0,0,0,1.1,1.1,19.0,-0.1,-0.1,Report partita
44,10-04-2022,18:00,Serie A,Giornata n. 32,Dom,Casa,V,2,1,Salernitana,2,17.0,7.0,412.0,12.0,29.0,160.0,1.0,0,0,1.6,1.6,10.0,0.4,0.4,Report partita
46,18-04-2022,19:00,Serie A,Giornata n. 33,Lun,Ospiti,N,1,1,Napoli,1,8.0,6.0,750.0,13.0,17.0,118.0,0.0,0,0,0.9,0.9,11.0,0.1,0.1,Report partita
47,23-04-2022,18:00,Serie A,Giornata n. 34,Sab,Ospiti,P,1,3,Inter,1,9.0,2.0,222.0,11.0,50.0,175.0,0.0,0,0,0.9,0.9,10.0,0.1,0.1,Report partita
49,01-05-2022,20:45,Serie A,Giornata n. 35,Dom,Casa,N,0,0,Bologna,0,18.0,5.0,278.0,0.0,0.0,189.0,1.0,0,0,1.0,1.0,6.0,-1.0,-1.0,Report partita
51,09-05-2022,20:45,Serie A,Giornata n. 36,Lun,Ospiti,P,0,2,Fiorentina,0,7.0,1.0,143.0,0.0,0.0,194.0,1.0,0,0,0.3,0.3,5.0,-0.3,-0.3,Report partita
52,14-05-2022,20:45,Serie A,Giornata n. 37,Sab,Casa,N,1,1,Venezia,1,46.0,15.0,326.0,2.0,7.0,187.0,4.0,0,0,3.2,3.2,7.0,-2.2,-2.2,Report partita
53,20-05-2022,20:45,Serie A,Giornata n. 38,Ven,Ospiti,V,3,0,Torino,3,11.0,4.0,364.0,9.0,25.0,197.0,0.0,2,2,2.6,1.1,10.0,0.4,-0.1,Report partita
