,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
24,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Ospiti,N,0,0,Genoa,0,17,3,176,0,0,163.0,0.0,0,0,1.2,1.2,7.0,-1.2,-1.2,Report partita
25,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Ospiti,V,6,2,Udinese,6,21,7,333,29,86,147.0,0.0,0,0,3.1,3.1,15.0,2.9,2.9,Report partita
27,16-01-2022,20:45,Serie A,Giornata n. 22,Dom,Casa,N,0,0,Inter,0,12,6,500,0,0,137.0,0.0,0,0,1.6,1.6,13.0,-1.6,-1.6,Report partita
28,22-01-2022,20:45,Serie A,Giornata n. 23,Sab,Ospiti,N,0,0,Lazio,0,6,2,333,0,0,172.0,0.0,0,0,0.4,0.4,6.0,-0.4,-0.4,Report partita
29,06-02-2022,12:30,Serie A,Giornata n. 24,Dom,Casa,P,1,2,Cagliari,1,10,4,400,10,25,177.0,1.0,0,0,1.1,1.1,11.0,-0.1,-0.1,Report partita
31,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Casa,N,1,1,Juventus,1,21,3,143,5,33,168.0,1.0,0,0,2.1,2.1,11.0,-1.1,-1.1,Report partita
33,20-02-2022,12:30,Serie A,Giornata n. 26,Dom,Ospiti,P,0,1,Fiorentina,0,7,1,143,0,0,188.0,0.0,0,0,0.5,0.5,8.0,-0.5,-0.5,Report partita
35,28-02-2022,20:50,Serie A,Giornata n. 27,Lun,Casa,V,4,0,Sampdoria,4,19,9,474,21,44,154.0,0.0,0,0,2.1,2.1,11.0,1.9,1.9,Report partita
36,05-03-2022,18:00,Serie A,Giornata n. 28,Sab,Ospiti,P,0,1,Roma,0,7,4,571,0,0,139.0,0.0,0,0,0.8,0.8,12.0,-0.8,-0.8,Report partita
38,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Casa,N,0,0,Genoa,0,12,2,167,0,0,168.0,1.0,0,0,1.2,1.2,10.0,-1.2,-1.2,Report partita
40,20-03-2022,20:45,Serie A,Giornata n. 30,Dom,Ospiti,V,1,0,Bologna,1,15,2,133,7,50,177.0,0.0,0,0,1.2,1.2,8.0,-0.2,-0.2,Report partita
41,03-04-2022,15:00,Serie A,Giornata n. 31,Dom,Casa,P,1,3,Napoli,1,19,3,158,5,33,147.0,1.0,0,0,1.4,1.4,8.0,-0.4,-0.4,Report partita
43,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Ospiti,P,1,2,Sassuolo,1,15,4,267,7,25,135.0,0.0,0,0,1.8,1.8,12.0,-0.8,-0.8,Report partita
45,18-04-2022,21:00,Serie A,Giornata n. 33,Lun,Casa,P,1,2,Hellas Verona,1,17,4,235,6,25,148.0,0.0,0,0,1.5,1.5,9.0,-0.5,-0.5,Report partita
46,23-04-2022,15:00,Serie A,Giornata n. 34,Sab,Ospiti,V,3,1,Venezia,3,19,4,211,16,75,109.0,0.0,0,0,3.6,3.6,19.0,-0.6,-0.6,Report partita
47,27-04-2022,20:15,Serie A,Giornata n. 20,Mer,Casa,N,4,4,Torino,4,15,3,200,13,67,157.0,1.0,2,2,2.7,1.2,8.0,1.3,0.8,Report partita
48,02-05-2022,20:45,Serie A,Giornata n. 35,Lun,Casa,N,1,1,Salernitana,1,20,5,250,5,20,164.0,1.0,0,0,1.6,1.6,8.0,-0.6,-0.6,Report partita
49,08-05-2022,12:30,Serie A,Giornata n. 36,Dom,Ospiti,V,3,1,Spezia,3,17,6,353,18,50,166.0,1.0,0,0,2.1,2.1,12.0,0.9,0.9,Report partita
50,15-05-2022,18:00,Serie A,Giornata n. 37,Dom,Ospiti,P,0,2,Milan,0,12,2,167,0,0,153.0,0.0,0,0,0.9,0.9,8.0,-0.9,-0.9,Report partita
51,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Casa,P,0,1,Empoli,0,40,9,225,0,0,154.0,0.0,0,0,3.8,3.8,10.0,-3.8,-3.8,Report partita
